row ID,row m/z,row retention time,PB1_C18NEG_2.mzML ,PB2_C18NEG_3.mzML ,PB3_C18NEG_4.mzML ,6111_U4_C18NEG_42.mzML ,6101_U2_C18NEG_30.mzML ,6102_U1_C18NEG_26.mzML ,6110_U2_C18NEG_34.mzML ,6105_U4_C18NEG_47.mzML ,6103_U4_C18NEG_53.mzML ,6105_U1_C18NEG_43.mzML ,6104_U1_C18NEG_55.mzML ,6113_U4_C18NEG_62.mzML ,6105_U2_C18NEG_40.mzML ,6113_U3_C18NEG_15.mzML ,6102_U3_C18NEG_48.mzML ,6101_U3_C18NEG_29.mzML ,6108_U4_C18NEG_18.mzML ,6104_U4_C18NEG_12.mzML ,6111_U1_C18NEG_51.mzML ,6105_U3_C18NEG_39.mzML ,6110_U4_C18NEG_10.mzML ,6111_U3_C18NEG_54.mzML ,6104_U2_C18NEG_19.mzML ,6101_U1_C18NEG_59.mzML ,6111_U2_C18NEG_35.mzML ,6113_U2_C18NEG_31.mzML ,6101_U4_C18NEG_14.mzML ,6103_U3_C18NEG_61.mzML ,6108_U3_C18NEG_28.mzML ,6109_U1_C18NEG_58.mzML ,6104_U3_C18NEG_32.mzML ,6110_U3_C18NEG_45.mzML ,6108_U2_C18NEG_27.mzML ,6108_U1_C18NEG_44.mzML ,6102_U4_C18NEG_50.mzML ,PooledQC10_C18NEG_64.mzML ,6103_U2_C18NEG_60.mzML ,PooledQC9_C18NEG_57.mzML ,6102_U2_C18NEG_16.mzML ,6112_U2_C18NEG_37.mzML ,6110_U1_C18NEG_11.mzML ,6112_U4_C18NEG_63.mzML ,6109_U3_C18NEG_52.mzML ,6109_U4_C18NEG_22.mzML ,6109_U2_C18NEG_13.mzML ,6106_U4_C18NEG_36.mzML ,6113_U1_C18NEG_24.mzML ,PooledQC5_C18NEG_25.mzML ,6106_U3_C18NEG_20.mzML ,PooledQC6_C18NEG_33.mzML ,6112_U3_C18NEG_56.mzML ,PooledQC4_C18NEG_17.mzML ,PooledQC8_C18NEG_49.mzML ,PooledQC7_C18NEG_41.mzML ,6103_U1_C18NEG_21.mzML ,6106_U1_C18NEG_23.mzML ,6106_U2_C18NEG_46.mzML ,6112_U1_C18NEG_38.mzML ,Prerun_PooledQC3_C18NEG_7_1.mzML 
8001,305.0561498,4.73672,0,0,0,0,1489.6871,1089.7163,1152.1876,0,1038.4114,1187.3105,1173.9595,1297.2728,1305.5479,1063.6626,1151.0848,0,1796.8079,2415.8633,1081.9952,0,1033.7098,0,1310.941,0,1236.794,1141.7411,1026.9443,1102.0149,1405.3217,0,1427.0486,0,1016.75745,1414.4916,1069.7723,3834.793,1085.1443,3642.152,0,1626.5933,1273.3608,2346.961,1066.2224,1210.2328,1251.163,0,1098.0668,3311.8406,0,4151.642,41985.55,3705.286,4053.87,4132.143,1402.4896,0,0,1103.8044,3921.425
8005,690.3154341,4.7506413,0,0,0,1196.3077,6130.7104,5252,0,0,5154.51,0,2656.7305,1404.0944,1241.0048,0,11597.189,4580.3413,2224.4062,1109.8639,0,0,1363.3837,0,1589.0146,6037.0015,0,1222.9446,4486.3403,7942.8257,2957.0898,1859.6328,1278.5187,0,2124.3567,0,7703.821,2964.9229,17769.465,3045.0078,4914.5366,1773.6464,1419.8657,0,4859.104,2398.6865,3223.137,1381.661,0,2667.2273,2730.689,3354.9265,0,3216.0356,3529.6116,3069.395,18543.494,1754.2731,1209.9708,2011.4434,3251.8213
8015,243.1236412,4.740487,2471.7566,2408.7139,2014.8789,16059.148,12399.7705,18358.46,11756.49,20118.562,56901.957,17873.133,20739.28,13407.566,33396.145,21153.715,21113.441,20675.223,58751.715,45153.344,24909.842,23859.758,26899.84,16706.637,17339.986,16783.041,19983.766,16685.537,11932.781,40503.887,40159.582,34321.81,22461.53,22307.973,27286.336,29640.47,42465.266,29993.182,67441.43,28934.842,33807.926,11503.237,67408.87,10048.019,26048.719,52093.73,39389.992,17793.326,69001.05,29784.035,11318.051,30490.488,30002.271,28576.498,32158.871,32079.732,71659.016,18890.73,8999.499,28227.03,26057.164
8021,243.0808473,4.734271,1318.6531,1527.147,1128.6711,10776.45,2497.7385,1595.8016,2579.9097,1290.3206,1900.1962,1952.747,2667.0535,3006.817,2191.5876,2476.67,2801.2385,2010.5614,2068.7866,4163.827,4628.4775,1784.5211,2975.033,2944.0005,2935.182,1769.0325,4186.1016,2357.2307,2359.0986,3102.2842,2040.3424,3003.1936,2483.028,2947.485,1860.7405,1649.3726,1558.6768,6557.6772,2360.9006,7282.3506,3047.1104,3044.2695,2768.7117,6342.062,6908.4614,2314.5955,4442.127,1377.3008,2372.5454,6520.6636,1275.545,6689.185,118966.766,6733.345,6044.084,8801.107,2164.454,1592.6814,1375.3506,4206.2666,7639.143
8022,175.0975029,4.7425737,0,0,0,0,1557.9905,1878.2666,0,1349.3058,1206.2797,2944.062,2550.1282,1852.1417,2725.174,1738.1111,0,2017.0225,2688.597,5005.2075,1030.5596,1569.4738,1419.9739,1431.2025,3443.6685,1276.8682,1771.3396,1945.5522,1189.6787,1047.8444,2636.881,0,2363.7913,1432.3694,1698.0074,1535.1904,1801.0248,10987.185,1127.3074,10603.941,1256.317,6377.8037,2533.084,10562.037,1862.0927,1897.9865,1436.0818,1209.9897,2827.043,13713.157,1245.3004,11885.003,349523.1,12245.787,11143.832,11265.664,2414.379,2005.0045,1567.243,3526.898,11532.2
8042,343.0854988,4.7654414,0,0,0,18579.605,75148.266,20522.633,56479.83,16951.318,27130.47,19548.355,8037.8857,13360.556,42000.062,11844.868,27768.48,83854.29,12096.88,9623.008,16407.162,21247,100230.06,22192.393,9035.565,42249.047,18304.113,15569.742,78807.625,29288.77,28900.148,17817.492,8859.924,71399.02,41849.13,43467.93,38691.957,29405.152,36558.246,30935.99,31349.57,36658.973,86160.46,21006.469,28615.781,14520.001,23988.658,13655.36,30759.78,31275.127,6936.25,31816.457,34189.375,33712.914,36061.605,32073.97,50856.61,9657.814,10860.776,25640.533,34215.758
8062,220.0978874,4.7333612,0,0,0,1638.4552,1724.1215,1005.2814,0,0,1865.9061,1468.6858,1548.9691,1466.3312,57129.1,1219.7783,89262.336,2080.297,2575.1501,2177.2258,2225.4377,1444.9911,1477.9304,2128.7383,1084.5415,1958.8567,2090.5493,1338.3124,2470.9387,3103.8582,1317.879,2312.0474,0,1495.414,3397.1265,2540.0022,3305.005,3752.212,1753.7129,4487.316,2665.1733,2188.21,2318.4353,1731.4204,2059.8271,2990.312,2268.5122,2747.7395,1778.2384,4439.1855,2555.5444,4278.4536,2019.1318,3876.0913,4732.3823,3237.082,2038.5464,2693.331,1508.5858,0,6115.484
8077,415.0625063,4.7879977,0,0,1000.0115,1021.1602,0,0,0,1044.333,0,0,0,1024.007,1022.89484,0,0,0,1031.172,0,0,1125.4712,0,1175.9417,0,1095.6969,0,1129.0022,0,0,1039.3691,0,0,0,0,0,0,5567.67,0,6705.551,0,55076.277,1323.6433,27033.857,0,1175.2695,0,1082.1897,1059.0221,5858.7783,1109.5316,6797.3135,64661.184,5384.094,8452.418,7156.593,1046.0894,0,0,40039.64,6525.5034
8080,349.0066834,4.789654,2067.9062,1451.8519,1482.5723,18841.604,17565.402,2800.4417,1710.6812,2162.3735,2627.5142,1601.4464,2193.5828,5673.9653,11508.162,1991.4401,1919.5709,1569.9697,1787.8109,4689.755,2340.1738,2196.6282,71851.54,1820.9231,1928.0475,1765.9342,2261.52,2595.4934,2142.8682,2348.2664,1973.8164,2135.1206,1804.4288,1689.399,7309.356,2199.687,2610.27,3919.2256,3280.3628,3213.7778,11915.541,2606.674,4653.625,2202.455,2324.835,6276.628,2661.2932,2151.4556,2521.5054,3562.2505,1728.4324,4886.8516,2107.4858,3631.238,4745.111,3581.1746,2097.1267,2094.2234,2472.0002,2219.4148,5098.5557
8085,347.0774111,4.7820497,0,0,0,0,1041.0525,0,0,0,1173.3026,0,0,1430.3016,1144.2438,0,0,0,0,1189.5939,1305.5585,1386.0332,1206.7535,0,0,0,1005.0568,1218.2136,1097.5485,1019.9554,0,1015.32556,0,1236.3391,0,0,0,19567.08,1058.4518,19146.727,0,229799.77,1276.7301,100792.29,1330.0681,1117.3099,1070.4896,0,0,20584.588,0,21291.664,268206.16,20118.57,22845.596,17060.771,1117.0032,1563.7628,1236.8788,166109.66,19709.363
