m.z,r.t.,p,t.score,mode
379.1607,4.047,0.279,-1.144040859,negative
379.1955,5.602,0.332,-1.019207604,negative
380.0301,1.155,0.848,-0.196059976,negative
381.0301,1.155,0.733,-0.350328018,negative
381.0802,3.385,0.586,0.563479573,negative
381.1551,6.237,0.513,0.67865195,negative
382.9875,3.002,0.601,-0.540599881,negative
383.0324,2.787,0.774,-0.295417676,negative
383.0464,3.601,0.0838,-1.920400497,negative
383.053,3.466,0.606,-0.532342176,negative
383.0644,2.771,0.206,-1.351704642,negative
383.1529,4.559,0.247,-1.229825631,negative
383.153,4.885,0.602,-0.53809649,negative
384.0537,2.335,0.173,1.465622446,negative
385.1498,5.181,8.72E-05,-6.316286581,negative
385.1685,4.355,0.0484,-2.247769753,negative
385.1861,4.524,0.314,1.060928468,negative
387.1489,5.77,0.0196,-2.774909072,negative
387.1658,5.117,0.221,-1.305030006,negative
388.047,2.937,0.719,0.370251324,negative
388.047,3.398,0.85,-0.194490699,negative
388.047,3.472,0.79,-0.273030802,negative
389.0528,0.7,0.645,0.474470576,negative
389.0919,4.531,0.305,-1.082278942,negative
389.0981,4.564,0.0313,-2.50182905,negative
389.1038,0.786,0.777,0.291386217,negative
389.1043,2.952,0.509,-0.68562001,negative
389.1814,5.311,0.162,-1.511843054,negative
391.0332,0.698,0.469,-0.753291624,negative
391.0993,4.492,0.139,-1.607753999,negative
391.1124,0.79,0.144,-1.584090689,negative
391.1968,5.431,0.338,1.007024328,negative
393.0495,3.605,0.335,-1.012236257,negative
393.0776,3.464,0.105,1.780369804,negative
393.2643,6.229,0.0483,-2.248175213,negative
394.06,0.685,0.0741,1.993938511,negative
395.0628,0.675,0.997,0.004202567,negative
395.0857,2.735,0.257,1.202416911,negative
395.0857,2.92,0.682,0.421454421,negative
395.091,3.521,0.957,0.05543293,negative
395.1144,4.677,0.471,-0.749432534,negative
396.025,0.663,0.131,-1.645784671,negative
396.0904,2.751,0.405,-0.868726943,negative
396.1124,4.459,0.743,0.337538199,negative
396.1279,4.011,0.153,-1.544591129,negative
396.1297,3.506,0.239,-1.252851315,negative
397.0032,3.133,0.254,-1.2102649,negative
397.0034,3.815,0.408,-0.864070372,negative
397.0582,0.701,0.196,-1.384825082,negative
397.1496,4.415,0.49,0.71669861,negative
397.1911,4.067,0.574,0.581580917,negative
398.0412,0.681,0.218,1.31382087,negative
399.0203,0.683,0.466,0.7572996,negative
399.1658,3.513,0.0839,1.919060837,negative
400.1429,4.669,0.0686,-2.040194902,negative
401.1094,4.24,0.465,0.760344494,negative
403.066,3.865,0.923,-0.098787457,negative
403.1019,5.042,0.57,0.587374649,negative
403.1133,4.514,0.174,1.463560073,negative
403.1971,3.26,0.0445,2.296263534,negative
403.197,0.807,0.00545,3.529688524,negative
404.0395,3.379,0.987,0.016753944,negative
404.0405,3.511,0.611,-0.524926125,negative
405.0285,0.72,0.122,1.689192648,negative
405.0469,0.697,0.198,1.379138183,negative
405.0648,0.668,0.66,0.453662611,negative
405.118,5.456,0.117,-1.713125681,negative
405.1764,4.467,0.31,-1.070061659,negative
405.2644,6.291,0.408,0.863809184,negative
407.0405,4.991,0.244,1.237727429,negative
407.2799,5.411,0.24,1.248083218,negative
407.2799,5.805,0.168,1.488096723,negative
407.2801,6.791,0.682,0.422218249,negative
409.0428,0.71,0.717,0.372217348,negative
411.0759,4.059,0.698,-0.399727674,negative
411.0787,0.764,0.823,-0.229054186,negative
411.1279,4.49,0.449,0.788697706,negative
411.1654,4.559,0.282,1.13794657,negative
411.2021,4.884,0.939,0.07822722,negative
411.2021,5.398,0.956,0.056201546,negative
412.9977,3.204,0.745,0.334566482,negative
413.1426,4.219,0.0709,2.020831135,negative
413.1426,4.51,0.112,1.744055889,negative
413.1436,3.2,0.0386,2.380348471,negative
413.144,3.692,0.123,1.686352173,negative
413.1993,5.357,0.34,-1.001614788,negative
415.1607,0.797,0.109,1.761526727,negative
416.1536,5.683,0.0687,-2.039376746,negative
417.1173,4.046,0.0912,-1.868952523,negative
417.1192,4.5,0.815,-0.240791737,negative
417.2126,6.021,0.117,-1.71710551,negative
418.1123,0.717,0.419,0.843776666,negative
418.1149,0.722,0.472,-0.74672249,negative
418.1327,4.164,0.0627,-2.094258165,negative
419.1134,0.748,0.401,0.877918718,negative
419.1155,2.861,0.832,0.218199917,negative
419.2281,6.362,0.214,-1.325683108,negative
421.0558,3.818,0.635,0.489062396,negative
421.0582,5.463,0.92,-0.103516415,negative
421.9984,3.301,0.33,-1.023200374,negative
422.0501,0.727,0.628,0.499630568,negative
422.1067,0.783,0.458,0.772083883,negative
422.1084,2.915,0.166,1.494765966,negative
423.0571,0.703,0.534,0.644109405,negative
424.0493,0.721,0.01,-3.169278738,negative
425.145,4.374,0.0172,-2.852678065,negative
427.0844,2.991,0.223,1.29922453,negative
427.1967,4.894,0.591,-0.555585944,negative
427.197,3.64,0.127,1.66465425,negative
427.197,4.049,0.227,1.286484057,negative
428.0941,2.98,0.25,1.220684757,negative
428.0955,4.037,0.974,0.033345676,negative
428.0976,3.601,0.348,0.985722984,negative
429.0423,3.352,0.797,0.264591441,negative
429.0815,4.032,0.11,-1.754652533,negative
429.082,3.756,0.152,-1.551054891,negative
429.083,3.201,0.954,-0.058505007,negative
429.1762,5.798,0.171,-1.475164419,negative
431.0534,0.666,0.897,-0.133191541,negative
431.0979,3.907,0.605,-0.533861403,negative
432.1213,3.706,0.183,1.429396307,negative
433.0646,4.045,0.946,-0.06915555,negative
433.1136,4.519,0.519,0.668899401,negative
433.113,4.886,0.594,-0.550064348,negative
433.2076,5.283,0.284,-1.131350413,negative
433.2077,4.995,0.239,-1.252470435,negative
434.1396,3.922,0.902,-0.125989911,negative
435.2232,5.611,0.0904,-1.873976263,negative
437.0497,3.488,0.284,1.132438427,negative
437.0526,5.832,0.598,-0.544875867,negative
437.18,7.078,0.33,-1.023587304,negative
439.056,0.753,0.109,-1.758793812,negative
439.1146,6.219,0.499,0.701395251,negative
439.1607,4.307,0.284,-1.132105935,negative
439.1608,3.725,0.0877,1.892169222,negative
439.1608,4.66,0.408,-0.863837904,negative
441.0612,2.876,0.193,1.395431933,negative
441.1026,3.212,0.2,1.372348082,negative
442.19,5.313,0.542,-0.631634779,negative
443.1557,5.98,0.0727,-2.005266751,negative
445.0782,4.484,0.997,-0.004297231,negative
445.0903,0.667,0.189,-1.411287574,negative
445.1072,3.893,0.241,-1.247853591,negative
446.1795,4.499,0.696,0.401903987,negative
446.1831,4.341,0.204,-1.358707164,negative
446.2907,6.081,0.0824,-1.930211141,negative
446.2908,6.024,0.725,0.361230872,negative
446.2909,6.562,0.767,-0.305157541,negative
447.0919,4.504,0.00234,4.046659623,negative
447.0921,4.067,0.00235,4.04182389,negative
447.0928,3.777,0.779,-0.287635192,negative
447.092,4.187,0.0179,2.827069193,negative
448.1961,5.778,0.335,1.012092286,negative
448.1966,4.911,0.894,-0.137076043,negative
448.3058,6.47,0.506,-0.690185201,negative
449.0698,2.589,0.4,-0.878297817,negative
449.1074,4.301,0.909,-0.117720656,negative
449.254,8.044,0.292,-1.11158158,negative
457.0689,0.726,0.782,0.284395984,negative
457.0963,2.367,0.418,0.845378052,negative
457.097,2.652,0.103,1.795636822,negative
457.2207,6.206,0.411,-0.85841849,negative
458.9733,3.815,0.108,-1.767997451,negative
459.0843,2.964,0.623,-0.507689885,negative
459.0924,4.452,0.15,-1.560945281,negative
459.093,3.801,0.0791,-1.955103492,negative
459.1504,4.33,0.133,-1.63671293,negative
459.1629,2.778,0.098,-1.824578599,negative
461.0863,3.571,0.509,0.684930807,negative
461.1337,5.706,0.082,-1.932982047,negative
461.2388,5.842,0.173,-1.469022154,negative
462.1766,4.998,0.0528,-2.196221109,negative
463.0831,5.418,0.327,-1.029633355,negative
463.2334,5.897,0.222,-1.301354752,negative
464.0663,2.822,0.0137,2.983887615,negative
464.1436,2.856,0.622,0.508712945,negative
464.1437,2.772,0.618,0.514032328,negative
464.1437,2.808,0.758,0.31611052,negative
464.1438,3.474,0.771,0.29871735,negative
465.0845,4.208,0.126,1.667424377,negative
465.2493,6.146,0.0335,-2.463088746,negative
467.1506,5.777,0.107,-1.771773508,negative
467.1919,5.446,0.24,-1.250149545,negative
467.2645,5.878,0.417,-0.846867563,negative
468.0451,0.696,0.653,0.463510512,negative
471.0822,3.708,0.591,0.555095021,negative
471.2417,6.297,0.724,-0.363297322,negative
473.0995,3.464,0.398,-0.88267394,negative
473.0996,2.932,0.765,-0.307288032,negative
473.1448,4.73,0.422,-0.8376843,negative
475.0782,0.667,0.913,0.112282086,negative
475.2184,5.932,0.109,-1.75993205,negative
476.0359,3.919,0.106,-1.776011467,negative
477.1039,2.949,0.835,-0.214246139,negative
477.1039,4.686,0.46,0.768410274,negative
477.2332,5.701,0.48,-0.733460051,negative
479.0459,2.443,0.483,0.728536377,negative
479.0465,3.005,0.532,0.647425071,negative
479.0506,0.791,0.607,0.53114577,negative
479.2283,5.383,0.403,-0.872577697,negative
480.0818,0.682,0.186,-1.419856878,negative
480.1372,3.468,0.973,0.035264856,negative
481.0163,4.286,0.249,-1.222692582,negative
481.2073,5.68,0.273,-1.159763427,negative
481.2439,5.242,0.0304,-2.52013446,negative
482.2186,4.626,0.803,-0.255685708,negative
484.0498,2.566,0.267,-1.176341823,negative
485.0499,4.198,0.623,-0.507749035,negative
485.0955,0.681,0.292,1.113504595,negative
485.1661,4.43,0.217,-1.317175471,negative
486.1199,5.689,0.766,-0.30570061,negative
487.0759,2.632,0.654,0.461445232,negative
489.0926,0.758,0.316,-1.056062084,negative
489.2111,3.578,0.81,0.246386075,negative
489.2123,4.076,0.466,0.75778488,negative
489.27,6.391,0.305,-1.081055205,negative
489.27,6.555,0.239,-1.250898827,negative
491.191,4.507,0.303,-1.085281779,negative
491.228,5.918,0.217,-1.31637614,negative
491.2855,6.773,0.118,-1.710102265,negative
492.1871,5.243,0.869,0.169019373,negative
492.1884,4.319,0.582,-0.568111749,negative
493.0631,3.69,0.294,1.106626152,negative
493.0642,3.179,0.213,1.329613864,negative
493.1666,4.573,0.868,-0.170804945,negative
493.228,4.95,0.209,-1.34216747,negative
493.2439,6.516,0.0933,-1.854894558,negative
494.1144,0.666,0.44,0.804364554,negative
495.1174,4.369,0.422,0.837558353,negative
495.2227,4.812,0.836,0.212581509,negative
495.2229,3.594,0.108,-1.766239818,negative
495.2232,5.846,0.701,0.395527249,negative
495.223,4.067,0.515,-0.675411623,negative
495.296,6.494,0.486,-0.723297971,negative
496.198,6.048,0.0392,-2.370838476,negative
497.0695,3.785,0.365,-0.949484355,negative
497.2379,4.163,0.318,-1.051856108,negative
497.2751,5.86,0.329,-1.026713422,negative
499.0756,0.705,0.0219,2.710151527,negative
500.1902,3.066,0.557,0.606989723,negative
500.282,5.708,0.318,1.051086372,negative
501.1339,4.505,0.862,0.178060736,negative
501.2122,5.698,0.272,1.162740322,negative
502.1148,5.219,0.172,-1.470455456,negative
502.2071,0.806,0.585,0.564043802,negative
505.2452,7.002,0.414,-0.851428365,negative
507.2078,4.607,0.127,-1.665515008,negative
507.2079,4.889,0.0963,-1.83584409,negative
507.2231,6.98,0.676,0.429760053,negative
509.0384,0.699,0.964,0.046481807,negative
509.0409,3.291,0.675,-0.431706721,negative
509.0519,2.681,0.231,1.274729234,negative
509.2379,5.991,0.107,-1.772175847,negative
509.2751,5.084,0.0136,-2.989133469,negative
509.2751,6.332,0.0334,-2.464232254,negative
509.2752,5.821,0.136,-1.619159335,negative
510.2524,6.169,0.362,-0.954618143,negative
511.2181,5.843,0.378,-0.921655681,negative
511.2544,5.206,0.741,0.339960068,negative
511.2909,6.014,0.219,-1.311873858,negative
512.1916,6.018,0.813,0.243485976,negative
512.2682,6.624,0.559,-0.604773871,negative
513.0964,3.899,0.347,-0.987878449,negative
514.136,3.993,0.0378,-2.391986978,negative
514.1681,4.367,0.105,1.785279872,negative
514.1698,4.543,0.919,-0.104832723,negative
515.1648,5.296,0.369,0.940615778,negative
517.0977,4.399,0.322,1.042421367,negative
519.223,7.484,0.143,1.587468328,negative
521.1082,4.508,0.471,-0.749633234,negative
521.239,6.221,0.864,-0.175120473,negative
524.0845,0.705,0.347,-0.986225812,negative
525.0334,3.606,0.213,-1.331561413,negative
525.27,5.101,0.143,-1.591130998,negative
526.0995,0.675,0.231,1.275833204,negative
526.114,3.463,0.948,0.066598507,negative
526.2476,5.551,0.185,-1.423319837,negative
528.2617,5.454,0.587,-0.560885045,negative
528.2633,5.962,0.0193,-2.784252586,negative
529.121,5.76,0.0923,-1.861220259,negative
529.162,5.829,0.9,0.129510832,negative
531.0773,4.532,0.365,0.948535651,negative
531.1447,4.141,0.692,-0.408048512,negative
536.1898,4.583,0.822,-0.230361091,negative
539.1147,5.072,0.514,-0.677180034,negative
539.2494,4.677,0.058,-2.139916486,negative
541.1207,0.663,0.604,-0.535977195,negative
541.2651,4.526,0.104,-1.790638591,negative
541.2651,4.807,0.0178,-2.830511409,negative
541.265,4.928,0.0168,-2.86477164,negative
543.0792,0.704,0.92,-0.103242908,negative
543.2074,5.421,0.283,1.134657431,negative
544.1789,6.025,0.942,0.074243362,negative
544.2886,5.154,0.704,0.390551357,negative
547.1102,3.005,0.764,0.308254189,negative
547.1106,0.67,0.743,0.337384285,negative
549.1196,2.793,0.44,0.804954352,negative
549.1948,4.514,0.292,-1.113338415,negative
549.1963,2.777,0.328,-1.029224802,negative
550.1307,0.664,0.16,-1.518528129,negative
553.1926,5.396,0.184,-1.426665214,negative
555.0787,2.996,0.5,0.699331782,negative
557.2465,7.479,0.081,-1.94095271,negative
559.1102,0.68,0.711,0.380570807,negative
562.1922,4.035,0.792,-0.271221954,negative
563.1044,2.949,0.27,1.167870964,negative
565.1557,4.485,0.23,-1.277389826,negative
565.1563,4.799,0.388,-0.902449674,negative
565.3012,5.907,0.22,1.309960627,negative
566.3329,6.114,0.209,-1.343047718,negative
567.3168,5.938,0.711,-0.380862801,negative
567.317,6.697,0.673,-0.435223395,negative
569.0928,2.988,0.183,1.43044203,negative
569.0956,3.38,0.444,-0.796949219,negative
569.1299,4.178,0.99,-0.012334185,negative
569.1307,3.754,0.634,-0.490470632,negative
569.1751,3.441,0.403,-0.872811959,negative
571.1469,3.618,0.593,-0.552124414,negative
571.1476,4.081,0.542,0.631361565,negative
572.1094,3.326,0.546,-0.625286742,negative
572.2105,4.512,0.0591,2.129708716,negative
572.2528,4.339,0.00914,-3.222184725,negative
573.2393,7.26,0.7,-0.396786843,negative
573.2395,6.305,0.545,-0.62617883,negative
576.1317,0.792,0.841,-0.206496305,negative
576.1384,0.705,0.021,2.735907735,negative
577.1184,2.969,0.429,0.824042047,negative
579.0457,0.796,0.945,-0.070343989,negative
579.2066,4.211,0.644,0.475975764,negative
580.1297,2.848,0.357,0.966287496,negative
583.1089,3.742,0.481,0.73197821,negative
583.3118,5.69,0.914,-0.110457635,negative
583.3118,5.932,0.375,0.928275283,negative
584.1374,3.972,0.335,-1.0126843,negative
585.0184,3.643,0.567,-0.592500192,negative
589.3024,5.037,0.332,1.018918076,negative
590.1068,3.469,0.51,0.682595738,negative
591.3184,5.021,0.766,0.306446537,negative
593.3333,5.048,0.845,-0.200807032,negative
594.0962,3.363,0.471,0.749937843,negative
594.3642,5.768,0.577,0.57651403,negative
596.1248,2.733,0.431,0.820492981,negative
600.2843,4.732,0.00547,-3.527557719,negative
601.2255,5.243,0.715,-0.376277403,negative
605.1126,3.023,0.723,-0.36443627,negative
606.9991,3.815,0.309,-1.07208622,negative
607.1267,3.483,0.244,1.238434926,negative
608.1059,3.3,0.748,-0.330413799,negative
610.164,2.859,0.227,-1.287246919,negative
611.069,3.647,0.574,0.581118664,negative
611.1667,3.462,0.325,-1.034480116,negative
613.3589,5.89,0.0436,-2.30832069,negative
617.1836,4.515,0.826,0.225917242,negative
618.1838,3.802,0.547,-0.6225891,negative
618.1913,4.649,0.195,-1.390131006,negative
623.0319,2.6,0.227,1.286416761,negative
624.3385,6.01,0.399,-0.880693719,negative
625.0354,3.814,0.95,-0.064438912,negative
627.3743,6.176,0.723,-0.36402643,negative
629.3537,5.37,0.0197,-2.773299525,negative
636.1806,3.455,0.0344,-2.448177729,negative
639.0783,3.758,0.101,-1.806569664,negative
640.3332,4.371,0.384,-0.911170829,negative
640.3334,5.395,0.688,0.413394339,negative
645.1893,2.881,0.0684,2.042552502,negative
645.1896,3.451,0.178,1.448580137,negative
649.0893,3.836,0.811,0.246063839,negative
651.3856,5.28,0.873,-0.16403449,negative
653.1834,2.294,0.31,1.070457516,negative
659.2045,2.918,0.444,0.797524301,negative
665.1832,2.777,0.509,0.685002466,negative
665.1833,2.829,0.302,1.088670778,negative
669.1448,2.74,0.484,-0.726761599,negative
673.2558,7.365,0.29,-1.116196141,negative
674.1395,3.477,0.682,0.422604283,negative
675.1222,2.643,0.615,-0.51935996,negative
679.1625,3.856,0.269,-1.169134089,negative
680.165,3.608,0.866,0.172493496,negative
680.2306,4.136,0.348,-0.984387911,negative
681.2357,4.115,0.99,-0.013089243,negative
685.341,5.775,0.113,-1.737018169,negative
690.3154,4.751,0.486,-0.724007946,negative
691.3179,4.171,0.145,1.578637761,negative
741.1857,3.018,0.965,0.044576898,negative
744.2193,2.763,0.815,-0.240186683,negative
744.2195,3.468,0.985,0.019250745,negative
750.2363,3.468,0.863,0.177063862,negative
78.9585,0.702,0.103,-1.79507094,negative
801.2549,4.519,0.607,0.530451066,negative
817.2886,4.438,0.209,1.342276187,negative
845.2477,4.186,0.167,1.49081347,negative
853.2516,4.121,0.18,1.443001655,negative
869.3936,6.15,0.347,0.986310452,negative
889.161,3.783,0.962,-0.048224134,negative
908.2639,4.165,0.336,1.0100254,negative
913.2118,3.895,0.639,0.483753576,negative
951.181,3.008,0.95,0.064399393,negative
973.198,3.133,0.499,0.700797178,negative
