row ID,row m/z,row retention time,PB1_HILICNEG_4.mzML Peak height,6110_U2_HILICNEG_34.mzML Peak height,PB2_HILICNEG_5.mzML Peak height,6101_U2_HILICNEG_30.mzML Peak height,PB3_HILICNEG_6.mzML Peak height,6102_U1_HILICNEG_26.mzML Peak height,6104_U2_HILICNEG_19.mzML Peak height,6102_U2_HILICNEG_16.mzML Peak height,6101_U4_HILICNEG_14.mzML Peak height,6101_U1_HILICNEG_59.mzML Peak height,6105_U4_HILICNEG_47.mzML Peak height,6113_U4_HILICNEG_62.mzML Peak height,6111_U4_HILICNEG_42.mzML Peak height,6110_U4_HILICNEG_10.mzML Peak height,6103-redo_U4_HILICNEG_53.mzML Peak height,6108_U2_HILICNEG_27.mzML Peak height,6101_U3_HILICNEG_29.mzML Peak height,6105_U3_HILICNEG_39.mzML Peak height,6104-redo_U1_HILICNEG_55.mzML Peak height,6112_U2_HILICNEG_37.mzML Peak height,6109-redo_U3_HILICNEG_52.mzML Peak height,6104_U4_HILICNEG_12.mzML Peak height,6109_U4_HILICNEG_22.mzML Peak height,6111-redo_U3_HILICNEG_54.mzML Peak height,6104_U3_HILICNEG_32.mzML Peak height,6103_U2_HILICNEG_60.mzML Peak height,6106_U2_HILICNEG_46.mzML Peak height,6111-redo_U1_HILICNEG_51.mzML Peak height,6110_U3_HILICNEG_45.mzML Peak height,6108_U4_HILICNEG_18.mzML Peak height,6105_U1_HILICNEG_43.mzML Peak height,6108_U3_HILICNEG_28.mzML Peak height,6105_U2_HILICNEG_40.mzML Peak height,6113_U3_HILICNEG_15.mzML Peak height,6111_U2_HILICNEG_35.mzML Peak height,6110_U1_HILICNEG_11.mzML Peak height,6102_U3_HILICNEG_48.mzML Peak height,6112_U4_HILICNEG_63.mzML Peak height,6113_U2_HILICNEG_31.mzML Peak height,6106_U3_HILICNEG_20.mzML Peak height,6109-redo_U1_HILICNEG_58.mzML Peak height,6113_U1_HILICNEG_24.mzML Peak height,6108_U1_HILICNEG_44.mzML Peak height,6102-redo_U4_HILICNEG_50.mzML Peak height,6106_U4_HILICNEG_36.mzML Peak height,6103_U3_HILICNEG_61.mzML Peak height,6112-redo_U3_HILICNEG_56.mzML Peak height,6109_U2_HILICNEG_13.mzML Peak height,6106_U1_HILICNEG_23.mzML Peak height,6103_U1_HILICNEG_21.mzML Peak height,6112_U1_HILICNEG_38.mzML Peak height,PooledQC7_HILICNEG_25.mzML Peak height,PooledQC6_HILICNEG_17.mzML Peak height,PooledQC9_HILICNEG_41.mzML Peak height,PooledQC11-redo_HILICNEG_57.mzML Peak height,PooledQC10-redo3_HILICNEG_49.mzML Peak height,PooledQC8_HILICNEG_33.mzML Peak height,PooledQC12_HILICNEG_64.mzML Peak height,Prerun_PooledQC2reinj_HILICNEG_11_3.mzML Peak height,
15030,371.0978648869124,5.680912,0,2490.6116,0,1900.3771,0,2286.133,21507.52,4540.3267,6924.0083,3002.0767,3026.8792,1777.016,4359.88,3198.1526,5464.1455,2533.346,1549.0559,2898.6682,4637.4497,3988.6252,10259.386,2207.3242,4591.3223,5273.335,34254.816,2543.2805,5903.3994,3974.5386,3926.001,2043.1188,7000.4976,5838.963,4726.0234,2260.7422,4732.863,4202.5913,2695.0244,5401.6367,2774.6587,4228.219,4983.97,3134.2122,7235.8145,16563.658,8011.4497,3606.5984,3910.6284,19745.936,5522.2803,3200.4229,22651.191,5599.344,4990.121,5766.0815,5462.393,3993.8872,4116.2876,3664.5107,5326.3496,
15038,192.03319709695742,5.666722,0,8684.198,0,11121.266,0,8454.276,23044.977,9015.261,12765.256,16918.002,8389.616,14026.728,11984.592,9454.799,17665.996,24180.281,12117.215,9093.273,38220.047,10124.124,5749.1367,20777.914,12833.734,14875.51,24812.004,13281.008,10519.788,16159.88,10227.837,32200.242,10504.755,26212.547,12595.272,16727.768,10506.626,9611.572,9701.944,9260.04,14842.717,13718.168,13906.071,15374.307,26305.672,10425.969,10272.556,11753.356,10789.988,25589.152,11735.434,13647.262,16804.102,17485.1,18401.416,16133.138,17493.29,16543.238,16512.092,14122.285,18860.086,
15044,391.0002726726196,5.666623,0,14637.3545,0,49886.746,0,53217.195,34607.473,58294.598,54266.336,13069.396,22295.3,13144.749,16528.01,12798.161,15160.593,22633.578,21126.842,18533.316,23618.293,23996.879,10228.915,22918.703,7536.5063,35975.69,22329.062,29004.742,35708.24,18170.336,48006.277,36208.68,21883.191,36125.156,30106.312,18401.846,28940.727,43870.54,28900.18,23359.047,29048.186,35274.0,39888.305,27045.662,11394.34,22688.938,12695.099,25717.834,26911.264,45317.223,22763.342,2846.8281,34561.637,21480.805,22254.965,23391.674,20085.219,20282.877,22674.83,20572.332,22782.422,
15048,325.0944130715893,5.6665225,0,32966.926,0,42472.926,0,30632.508,17752.477,35679.746,38153.055,28329.22,21198.834,43380.367,20517.768,30677.79,95111.41,74354.57,23200.785,77411.55,89165.945,27532.79,41416.34,33999.293,32822.17,89842.84,29100.688,40964.023,45307.656,81528.336,31408.084,22286.043,78165.57,90202.52,46464.1,32211.945,27674.848,51014.62,46774.25,29186.764,63402.914,54294.895,94099.92,187800.61,92695.02,36933.26,68063.86,140308.83,50646.465,56319.12,110917.13,73817.51,73662.85,65754.01,57553.297,57484.652,64934.016,63736.96,58570.25,59300.78,58176.793,
15049,285.0590813459556,5.67238,0,8601.118,0,4073.2944,0,2204.051,2783.0085,3128.6687,3370.54,3637.9766,6007.004,5237.491,4298.7134,8369.102,8263.292,10589.003,3683.616,8640.49,10160.327,5713.422,3307.5435,4001.0972,9862.803,6018.0522,3375.6428,13958.066,10907.298,9965.63,4194.27,2464.1863,7622.3066,10942.908,6247.679,6485.188,3444.6995,4342.629,5948.0713,6007.138,7337.1567,42875.816,6817.8506,14659.133,10840.125,7522.09,42164.24,11476.923,8960.561,15318.042,17444.693,9991.613,12437.469,12970.132,13875.593,13800.0205,14975.66,13174.396,12009.337,12779.292,11770.823,
15061,149.04548873302352,5.659377,0,67777.74,0,89435.65,0,48821.227,46509.21,94727.71,70933.14,52595.66,66569.27,45492.277,64932.008,58776.24,53603.562,46314.047,68297.47,65650.625,31268.387,68642.23,119681.625,53205.277,94108.086,45958.06,51459.28,63519.13,125530.266,49380.26,57707.08,56965.758,50799.793,66445.875,79978.76,53081.09,56246.18,72024.086,70790.61,53087.438,93160.52,92398.375,86462.836,68978.69,51405.496,63888.434,104764.75,86662.46,80955.38,128455.125,79482.09,101159.16,57618.836,66201.35,64946.734,66861.31,61686.203,65007.73,70159.375,64927.848,76219.375,
15064,161.04545893494802,5.66809,1539.5449,21656.852,0,24439.59,0,21218.113,22656.852,26826.35,20216.918,43014.215,29430.926,45495.965,32221.52,29293.781,21946.256,31155.887,32991.34,42748.387,24958.498,27510.137,44154.633,33510.805,53039.316,14648.252,28772.432,30554.758,17980.002,39644.594,36208.926,19354.014,33678.45,29669.492,41637.57,38465.168,28102.729,13991.81,34889.98,36135.848,59772.45,17139.914,35335.332,48273.402,30490.814,44392.152,46992.375,29583.977,25540.74,53315.78,53129.832,96799.43,28867.998,36394.965,39133.707,38507.69,43407.438,43154.49,39407.87,42830.03,38971.59,
15075,338.05187311692345,5.673473,0,4785.6514,0,7049.2666,0,4197.472,6031.966,6227.1846,8207.56,3931.5388,10144.636,5653.621,6948.0234,5834.3174,14205.784,7287.2803,6503.176,4857.3853,7479.0757,18452.625,4533.729,5891.0366,8338.241,10660.315,6727.0127,23224.484,10907.631,8490.028,3300.6453,5380.002,4224.371,11523.371,7754.002,5570.851,11975.593,4691.3843,5324.518,15292.192,4503.533,16256.476,12189.951,4864.347,5327.0,7682.9746,10236.034,10253.132,9518.837,16627.338,11420.009,10754.451,18132.004,9736.397,10004.258,8311.533,7819.782,8832.578,8140.1406,7801.4995,10605.736,
15078,239.00357872144258,5.670493,0,106507.88,0,116700.06,0,144368.05,102631.79,120336.47,114672.88,94569.19,108403.88,106562.41,115752.68,73470.21,134396.33,69476.34,88227.46,61164.504,69756.64,141359.34,68429.125,99308.6,73359.54,76726.766,90921.43,132470.66,168260.22,70359.234,103376.266,52075.71,55042.574,74197.95,79467.22,102534.78,86952.67,88840.51,76114.36,95119.6,62774.21,129750.96,74579.23,57270.516,25309.02,74094.375,89501.41,50599.37,105627.445,78524.16,59350.574,10457.486,75079.69,83930.81,80603.57,80931.94,83259.61,85855.88,80651.94,86461.945,82777.47,
15082,191.01977786511682,5.678505,5165.2812,286529.56,3499.6401,323615.1,3769.236,309892.06,263531.44,404247.4,422596.25,351862.38,199278.0,279596.97,311668.94,301980.8,343739.12,313167.88,271425.06,347952.53,263360.16,216264.28,306936.12,338344.94,379384.1,348849.8,364580.56,307521.5,348147.9,389490.94,271626.38,358663.47,314837.88,238267.83,355526.16,412373.56,323678.03,387352.6,306383.12,328342.1,372355.7,344814.28,339814.7,234861.39,302908.97,345794.8,307410.6,326859.44,341720.56,442819.7,421834.72,737978.6,324280.22,345523.3,385816.06,314392.38,335697.16,335274.72,348711.8,345559.38,346304.94,
15103,309.0633029555348,5.678332,0,16900.396,0,27416.137,0,4361.045,14575.267,12992.984,19108.328,37724.82,14655.72,29429.578,15951.974,17736.938,21743.67,2183.077,31046.824,19857.404,10004.98,12810.818,163805.83,20838.434,116803.484,5591.385,17786.59,20952.396,3875.2148,28906.049,12211.192,27331.3,9006.179,36475.566,39611.6,12314.055,17487.1,11229.872,30467.143,40662.035,184161.33,5394.4243,27200.729,61610.99,52313.9,42441.273,17410.26,54522.863,65684.82,99000.07,25314.887,99393.664,35823.473,38169.78,32100.004,36081.766,39671.32,35694.254,37378.94,47010.344,32324.48,
15105,324.0725481837522,5.6731734,0,36870.816,0,130616.03,0,92315.57,41709.12,190344.38,114415.65,112934.51,136699.2,181011.11,148743.16,124421.51,469814.03,124436.08,171395.95,104687.55,53533.406,235413.48,11392.323,103948.65,72632.68,171297.53,86631.48,566604.44,154869.9,200347.31,85044.125,91460.805,49683.41,110171.61,109324.53,202157.1,273985.6,70323.55,164571.75,222459.19,147521.2,168726.86,153688.22,190880.69,73479.15,242593.31,56219.844,447952.94,241205.27,181435.2,120482.67,263357.84,246087.12,182373.84,190381.75,186392.56,195930.42,182981.66,189991.62,185085.5,174299.61,
15114,243.06165457929708,5.67347,0,24465.293,0,47334.438,0,73654.02,11598.482,71526.8,61677.03,7398.9824,6807.7046,6096.435,6998.04,6524.0337,17277.623,8776.659,4455.4023,5367.7075,7192.7944,5546.3784,5745.3096,5766.6943,5311.3955,46666.918,4965.8257,22953.117,37303.918,4704.632,29740.705,36337.875,6001.8555,9477.815,19661.922,8261.96,9324.112,69670.34,18791.89,9149.949,4839.2344,18597.57,43525.492,6147.8755,2165.2278,8996.228,4478.214,7850.903,16019.26,30807.113,4413.631,2561.0486,8419.438,5317.0005,5091.0947,6444.8115,5800.2783,5872.992,4738.4443,5478.5728,4761.775,
15122,238.00706838395186,5.6740656,0,28053.002,0,36159.746,0,34977.582,27176.701,31663.986,30142.24,26063.027,31527.564,26723.006,31948.94,21721.082,37763.188,20941.285,26125.729,18088.922,17542.389,33528.93,22155.014,28932.99,20955.543,21396.328,27040.6,33202.58,47118.117,24534.006,29220.281,14866.3125,16982.557,20103.168,22536.348,27475.014,22485.125,25220.28,23018.496,27066.104,18022.32,36767.223,21928.268,17777.1,5463.2456,23815.223,25151.193,13740.202,28316.887,23299.146,21490.123,2970.3706,21025.488,22828.533,26524.693,23989.152,22423.902,23309.908,22126.598,21642.926,21471.408,
15125,191.0539272029583,5.6748586,0,11229.402,0,13838.9375,0,14820.167,10409.132,17705.2,18136.553,14944.74,12519.014,12500.111,24331.467,29015.986,77731.305,12582.434,16194.653,12307.225,11991.231,15549.251,90596.45,12613.268,55136.945,32416.895,14866.274,28812.838,272976.75,57338.293,22622.768,22701.791,12807.441,11477.989,14771.138,16340.33,30496.701,99929.625,15423.304,15356.686,19015.572,63731.082,149135.3,12010.033,20817.469,46132.28,255249.27,59022.125,19010.11,98953.086,178871.3,432101.03,16788.898,67166.26,63293.664,64055.816,59077.695,56451.12,64526.156,60555.434,63849.117,
15133,201.1243719215951,5.675752,0,18291.96,0,23794.703,0,5133.978,22960.285,3870.0415,14695.853,27412.287,44759.277,16905.89,89274.13,27144.6,17248.016,90520.04,24987.91,46744.438,31198.535,63851.848,67771.484,31798.137,71427.59,83231.25,32614.229,19667.2,7163.091,63147.594,22094.365,105066.64,44506.258,97832.89,62934.12,19010.492,69281.77,24548.59,8662.004,41339.21,24433.797,9707.399,152842.34,11744.186,41432.383,8385.036,5289.0527,15324.114,41957.785,214799.77,8463.586,8033.38,54341.67,47127.004,46294.45,48440.676,47066.953,45095.52,48939.53,44659.36,46790.016,
15154,219.04561296128415,5.677837,0,171058.23,0,116530.24,0,63625.785,57686.41,97138.02,116827.7,68970.36,81891.94,104424.89,51010.457,183609.44,163159.62,453190.06,66683.12,390312.78,501321.78,55479.473,37813.367,88938.766,53338.254,333015.44,87797.61,90965.55,83792.125,255496.95,106143.23,109453.88,363267.25,433858.34,136396.81,86750.35,79155.17,167926.69,186573.64,76121.63,174600.5,114618.71,285456.78,612663.6,1042998.1,113848.57,109893.27,600851.2,125545.17,144103.0,165103.12,774354.06,291723.66,200174.44,207135.27,205220.73,189959.89,191149.19,206883.61,189190.89,207741.64,
15156,135.03728307904154,5.6799216,0,29893.537,0,37214.652,0,36600.832,39947.062,39150.71,38296.516,38336.742,36238.46,30438.361,33286.57,36870.75,33445.04,30212.28,31710.152,38070.277,36856.48,28001.648,37180.31,36221.527,25822.484,40437.11,35033.562,34195.113,39654.74,34120.0,39326.254,38238.12,34442.598,37516.902,40619.19,36685.76,32571.582,37194.63,39548.508,35919.63,39549.977,36454.13,39484.008,38896.055,25743.646,35977.348,35109.78,35611.887,37492.285,36391.082,35561.46,28288.447,38558.043,38386.254,35767.074,36187.293,32409.74,37880.37,31751.992,32817.133,33072.27,
