mz_rt,Red,Yellow,FC_postRed_div_postYellow,p,log2_FC_postRed_div_postYellow,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
154.9986_7.909,7310.389072727273,4129.903336363636,1.7701114232770498,0.01,0.8238401765510811,2,154.9986,7.909,6546.15485,154.9986_7.909,154.9986_7.909,1
201.0078_1.025,2615586.542727273,28408.58818181818,92.07027557959667,1.52e-9,6.524663559613443,8.818156412055227,201.0078,1.025,43703.3355,201.0078_1.025,201.0078_1.025,1
212.0199_7.051,11824.787345454546,6532.933272727272,1.8100272652131513,0.01,0.8560114294032529,2,212.0199,7.051,11438.9415,Cluster_212.0199_7.051,168.03_7.048;212.0199_7.051,2
215.0731_0.557,25284.702245454544,9840.683909090909,2.569404980287632,0.0344,1.3614343005172407,1.4634415574284698,215.0731,0.557,11504.7225,215.0731_0.557,215.0731_0.557,1
217.0164_3.25,126979.39590909092,33037.23254545454,3.8435239917382695,5.01e-5,1.9424296739675877,4.300162274132754,217.0164,3.25,36711.449,217.0164_3.25,217.0164_3.25,1
217.0174_1.047,385555.7404545455,119172.52336363637,3.235273782682962,9.47e-4,1.6938878043988843,3.0236500209967265,217.0174,1.047,173361.99,Cluster_217.0174_1.047,217.0024_1.038;217.0174_1.047,2
253.0826_3.616,36414.26663636364,19684.528000000002,1.8498928009024973,0.00154,0.8874416706943858,2.812479279163537,253.0826,3.616,17770.9485,253.0826_3.616,253.0826_3.616,1
253.0827_3.556,39085.64690909091,20169.94681818182,1.93781606175867,1.01e-4,0.954431636087072,3.9956786262173574,253.0827,3.556,19260.6795,253.0827_3.556,253.0827_3.556,1
255.1345_0.514,140899.31054545453,88035.81954545455,1.6004770702759865,0.0359,0.6785020078200191,1.4449055514216809,255.1345,0.514,113367.97200000001,255.1345_0.514,255.1345_0.514,1
275.1067_0.515,18569.42629090909,9249.226545454545,2.0076734200044952,0.0185,1.0055246110922988,1.7328282715969863,275.1067,0.515,10255.6255,275.1067_0.515,275.1067_0.515,1
278.1422_0.538,6164.211872727273,3818.9642363636362,1.6141056818580601,0.00811,0.6907350406362192,2.090979145788844,278.1422,0.538,5296.51,278.1422_0.538,278.1422_0.538,1
297.0971_0.537,31392.34011818182,3711.212490909091,8.458782728038301,3.07e-4,3.080450065404662,3.5128616245228135,297.0971,0.537,4287.53925,297.0971_0.537,297.0971_0.537,1
297.0995_3.753,237932.8838181818,3503.581009090909,67.91134076843264,3.5e-7,6.085580610508869,6.455931955649724,297.0995,3.753,4947.828799999999,297.0995_3.753,297.0995_3.753,1
311.0767_4.586,8690.833654545455,3965.021772727273,2.1918753925448464,1.08e-4,1.1321657838516048,3.96657624451305,311.0767,4.586,4319.1835,311.0767_4.586,311.0767_4.586,1
313.0919_5.697,35654.19981818182,7104.513272727273,5.0185281453482204,5.77e-6,2.3272643066537686,5.238824186844268,313.0919,5.697,5202.19235,313.0919_5.697,313.0919_5.697,1
313.0927_4.354,8985.169381818181,3141.3151045454547,2.860320942912324,0.016,1.5161770339862746,1.7958800173440752,313.0927,4.354,4593.4468,313.0927_4.354,313.0927_4.354,1
333.0072_3.165,25740.388954545455,556.2334027272727,46.27623732831854,2.22e-7,5.532199660100752,6.653647025549361,333.0072,3.165,1256.8606,333.0072_3.165,333.0072_3.165,1
333.0076_2.172,121186.57763636364,1284.964765,94.31120676399532,7.19e-7,6.559357307804747,6.1432711096171175,333.0076,2.172,2178.48125,333.0076_2.172,333.0076_2.172,1
333.0077_2.22,118397.983,1141.86867,103.6879162294557,2.08e-6,6.696103962309366,5.681936665037238,333.0077,2.22,1544.4315,333.0077_2.22,333.0077_2.22,1
335.0228_2.013,37233.625109090906,592.5475527272728,62.83651824687923,6.78e-7,5.973531338423309,6.168770306132936,335.0228,2.013,1290.5242,335.0228_2.013,335.0228_2.013,1
337.0384_3.521,19977.60569090909,2861.831427272727,6.980706655369769,2.39e-4,2.8033730875229734,3.6216020990518625,337.0384,3.521,3690.71145,337.0384_3.521,337.0384_3.521,1
337.0387_0.585,14267.996409090909,3679.955472727273,3.8772198508469105,0.0113,1.9550225428615733,1.9469215565165803,337.0387,0.585,3428.5045,337.0387_0.585,337.0387_0.585,1
341.0875_4.696,29793.026590909092,5024.805481818182,5.929190035059576,1.14e-5,2.567835036944352,4.943095148663527,341.0875,4.696,6675.375,341.0875_4.696,341.0875_4.696,1
341.1043_3.624,3108.1837454545453,1796.2549954545455,1.7303688804317083,0.0188,0.7910796247060107,1.7258421507363202,341.1043,3.624,2439.73675,341.1043_3.624,341.1043_3.624,1
349.002_2.669,38339.533136363636,687.698545,55.75049331588107,1.14e-7,5.800912665861586,6.943095148663527,349.002,2.669,1396.13375,349.002_2.669,349.002_2.669,1
353.0331_2.172,270250.9620909091,2642.5619954545455,102.26854187556094,4.94e-7,6.676218625575341,6.306273051076353,353.0331,2.172,4382.18665,353.0331_2.172,353.0331_2.172,1
353.0334_2.232,247797.70118181818,3063.868481818182,80.87739491832507,1.08e-6,6.337664623298648,5.966576244513051,353.0334,2.232,5246.22235,353.0334_2.232,353.0334_2.232,1
355.0323_2.199,16997.746245454546,954.8645045454546,17.801212805104747,3.24e-6,4.153903630927609,5.489454989793388,355.0323,2.199,1514.1986499999998,355.0323_2.199,355.0323_2.199,1
358.132_3.491,16745.939,4818.458763636364,3.4753724834955895,5.51e-6,1.7971676113018162,5.258848401148215,358.132,3.491,6678.7885,358.132_3.491,358.132_3.491,1
