mz_rt,post.x,pre.x,FC_post_div_pre.x,p.x,log2_FC_post_div_pre.x,neglog10p.x,mz.x,rt.x,MPA.x,Cluster_ID.x,Cluster_features.x,Cluster_size.x,post.y,pre.y,FC_post_div_pre.y,p.y,log2_FC_post_div_pre.y,neglog10p.y,mz.y,rt.y,MPA.y,Cluster_ID.y,Cluster_features.y,Cluster_size.y
287.0407_5.683,61450.72645454545,17011.225972727272,3.6123631861139494,7.3e-5,1.8529429483184623,4.136677139879544,287.0407,5.683,39395.9885,287.0407_5.683,287.0407_5.683,1,43743.472272727275,25747.373909090908,1.6989488880371713,0.0233,0.7646424504712267,1.632644078973981,287.0407,5.683,39395.9885,287.0407_5.683,287.0407_5.683,1
301.0518_2.391,7632.6389818181815,21262.604481818184,0.358970087053301,0.0427,-1.4780644654849218,1.3695721249749762,301.0518,2.391,7810.095,301.0518_2.391,301.0518_2.391,1,12833.682981818181,25197.973645454545,0.509314088600662,0.0291,-0.9733724693990518,1.5361070110140926,301.0518,2.391,7810.095,301.0518_2.391,301.0518_2.391,1
313.0919_5.697,35654.19981818182,2671.3351545454543,13.346958638834153,2.26e-8,3.738439128444318,7.645891560852599,313.0919,5.697,5202.19235,313.0919_5.697,313.0919_5.697,1,7104.513272727273,3667.2067363636365,1.9373091792943293,0.00298,0.954054215087079,2.5257837359237447,313.0919,5.697,5202.19235,313.0919_5.697,313.0919_5.697,1
327.089_3.578,15587.692127272727,31834.850454545456,0.4896423857724477,0.0472,-1.0301996449104498,1.3260580013659122,327.089,3.578,19282.009,327.089_3.578,327.089_3.578,1,14578.077754545455,27799.416727272728,0.524402288636638,0.0318,-0.9312541129937456,1.4975728800155672,327.089,3.578,19282.009,327.089_3.578,327.089_3.578,1
353.1236_1.057,4542.690872727273,8859.1169,0.5127701693074252,0.0371,-0.9636157600837086,1.4306260903849541,353.1236,1.057,6141.2449,353.1236_1.057,353.1236_1.057,1,13521.857181818183,7527.056436363636,1.7964336120150932,0.024,0.8451356209029329,1.6197887582883939,353.1236,1.057,6141.2449,353.1236_1.057,353.1236_1.057,1
364.0847_1.046,913.7732540909091,1923.1491,0.47514425901294344,4.64e-5,-1.0735624968851385,4.333482019445119,364.0847,1.046,1665.73795,364.0847_1.046,364.0847_1.046,1,1491.2973454545454,2419.981536363636,0.6162432741926742,0.0411,-0.698428099184767,1.3861581781239307,364.0847,1.046,1665.73795,364.0847_1.046,364.0847_1.046,1
405.1259_0.956,3110.1500204545455,5522.067277272728,0.563222044261403,0.0052,-0.8282242933620501,2.283996656365201,405.1259,0.956,2121.6074,405.1259_0.956,405.1259_0.956,1,2652.4658568181817,7740.622484090909,0.34266828827652074,3.34e-4,-1.545115408904465,3.4762535331884354,405.1259,0.956,2121.6074,405.1259_0.956,405.1259_0.956,1
425.1157_3.412,9090.768336363637,3276.4766545454545,2.7745561146459012,1.76e-5,1.4722569814005413,4.7544873321858505,425.1157,3.412,5336.0830000000005,425.1157_3.412,425.1157_3.412,1,8551.325254545454,4300.8920181818185,1.9882678333692474,0.00967,0.9915121109479519,2.0145735259169983,425.1157,3.412,5336.0830000000005,425.1157_3.412,425.1157_3.412,1
447.0927_4.077,55206.862636363636,21367.382527272726,2.583697959537119,0.00763,1.3694374253928305,2.1174754620451197,447.0927,4.077,14621.183,447.0927_4.077,447.0927_4.077,1,20754.892981818182,8918.957295454546,2.327053745665505,0.00838,1.2185045316326772,2.0767559813697236,447.0927,4.077,14621.183,447.0927_4.077,447.0927_4.077,1
545.1681_0.551,3302.0930727272726,8952.605727272727,0.3688415611410159,0.0208,-1.4389268667943111,1.6819366650372385,545.1681,0.551,3696.674,545.1681_0.551,545.1681_0.551,1,7719.9386545454545,3233.351972727273,2.387596129237309,0.0251,1.2555588200099763,1.6003262785189618,545.1681,0.551,3696.674,545.1681_0.551,545.1681_0.551,1
