mz_rt,Red,Yellow,FC_postRed_div_postYellow,p,log2_FC_postRed_div_postYellow,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
282.0471_0.951,3721.756018181818,10250.490336363637,0.36308077916808335,0.0189,-1.4616375363627299,1.723538195826756,282.0471,0.951,8151.540500000001,282.0471_0.951,282.0471_0.951,1
283.0279_2.454,742.18394045454545,1192.9119772727272,0.6221615295969697,0.0132,-0.6846389040902023,1.8794260687941502,283.0279,2.454,1241.7119,283.0279_2.454,283.0279_2.454,1
289.0021_2.845,10569.653990909092,41697.61220909091,0.2534834354041188,0.0389,-1.9800366215883145,1.4100503986742923,289.0021,2.845,18912.374000000003,289.0021_2.845,289.0021_2.845,1
303.0177_4.041,19147.908436363636,65368.03427272727,0.2929246481005547,0.0102,-1.7713985012046911,1.9913998282380825,303.0177,4.041,26598.697500000002,303.0177_4.041,303.0177_4.041,1
309.0783_2.234,3612.294936363636,6493.997018181818,0.5562514005242033,0.0288,-0.8461910315132718,1.5406075122407692,309.0783,2.234,5502.342000000001,309.0783_2.234,309.0783_2.234,1
311.0736_4.073,45648.432772727276,125787.46856363636,0.3629012754130874,1.08e-4,-1.4623509677231796,3.96657624451305,311.0736,4.073,7101.71135,Cluster_311.0736_4.073,311.0736_4.073;374.0682_4.077;410.9958_4.065,3
329.1058_0.558,4784.538190909091,10430.334472727272,0.45871378366815246,0.0227,-1.1243338359721342,1.6439741428068773,329.1058,0.558,6227.988149999999,329.1058_0.558,329.1058_0.558,1
356.0984_4.734,2905.900743181818,4864.441554545455,0.5973760216044681,0.0357,-0.7432887651840837,1.4473317838878068,356.0984,4.734,4088.259,356.0984_4.734,356.0984_4.734,1
356.0986_5.69,28099.840390909092,44981.703736363634,0.6246948882950584,5.51e-6,-0.6787763701088628,5.258848401148215,356.0986,5.69,2668.3385,356.0986_5.69,356.0986_5.69,1
361.0718_3.973,16390.624154545454,29293.63484727273,0.5595285201034531,1.63e-5,-0.8377164252349973,4.787812395596042,361.0718,3.973,1712.26215,Cluster_361.0718_3.973,361.0718_3.973;723.1416_3.964;725.1467_3.974,3
431.1183_0.764,655.3672545454546,1839.4008481818182,0.3562938742761055,0.0318,-1.4888604153102156,1.4975728800155672,431.1183,0.764,505.01329999999996,Cluster_431.1183_0.764,431.1183_0.764;432.1206_0.774,2
439.1031_2.332,9219.259018181818,14293.737281818181,0.6449859009168186,0.00726,-0.6326604706300814,2.1390633792999063,439.1031,2.332,12493.1,439.1031_2.332,439.1031_2.332,1
444.9665_2.007,4306.514590909091,7517.220090909091,0.5728865908977643,0.02,-0.8036785247410879,1.6989700043360187,444.9665,2.007,4653.8812,Cluster_444.9665_2.007,428.9925_2.008;444.9665_2.007;452.0686_1.995,3
459.2375_0.514,4452.588290909091,17340.07278181818,0.25678025386247644,4.97e-4,-1.9613938299271056,3.303643611266668,459.2375,0.514,5305.42625,459.2375_0.514,459.2375_0.514,1
561.1384_2.255,2495.3749522727276,3926.117090909091,0.6355834261924481,0.0481,-0.6538465901847539,1.3178549236261683,561.1384,2.255,2439.60815,561.1384_2.255,561.1384_2.255,1
853.3185_7.746,1477.50162,2388.3636504545457,0.6186250656254991,7.19e-7,-0.6928628047498998,6.1432711096171175,853.3185,7.746,501.7629,853.3185_7.746,853.3185_7.746,1
