mz_rt,row ID,6104_U2_HILICPOS_19,6110_U2_HILICPOS_34,6108_U2_HILICPOS_27,6111_U4_HILICPOS_42,6101_U3_HILICPOS_29,6104_U1_HILICPOS_55,6103_U4_HILICPOS_53,6110_U3_HILICPOS_45,6111_U2_HILICPOS_35,6111_U1_HILICPOS_51,6105_U3_HILICPOS_39,6109_U2_HILICPOS_13,6108_U1_HILICPOS_44,6109_U4_HILICPOS_22,6101_U4_HILICPOS_14,6101_U2_HILICPOS_30,6110_U4_HILICPOS_10,6105_U1_HILICPOS_43,6105_U4_HILICPOS_47,6102_U1_HILICPOS_26,6102_U2_HILICPOS_16,6104_U3_HILICPOS_32,6104_U4_HILICPOS_12,6113_U3_HILICPOS_15,6113_U2_HILICPOS_31,6109_U3_HILICPOS_52,6102_U4_HILICPOS_50,6102_U3_HILICPOS_48,6108_U4_HILICPOS_18,6106_U2_HILICPOS_46,6111_U3_HILICPOS_54,6110_U1_HILICPOS_11,6108_U3_HILICPOS_28,6106_U3_HILICPOS_20,6105_U2_HILICPOS_40,6112_U2_HILICPOS_37,6103_U1_HILICPOS_21,6113_U1_HILICPOS_24,6103_U3_HILICPOS_61,6101_U1_HILICPOS_59,6112_U1_HILICPOS_38,6109_U1_HILICPOS_58,6112_U3_HILICPOS_56,6106_U4_HILICPOS_36,6103_U2_HILICPOS_60,6106_U1_HILICPOS_23,6112_U4_HILICPOS_63,PooledQC5_HILICPOS_11_1,6113_U4_HILICPOS_62,PooledQC7_HILICPOS_25,PooledQC6_HILICPOS_17,PooledQC9_HILICPOS_41,PooledQC10_HILICPOS_49,PooledQC8_HILICPOS_33,PooledQC11_HILICPOS_57,PooledQC12_HILICPOS_64,...63
553.3887_0.421,152,3028.5269,4240.289,2162.1748,8723.304,3652.0537,6700.4805,7693.831,1657.0421,7980.3076,4490.841,2667.7397,5091.7617,2474.6897,12794.807,35113.754,7095.551,11833.322,3267.3357,3401.3992,2600.2043,21782.975,9275.653,5527.06,1310.1436,2137.2288,4805.69,2309.3333,3145.9307,2851.5688,2432.7378,1819.3951,3129.1228,1349.2411,2675.0063,2184.0356,82582.33,7890.8755,2554.247,2016.9866,4290.1616,8926.98,5940.5645,13360.059,16894.139,47777.246,2767.9062,22866.312,12415.603,5578.93,10222.376,10592.733,7716.291,8454.185,9393.586,12770.491,11555.754,NA
666.637_0.431,175,20290.463,NA,NA,1186.7206,1152.5675,1479.3018,3270.316,NA,1054.9924,1628.5261,1110.8351,1245.0419,1042.1241,NA,1913.7273,1001.4482,1189.1895,1236.0612,1349.2266,1953.2603,NA,1024.6862,1032.4008,1530.9446,1021.0328,1259.9274,1065.5208,1268.6744,NA,1141.8682,1083.5454,NA,1049.4261,2085.0334,1431.919,NA,1350.2322,1265.7,NA,5838.392,1467.3962,1917.6702,8552.371,1220.0753,2115.1775,2677.4746,1038.14,2398.3672,1148.8889,1406.2858,1490.0762,2229.889,1686.8583,1735.3844,2098.1084,2589.1729,NA
489.2284_0.496,309,1683.369,2050.1914,NA,1205.0459,NA,1635.1193,NA,1443.8546,1205.5146,2146.6333,1851.4225,1118.6702,1632.7766,NA,1349.204,2080.0005,NA,NA,2336.664,NA,NA,1829.1039,1884.3318,2542.0444,NA,1201.1473,1715.1992,1414.1335,1539.0005,NA,NA,1442.1436,1070.7942,1406.721,2685.6436,7434.799,1015.85474,NA,1426.6842,NA,4509.2026,1016.0333,26151.104,NA,2469.6516,NA,NA,88696.75,1094.8417,77386.98,74786.08,77551.01,72356.664,76594.016,99670.34,84920.68,NA
297.1938_0.496,545,NA,1599.5325,1799.4502,2850.32,2701.1572,2007.1744,3964.6025,2057.993,3538.2695,2447.4028,2023.8928,1824.9521,2700.1633,1344.1833,2641.8167,1678.3695,1977.2637,1768.9957,2622.553,1894.8479,2457.206,3871.28,3384.9927,2497.28,1910.1666,2427.0144,1599.1827,1774.0864,2952.0476,25437.336,2576.9004,2614.692,2473.2383,74386.59,2024.284,1724.414,2741.9604,3463.6858,2413.4832,2919.1372,1713.1218,2476.1333,2248.9062,59187.062,3977.9048,37535.867,3047.1409,36390.117,4318.888,48124.914,39532.293,47752.406,44379.65,47471.336,52964.37,55237.188,NA
356.2792_0.463,585,14118.352,28103.852,3339.6792,4978.4453,6235.1743,13785.761,50874.9,4228.8374,5645.857,10373.041,7825.771,19475.557,4346.8403,14121.107,26126.953,4579.6104,5948.297,17392.143,32645.76,4596.0005,3081.7786,12964.149,12985.05,4327.832,5538.4556,14896.544,35300.28,5965.3267,4320.8,2581.5955,5941.363,6673.0107,5078.003,2357.855,6530.8906,13519.372,88380.7,12136.007,19278.455,5752.0874,20275.572,44213.145,5961.164,3764.6458,85272.63,3087.5273,25350.12,12713.195,23069.39,14662.612,14895.599,19627.19,18681.383,16703.941,21915.918,21561.297,NA
349.1768_0.501,642,2741.6985,2862.3977,NA,1945.9017,2410.8462,2182.6123,19515.703,2315.2002,5014.493,1719.0929,3117.4402,5198.3647,3178.5645,1227.8513,1889.24,3738.0208,2277.7983,1815.522,1918.6226,1637.9698,1751.2769,2481.0115,1212.6426,1385.7697,3054.218,3397.8523,2774.5037,1791.3788,1557.9655,1561.1199,2896.3574,3481.5176,4748.1206,1783.1364,1134.1444,2330.0317,27983.54,1070.4164,10459.418,1997.5837,1555.8376,2824.1987,2770.8213,1991.5496,29774.773,7233.778,2018.7761,1777.04,2010.1456,3111.0593,4282.3257,3182.0051,4360.5503,3179.2656,4146.9907,3790.8591,NA
572.3994_0.467,670,7104.42,2696.3093,2943.8337,3344.0615,8334.938,5472.0225,6519.92,6366.8926,4017.9436,9176.513,12158.12,4141.4907,3869.1243,3100.7617,3104.0024,2557.94,13078.71,10141.049,9221.745,3964.5593,2118.4448,10324.516,49820.53,6412.4175,4157.403,3967.092,2725.9756,5589.0303,3590.8098,3795.6863,4510.204,20803.709,5863.1167,4946.5713,14298.197,3954.107,5750.7285,7572.44,6501.561,4688.1206,4462.285,4606.2695,3999.413,1841.4645,10026.708,2653.9617,6950.378,6444.782,6618.358,5836.142,5466.1836,6248.9746,5443.0073,5211.7856,6555.0005,7422.3286,NA
188.0705_0.471,715,42936.562,54497.574,2239.0623,3266.267,5990.557,5646.235,31743.93,3691.1614,2691.924,4114.7026,4918.617,35092.39,2500.7937,16774.03,41094.33,10264.5205,2255.7297,4599.065,34287.156,6131.102,8074.193,11083.014,3714.717,1669.905,3511.5632,12546.37,16048.517,4355.1733,10532.431,3583.4187,5557.7026,4579.8413,4712.3086,3695.6,2393.6404000000002,9358.081,13774.751,2096.6482,10382.993,4603.6714,21850.03,29808.738,17587.695,2776.269,98419.88,2534.462,22396.385,8245.96,12426.306,12057.179,8625.838,10947.042,15197.937,11124.891,15520.745,13912.306,NA
342.2636_0.484,736,18981.988,46345.11,14923.549,18744.598,16585.121,25611.908,22264.357,11417.112,15551.462,19251.53,19954.596,20499.572,11913.748,20255.584,24374.234,12906.809,18068.994,24197.016,39885.16,9559.448,7105.3877,18685.75,21166.338,9546.554,7970.3022,16420.885,35175.793,11258.784,14829.029,3857.3396,14293.163,16421.13,11954.041,4620.569,15331.03,22123.893,37780.074,25673.916,12511.558,26513.547,37607.6,43355.848,9205.918,4805.6147,32893.938,11142.486,34442.53,13245.137,19336.498,18763.361,17863.812,19419.832,19324.9,20585.736,23947.826,21669.7,NA
357.1666_0.506,741,2254.6292,1590.0057,36303.504,1585.4083,1871.7936,1342.3458,2362.7693,1148.7339,1623.0005,2056.5444,1430.012,1006.4153,7239.0664,1896.3778,1287.5099,1570.05,1143.4695,1618.8206,1441.4847,1929.3903,1447.3385,2181.5374,1129.404,1594.8016,2058.3137,2172.302,1363.7578,1698.6052,1570.9679,1224.255,2088.239,1918.6182,20213.588,NA,1289.5151,1878.504,1974.7812,2017.886,2772.4636,2323.5803,1628.3364,2124.658,1822.2961,1118.603,2394.5269,1306.9171,1698.7042,4640.465,1948.6963,4503.672,4244.3716,4938.11,4770.478,4741.882,5046.7163,4233.311,NA
313.1894_0.512,756,2574.1953,1361.7245,1120.7172,1571.5275,1680.4447,2740.9097,2112.559,NA,1310.649,1720.0118,2238.6667,2138.8584,2178.0688,1944.2031,2308.2688,2114.006,1838.0837,1411.6,1372.239,1435.1504,2212.1904,2192.1536,2220.125,2251.8218,1783.534,1636.9806,2470.2368,1050.0441,1334.9731,5797.9194,2060.692,1829.7052,1815.9672,18650.857,2567.6895,1728.8074,1434.6427,1918.6404,2562.0337,2208.0393,2024.4403,2716.2104,1182.7812,22227.195,2481.838,19850.69,2026.7803,6969.9204,2965.7622,6442.378,6927.185,9106.341,8346.122,8473.496,10943.566,8861.252,NA
324.2159_0.482,757,25105.324,99492.78,3901.3975,5312.945,7189.3677,20400.143,96102.56,5507.3013,5989.8545,6117.6074,5358.6562,50689.63,3130.0835,7314.1616,21599.379,8416.689,7138.45,9703.396,23248.086,3650.6697,4175.2144,23002.836,19293.639,3792.1802,9008.186,13242.076,18574.754,5094.704,7191.3213,2053.4968,3701.3337,8232.076,7353.248,3324.7476,5572.806,47551.74,144609.16,5129.6895,24890.771,4101.9624,37980.035,38299.22,11171.858,3850.0156,90189.12,2377.6038,49005.35,13493.869,25884.441,16764.875,14142.858,18995.781,17284.88,18688.521,20238.184,20389.848,NA
472.3114_0.479,770,4333.384,1762.9377,3133.5176,2890.0837,3745.2449,12195.182,6015.0015,2964.8713,2039.7783,4430.9507,3673.0757,2486.4883,3301.594,3067.3608,2168.7412,4741.416,2262.316,2130.8804,2175.221,2692.5972,2635.1118,34006.48,33384.93,2231.421,6692.267,2398.583,2793.0522,1924.0084,2614.8145,2094.293,2212.5378,2834.835,2260.99,3239.1877,3534.4377,4013.15,2500.5405,3885.4453,3020.873,2635.1128,4349.2495,2035.4979,4322.9697,1849.8104,3281.9758,1842.0726,4802.014,3884.4778,2326.3218,4031.8018,4659.169,3666.6348,5165.001,4458.9365,4166.658,3940.662,NA
568.4552_0.447,780,NA,NA,NA,1422.6064,NA,1078.0055,1086.1323,NA,NA,1255.6268,1047.8138,NA,NA,NA,1248.5696,1008.70593,NA,NA,NA,1204,NA,1396.1469,NA,NA,NA,1062.791,NA,1475.0706,NA,NA,NA,NA,NA,2210.3496,NA,NA,1523.9603,NA,NA,2243.9631,1309.0963,1081.4257,2713.0056,NA,1386.4685,1426.925,NA,20189.176,NA,20657.682,19898.695,16822.488,17703.885,21228.428,21408.357,22263.1,NA
169.0495_0.477,802,NA,NA,NA,1542.6493,1009.607,NA,NA,1262.8987,NA,NA,1002.04083,NA,4839.4043,NA,NA,NA,1213.4106,1392.455,NA,NA,1198.1292,NA,NA,1836.2039,NA,NA,NA,1009.9605,NA,92763.414,NA,NA,2077.5247,68102.41,1379.4707,NA,NA,NA,NA,NA,1402.2979,NA,1525.7963,49765.027,NA,6997.9434,1913.8284,3555.806,NA,6165.902,6809.2197,6634.8013,5936.639,7197.815,7298.571,8796.954,NA
328.248_0.503,807,51059,78243.91,67865,58868.19,97853.97,65410.062,86681.92,37408.13,39562.965,60590.48,146236.6,44170.92,47461.516,66831.79,42460.926,25347.541,102792.67,135228.73,123224.4,59418.375,31887.273,59134.46,107168.03,24300.725,23223.357,38865.367,46793,101043.555,43962.72,9325.161,55996.125,68807.57,62431.15,7838.0205,109533.06,31352.787,160177.84,46658.1,33801.223,79819.1,37418.754,80227.21,26341.633,7915.8354,134627.12,48233.863,42125.875,42831.406,41142.887,39206.863,41369.117,43345.297,40650.297,42001.35,46886.312,47984.164,NA
456.3161_0.48,813,43882.258,11366.947,11526.879,12675.074,21320.3,37773.51,35491.242,34107.836,11811.612,17408.291,70597.12,22232.129,11685.665,18064.361,15783.235,5870.229,21384.16,68062.68,57247.047,9138.418,13659.817,51510.402,285170.06,40272.48,21965.02,28895.766,13807.991,17155.7,14357.846,23390.717,25067.834,101137.75,28463.99,22760.863,83301.36,27421.47,29883.826,27709.604,28556.984,14274.293,26572.766,25011.82,30930.32,13201.221,40156.285,12473.9375,35934.79,36501.9,36131.1,36138.324,37319.58,34754.062,34769.434,35258.383,38868.1,39410.918,NA
540.4236_0.454,818,1107.8573,1474.2935,NA,NA,2116.999,NA,1019.80396,1851.0994,1101.5491,1165.4258,NA,1136.5607,1374.6432,NA,1967.5862,NA,NA,1052.537,1113.6987,1354.5398,NA,1396.0114,NA,NA,NA,1041.6533,2376.1956,NA,1148.5999,NA,1068.5602,1111.2443,NA,NA,1047.4254,1036.0048,1779.3243,1062.8163,1320.8889,1217.0896,1166.4613,1230.8639,1716.4991,NA,NA,1686.3518,1599.56,23326.89,NA,25447.236,21340.377,24276.156,27846.285,25917.479,25044.771,28289.34,NA
292.2058_0.518,821,1153.4581,NA,2669.0444,NA,1228.8671,1776.0482,1161.2251,1678.9941,1643.6279,1805.1613,2046.6305,NA,1642.1226,2089.0623,NA,1670.5472,1427.8895,1228.815,2153.0881,2129.6423,1998.5828,1470.9214,2342.421,2188.737,2160.503,1514.1589,1482.3027,1563.711,1561.2476,NA,1562,3245.089,1569.496,1252.1716,2126.0974,3337.1104,1409.3606,1867.2886,1814.1494,1843.4675,4037.948,2095.211,38314.363,1519.6787,1480.1157,1115.7788,4930.87,1363.0181,2496.7122,1663.2654,1644.9108,1910.1154,2318.388,1674.8857,1783.4092,1610.9142,NA
269.1382_0.482,822,7492.156,11092.04,108998.82,24507.104,9009.222,3929.2527,12775.468,16208.861,25553.871,14111.232,13322.024,13745.314,157304.98,13191.372,4390.6333,9693.245,18870.475,12797.968,6424.491,10456.965,21150.791,8675.923,4720.2993,25787.604,11525.192,7434.005,3669.256,7071.8257,47299.066,10347.414,20948.578,31782.605,160923.4,14552.482,20200.506,21178.102,13507.362,20852.143,9417.779,6245.0273,21261.7,42175.87,27862.11,20138.484,18717.205,5987.5054,30753.61,28536.63,22140.787,25917.943,20069.953,26998.42,28697.543,25037.865,25015.89,31523.05,NA
381.248_0.489,875,53539.773,12386.946,12359.602,13136.788,24672.295,40181.742,34849.797,26209.656,11449.831,16799.996,72716.97,20561.482,11454.276,19081.611,14953.667,6341.3154,19179.414,63168.91,61761.902,8483.349,12385.945,63654.695,250031.53,42957.59,25228.527,35346.17,12249.465,14357.646,12285.404,35204.113,25577.021,89092.69,28771.516,22628.924,94942.86,38118.895,31709.432,30923.07,26468.725,10424.356,31585.307,22225.785,33741.742,12946.66,42885.07,13602.244,38101.836,33037.87,35347.54,34884.906,36326.75,36087.305,36244.9,31540.752,44157.918,41645.508,NA
398.2745_0.487,885,64526.32,13947.689,11605.216,16529.277,28926.975,47204.457,45072.156,39194.406,14534.278,21256.816,84211.64,23570.91,13916.411,21885.354,21901.936,7184.9297,24175.594,83960.375,77758.58,9194.62,15754.708,69711.31,319226.03,49889.824,26607.58,40914.35,14530.1875,18707.46,15789.465,39246.66,35276.223,105704.26,35960.785,34283.7,96155.88,50654.547,35458.066,39809.516,34850.676,15751.417,35808.047,30458.844,39973.855,17901.281,50282.887,22180.72,45165.75,38580.133,39402.633,42396.582,40554.74,40453.043,43493.246,42372.63,52122.01,48805.504,NA
419.2034_0.496,912,8465.007,3040.3108,2694.6538,2486.4998,2890.5085,5410.8066,8082.434,6771.4116,2205.1907,3585.0752,11638.694,3579.507,3575.1814,2065.0403,2436.5022,1331.981,1679.1654,12509.163,10213.098,2334.5144,2577.2593,9007.537,33391.805,5975.943,4651.825,5605.0464,1521.3406,2380.7302,3241.603,5280.3423,3835.7644,16164.951,5080.849,6231.756,15913.092,6315.323,6438.0693,5283.0483,6024.783,1542.3146,8900.024,5537.0073,9986.417,3564.4326,10272.902,3040.2778,5175.172,4937.146,5072.449,5565.4937,5885.196,6835.641,7705.3013,3253.3171,5584.041,6933.1494,NA
339.1871_0.5,928,2780.9475,2421.8052,3870.9094,7054.2065,3297.8374,7111.0693,4190.1523,2708.2068,3932.5142,5478.0654,3612.5598,4728.172,2058.2576,3455.0315,2864.6606,2147.5872,2681.701,3106.7046,2924.6301,2453.4724,4252.2383,2766.267,2618.7551,4393.3613,3003.103,3045.339,4560.0522,3633.8762,4068.8918,5769.459,3846.0627,5912.059,3770.9253,2221.9968,3348.668,49572.99,3578.6094,4211.2397,3963.7393,1947.8169,50931.266,4714.863,28126.979,2353.5752,4712.7026,2056.5505,40446.28,5078.566,3950.4263,4389.1934,5572.723,4286.9854,5547.089,6194.5366,4917.0244,4534.9487,NA
316.2478_0.506,944,28545.676,23989.738,34248.49,44818.76,33601.973,39662.652,37366.26,41551.305,44799.68,39730.094,65424.387,31006.88,53735.79,39090.113,31050.281,22916.904,78620.945,50074.133,62787.9,28710.031,21571.158,28131.127,44259.664,14660.467,14929.655,36472.61,23307.316,22619.518,46057.633,9213.205,44996.42,42436.17,48306.734,12606.491,68211.96,37598.492,34784.53,16656.16,25957.572,50327.57,61254.035,43773.24,37927.707,13757.944,39893.902,47967.44,65256.754,30685.129,20555.27,29108.832,29410.45,29651.9,31116.701,30522.143,33327.984,37059.71,NA
499.2371_0.507,964,4894.852,7841.9336,14492.856,4760.0005,7205.801,4305.7764,8675.197,10551.865,7401.1045,17237.566,4630.8174,6597.1113,3865.1082,3823.8206,4853.417,7236.4097,3445.4724,4346.3105,3798.4517,4193.801,6043.1777,9434.858,5184.512,16295.081,11810.284,7028.7173,6604.562,4981.808,11043.738,4209.735,3586.8943,4442.696,6936.243,8070.6924,11275.238,15992.563,59041.71,12912.335,11117.222,6039.9033,11162.324,4046.0396,10997.88,6983.493,39993.562,3254.0107,14229.462,7403.0005,3827.7617,8271.36,7903.395,8105.6514,8943.522,8184.484,9510.985,9375.789,NA
340.2326_0.493,971,10071.072,3082.0513,3677.9814,5842.2773,6804.2134,12657.057,17060.074,9150.657,2996.8892,4250.3247,18366.773,5302.769,3355.3628,6235.3984,4398.7207,3592.1357,5557.54,18084.998,20201.96,5294.318,3393.748,17509.021,53572.668,12594.281,5565.664,11302.436,4694.245,4396.167,5107.3438,12673.643,5794.065,17548.082,8412.768,8367.444,25206.488,10796.051,10049.922,6340.2065,10647.192,4080.323,6069.44,6039.718,4650.1606,4192.66,11801.743,4565.963,8422.3545,7577.035,10232.532,9500.2,6874.084,11245.233,10255.623,7767.2754,8699.344,10889.947,NA
323.2063_0.497,980,81113.44,20535.27,18056.143,25786.19,44854.81,80015.7,56201.68,44891.754,19423.416,26216.715,138365.14,36378.35,18608.53,35585.78,30856.566,11526.663,41428.43,115876.21,116400.66,14537.237,18322.254,110985.41,410390.78,77457.63,40127.402,61739.406,24346.29,25711.895,27989.445,60511.145,32393.041,101170.586,47144.8,41968.14,170812.86,76448.055,57501.12,44127.31,43817.125,25199.695,46680.08,35965.285,26104.51,30328.508,60434.074,33521.754,49004.984,45918.96,53148.688,52459.46,46858.723,54033.168,53523.883,50289.523,55954.598,58676.92,NA
404.2075_0.528,989,1938.4156,1779.1738,1508.2223,1765.0166,1997.2776,2974.0208,2851.1655,1737.5863,2462.1777,1870.2742,2217.3774,6335.904,1725.1625,1739.5721,1374.4446,1867.4857,2393.0427,2187.7722,1729.574,2590.3196,2232.375,2637.8855,2880.111,2665.3496,2258.2817,1870.2235,2302.6877,2544.5352,2699.7576,1120.2644,1937.0977,3720.7173,2597.41,NA,2148.5781,1907.895,2943.4814,2255.6174,3185.6528,3251.038,1846.0264,2153.1973,2281.1736,NA,2557.2434,1697.9816,1725.9835,86640.93,2689.1057,92734.11,89628.555,95118.445,95549.47,78508.35,100294.69,118052.55,NA
351.2162_0.499,1001,5867.944,4739.414,5965.2827,8293.878,6813.4766,6084.1753,7614.0347,4831.9053,11854.99,7890.282,6349.6216,8977.843,16286.266,6281.0176,5382.905,4947.507,6070.206,5816.251,7653.5244,5670.4487,4971.454,7684.21,3907.081,6431.3936,8300.533,7840.4297,9654.879,7657.545,5744.764,4705.1655,6049.067,10324.94,6670.6255,3284.6648,7699.9688,4678.228,10704.485,5368,11510.745,5562.5156,5155.9165,10748.753,3982.0776,3110.2383,9952.459,3601.5417,5602.373,4423.603,7460.9717,5041.927,5743.0234,6600.4604,4904.5186,4083.814,6593.1313,5981.0938,NA
270.1866_0.504,1036,4433.757,1344.4703,3811.734,3696.0095,3343.4294,2614.9016,3893.6895,1202.657,4579.041,2024.9216,2349.8687,1349.7833,2656.0266,2374.2344,1858.9241,3257.9585,1888.0184,1329.0205,2629.2273,1375.8163,1849.3392,1472.8738,4229.6973,2720.0554,2745.2246,3182.3474,1610.1903,2553.5742,2632.0837,273732.1,1563.7305,1772.9519,1299.144,630037.1,1430.4756,1936.053,3058.3164,2947.8914,2894.2388,1755.775,1961.1675,2303.867,1861.1868,758766.2,3225.2136,540160.75,1598.798,79269.81,2970.6462,75967.93,60711.67,69124.28,64470.15,72755.98,77650.59,71126.945,NA
580.3266_0.51,1044,NA,27134.355,NA,1180.4006,NA,NA,1093.7954,32055.223,NA,NA,1159.6936,1536.375,1291.8893,NA,NA,NA,20991.895,NA,NA,1171.8827000000001,NA,NA,1028.4987,NA,1018.19037,NA,NA,1114.0862,1198.6433,NA,NA,1201.6407,NA,NA,1187.8384,4879.738,1140.1799,NA,NA,1054.1243,2166.269,1018.0443,2702.6963,1927.7329,NA,1402.3352,3803.059,1760.5065,1233.5315,1886.4213,1313.5618,1833.9114,2237.862,1202.722,2384.112,1964.7123,NA
672.3905_0.472,1055,NA,NA,1128.0757,1312.0007,NA,1543.5824,NA,1018.0331,9772.998,NA,1270.06,NA,1396.2213,1183.7902,1216.68,1218.6753,1253.4913,1095.0117,1309.675,1082.7666,NA,1611.2169,1489.5177,1691.1704,NA,NA,NA,1459.0001,1307.6224,145216.27,1067.5717,NA,NA,128725.445,1073.7314,NA,1159.8517,1095.4855,1288.6995,NA,1463.7118,1602.0026,NA,125650.69,1647.5045,176466.22,NA,48047.934,1469.9838,49104.555,51403.465,49175.008,44214.48,38715.207,50285.83,55035.094,NA
195.0875_0.506,1119,2349.4387,2381.2227,1365.1846,5092.5454,13079.22,1357.1104,68875.375,3763.2292,8904.348,15119.607,40620.527,51534.51,1506.2743,59300.49,1947.0071,10719.689,30643.314,39027.184,19779.846,26895.816,16647.047,4251.3643,1638,46336.78,10408.586,69884.99,16325.625,7271.3496,NA,257292.1,17824.578,26393.611,1202.1814,50683.797,42241.113,175757.88,82513.2,33273.918,56656.13,1114.5314,74565.32,129187.766,51601.656,230563.14,26897.27,134620.05,57258.625,57821.44,30646.775,51554.586,55683.867,52038.18,59407.223,59360.766,53475.3,49197.89,NA
644.3586_0.492,1120,NA,NA,NA,NA,NA,1018.32874,NA,NA,NA,1005.00964,NA,NA,1402.8193,NA,NA,1045.4978,NA,1048.3236,1195.9352,NA,NA,NA,NA,NA,1133.1571,NA,NA,1247.7218,1359.3335,1347.9166,NA,1230.8347,NA,1236.9897,NA,1194.6042,NA,NA,NA,NA,1126.7365,1049.0994,NA,1726.1044,1064.2922,NA,1308.3792,45411.906,1237.3843,52892.605,49008.195,51398.344,57716.31,46765.16,62945.203,83492.5,NA
629.3142_0.507,1155,22718.46,33143.234,27978.873,24104.514,23495.156,28073.447,32879.45,40037.227,14708.87,50680.035,24478.248,27114.934,25393.975,12062.434,31717.145,29586.2,19685.807,23966.342,16414.967,36853.18,42627.574,73779.26,71085.71,75711.7,53813.188,25634.432,41628.695,33472.008,33500.484,33832.816,17341.018,42826.1,19002.877,84509.63,54024.316,63745.094,53298.613,137974.9,51881.793,29631.012,42253.566,34675.598,80279.15,85891.02,28565.988,23690.162,58746.902,46539.336,17096.924,44753.59,42323.754,47463.062,44150.273,43928.67,47464,47024.332,NA
673.3402_0.507,1158,16686.299,22589.414,14409.224,16006.147,19131.088,23403.209,23588.34,33632.56,10396.938,24029.404,15205.174,23422.271,18750.564,7902.0513,23476.535,25328.326,14175.076,14101.801,12471.791,27711.754,29999.855,40384.293,56197.21,45107.67,34171,16198.293,30465.176,26737.223,23382.482,26903.346,14368.638,32817.605,14621.938,65027.434,29845.332,37010.832,37845.38,96331.7,34002.973,19099.26,25559.979,27693.45,55311.062,66768.586,19373.955,24221.885,34918.156,30930.594,14235.532,35332.812,31047.969,34322.414,30557.576,32194.924,20071.621,33622.195,NA
717.3663_0.506,1167,12347.992,12298.97,8427.759,10186.006,18168.486,14179.549,17571.014,23494.123,6418.7207,12796.497,13106.721,18524.44,12656.374,5685.044,15399.327,15460.424,10054.701,11591.601,7785.416,18308.035,16642.648,27663.67,42189.08,28508.59,20830.03,10946.875,23315.707,19857.758,11911.076,19890.604,9630.399,22094.58,8892.205,44542.98,17052.8,25456.102,22489.018,62040.21,26138.367,13884.79,17441.264,16653.34,38921.83,49571.76,16441.434,16934.373,21622.137,22292.723,7198.2656,22686.793,19472.254,21314.557,21364.637,26457.57,22863.438,24757.984,NA
256.1676_0.503,1173,3560.307,3726.2554,1875.3334,3924.6943,2060.907,4024.2007,3199.995,2273.8984,2347.0325,3159.4702,3274.5789,3274.8572,2561.2886,4804.109,4926.516,188173.69,2729.212,1897.6445,6715.9116,1325.0828,2341.083,2630.4011,4486.88,3679.339,12888.163,2287.3738,4078.0261,2282.025,1707.879,5185.7935,2358.081,2253.0698,2196.792,8584.094,2416.5723,2028.6447,7280.764,3197.9868,8111.022,2526.0007,2894.2231,3176.7698,1646.7025,8170.257,3683.9556,6452.0767,3117.505,5933.8213,4155.9854,4627.6694,4325.8945,6460.345,4846.0415,5447.06,5406.5103,5115.7905,NA
585.288_0.508,1186,25149.031,41952.19,46960.07,39061.633,30103.111,35579.184,39613.586,56497.336,27994.98,88837.414,28538.271,38774.23,28214.867,17396.885,38054.387,49849.45,27991.121,29364.654,25537.494,42221.4,56520.273,92917.63,76403.04,105888.43,85182.72,31906.445,49596.11,43056.66,49479.168,40395.277,24394.58,55387.906,29271.594,98822.9,83464.67,82475.66,64176.246,165863.27,64117.277,33789.01,56970.52,39921.117,95397.51,94998.05,31475.59,35603.543,80861.48,59370.285,21390.934,62068.438,55395.14,62210.31,61081.32,66313.93,68789.58,60852.375,NA
497.2358_0.508,1193,27409.586,56383.86,140434.34,43016.156,37437.605,28693.027,38278.34,68199.49,70980.92,131694.84,32908.84,42082.883,30051.393,19409.809,38957.54,49610.445,26090.14,39954.26,35364.945,41909.094,49650.18,71725.79,40805.117,151229.27,87616.57,55911.086,40989.523,33486.273,90520.836,31770.184,24943.307,42307.684,58743.57,59039.09,93513.99,114037.16,54948.023,107387.44,83494.32,41807.11,84683,33129.03,94410.05,57078.855,36930.84,26084.283,111626.57,60276.582,25736.334,68448.305,58706.62,73058.65,65685.33,60449.617,69480.09,76109.31,NA
541.2619_0.508,1197,26853.918,54294.883,91767.09,46438.47,34200.582,41900.324,43447.01,74574.69,45023.84,116939.836,33302.066,32181.928,30961.41,19347.014,45229.895,47892.387,34527.742,36279.49,31782.734,51249.26,60661.625,99415.08,56826.844,140672.98,97917.93,42795.332,54274.375,42692.418,74712.45,42209.52,25859.691,50310.17,43013.72,82698.57,109571.65,112922.09,64780.23,150815.97,86928.2,43140.92,80046.625,37019.523,109064.96,95993.17,37893.7,34393.797,101689.54,67473.54,27083.086,67480.57,65259.08,76848.96,70482.47,70048.414,75040.125,81091.125,NA
559.2585_0.521,1199,1101.0527,NA,5506.556,1569.5006,NA,1276.0734,3428.557,NA,1295.363,NA,NA,NA,3312.5059,1058.1406,1085.8268,NA,NA,1063.7189,NA,NA,1124.4628,NA,NA,NA,1474.0336,1822.3602,1299.6642,NA,2393.7053,NA,NA,NA,2377.6355,1093.8368,NA,NA,43248.184,NA,11186.907,NA,NA,1067.2,1345.609,NA,27468.52,NA,NA,2206.46,NA,2249.5432,3352.6313,2344.9624,2651.6465,1855.5818,2264.3433,1913.5092,NA
