mz_rt,row ID,6104_U2_HILICPOS_19,6110_U2_HILICPOS_34,6108_U2_HILICPOS_27,6111_U4_HILICPOS_42,6101_U3_HILICPOS_29,6104_U1_HILICPOS_55,6103_U4_HILICPOS_53,6110_U3_HILICPOS_45,6111_U2_HILICPOS_35,6111_U1_HILICPOS_51,6105_U3_HILICPOS_39,6109_U2_HILICPOS_13,6108_U1_HILICPOS_44,6109_U4_HILICPOS_22,6101_U4_HILICPOS_14,6101_U2_HILICPOS_30,6110_U4_HILICPOS_10,6105_U1_HILICPOS_43,6105_U4_HILICPOS_47,6102_U1_HILICPOS_26,6102_U2_HILICPOS_16,6104_U3_HILICPOS_32,6104_U4_HILICPOS_12,6113_U3_HILICPOS_15,6113_U2_HILICPOS_31,6109_U3_HILICPOS_52,6102_U4_HILICPOS_50,6102_U3_HILICPOS_48,6108_U4_HILICPOS_18,6106_U2_HILICPOS_46,6111_U3_HILICPOS_54,6110_U1_HILICPOS_11,6108_U3_HILICPOS_28,6106_U3_HILICPOS_20,6105_U2_HILICPOS_40,6112_U2_HILICPOS_37,6103_U1_HILICPOS_21,6113_U1_HILICPOS_24,6103_U3_HILICPOS_61,6101_U1_HILICPOS_59,6112_U1_HILICPOS_38,6109_U1_HILICPOS_58,6112_U3_HILICPOS_56,6106_U4_HILICPOS_36,6103_U2_HILICPOS_60,6106_U1_HILICPOS_23,6112_U4_HILICPOS_63,PooledQC5_HILICPOS_11_1,6113_U4_HILICPOS_62,PooledQC7_HILICPOS_25,PooledQC6_HILICPOS_17,PooledQC9_HILICPOS_41,PooledQC10_HILICPOS_49,PooledQC8_HILICPOS_33,PooledQC11_HILICPOS_57,PooledQC12_HILICPOS_64,...63
239.1389_6.713,9272,33230.383,19498.508,34906.715,36235.51,25143.828,45713.426,29065.822,18798.824,35906.234,51222.426,34370.75,36808.773,46267.07,31691.086,18021.314,9615.631,27225.791,32116.479,15255.056,29525.508,28036.406,34123.34,45433.5,33817.496,28074.736,39279.74,29220.58,31729.523,23596.44,21410.582,40803.41,24295.012,24624.488,31665.812,32087.492,11696.195,10775.296,41647.223,39277.336,33848.887,34904.695,36863.918,36217.16,30260.55,30932.9,37810.445,38462.973,30194.553,29035.729,31860.268,33249.7,31827.068,31583.062,34609.68,40042.652,36945.67,NA
124.087_6.853,9290,95843.305,81727.12,95217.46,108128.99,103492.83,161738.56,85720.76,129551.13,100063.84,115151.66,123400.87,90701.05,109979.44,81879.56,99921.16,96016.85,97724.13,148386.81,119380.625,115577.43,97652.47,124621.19,113791.055,113984.61,124997.516,87865.11,111535.96,116180.77,97119.09,64652.477,149175.7,116404.85,115534.016,82140.85,124169.15,83573.05,96506.63,117136.98,159363.27,158767.9,89646.51,123379.375,114458.32,66705.38,129465.34,98207.58,80796.23,94042.85,147270.8,98420.06,97197.195,105826.01,114414.88,98631.28,138370.34,139396.86,NA
192.0743_6.855,9292,40323.863,29519.906,58608.742,49412.816,33035.742,79911.2,31457.146,46334.42,40487.684,44567.52,60200.836,14649.498,48360.152,22186.578,30898.828,22612.516,44660.168,69903.09,60059.56,43135.02,30661.426,52291.312,49261.637,42567.93,45278.344,18809.553,35373.285,47018.78,34065.168,21708.21,58028.957,45639.367,41255.21,25844.764,49730.145,25024.373,34117.31,37405.758,55287.54,52526.926,19137.826,31059.441,24842.889,16756.703,43489.766,35934.41,22757.88,34647.062,46005.555,36239.027,38052.137,35255.16,36179.246,40341.31,44160.2,43994.7,NA
170.0932_6.855,9293,1985410,1379021,1971357.9,2119144.5,1996711.2,3008002.2,1579221.2,2178032,1992618.4,2162307.5,2467605.5,1667941.5,2023089.2,1592973.2,2056394.4,1845973.5,2195180.5,2850111.8,2116389.8,2260734.8,2036574.6,2383815.5,2396941.5,2464853,2484155,1608434.5,2142615,2314763.5,2012679,1219809.6,2771182.5,2391209.2,2120599.5,1601372.8,2326725,1503130.4,2021615.6,2427657.5,2868845.2,2878938.8,1529935,2250999.8,2149222.5,1199543.6,2407695.8,2003494.2,1348883.5,2033140.5,2677377.8,2014892.4,2029415.2,2003738.6,2011031.2,2037432.6,2579217,2579634.2,NA
457.251_6.86,9299,15332.136,2938.1086,4438.6064,8993.06,6923.6367,3035.7021,15631.919,17147.17,8557.253,9810.739,4355.2246,23749.102,4495.27,13790.882,3489.9385,11989.256,4715.6963,10157.9795,5110.418,8628.502,19961.719,45074.4,2642.3875,12362.158,38956.84,31205.47,30936.91,14899.393,2106.36,3052.3315,13261.456,12348.313,5863.904,3580.5266,15730.571,7827.9424,12167.691,29233.568,16569.852,4768.9565,11139.008,7039.352,11957.033,3918.498,5340.2456,13722.035,6913.9717,13109.734,19984.23,13386.03,11516.953,11379.584,10982.154,11139.569,19394.705,16857.771,NA
351.1583_6.884,9309,48087.12,38954.965,60089.21,39807.1,66707.04,86345.47,36645.773,81227.48,47951.145,41631.75,53747.453,50767.504,91993.34,92358.18,47807.242,49774.043,85844.234,49589.934,47848.848,120271.32,63950.887,51057.418,145985.9,65315.715,82924.72,66868.66,85744.086,95677.04,68921.29,14880.378,64352.06,75876.32,53215.734,42089.688,69925.32,51111.188,64338.51,83719.336,54847.125,129049.7,52262.27,65173.777,71329.1,34963.44,62253.598,69069.24,49453.652,61256.562,66781.32,65468.086,62771.06,63020.32,61818.023,66152.66,84027.46,83110.65,NA
229.1293_6.895,9313,119189.875,46564.89,86346.87,90731.125,78891.125,46626.78,122084.77,147217,76662.37,69287.11,54737.24,183133.5,50003.227,127200.42,51161.004,138627.2,64166.484,93196.56,50920.62,104484.45,212178.02,265088.72,49584.004,109665.2,234775.3,221110.31,206343.7,138130.92,44057.812,48470.41,128198.445,161197.9,78893.07,62692.113,151764.73,64598.15,82549.39,224715.58,134580.7,52128.79,94269.3,72623.17,90976.21,51639.387,55317.88,142789.34,63488.67,98471.53,128854.16,103262.66,105811.84,100769.83,110205.49,107323.45,122659.24,121383.1,NA
170.1005_6.913,9319,34714.266,42120.055,36445.3,34988.35,38883.605,33831.387,37274.83,34079.37,39860.047,35894.504,36759.49,35910.082,37740.586,37273.816,40726.92,35829.49,36922.605,36503.03,36537.926,37034.984,33786.805,37446.574,36069.32,30641.258,37179.625,33951.27,40044.664,34591.55,35353.227,36174.848,34609.57,35645.562,35554.945,33070.42,35567.57,41020.863,35821.113,34498.133,36361.83,32302.363,37086.516,32733.496,35264.883,38470.875,35432.754,35077.25,36725.605,36184.895,35291.38,40234.18,37544.504,36378.562,38846.703,39092.375,31579.135,30257.713,NA
274.092_6.927,9321,20380.709,20128.756,19438.492,23795.584,23476.908,22995.668,23607.041,30851.414,29106.533,25487.203,25173.533,47601.684,22186.65,28675.488,33422.86,29461.37,22509.477,30474.434,22898.535,37502.074,36209.406,20294.18,22234.947,32717.5,25129.145,38422.3,33016.53,31118.943,33451.73,17765.248,33318.418,38285.766,32360.512,23999.627,30179.168,25704.27,27307.066,34974.504,29902.424,28522.965,30326.951,46310.85,35853.176,25550.518,30536.637,21817.297,24422.906,28688.85,21913.225,26173.043,24770.822,29273.357,26637.846,25469.158,25961.918,24395.906,NA
203.1513_6.974,9340,2506141.2,2278708.2,2469069.5,2651002.8,2571140.8,3349693,2431461.8,2746259.8,2721205.2,2759953.2,2736638.2,3347981,2739037,2807562,2820533.8,2800222,2521060.5,2834362.2,2476470.2,2934995.8,2766897.5,2576630.5,2792649.5,2861130.8,2659526.5,3182996.8,2745695.5,2697288.8,2936680.5,1933917.1,3587830.5,2862137,2755789.8,2503792.2,2930975.8,2876609.5,2892363,3212847.5,3580152.8,3662792.8,2990905.8,4087781.5,3650796.2,2290708.2,3504607.2,2321028,2659441,2705735,3234758.2,2796787.2,2744324.5,2694718,2684060,2688230.8,3443369.8,3473371,NA
