m.z,r.t,p.value,t.score,mode
165.0405,6.233,0.0191,-2.791401489,negative
248.0955,0.541,0.0193,-2.783478222,negative
447.1091,2.406,0.02,-2.762838638,negative
147.0474,4.904,0.0209,2.736832283,positive
303.1914,5.064,0.0215,-2.722474979,positive
286.1283,4.119,0.0216,2.718321354,positive
699.3031,3.917,0.0218,-2.714310415,negative
229.1553,4.5,0.0219,2.711421125,positive
347.0935,2.377,0.0225,-2.695364762,negative
231.0488,3.479,0.0227,2.689439378,negative
329.1364,0.84,0.0227,-2.689402327,negative
305.1049,2.377,0.0241,-2.655679887,negative
439.105,1.045,0.0241,-2.655958025,negative
433.1231,0.804,0.0255,2.623351613,negative
469.1705,0.528,0.0257,2.618347884,negative
187.0417,3.489,0.026,2.611329566,negative
427.1967,4.119,0.0262,-2.605429499,negative
356.2792,0.463,0.0264,-2.601697378,positive
397.095,1.037,0.0265,2.599910637,negative
241.1547,4.545,0.0268,2.592767013,positive
213.0766,0.898,0.0271,-2.586782312,negative
229.1547,3.637,0.0275,2.57739386,positive
230.9966,2.338,0.0277,-2.573886741,negative
309.0785,2.268,0.0288,-2.551354488,negative
274.204,0.853,0.029,-2.546799999,positive
324.2159,0.482,0.0291,-2.545919035,positive
447.0927,4.077,0.0294,2.538448315,negative
353.1236,1.057,0.0298,-2.530716968,negative
280.1183,0.99,0.03,-2.528365117,positive
456.1024,3.284,0.0301,-2.526377193,negative
211.0613,1.458,0.031,-2.508139735,negative
170.1005,6.913,0.0315,-2.499679298,positive
434.1238,0.757,0.0318,2.494321231,negative
243.1339,2.784,0.0322,2.486086145,positive
128.0819,2.693,0.0331,2.469776262,positive
406.1702,4.529,0.0333,-2.46714637,positive
211.0612,1.538,0.0342,-2.450839504,negative
215.0731,0.557,0.0344,2.448122036,negative
275.0558,2.36,0.0344,-2.447262918,negative
227.1263,3.423,0.0345,2.445615914,positive
513.07,3.923,0.0346,2.443619071,negative
615.3123,0.522,0.0347,2.442472313,negative
227.1262,3.586,0.0351,2.435684696,positive
431.1165,2.279,0.0356,-2.426912883,negative
357.1184,4.427,0.0357,-2.426247914,negative
415.1602,4.918,0.0357,-2.425275071,negative
267.1102,4.521,0.0359,2.423221774,positive
255.1345,0.514,0.0359,2.421882982,negative
144.1021,3.801,0.0366,-2.410643573,positive
247.0606,2.616,0.0367,-2.409500052,negative
275.0732,2.439,0.0368,-2.408685049,negative
206.9971,2.175,0.0372,-2.402320462,negative
312.2284,1.053,0.0375,-2.39689728,positive
243.1041,0.908,0.0376,-2.394996799,negative
448.198,0.564,0.0377,2.394504568,negative
289.0318,2.546,0.0378,-2.392336434,negative
303.9888,4.817,0.038,2.389940175,negative
204.9662,1.032,0.0382,-2.386667321,negative
289.0021,2.845,0.0389,-2.375523608,negative
283.1548,0.836,0.0391,-2.37228783,negative
183.1023,0.506,0.0392,-2.371473211,negative
389.2172,3.549,0.0416,-2.335955038,negative
713.3193,0.549,0.0426,-2.3225069,negative
153.1273,3.887,0.0431,-2.31565643,positive
267.1104,4.411,0.0433,2.31258391,positive
142.0863,0.641,0.0435,2.309684835,positive
215.0733,0.99,0.0437,-2.306746343,negative
309.0783,2.234,0.0439,-2.304695313,negative
152.0354,1.011,0.0441,-2.301756316,negative
196.0726,6.012,0.0444,2.297963769,negative
449.1074,3.962,0.0451,2.288715537,positive
179.0709,0.842,0.0453,-2.28664446,negative
211.0612,0.531,0.0455,-2.283350213,negative
182.0811,5.07,0.0456,2.28213256,positive
303.0177,4.041,0.0459,-2.278911325,negative
311.0952,0.55,0.0462,-2.274475363,negative
241.0948,5.126,0.0464,2.272560479,positive
211.987,1.036,0.0464,-2.271907147,negative
327.144,0.519,0.047,-2.264580679,negative
86.06,5.38,0.0478,2.254487482,positive
203.0347,2.437,0.0478,-2.25505253,negative
571.2532,0.525,0.0481,-2.250411582,negative
501.1778,3.92,0.049,-2.239896702,negative
241.1189,0.516,0.0497,2.231119642,negative
306.1705,1.305,0.0501,-2.226387193,positive
215.1391,5.03,0.0502,2.225326321,positive
146.0919,1.119,0.0503,-2.224596569,positive
243.0178,1.027,0.0504,-2.223921768,negative
161.1285,8.436,0.0505,2.222803205,positive
290.8472,5.298,0.0506,-2.221066438,positive
137.071,3.764,0.0507,2.219380579,positive
299.069,6.097,0.0507,2.220246048,negative
297.134,0.497,0.0511,2.215399377,negative
209.0666,5.694,0.0512,-2.214348665,negative
189.0573,2.271,0.0523,-2.201588715,negative
703.5726,0.512,0.0524,-2.200493207,positive
331.1214,0.588,0.0532,-2.191160525,negative
297.1338,0.84,0.0552,-2.169991624,negative
457.3017,4.509,0.0559,2.16225368,positive
243.1343,0.515,0.0564,2.156499491,negative
153.1276,0.538,0.0569,-2.151304905,positive
202.1187,4.623,0.0573,2.147987509,positive
261.1808,4.525,0.0576,-2.144199132,positive
281.0251,3.123,0.0576,-2.14446237,negative
