Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
138.0549,C00108,M+H [1+],3.649,7.59999999786487e-05,EC00047
138.055,C00108,M+H [1+],4.139,2.4000000024671e-05,EC00048
138.0556,C00108,M+H [1+],4.837,0.000624000000016167,EC00049
73.0294,C00116,M-H2O-H [1-],0.881,0.000489999999985002,EC00050
149.0455,C00121,M-H [1-],5.396,2.39999999962492e-05,EC00051
149.04551,C00121,M-H [1-],5.186,1.39999999930751e-05,EC00051
149.04557,C00121,M-H [1-],5.659,4.5999999997548e-05,EC00052
151.0615,C00121,M+H [1+],1.336,0.0014240000000143,EC00053
151.06151,C00121,M+H [1+],0.588,0.00143400000001748,EC00054
165.0405,C00121,M-H+O [1-],6.233,6.64667700220889e-05,EC00052
165.04051,C00121,M-H+O [1-],6.024,7.6466770025263e-05,EC00052
165.04059,C00121,M-H+O [1-],5.703,0.000156466770022234,EC00052
165.0418,C00121,M-H+O [1-],1.302,0.0013664667700084,EC00053
165.042,C00121,M-H+O [1-],0.562,0.00156646677001504,EC00054
195.0516,C00121,M+HCOO [1-],0.562,0.00115500000001134,EC00054
195.0518,C00121,M+HCOO [1-],0.563,0.00135499999998956,EC00054
209.0666,C00121,M+CH3COO [1-],5.694,0.000505000000003974,EC00052
179.0559,C00124,M-H [1-],5.977,0.000224000000002889,EC00013
179.056,C00124,M-H [1-],6.344,0.000123999999999569,EC00014
179.0561,C00124,M-H [1-],5.436,2.4000000024671e-05,EC00015
179.0562,C00124,M-H [1-],5.704,7.59999999786487e-05,EC00013
181.0714,C00124,M+H [1+],0.523,0.000724000000019487,EC00016
195.0516,C00124,M-H+O [1-],0.562,0.000566466770010265,EC00016
203.0527,C00124,M+Na [1+],5.677,8.19999999919219e-05,EC00013
220.0825,C00124,M+ACN-H [1-],5.686,0.000168533229981449,EC00013
305.0691,C00127,M-2H [2-],3.3,0.000375999999960186,EC00055
595.1274,C00128,M-H2O-H [1-],3.509,0.00151000000005297,EC00056
244.997,C00129,M-H [1-],1.029,0.0015239999999892,EC00057
88.0403,C00133,M-H [1-],6.143,0.000123999999999569,EC00020
138.0661,C00135,M-H2O+H [1+],1.098,7.64667699968413e-05,EC00058
154.0623,C00135,M-H [1-],7.684,7.59999999786487e-05,EC00059
156.0772,C00135,M+H [1+],7.669,0.000424000000009528,EC00059
161.0455,C00137,M-H2O-H [1-],3.634,0.000490000000013424,EC00012
161.04552,C00137,M-H2O-H [1-],5.668,0.000510000000019772,EC00013
161.04556,C00137,M-H2O-H [1-],3.524,0.000550000000004047,EC00012
179.0559,C00137,M-H [1-],5.977,0.000224000000002889,EC00013
179.056,C00137,M-H [1-],6.344,0.000123999999999569,EC00014
179.0561,C00137,M-H [1-],5.436,2.4000000024671e-05,EC00015
179.0562,C00137,M-H [1-],5.704,7.59999999786487e-05,EC00013
181.0714,C00137,M+H [1+],0.523,0.000724000000019487,EC00016
195.0516,C00137,M-H+O [1-],0.562,0.000566466770010265,EC00016
203.0527,C00137,M+Na [1+],5.677,8.19999999919219e-05,EC00013
220.0825,C00137,M+ACN-H [1-],5.686,0.000168533229981449,EC00013
204.0866,C00140,M-H2O+H [1+],0.88,2.35332300064783e-05,EC00060
204.08669,C00140,M-H2O+H [1+],8.005,0.000113533230006624,EC00061
220.0825,C00140,M-H [1-],5.686,0.000123999999999569,EC00062
242.0665,C00140,M+Na-2H [1- ],5.698,0.00193399999997723,EC00062
123.0553,C00153,M+H [1+],5,2.39999999962492e-05,EC00063
141.066,C00153,M+H2O+H [1+],5.082,0.000123533229981376,EC00063
121.0283,C00156,M-H2O+H [1+],3.861,7.64667699968413e-05,EC00064
137.0244,C00156,M-H [1-],0.97,2.39999999962492e-05,EC00065
153.0193,C00156,M-H+O [1-],1.076,3.35332300096525e-05,EC00065
173.009,C00158,M-H2O-H [1-],6.03,0.000390000000010104,EC00066
191.0196,C00158,M-H [1-],0.953,0.000123999999999569,EC00067
191.01966,C00158,M-H [1-],0.526,6.40000000089458e-05,EC00068
191.01967,C00158,M-H [1-],3.544,5.40000000057717e-05,EC00069
191.01969,C00158,M-H [1-],3.644,3.39999999994234e-05,EC00069
191.0198,C00158,M-H [1-],5.679,7.60000000070704e-05,EC00070
191.0199,C00158,M-H [1-],8.317,0.00017600000001039,EC00071
191.02,C00158,M-H [1-],7.722,0.00027600000001371,EC00072
191.0201,C00158,M-H [1-],7.804,0.000376000000017029,EC00072
215.0163,C00158,M+Na [1+],5.665,8.20000000203436e-05,EC00070
161.0455,C00159,M-H2O-H [1-],3.634,0.000490000000013424,EC00012
161.04552,C00159,M-H2O-H [1-],5.668,0.000510000000019772,EC00013
161.04556,C00159,M-H2O-H [1-],3.524,0.000550000000004047,EC00012
179.0559,C00159,M-H [1-],5.977,0.000224000000002889,EC00013
179.056,C00159,M-H [1-],6.344,0.000123999999999569,EC00014
179.0561,C00159,M-H [1-],5.436,2.4000000024671e-05,EC00015
179.0562,C00159,M-H [1-],5.704,7.59999999786487e-05,EC00013
181.0714,C00159,M+H [1+],0.523,0.000724000000019487,EC00016
195.0516,C00159,M-H+O [1-],0.562,0.000566466770010265,EC00016
203.0527,C00159,M+Na [1+],5.677,8.19999999919219e-05,EC00013
220.0825,C00159,M+ACN-H [1-],5.686,0.000168533229981449,EC00013
73.0294,C00163,M-H [1-],0.881,0.000123999999999569,EC00073
163.0403,C00166,M-H [1-],0.951,0.000275999999985288,EC00074
278.0704,C00170,M-H2O-H [1-],4.755,0.00081000000000131,EC00075
298.0967,C00170,M+H [1+],1.246,0.00017600000001039,EC00076
298.09679,C00170,M+H [1+],0.547,8.60000000102445e-05,EC00077
127.0502,C00178,M+H [1+],5.493,2.39999999962492e-05,EC00078
149.0455,C00181,M-H [1-],5.396,2.39999999962492e-05,EC00051
149.04551,C00181,M-H [1-],5.186,1.39999999930751e-05,EC00051
149.04557,C00181,M-H [1-],5.659,4.5999999997548e-05,EC00052
151.0615,C00181,M+H [1+],1.336,0.0014240000000143,EC00053
151.06151,C00181,M+H [1+],0.588,0.00143400000001748,EC00054
165.0405,C00181,M-H+O [1-],6.233,6.64667700220889e-05,EC00052
165.04051,C00181,M-H+O [1-],6.024,7.6466770025263e-05,EC00052
165.04059,C00181,M-H+O [1-],5.703,0.000156466770022234,EC00052
165.0418,C00181,M-H+O [1-],1.302,0.0013664667700084,EC00053
165.042,C00181,M-H+O [1-],0.562,0.00156646677001504,EC00054
195.0516,C00181,M+HCOO [1-],0.562,0.00115500000001134,EC00054
195.0518,C00181,M+HCOO [1-],0.563,0.00135499999998956,EC00054
209.0666,C00181,M+CH3COO [1-],5.694,0.000505000000003974,EC00052
100.0757,C00183,M-H2O+H [1+],0.957,2.35332300064783e-05,EC00079
100.07571,C00183,M-H2O+H [1+],0.821,3.35332300096525e-05,EC00079
118.0867,C00183,M+H [1+],4.678,0.000423999999995317,EC00080
341.1086,C00185,M-H [1-],6.451,0.000323999999977787,EC00043
365.1052,C00185,M+Na [1+],6.439,0.000217999999961194,EC00043
377.0853,C00185,M+Cl [1-],6.452,0.000200000000006639,EC00043
120.0658,C00188,M+H [1+],1.662,0.000323999999991997,EC00081
76.0758,C00188,M-CO2+H [1+],1.839,0.000123533230009798,EC00081
151.06151,C00191,M-CO2+H [1+],0.588,0.00133353322999596,EC00082
167.0564,C00191,M-CO+H [1+],0.555,0.00142353322999611,EC00082
175.0245,C00191,M-H2O-H [1-],0.522,0.000190000000003465,EC00082
175.0246,C00191,M-H2O-H [1-],5.38,0.000290000000006785,EC00083
175.02464,C00191,M-H2O-H [1-],5.701,0.000330000000019481,EC00084
175.02465,C00191,M-H2O-H [1-],4.153,0.000340000000022656,EC00085
193.0352,C00191,M-H [1-],7.568,0.000224000000002889,EC00086
193.03521,C00191,M-H [1-],7.691,0.000213999999999714,EC00086
193.0353,C00191,M-H [1-],3.249,0.000123999999999569,EC00087
253.0559,C00191,M+CH3COO [1-],7.542,9.49999999875217e-05,EC00086
177.0405,C00198,M-H [1-],5.7,7.60000000070704e-05,EC00088
341.1086,C00208,M-H [1-],6.451,0.000323999999977787,EC00043
365.1052,C00208,M+Na [1+],6.439,0.000217999999961194,EC00043
377.0853,C00208,M+Cl [1-],6.452,0.000200000000006639,EC00043
88.0403,C00213,M-H [1-],6.143,0.000123999999999569,EC00020
104.0706,C00217,M-CO2+H [1+],5.342,7.64667699968413e-05,EC0009
104.07066,C00217,M-CO2+H [1+],5.078,1.64667699920074e-05,EC0009
128.0354,C00217,M-H2O-H [1-],5.186,0.000590000000016744,EC0009
130.0499,C00217,M-H2O+H [1+],4.245,2.35332300064783e-05,EC00010
161.0455,C00221,M-H2O-H [1-],3.634,0.000490000000013424,EC00012
161.04552,C00221,M-H2O-H [1-],5.668,0.000510000000019772,EC00013
161.04556,C00221,M-H2O-H [1-],3.524,0.000550000000004047,EC00012
179.0559,C00221,M-H [1-],5.977,0.000224000000002889,EC00013
179.056,C00221,M-H [1-],6.344,0.000123999999999569,EC00014
179.0561,C00221,M-H [1-],5.436,2.4000000024671e-05,EC00015
179.0562,C00221,M-H [1-],5.704,7.59999999786487e-05,EC00013
181.0714,C00221,M+H [1+],0.523,0.000724000000019487,EC00016
195.0516,C00221,M-H+O [1-],0.562,0.000566466770010265,EC00016
203.0527,C00221,M+Na [1+],5.677,8.19999999919219e-05,EC00013
220.0825,C00221,M+ACN-H [1-],5.686,0.000168533229981449,EC00013
244.997,C00235,M-H [1-],1.029,0.0015239999999892,EC00057
341.1086,C00243,M-H [1-],6.451,0.000323999999977787,EC00043
365.1052,C00243,M+Na [1+],6.439,0.000217999999961194,EC00043
377.0853,C00243,M+Cl [1-],6.452,0.000200000000006639,EC00043
124.0074,C00245,M-H [1-],6.271,2.39999999962492e-05,EC00089
126.022,C00245,M+H [1+],6.25,2.39999999962492e-05,EC00089
87.0451,C00246,M-H [1-],2.052,2.39999999962492e-05,EC00090
179.0559,C00247,M-H [1-],5.977,0.000224000000002889,EC00013
179.056,C00247,M-H [1-],6.344,0.000123999999999569,EC00014
179.0561,C00247,M-H [1-],5.436,2.4000000024671e-05,EC00015
179.0562,C00247,M-H [1-],5.704,7.59999999786487e-05,EC00013
181.0714,C00247,M+H [1+],0.523,0.000724000000019487,EC00016
195.0516,C00247,M-H+O [1-],0.562,0.000566466770010265,EC00016
203.0527,C00247,M+Na [1+],5.677,8.19999999919219e-05,EC00013
220.0825,C00247,M+ACN-H [1-],5.686,0.000168533229981449,EC00013
341.1086,C00252,M-H [1-],6.451,0.000323999999977787,EC00043
365.1052,C00252,M+Na [1+],6.439,0.000217999999961194,EC00043
377.0853,C00252,M+Cl [1-],6.452,0.000200000000006639,EC00043
357.1184,C00255,M-H2O-H [1-],4.427,0.00150999999999613,EC00091
375.1293,C00255,M-H [1-],5.379,0.00172400000002426,EC00092
377.1423,C00255,M+H [1+],3.769,0.00327600000002803,EC00093
411.1101,C00255,M+Cl [1-],4.192,0.00289999999995416,EC00091
177.0405,C00257,M-H2O-H [1-],5.7,0.000590000000016744,EC00094
195.0504,C00257,M-H [1-],1.472,0.000624000000016167,EC00095
195.0511,C00257,M-H [1-],6.805,7.59999999786487e-05,EC00096
195.0515,C00257,M-H [1-],0.84,0.000475999999991927,EC00097
195.0516,C00257,M-H [1-],0.562,0.000575999999995247,EC00098
195.0518,C00257,M-H [1-],0.563,0.000775999999973465,EC00098
195.052,C00257,M-H [1-],1.912,0.000975999999980104,EC00099
195.0521,C00257,M-H [1-],2.398,0.00107599999998342,EC000100
231.0295,C00257,M+Cl [1-],2.581,0.00230000000001951,EC000100
236.0772,C00257,M+ACN-H [1-],0.506,0.000368533229988088,EC00098
149.0455,C00259,M-H [1-],5.396,2.39999999962492e-05,EC00051
149.04551,C00259,M-H [1-],5.186,1.39999999930751e-05,EC00051
149.04557,C00259,M-H [1-],5.659,4.5999999997548e-05,EC00052
151.0615,C00259,M+H [1+],1.336,0.0014240000000143,EC00053
151.06151,C00259,M+H [1+],0.588,0.00143400000001748,EC00054
165.0405,C00259,M-H+O [1-],6.233,6.64667700220889e-05,EC00052
165.04051,C00259,M-H+O [1-],6.024,7.6466770025263e-05,EC00052
165.04059,C00259,M-H+O [1-],5.703,0.000156466770022234,EC00052
165.0418,C00259,M-H+O [1-],1.302,0.0013664667700084,EC00053
165.042,C00259,M-H+O [1-],0.562,0.00156646677001504,EC00054
195.0516,C00259,M+HCOO [1-],0.562,0.00115500000001134,EC00054
195.0518,C00259,M+HCOO [1-],0.563,0.00135499999998956,EC00054
209.0666,C00259,M+CH3COO [1-],5.694,0.000505000000003974,EC00052
135.0299,C00262,M-H [1-],6.065,0.00132400000001098,EC000101
135.02991,C00262,M-H [1-],8.49,0.00131400000000781,EC000102
135.03,C00262,M-H [1-],5.533,0.00122400000000766,EC000103
135.0302,C00262,M-H [1-],5.655,0.00102400000000102,EC000103
135.0312,C00262,M-H [1-],3.109,2.39999999962492e-05,EC000104
137.0458,C00262,M+H [1+],2.938,2.4000000024671e-05,EC000104
137.04585,C00262,M+H [1+],2.887,7.40000000121199e-05,EC000104
151.0261,C00262,M-H+O [1-],3.2,3.35332299812308e-05,EC000104
153.0047,C00265,M-H [1-],1.043,0.000224000000002889,EC000105
194.0307,C00265,M+ACN-H [1-],1.022,0.000768533230001367,EC000105
161.0455,C00267,M-H2O-H [1-],3.634,0.000490000000013424,EC00012
161.04552,C00267,M-H2O-H [1-],5.668,0.000510000000019772,EC00013
161.04556,C00267,M-H2O-H [1-],3.524,0.000550000000004047,EC00012
179.0559,C00267,M-H [1-],5.977,0.000224000000002889,EC00013
179.056,C00267,M-H [1-],6.344,0.000123999999999569,EC00014
179.0561,C00267,M-H [1-],5.436,2.4000000024671e-05,EC00015
179.0562,C00267,M-H [1-],5.704,7.59999999786487e-05,EC00013
181.0714,C00267,M+H [1+],0.523,0.000724000000019487,EC00016
195.0516,C00267,M-H+O [1-],0.562,0.000566466770010265,EC00016
203.0527,C00267,M+Na [1+],5.677,8.19999999919219e-05,EC00013
220.0825,C00267,M+ACN-H [1-],5.686,0.000168533229981449,EC00013
220.0825,C00268,M-H2O-H [1-],5.686,0.000909999999976208,EC000106
308.0984,C00270,M-H [1-],5.187,0.000323999999977787,EC000107
308.09847,C00270,M-H [1-],6.982,0.000253999999983989,EC000108
349.12486,C00270,M+ACN-H [1-],5.186,0.000408533229972363,EC000107
289.0318,C00281,M-H [1-],2.546,0.00120700000002216,EC000109
94.0653,C00292,M+H [1+],1.679,0.000223999999988678,EC000110
179.0559,C00293,M-H [1-],5.977,0.000209000000012338,EC00013
179.056,C00293,M-H [1-],6.344,0.000109000000009019,EC00014
179.0561,C00293,M-H [1-],5.436,9.0000000341206e-06,EC00015
179.0562,C00293,M-H [1-],5.704,9.09999999691991e-05,EC00013
181.0714,C00293,M+H [1+],0.523,0.000739000000010037,EC00016
195.0516,C00293,M-H+O [1-],0.562,0.000581466770000816,EC00016
203.0527,C00293,M+Na [1+],5.677,9.69999999824722e-05,EC00013
220.0825,C00293,M+ACN-H [1-],5.686,0.000153533229990899,EC00013
241.0948,C00294,M-CO+H [1+],5.126,0.00172353322997765,EC000111
