"p.value","m.z","t.score","r.t"
0.0268,241.1547,2.592767013,4.545
0.0271,213.0766,-2.586782312,0.898
0.0275,229.1547,2.57739386,3.637
0.0277,230.9966,-2.573886741,2.338
0.0288,309.0785,-2.551354488,2.268
0.029,274.204,-2.546799999,0.853
0.0291,324.2159,-2.545919035,0.482
0.0294,447.0927,2.538448315,4.077
0.0298,353.1236,-2.530716968,1.057
0.03,280.1183,-2.528365117,0.99
0.0301,456.1024,-2.526377193,3.284
0.031,211.0613,-2.508139735,1.458
0.0315,170.1005,-2.499679298,6.913
0.0318,434.1238,2.494321231,0.757
0.0322,243.1339,2.486086145,2.784
0.0331,128.0819,2.469776262,2.693
0.0333,406.1702,-2.46714637,4.529
0.0342,211.0612,-2.450839504,1.538
0.0344,215.0731,2.448122036,0.557
0.0344,275.0558,-2.447262918,2.36
0.0345,227.1263,2.445615914,3.423
0.0346,513.07,2.443619071,3.923
0.0347,615.3123,2.442472313,0.522
0.0351,227.1262,2.435684696,3.586
0.0356,431.1165,-2.426912883,2.279
0.0357,357.1184,-2.426247914,4.427
0.0357,415.1602,-2.425275071,4.918
0.0359,267.1102,2.423221774,4.521
0.0359,255.1345,2.421882982,0.514
0.0366,144.1021,-2.410643573,3.801
0.0367,247.0606,-2.409500052,2.616
0.0368,275.0732,-2.408685049,2.439
0.0372,206.9971,-2.402320462,2.175
0.0375,312.2284,-2.39689728,1.053
0.0376,243.1041,-2.394996799,0.908
0.0377,448.198,2.394504568,0.564
0.0378,289.0318,-2.392336434,2.546
0.038,303.9888,2.389940175,4.817
0.0382,204.9662,-2.386667321,1.032
0.0389,289.0021,-2.375523608,2.845
0.0391,283.1548,-2.37228783,0.836
0.0392,183.1023,-2.371473211,0.506
0.0416,389.2172,-2.335955038,3.549
0.0426,713.3193,-2.3225069,0.549
0.0431,153.1273,-2.31565643,3.887
0.0433,267.1104,2.31258391,4.411
0.0435,142.0863,2.309684835,0.641
0.0437,215.0733,-2.306746343,0.99
