mz_rt,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
302.1959_0.798,302.1959,0.798,13180.2055,302.1959_0.798,302.1959_0.798,1
343.1003_0.795,343.1003,0.795,7946.24625,Cluster_343.1003_0.795,119.0485_0.793;137.0596_0.797;167.068_0.785;183.0641_0.796;185.0796_0.789;215.0908_0.785;229.0692_0.798;246.0974_0.795;274.1778_0.793;325.0894_0.797;343.1003_0.795;361.113_0.781;378.1395_0.783;391.1229_0.793;408.1498_0.791;436.1958_0.799;450.2112_0.788;450.2557_0.798;527.195_0.786;572.1986_0.792;663.0899_0.788,21
181.0717_0.801,181.0717,0.801,46313.875,181.0717_0.801,181.0717_0.801,1
121.0283_0.799,121.0283,0.799,106606.545,Cluster_121.0283_0.799,121.0283_0.799;196.0604_0.804,2
261.1442_0.8,261.1442,0.8,40928.907999999996,261.1442_0.8,261.1442_0.8,1
185.0912_0.756,185.0912,0.756,3411.71825,Cluster_185.0912_0.756,185.0912_0.756;399.0688_0.751;413.1055_0.76;526.1917_0.75,4
385.1464_0.793,385.1464,0.793,3322.943,385.1464_0.793,385.1464_0.793,1
205.097_0.801,205.097,0.801,97461.23999999999,Cluster_205.097_0.801,188.0705_0.802;205.097_0.801,2
149.0596_0.765,149.0596,0.765,3448.1943499999998,Cluster_149.0596_0.765,149.0596_0.765;212.0911_0.78;260.1618_0.78;373.1125_0.773;420.2437_0.768;474.1713_0.765,6
166.1216_0.797,166.1216,0.797,1078.7264500000001,166.1216_0.797,166.1216_0.797,1
148.1122_0.753,148.1122,0.753,2452.98915,148.1122_0.753,148.1122_0.753,1
464.2272_0.798,464.2272,0.798,501.97974999999997,464.2272_0.798,464.2272_0.798,1
318.1909_0.803,318.1909,0.803,22450.898500000003,318.1909_0.803,318.1909_0.803,1
394.1707_0.77,394.1707,0.77,5442.4001499999995,394.1707_0.77,394.1707_0.77,1
244.1542_0.804,244.1542,0.804,34215.240000000005,244.1542_0.804,244.1542_0.804,1
565.2029_0.801,565.2029,0.801,502.6522,565.2029_0.801,565.2029_0.801,1
166.131_0.809,166.131,0.809,501.8501,166.131_0.809,166.131_0.809,1
287.1598_0.805,287.1598,0.805,10406.1955,287.1598_0.805,287.1598_0.805,1
246.1699_0.806,246.1699,0.806,52778.051,Cluster_246.1699_0.806,246.1699_0.806;246.1804_0.804,2
111.0439_0.81,111.0439,0.81,5478.182849999999,Cluster_111.0439_0.81,111.0439_0.81;179.0703_0.803;759.1644_0.808;775.1373_0.812,4
170.0447_0.81,170.0447,0.81,18960.173,170.0447_0.81,170.0447_0.81,1
338.0863_0.805,338.0863,0.805,4853.79295,338.0863_0.805,338.0863_0.805,1
295.1284_0.813,295.1284,0.813,6471.55615,295.1284_0.813,295.1284_0.813,1
174.0873_0.814,174.0873,0.814,42595.832,174.0873_0.814,174.0873_0.814,1
247.1424_0.808,247.1424,0.808,11951.241,247.1424_0.808,247.1424_0.808,1
195.0647_0.814,195.0647,0.814,3869.638,195.0647_0.814,195.0647_0.814,1
505.2371_0.816,505.2371,0.816,502.17650000000003,505.2371_0.816,505.2371_0.816,1
204.1231_1.146,204.1231,1.146,129045.26000000001,204.1231_1.146,204.1231_1.146,1
282.1196_1.153,282.1196,1.153,42808.376000000004,282.1196_1.153,282.1196_1.153,1
169.0358_1.154,169.0358,1.154,218620.79499999998,169.0358_1.154,169.0358_1.154,1
210.0607_1.159,210.0607,1.159,59305.4805,Cluster_210.0607_1.159,129.0182_1.159;210.0607_1.159;438.9798_1.162,3
229.1547_1.206,229.1547,1.206,143265.41,229.1547_1.206,229.1547_1.206,1
163.123_1.223,163.123,1.223,501.9406,163.123_1.223,163.123_1.223,1
229.1547_1.899,229.1547,1.899,82449.535,229.1547_1.899,229.1547_1.899,1
241.1546_1.985,241.1546,1.985,17880.305,241.1546_1.985,241.1546_1.985,1
183.0645_2.074,183.0645,2.074,2448.87335,183.0645_2.074,183.0645_2.074,1
174.1237_2.04,174.1237,2.04,27366.773999999998,174.1237_2.04,174.1237_2.04,1
218.1386_2.048,218.1386,2.048,17540.663500000002,218.1386_2.048,218.1386_2.048,1
276.1442_2.061,276.1442,2.061,39094.875,276.1442_2.061,276.1442_2.061,1
229.0704_2.103,229.0704,2.103,502.47159999999997,229.0704_2.103,229.0704_2.103,1
260.1492_2.107,260.1492,2.107,11254.0735,260.1492_2.107,260.1492_2.107,1
153.0659_2.108,153.0659,2.108,88330.2475,153.0659_2.108,153.0659_2.108,1
229.1547_2.116,229.1547,2.116,85434.70300000001,229.1547_2.116,229.1547_2.116,1
246.0972_2.12,246.0972,2.12,502.17650000000003,246.0972_2.12,246.0972_2.12,1
326.0869_2.134,326.0869,2.134,16188.853500000001,326.0869_2.134,326.0869_2.134,1
183.0644_2.192,183.0644,2.192,3631.885,183.0644_2.192,183.0644_2.192,1
262.1648_2.169,262.1648,2.169,23175.286500000002,262.1648_2.169,262.1648_2.169,1
286.1284_2.172,286.1284,2.172,9216.129,286.1284_2.172,286.1284_2.172,1
307.1221_2.208,307.1221,2.208,3876.8849,307.1221_2.208,307.1221_2.208,1
220.0638_2.227,220.0638,2.227,7467.076999999999,220.0638_2.227,220.0638_2.227,1
167.0563_2.234,167.0563,2.234,49304.7935,167.0563_2.234,167.0563_2.234,1
313.0848_2.276,313.0848,2.276,1017.1673000000001,Cluster_313.0848_2.276,313.0848_2.276;441.16_2.281,2
152.0699_2.312,152.0699,2.312,3228.3516,Cluster_152.0699_2.312,152.0699_2.312;152.0787_2.305;328.1023_2.3;345.1288_2.297;350.085_2.303;366.0577_2.295,6
384.1228_2.31,384.1228,2.31,501.97974999999997,Cluster_384.1228_2.31,367.0958_2.302;384.1228_2.31,2
146.0614_2.317,146.0614,2.317,1808.9279999999999,146.0614_2.317,146.0614_2.317,1
367.1498_2.362,367.1498,2.362,36859.467000000004,367.1498_2.362,367.1498_2.362,1
167.0564_2.346,167.0564,2.346,35215.193499999994,167.0564_2.346,167.0564_2.346,1
166.0863_2.395,166.0863,2.395,69180.255,166.0863_2.395,166.0863_2.395,1
271.0753_2.433,271.0753,2.433,1077.82175,271.0753_2.433,271.0753_2.433,1
232.0264_2.519,232.0264,2.519,1697.9678,232.0264_2.519,232.0264_2.519,1
290.1597_2.525,290.1597,2.525,44857.162500000006,290.1597_2.525,290.1597_2.525,1
148.112_2.583,148.112,2.583,503.87295,148.112_2.583,148.112_2.583,1
166.1226_2.55,166.1226,2.55,1146.68685,166.1226_2.55,166.1226_2.55,1
227.1026_2.542,227.1026,2.542,11147.2755,227.1026_2.542,227.1026_2.542,1
551.2103_2.591,551.2103,2.591,13632.1525,551.2103_2.591,551.2103_2.591,1
220.1178_2.562,220.1178,2.562,23378.792,220.1178_2.562,220.1178_2.562,1
160.0405_2.57,160.0405,2.57,1098.3308000000002,Cluster_160.0405_2.57,160.0405_2.57;208.0426_2.556;349.087_2.562;349.1242_2.565;366.1123_2.55;366.1511_2.557;630.2218_2.56;632.2249_2.562;731.2162_2.563,9
295.048_2.58,295.048,2.58,502.47159999999997,Cluster_295.048_2.58,295.048_2.58;312.075_2.577,2
606.1346_2.583,606.1346,2.583,502.6522,606.1346_2.583,606.1346_2.583,1
384.1146_2.579,384.1146,2.579,21010.442,384.1146_2.579,384.1146_2.579,1
170.0448_2.599,170.0448,2.599,16435.7985,170.0448_2.599,170.0448_2.599,1
312.1301_2.601,312.1301,2.601,52536.041,312.1301_2.601,312.1301_2.601,1
281.113_2.62,281.113,2.62,21628.607,281.113_2.62,281.113_2.62,1
346.2221_2.636,346.2221,2.636,2662.6964,346.2221_2.636,346.2221_2.636,1
373.1128_2.656,373.1128,2.656,502.99064999999996,Cluster_373.1128_2.656,373.1128_2.656;408.1495_2.646,2
413.1052_2.633,413.1052,2.633,501.97974999999997,413.1052_2.633,413.1052_2.633,1
343.1674_2.639,343.1674,2.639,502.73645,343.1674_2.639,343.1674_2.639,1
232.1544_2.651,232.1544,2.651,165889.88,232.1544_2.651,232.1544_2.651,1
181.0704_2.671,181.0704,2.671,70763.62,181.0704_2.671,181.0704_2.671,1
134.0964_2.689,134.0964,2.689,501.9406,134.0964_2.689,134.0964_2.689,1
305.0863_2.684,305.0863,2.684,19206.256999999998,305.0863_2.684,305.0863_2.684,1
340.1336_2.71,340.1336,2.71,502.47159999999997,Cluster_340.1336_2.71,323.106_2.699;340.1336_2.71,2
237.1232_2.723,237.1232,2.723,19148.661500000002,237.1232_2.723,237.1232_2.723,1
121.0284_2.736,121.0284,2.736,80660.375,Cluster_121.0284_2.736,121.0284_2.736;196.0604_2.736,2
287.1002_2.762,287.1002,2.762,70246.86499999999,Cluster_287.1002_2.762,287.1002_2.762;303.0739_2.754;551.2104_2.756,3
567.1757_2.786,567.1757,2.786,7243.014999999999,567.1757_2.786,567.1757_2.786,1
185.1284_2.751,185.1284,2.751,90057.37,185.1284_2.751,185.1284_2.751,1
318.1438_2.762,318.1438,2.762,1159.16345,318.1438_2.762,318.1438_2.762,1
328.1873_2.778,328.1873,2.778,2011.1072,328.1873_2.778,328.1873_2.778,1
152.0705_2.812,152.0705,2.812,4988.18665,152.0705_2.812,152.0705_2.812,1
276.1375_2.825,276.1375,2.825,1281.7866,Cluster_276.1375_2.825,276.1375_2.825;278.1342_2.82,2
432.2483_2.831,432.2483,2.831,502.0185,432.2483_2.831,432.2483_2.831,1
420.1268_2.836,420.1268,2.836,502.99064999999996,420.1268_2.836,420.1268_2.836,1
438.1606_2.865,438.1606,2.865,502.75715,438.1606_2.865,438.1606_2.865,1
583.1477_2.876,583.1477,2.876,9132.339,583.1477_2.876,583.1477_2.876,1
182.0715_2.896,182.0715,2.896,7405.6412,182.0715_2.896,182.0715_2.896,1
287.1003_2.867,287.1003,2.867,75798.6425,Cluster_287.1003_2.867,287.1003_2.867;551.2104_2.86,2
265.1191_2.889,265.1191,2.889,1000648,Cluster_265.1191_2.889,130.05_2.892;248.0918_2.876;265.1191_2.889;265.1548_2.888,4
296.1492_2.896,296.1492,2.896,21130.241,296.1492_2.896,296.1492_2.896,1
286.1445_2.886,286.1445,2.886,1868.33525,286.1445_2.886,286.1445_2.886,1
180.0658_2.895,180.0658,2.895,374812.485,Cluster_180.0658_2.895,105.0336_2.895;180.0658_2.895;181.0692_2.906;576.1286_2.89,4
505.236_2.917,505.236,2.917,502.17650000000003,Cluster_505.236_2.917,505.236_2.917;519.2521_2.905,2
755.1895_2.903,755.1895,2.903,4906.1332999999995,755.1895_2.903,755.1895_2.903,1
196.0605_2.921,196.0605,2.921,42784.43,196.0605_2.921,196.0605_2.921,1
469.2077_2.929,469.2077,2.929,17085.272,469.2077_2.929,469.2077_2.929,1
205.0971_2.931,205.0971,2.931,83190.0075,Cluster_205.0971_2.931,188.0706_2.931;205.0971_2.931,2
436.1558_2.94,436.1558,2.94,503.3874,Cluster_436.1558_2.94,434.156_2.945;436.1558_2.94,2
579.2172_2.935,579.2172,2.935,502.17650000000003,Cluster_579.2172_2.935,565.2023_2.932;579.2172_2.935;698.2907_2.933,3
508.28_2.988,508.28,2.988,501.9406,508.28_2.988,508.28_2.988,1
341.183_2.936,341.183,2.936,1944.19165,341.183_2.936,341.183_2.936,1
605.3265_2.998,605.3265,2.998,501.8501,605.3265_2.998,605.3265_2.998,1
340.1026_3.009,340.1026,3.009,3197.91945,340.1026_3.009,340.1026_3.009,1
324.1249_2.964,324.1249,2.964,1213.3949,Cluster_324.1249_2.964,229.0695_2.968;324.1249_2.964;434.181_2.976,3
413.1413_2.988,413.1413,2.988,31065.359,413.1413_2.988,413.1413_2.988,1
111.044_2.998,111.044,2.998,8577.5635,Cluster_111.044_2.998,111.044_2.998;139.0376_2.985;183.0651_2.99;343.1009_2.996;391.1237_2.997,5
586.2128_3.002,586.2128,3.002,501.9406,586.2128_3.002,586.2128_3.002,1
448.1364_3.004,448.1364,3.004,502.47159999999997,448.1364_3.004,448.1364_3.004,1
383.0941_2.983,383.0941,2.983,1420.4783499999999,383.0941_2.983,383.0941_2.983,1
422.2054_3.013,422.2054,3.013,1155.9161,Cluster_422.2054_3.013,119.0492_3.019;361.1125_3.016;420.2019_3.021;422.2054_3.013;759.1657_3.006;773.1798_3.012;775.1376_3.022;780.3064_3.017;794.3221_3.018;795.3252_3.016;810.317_3.008;810.3173_3.007,12
226.071_3.019,226.071,3.019,11858.544999999998,226.071_3.019,226.071_3.019,1
723.3228_3.019,723.3228,3.019,501.97974999999997,723.3228_3.019,723.3228_3.019,1
415.0333_3.007,415.0333,3.007,505.1186,Cluster_415.0333_3.007,415.0333_3.007;420.2426_3.015;684.312_3.016,3
137.0597_3.062,137.0597,3.062,4546.4645,Cluster_137.0597_3.062,1056.4441_3.056;1071.4352_3.059;137.0597_3.062;185.0808_3.062;434.2178_3.06;434.2597_3.057;435.2622_3.061;436.222_3.063;551.2956_3.058;879.4083_3.069;895.4033_3.065,11
121.0284_3.033,121.0284,3.033,5035.0675,Cluster_121.0284_3.033,121.0284_3.033;149.0597_3.042;167.0702_3.044;212.0915_3.026;325.0908_3.037;789.1532_3.03,6
281.113_3.046,281.113,3.046,13396.9645,281.113_3.046,281.113_3.046,1
487.2086_3.066,487.2086,3.066,502.47159999999997,487.2086_3.066,487.2086_3.066,1
912.3994_3.075,912.3994,3.075,501.9406,912.3994_3.075,912.3994_3.075,1
181.0609_3.097,181.0609,3.097,61116.789000000004,181.0609_3.097,181.0609_3.097,1
244.1542_3.098,244.1542,3.098,49868.9725,244.1542_3.098,244.1542_3.098,1
394.1701_3.105,394.1701,3.105,4644.53765,394.1701_3.105,394.1701_3.105,1
338.1399_3.076,338.1399,3.076,1959.5408,338.1399_3.076,338.1399_3.076,1
324.1258_3.118,324.1258,3.118,505.1168,Cluster_324.1258_3.118,324.1258_3.118;377.1886_3.104,2
139.0387_3.143,139.0387,3.143,2181.3021,139.0387_3.143,139.0387_3.143,1
398.1138_3.137,398.1138,3.137,503.23609999999996,398.1138_3.137,398.1138_3.137,1
199.1068_3.168,199.1068,3.168,1230.8946,199.1068_3.168,199.1068_3.168,1
190.0499_3.133,190.0499,3.133,35512.8105,190.0499_3.133,190.0499_3.133,1
366.1134_3.129,366.1134,3.129,502.75715,366.1134_3.129,366.1134_3.129,1
354.1544_3.176,354.1544,3.176,8177.832,354.1544_3.176,354.1544_3.176,1
464.2281_3.182,464.2281,3.182,763.5258,Cluster_464.2281_3.182,394.1015_3.17;450.2123_3.185;450.255_3.187;464.2281_3.182,4
313.0853_3.183,313.0853,3.183,1590.7703000000001,313.0853_3.183,313.0853_3.183,1
302.1423_3.205,302.1423,3.205,1705.534,302.1423_3.205,302.1423_3.205,1
295.1287_3.186,295.1287,3.186,11840.676500000001,295.1287_3.186,295.1287_3.186,1
392.1549_3.207,392.1549,3.207,3358.8635999999997,Cluster_392.1549_3.207,260.1645_3.204;392.1549_3.207;634.285_3.195,3
304.129_3.192,304.129,3.192,22411.606,304.129_3.192,304.129_3.192,1
199.0965_3.235,199.0965,3.235,6699.4529999999995,Cluster_199.0965_3.235,125.0598_3.242;199.0965_3.235;375.1287_3.248;429.0481_3.251,4
163.0755_3.225,163.0755,3.225,2578.3529,Cluster_163.0755_3.225,163.0755_3.225;274.1798_3.224;436.1963_3.224;735.3659_3.226;773.2081_3.227;787.1965_3.217;803.1682_3.214,7
719.3713_3.228,719.3713,3.228,501.9406,719.3713_3.228,719.3713_3.228,1
247.1441_3.239,247.1441,3.239,41257.228,247.1441_3.239,247.1441_3.239,1
246.17_3.238,246.17,3.238,141906.26,246.17_3.238,246.17_3.238,1
618.2905_3.277,618.2905,3.277,501.9406,618.2905_3.277,618.2905_3.277,1
504.2224_3.279,504.2224,3.279,502.0185,504.2224_3.279,504.2224_3.279,1
431.0964_3.273,431.0964,3.273,1490.925,431.0964_3.273,431.0964_3.273,1
261.1443_3.263,261.1443,3.263,5355.460999999999,261.1443_3.263,261.1443_3.263,1
338.0865_3.299,338.0865,3.299,14522.6855,338.0865_3.299,338.0865_3.299,1
420.1863_3.296,420.1863,3.296,1684.96355,Cluster_420.1863_3.296,420.1863_3.281;420.1863_3.296;626.0844_3.294,3
461.1078_3.304,461.1078,3.304,505.8067,461.1078_3.304,461.1078_3.304,1
258.1269_3.305,258.1269,3.305,1132.56735,Cluster_258.1269_3.305,258.1269_3.305;518.2376_3.309,2
134.0601_3.31,134.0601,3.31,26327.709,134.0601_3.31,134.0601_3.31,1
192.1052_3.316,192.1052,3.316,32685.3,Cluster_192.1052_3.316,175.0787_3.315;192.1052_3.316,2
728.3715_3.305,728.3715,3.305,501.9406,728.3715_3.305,728.3715_3.305,1
433.1123_3.32,433.1123,3.32,1062.49665,433.1123_3.32,433.1123_3.32,1
245.1495_3.326,245.1495,3.326,34456.785,245.1495_3.326,245.1495_3.326,1
364.196_3.31,364.196,3.31,1747.06045,364.196_3.31,364.196_3.31,1
329.2074_3.337,329.2074,3.337,9810.9015,329.2074_3.337,329.2074_3.337,1
290.1739_3.326,290.1739,3.326,1053.0752,290.1739_3.326,290.1739_3.326,1
195.0874_3.353,195.0874,3.353,18341.169,195.0874_3.353,195.0874_3.353,1
318.191_3.368,318.191,3.368,59797.269499999995,318.191_3.368,318.191_3.368,1
372.1861_3.381,372.1861,3.381,7429.376,372.1861_3.381,372.1861_3.381,1
265.1278_3.383,265.1278,3.383,37098.8395,265.1278_3.383,265.1278_3.383,1
378.1418_3.378,378.1418,3.378,1451.2505,Cluster_378.1418_3.378,378.1418_3.378;538.2903_3.379,2
310.1653_3.385,310.1653,3.385,9186.844000000001,310.1653_3.385,310.1653_3.385,1
398.1421_3.384,398.1421,3.384,1150.9823999999999,398.1421_3.384,398.1421_3.384,1
731.4168_3.418,731.4168,3.418,501.9406,731.4168_3.418,731.4168_3.418,1
369.129_3.414,369.129,3.414,16077.5465,369.129_3.414,369.129_3.414,1
266.1362_3.431,266.1362,3.431,46031.616,266.1362_3.431,266.1362_3.431,1
266.1357_3.432,266.1357,3.432,43351.67,266.1357_3.432,266.1357_3.432,1
338.0825_3.449,338.0825,3.449,504.40175,338.0825_3.449,338.0825_3.449,1
693.1579_3.427,693.1579,3.427,502.6522,693.1579_3.427,693.1579_3.427,1
677.186_3.444,677.186,3.444,1061.2292499999999,677.186_3.444,677.186_3.444,1
