m/z,rt,p-value,t-score,mode
211.0967,4.185,0.0994,-1.815982687,negative
211.0971,3.846,0.135,-1.626470519,negative
212.0023,0.825,0.779,0.288415302,negative
212.0027,3.304,0.327,1.030396409,negative
212.0065,4.503,0.196,1.384714718,negative
212.0937,3.815,0.23,-1.279542912,negative
213.1132,5.201,0.274,1.158422037,negative
213.9981,2.254,0.479,0.735563083,negative
215.0021,3.307,2.86E-05,7.220692658,negative
215.0326,0.629,0.523,-0.662653812,negative
216.9808,0.715,0.338,1.00546604,negative
216.9812,2.65,0.435,0.812919001,negative
216.981,0.709,0.334,1.015136711,negative
217.0161,1.159,0.635,-0.489585029,negative
217.0162,0.671,0.353,-0.974654605,negative
217.0172,4.4,1.70E-04,5.811750134,negative
217.0173,3.88,0.00433,3.667623964,negative
217.0486,0.63,0.494,-0.709642498,negative
217.1081,3.912,0.923,0.098781843,negative
218.0492,0.684,0.297,-1.100138852,negative
218.0821,5.22,0.0194,-2.782899298,negative
218.1032,0.748,0.758,-0.317118315,negative
218.1033,2.56,0.0906,-1.872689525,negative
218.9961,0.686,0.983,-0.021970844,negative
218.9964,3.175,0.65,-0.467952343,negative
219.0457,0.629,0.224,-1.296247548,negative
219.0508,0.792,0.451,-0.783929304,negative
219.0509,2.854,0.529,-0.651710949,negative
219.0524,2.85,0.747,-0.331879595,negative
220.0979,4.733,0.0674,2.050528059,negative
221.1178,5.185,0.279,-1.145649718,negative
222.0406,3.686,0.422,-0.836350726,negative
222.1134,5.811,0.734,-0.349515415,negative
223.0623,0.802,0.0274,-2.580491092,negative
223.0969,5.259,0.408,-0.863792764,negative
223.0982,5.267,0.89,-0.141799999,negative
224.0561,3.018,0.551,0.617417963,negative
224.0563,0.81,0.535,0.642645351,negative
224.062,4.537,0.14,-1.604900276,negative
225.0623,0.658,0.0214,-2.72389763,negative
227.0554,2.1,0.995,-0.006908267,negative
227.0559,0.8,0.0467,-2.268031518,negative
227.06,0.796,0.622,-0.508951505,negative
227.9967,0.668,0.225,1.294676198,negative
227.9971,0.795,0.454,0.77961335,negative
227.9972,2.377,0.418,0.845002037,negative
229.017,4.354,0.449,-0.787984674,negative
229.0539,5.383,0.852,-0.191232432,negative
230.0128,3.042,0.933,-0.085867716,negative
230.0128,3.569,0.508,0.686187732,negative
230.0129,2.513,0.164,1.501606397,negative
230.0135,0.791,0.474,0.743503422,negative
230.0139,0.763,0.245,1.236011463,negative
230.0156,0.793,0.86,0.18148217,negative
230.0159,2.501,0.228,1.283626004,negative
230.0493,0.666,0.751,-0.326167812,negative
230.9963,3.838,0.601,-0.539289551,negative
230.9967,0.757,0.0264,2.601496621,negative
230.9968,3.178,0.0857,1.906707131,negative
230.9969,3.457,0.603,0.536908171,negative
231.0308,0.666,0.137,-1.618897386,negative
231.9926,0.79,0.845,-0.200256977,negative
232.005,0.705,0.15,1.558509565,negative
232.9759,0.708,0.0043,3.673044829,negative
233.0124,2.47,0.445,0.796013321,negative
235.057,0.641,0.00916,-3.220758275,negative
235.0957,5.223,0.767,-0.304129006,negative
236.1018,5.033,0.711,-0.380706573,negative
237.0356,3.369,0.625,-0.504473575,negative
237.0359,3.933,0.433,0.81645056,negative
237.1243,4.614,0.12,1.69890774,negative
238.0776,4.607,0.0545,-2.177228479,negative
239.1144,0.622,0.923,-0.099543524,negative
240.9816,3.419,0.289,-1.118684291,negative
241.1189,3.536,0.914,-0.110379303,negative
241.1193,2.896,0.794,-0.268538762,negative
242.0115,0.695,0.632,0.493696526,negative
242.0128,2.785,0.598,0.543978988,negative
242.0128,3.535,0.132,-1.638124833,negative
243.0329,4.371,0.161,-1.514183356,negative
243.0617,0.662,0.831,-0.21958399,negative
243.0779,4.486,0.862,-0.178704386,negative
243.1236,4.74,0.591,0.555783581,negative
243.1344,3.787,0.989,-0.013954936,negative
243.1349,3.353,0.977,0.029809686,negative
245.0124,3.342,0.202,-1.366580794,negative
245.0433,0.63,0.223,1.300762176,negative
245.0485,4.677,0.566,0.59288608,negative
