m.z,r.t.,p,t.score
220.1182,0.536,0.419,-0.8476178370042017
221.0422,5.654,0.501,-0.7002035185572282
221.0769,7.97,0.465,0.7627045143051909
221.1607,4.761,0.317,-1.0587220423895498
222.1125,0.819,0.0952,1.8640539334362662
222.149,1.068,0.37,0.9431155138999983
223.1665,5.438,0.795,0.26807532709782145
224.139,7.26,0.322,1.0475962658087814
224.139,7.455,0.734,0.3504682753299196
225.112,0.839,0.673,-0.4357917130913183
225.1236,7.192,0.945,-0.07136717024991143
226.082,3.788,0.0722,-2.0365881695981214
226.9517,5.826,0.33,1.0288673704131157
227.1138,8.055,0.156,1.5460730015180184
227.1262,3.586,0.222,-1.313235340797195
227.1263,3.423,0.194,-1.4039909835726325
227.1277,0.83,0.25,1.2304372128079015
228.0868,4.611,0.0204,2.8091831580118436
229.0852,3.063,0.184,1.4407064989820875
229.0864,0.532,0.0506,2.255216680084743
229.086,4.099,0.251,1.2261069648150913
229.1293,6.895,0.783,-0.2842249797094624
229.1547,3.637,0.882,-0.15293941131972524
229.1548,0.532,0.374,0.9361458668164603
229.1548,5.62,0.0272,-2.6346046413763133
229.1553,4.5,0.00575,3.5994684923864666
229.155,5.116,0.886,-0.14709666166860738
229.155,5.197,0.27,-1.1743133922126867
229.1634,4.529,0.514,-0.6800836429682269
229.1663,1.078,0.821,0.23359621833609598
230.1217,6.531,0.371,-0.9410960629086224
230.1247,5.055,0.197,1.3923991459150102
230.1863,4.368,0.03,2.5746735279114352
230.9901,5.64,0.0107,3.2097716793215576
231.0378,5.108,0.0344,2.489723927393671
231.1451,5.95,0.841,-0.20649708724594495
231.1702,5.351,0.06,-2.150751950440122
232.1179,0.789,0.37,0.9438278840029871
232.1291,5.085,0.126,1.6849424525663792
232.1403,9.087,0.825,0.22781063435172547
232.1544,0.515,0.269,1.1787197861369658
232.1661,1.064,0.534,-0.6470631978233014
233.0632,5.675,0.913,-0.11182112906672595
233.1495,8.034,0.033,-2.5160918604671614
234.1136,0.825,1.93e-6,10.764452982328589
236.1281,0.823,0.88,-0.1547398833002331
238.1083,1.113,0.937,0.08188062181265984
238.1548,5.5,0.0403,2.394062991613723
238.1548,7.049,0.74,-0.34171950056892836
238.1549,6.221,0.255,1.2163678491257262
239.0726,0.758,0.0178,-2.892909012108372
239.1389,6.704,0.0979,-1.8463437695411753
239.1389,6.713,0.944,-0.07207523289667002
239.1389,7.307,0.0621,-2.129273560734678
239.139,0.892,0.318,1.0564449989783247
241.0311,8.284,0.0187,-2.8616132615682135
241.0948,5.126,0.232,1.2825787563294078
241.1294,5.434,0.0479,-2.2882258873425623
241.1295,4.812,0.112,1.7640836821013501
241.1295,7.948,0.279,1.151638184903462
241.1296,7.647,0.59,-0.5583425604287531
241.1398,7.647,0.986,-0.017640820847010356
241.1547,4.545,0.00474,3.724218145094514
242.077,7.275,0.276,-1.1591285135101144
242.1389,0.944,0.373,0.9367848840315781
242.1402,1.026,0.00547,3.631929091554967
242.161,7.083,0.467,0.7597055144774059
243.1339,2.784,0.846,-0.19926621758311533
243.1341,3.697,0.571,0.5881060819753018
243.134,0.517,0.743,0.33781400485994406
243.145,6.522,0.328,1.0349704333794496
244.1291,6.675,0.463,-0.7673046103938554
244.1542,0.514,0.93,-0.08980044244139367
244.1543,0.514,0.93,-0.08980044244139367
244.1655,7.349,0.0795,-1.9768063700357406
244.1711,3.76,0.14,-1.6166369810981926
244.1782,1.066,0.0282,-2.6118078101693794
245.0744,5.671,0.0219,-2.7647272608809104
245.0768,4.431,0.734,0.3507283437667304
245.1494,5.617,0.921,0.10203520069462767
245.1502,0.513,0.999,-0.0016290390333216721
245.1607,5.031,0.341,1.004419648761621
246.1701,0.513,0.548,0.6235109099792555
246.1703,1.784,0.83,0.2209358020486152
246.1812,7.713,0.0424,-2.362845407766201
246.1817,1.057,0.464,-0.7639567318199649
247.0923,5.625,0.446,-0.7975170249142469
247.0924,6.031,0.0264,-2.6522289667110854
247.1288,5.996,0.755,0.3220441068438143
247.1289,6.343,0.0219,-2.766713264974368
247.1398,7.906,0.755,-0.321597937494735
247.1439,3.672,0.994,0.007404513415586411
247.1759,4.792,0.00205,-4.281152068643311
248.0219,3.653,0.207,1.3600968248299306
248.0876,8.065,0.835,0.2146687613794825
248.0918,1.204,0.00452,3.7549372466155297
248.1128,6.388,0.103,-1.8161652331615123
248.1129,6.726,0.093,-1.8783992349704728
248.113,6.597,0.528,0.655580150566835
248.1491,4.879,0.735,0.3495879891013804
249.0371,5.647,0.446,0.7970154610907321
249.0715,8.062,0.531,-0.6517089770983785
249.1815,3.858,0.105,-1.8023776986073412
251.1134,3.627,0.8,-0.26090230052828484
251.1279,0.811,0.356,0.9733928608613409
252.1343,7.787,0.66,-0.4555232721379878
254.1021,1.343,0.233,-1.2783733917070326
254.1022,1.426,0.358,-0.9676965604249766
254.1399,0.822,0.632,0.4951670351230525
254.1498,4.993,0.044,2.340421541464913
254.161,4.479,0.0106,3.213907977343885
255.0466,7.917,0.286,-1.134367915205173
255.0974,5.375,0.0113,-3.1738324021077524
255.11,5.346,0.15,-1.5732727859629931
255.1338,4.731,2.56e-4,5.81200075104684
255.1338,6.529,0.0555,2.198756370932152
255.1338,6.666,0.955,0.058550669308494306
255.1338,7.244,0.279,-1.1529041444198795
255.145,7.703,0.204,-1.3679897549952782
255.145,7.9,0.208,1.3551031426750348
256.0926,7.215,0.347,0.9916104548052113
256.0927,6.58,0.105,-1.804278829596657
256.1125,1.174,2.89e-4,5.713280938135714
256.1676,0.503,0.184,1.4401452546815219
257.1498,0.514,0.93,-0.09024658881574381
257.1614,1.054,0.879,0.15600637591128175
258.1084,4.933,0.221,-1.3151053681910256
258.1091,1.209,0.338,-1.0121695181804435
258.1102,6.605,0.179,-1.4579393436438643
258.1176,1.152,0.457,-0.7763288658593602
258.1263,1.308,0.595,0.5508546306200898
258.1831,1.076,0.563,-0.6005201964369965
259.0923,5.647,0.775,-0.2951046055520511
259.0924,6.027,0.0572,-2.1793098113009863
259.0977,3.914,1.18e-6,11.416950515490514
259.1399,7.449,0.807,-0.2516135468310329
260.0553,4.577,0.136,-1.635281917442314
260.1491,3.321,0.4,0.8840691366448177
260.1492,0.522,0.397,0.8898329398571769
260.1646,3.678,0.0561,2.1914390147481235
260.1714,7.614,0.206,1.362520265971792
260.1969,7.609,0.806,-0.2535454775440392
261.0484,5.649,0.0526,-2.2309956264801443
261.0978,4.033,0.648,0.472744895233505
261.1081,6.704,0.25,-1.2294507447019731
261.1237,0.961,0.447,-0.7947512587945462
261.1444,6.658,0.126,-1.6845985219029151
261.1467,0.515,0.814,0.2420896427867909
261.1807,3.948,0.0844,-1.9390121334327268
261.1807,4.595,0.026,-2.6619365379324416
261.1808,4.525,0.0771,-1.9955389664397487
262.0379,7.079,0.00407,-3.8223861455672874
262.0837,4.292,0.8,0.2616224701605798
262.1032,7.903,0.503,-0.6981841231362607
262.1032,7.992,0.434,0.818880799822105
262.1284,5.3,9.27e-4,-4.835039071854028
262.1284,5.669,0.487,0.724658880009752
262.1284,5.688,0.612,0.5258910156618385
262.1285,6.335,0.012,-3.1365474921063003
262.1396,7.95,0.565,0.5973662655092653
262.1396,8.205,0.915,0.11029221952860319
262.1644,0.838,0.909,-0.11725593431263648
262.1646,0.527,0.703,0.39412691036977093
262.1648,4.112,0.443,0.8031602013035753
263.0519,0.516,0.236,-1.270251098490866
263.16,8.312,0.127,-1.683642254127587
264.1191,6.316,0.0435,-2.3470244920743437
265.0679,5.615,0.0911,-1.8919275745094577
265.1117,4.669,0.45,-0.7894503177256124
265.1186,1.302,0.00692,3.481438113947726
265.1191,0.536,0.0754,2.0097616299612393
265.119,3.255,0.406,0.8719351985254833
265.1304,1.09,0.0437,2.3449924719883573
265.1304,1.117,0.646,-0.4747148086892286
265.1524,0.556,0.167,-1.5046468923929706
265.1546,0.538,0.432,0.8224768998172638
265.1623,0.765,0.73,-0.35595686089511414
266.1595,6.173,0.0125,-3.1111309364082667
267.1102,4.521,0.113,1.753368566915799
267.1104,4.411,0.0958,1.8602751971715925
267.1106,5.18,0.666,-0.44644291896501226
267.1246,0.529,0.039,2.413134331382067
267.1331,0.956,0.929,-0.09178183511076385
267.1446,1.058,0.695,-0.4054217097593992
269.1243,5.618,0.802,-0.2584445055813585
269.1245,6.119,0.0363,-2.457524878788493
269.1382,0.482,0.21,1.3510330848747527
269.1488,0.515,0.216,-1.331858967897709
270.0849,5.113,0.141,1.6147445494395214
270.181,6.589,0.16,1.5328754242658496
270.1866,0.504,0.0217,2.7717083244188205
271.0749,5.387,0.23,1.2869124008828219
271.1036,7.939,0.229,1.2921311033224259
271.1654,0.513,0.462,-0.767872352229186
272.0764,5.633,0.0357,2.467522773864605
272.1239,7.242,0.0353,-2.4739111690274136
272.1351,8.064,0.612,0.5252242252850413
272.1603,7.087,0.994,-0.008171294475405825
272.1669,0.804,0.438,0.8119279424292055
272.1848,0.513,0.719,-0.37114545233539686
272.2102,1.101,0.291,-1.1226937473941763
272.2,0.839,0.951,-0.06255814329740415
273.108,6.263,0.661,0.45359928528637355
273.1211,4.643,0.0442,-2.336944833271699
274.092,6.927,0.055,-2.2036447131852235
274.1032,7.233,0.388,-0.9077267749411789
274.1827,0.517,0.986,0.018292749138330115
274.2014,1.11,0.354,-0.9779068707101577
274.2017,0.511,0.886,-0.14749388661894106
274.204,0.853,0.097,-1.852536185339246
274.213,1.103,0.201,-1.380777746176842
275.1025,4.835,4.19e-4,5.425297290822524
275.1027,3.588,0.456,-0.7782703182647837
275.1964,4.494,0.376,-0.9309844011027856
276.1362,0.536,0.763,0.31149097147819227
276.1365,3.423,0.369,0.9458140100678941
276.1442,5.613,0.0498,-2.264403043666675
276.1443,0.534,0.349,0.9871989891141161
276.144,5.168,0.244,-1.2453593789389394
276.1453,1.041,0.751,0.3277411654705869
276.145,0.594,0.525,-0.6607729894094722
277.0892,5.723,0.258,-1.2064708892403015
277.1189,5.653,0.612,-0.5258641893402158
277.1868,4.613,0.0598,2.152582821455121
278.1233,7.262,0.103,-1.815251713924395
279.0855,5.437,0.0972,-1.8511638696299253
279.1103,5.146,0.14,1.6176012009531695
279.1188,7.964,0.622,0.5100683259972016
279.1553,8.49,0.98,-0.025185841924659093
279.6859,6.11,0.0801,-1.9721386691973726
280.1183,0.99,0.959,-0.05326846018031781
280.1651,3.874,0.0859,-1.9281031021120347
281.1493,4.837,0.239,-1.2619982655735662
281.1494,0.927,0.295,1.1125907178948742
281.1496,3.679,0.657,-0.4593769304450412
281.1705,8.579,0.8,-0.2606594282279569
282.12,4.907,0.0837,-1.9448227410401344
282.1923,4.853,0.142,-1.6078435875282657
283.1286,0.516,0.248,-1.23533152699436
283.1399,5.642,0.643,-0.47888229631660223
283.1399,7.299,0.735,-0.3492412425591505
284.0796,7.959,0.913,0.11208023134221493
284.1853,1.366,0.511,-0.6839036768616289
284.1854,1.331,0.33,-1.029507539509029
285.1557,7.39,0.0326,-2.5240617501133684
285.1808,1.647,0.631,-0.496526051056407
285.1823,0.513,0.42,-0.8446389393427334
286.1283,4.119,0.0949,1.8662814391736826
286.146,3.481,0.427,0.831077760667209
286.1784,0.829,0.408,0.8672276639448375
286.2017,0.511,0.772,-0.2987461949526213
286.2017,1.13,0.3,-1.1003245574756533
286.2373,0.511,0.636,-0.49029191797046756
286.2374,0.512,0.157,-1.5438404335642621
287.1002,0.56,0.117,1.7357453496426902
287.1373,4.543,0.246,1.2404590831407423
287.1598,3.82,0.646,-0.4752195930023308
287.1968,4.478,0.0204,-2.809702195613379
287.244,7.296,0.946,-0.069078610373559
288.1189,7.178,0.919,-0.10479758498588568
288.1598,0.546,0.512,-0.6821577381582954
288.1801,0.517,0.989,0.013558938147383886
288.1942,1.833,0.494,0.7127610515611732
288.1956,0.873,0.834,0.21591439189828457
288.2081,1.122,0.194,-1.4025778786738494
288.2166,0.952,0.124,-1.6972526342517626
288.216,0.509,0.846,0.2000192422675875
289.1504,7.992,0.856,0.18724325484692564
290.1021,0.834,0.24,-1.2592247731211816
290.1344,6.639,0.558,-0.6088393937442803
290.1356,3.737,0.0693,-2.061238319334883
290.1459,8.196,0.554,0.6140926925580252
290.1597,0.522,0.584,0.56802955567475
290.1597,5.587,0.79,-0.27459770846515935
290.1599,5.099,0.21,1.3487547866424179
290.1722,1.062,0.699,-0.3990568374887688
290.1764,0.527,0.511,0.6849597378646882
290.177,2.893,0.994,-0.007567878452846448
290.8472,5.298,0.0479,2.288478036089991
291.1062,6.1,0.0317,-2.540669091261537
291.1297,8.546,0.888,-0.14429516288849698
292.131,4.071,0.163,1.5193717245291518
292.1576,1.593,4.42e-6,9.749051764505056
292.1577,0.516,5.94e-6,9.406262390945713
292.1687,7.349,0.252,-1.2249904246738725
292.2016,6.535,0.019,-2.8526234940772985
293.0632,5.651,0.424,-0.8376007353274147
293.0633,5.418,0.517,-0.6744063072435375
293.0895,4.725,0.00524,3.6596754056222687
293.1706,8.464,0.0205,-2.806734806139079
295.1498,8.885,0.262,-1.1974982402576995
296.0658,6.593,0.902,0.12632771707188437
296.149,3.657,0.0908,1.8939105718189935
296.1853,0.806,0.605,-0.53544675799289565
297.1228,3.628,0.827,0.22496013873335335
297.1938,0.496,0.992,-0.010903195872383089
298.0967,0.547,0.342,-1.003410977716368
298.0967,1.246,0.381,-0.920992724158854
298.1143,3.752,0.838,0.21073914436415578
298.1873,9.502,0.415,-0.8552104718487855
298.201,0.979,0.00172,-4.399803194646421
299.126,3.683,0.771,0.3004683653352418
299.135,8.024,0.803,0.2565548832993579
299.1366,4.533,0.00136,-4.563637337876085
300.1077,6.514,0.978,0.02885464350891413
300.1564,3.706,3.42e-4,5.582821349700172
300.217,0.93,0.0235,-2.722812530304673
302.0868,6.646,0.99,-0.012336737327487066
302.1348,8.135,0.998,0.0028078348393694723
302.1415,0.545,0.691,-0.41090460998417777
302.1597,5.093,0.214,1.3384264413226399
302.1959,1.349,0.773,-0.2966436514139506
302.1962,0.515,0.258,1.2082139952890574
302.1962,1.924,0.443,0.8028514101966342
302.196,2.176,0.0777,1.9907491135540303
302.2328,0.854,0.15,-1.5745197038112282
302.244,1.057,0.636,-0.48925831905131206
303.074,3.42,0.164,1.5148603931264284
303.1184,6.154,0.848,-0.19770047534246282
303.1672,0.526,0.064,2.110797191292343
303.1914,5.064,0.0109,-3.1971568818695575
303.2022,4.502,0.426,-0.8346599065341543
304.0483,7.9,0.833,0.2176201610748268
304.129,4.045,0.869,0.17002918008435292
304.1747,0.518,0.519,0.6713909607824358
304.1751,1.535,0.65,-0.4698492033492262
304.189,4.071,0.687,0.4166299518983452
304.1907,1.283,0.272,1.171219014797962
304.2115,0.514,0.875,0.1622742235352018
304.2115,1.134,0.358,-0.9694753185194264
305.0866,4.783,0.00858,3.346137663143921
305.1818,5.115,0.0264,-2.6515409510930015
305.1855,0.518,0.244,1.2452350898241078
306.0641,1.47,0.34,-1.006744732540674
306.064,1.508,0.232,-1.2819042962557283
306.1705,1.305,0.0429,-2.3564369893309722
