p.value,m.z,t.score,r.t,pos_inx
0.00967,425.1157,3.188796821,3.412,0
0.0097,342.2272,-3.268639853,1.198,1
0.0101,245.0768,-3.242893787,4.431,1
0.0101,366.1391,-3.244839836,7.934,1
0.0101,660.2145,-3.162592722,1.234,0
0.0102,204.1343,-3.238612267,4.98,1
0.0103,179.0561,-3.152844206,5.436,0
0.0106,123.0553,-3.214181858,5,1
0.0107,342.22726,-3.205097904,1.218,1
0.0109,299.069,-3.119640002,6.097,0
0.011,462.1763,-3.113172264,3.681,0
0.0111,232.0283,-3.106049864,5.427,0
0.0112,355.1046,-3.103505786,5.684,0
0.0112,399.095,-3.100362879,6.659,0
0.0113,183.1025,3.099606021,0.808,0
0.0114,316.2476,-3.168588059,0.839,1
0.0115,243.0712,-3.089375067,4.454,0
0.0115,419.1429,-3.087906912,3.43,0
0.0116,255.11,-3.159110731,5.346,1
0.0117,592.152,-3.075057427,1.844,0
0.0118,215.1391,-3.145033065,5.03,1
0.0119,196.0283,-3.06513008,4.94,0
0.012,215.139,-3.134438175,5.001,1
0.012,531.3637,-3.134630864,0.503,1
0.012,310.1153,-3.060233258,3.36,0
0.0121,260.0231,-3.056787497,7.103,0
0.0122,345.1054,-3.124148893,8.017,1
0.0122,285.0453,-3.051386833,5.683,0
0.0122,308.0775,-3.053842431,5.457,0
0.0124,297.134,-3.042791796,0.497,0
0.0124,348.1105,-3.041040658,4.903,0
0.0125,139.0513,-3.038952314,5.435,0
0.0128,299.1246,-3.024585835,5.173,0
0.0128,632.2037,-3.025480355,7.803,0
0.0129,192.9813,3.02095326,2.941,0
0.0129,236.0772,3.021555717,0.506,0
0.0132,279.1553,-3.078010825,8.49,1
0.0133,255.145,-3.074472107,7.703,1
0.0133,222.1131,-3.003964282,0.844,0
0.0133,323.1456,-3.003562482,9.146,0
0.0134,203.1478,-3.066525053,5.105,1
0.0134,361.1498,-2.996458381,0.533,0
0.0134,578.1363,-2.997232011,1.547,0
0.0135,200.107,-3.061132466,1.003,1
0.0135,239.13895,-3.062724362,6.713,1
0.0136,350.1635,-2.989602504,0.57,0
0.0142,513.2981,-3.031738151,0.528,1
0.0142,445.207,-2.964340272,3.608,0
0.0143,490.1469,-3.027561859,4.11,1
0.0144,166.0861,-3.021759747,4.404,1
0.0145,327.089,-2.949676291,3.629,0
0.0149,254.1498,-3.0036667,4.993,1
0.0149,376.2119,-2.937382917,0.518,0
0.015,170.0932,-2.997842872,7.795,1
0.0151,243.1343,-2.928826145,0.515,0
0.0152,229.1547,-2.991651459,3.637,1
0.0153,304.2115,-2.987318209,1.134,1
0.0156,151.0612,-2.909822013,4.846,0
0.0157,220.1182,2.969718392,0.536,1
0.0158,258.0611,-2.900550625,5.695,0
0.0159,205.0684,-2.964222591,5.668,1
0.016,168.0862,-2.893945315,7.82,0
0.0163,243.0624,-2.882632764,4.458,0
0.0165,242.1402,-2.940876609,1.026,1
0.0165,286.2373,-2.93922809,0.511,1
0.0165,188.0351,-2.875740408,4.457,0
0.0165,481.2437,-2.877528364,3.36,0
0.0165,99.0451,-2.877404072,1.601,0
0.0166,115.0866,-2.936460041,4.961,1
0.0166,417.1978,-2.93534965,7.183,1
0.0166,289.0147,-2.872179238,2.488,0
0.0168,454.2063,-2.927143667,4.046,1
0.0169,192.0743,-2.924157335,6.855,1
0.0169,218.1387,-2.925119409,2.855,1
0.017,104.0818,-2.919662572,4.801,1
0.017,298.0967,2.921276612,1.246,1
0.017,452.1921,-2.858976256,0.558,0
0.0171,209.0675,-2.854420967,0.96,0
0.0172,341.1704,2.913627462,5.083,1
0.0172,433.2361,-2.914352162,4.762,1
0.0176,445.1477,-2.837113023,3.493,0
0.0177,475.2465,-2.896398952,3.874,1
0.0179,162.1129,-2.888084161,5.651,1
0.0179,219.0611,-2.888518196,7.946,1
0.0179,230.9967,2.830057236,1.606,0
0.0181,171.0662,-2.822722405,0.928,0
0.0183,227.1263,-2.876517429,3.423,1
0.0184,202.1187,-2.871549127,4.623,1
0.0184,369.2493,-2.873541826,7.282,1
0.0187,181.0368,-2.802838438,3.602,0
0.0188,231.9927,-2.800986915,3.013,0
0.0189,245.0465,-2.796573705,2.156,0
0.019,304.129,-2.852933608,4.045,1
0.0192,275.1025,2.845506424,4.835,1
0.0194,241.0948,-2.840521176,5.126,1
0.0196,231.1702,-2.833330275,5.351,1
0.0196,302.1415,-2.834268656,0.545,1
0.0197,318.0761,-2.773174491,2.4,0
0.0198,370.1324,-2.770219833,0.553,0
0.0199,227.1262,-2.823652565,3.586,1
0.0199,538.0701,-2.766604413,3.804,0
0.0201,285.1557,-2.818318431,7.39,1
0.0201,356.1167,-2.762155413,0.565,0
0.0201,462.1765,-2.761015727,0.536,0
0.0202,513.2982,-2.814766511,4.083,1
0.0203,357.2497,-2.811474179,7.349,1
0.0203,181.0504,-2.755936621,3.057,0
0.0203,339.0737,-2.755992454,6.209,0
0.0204,306.0641,-2.808756639,1.47,1
0.0205,171.043,-2.750632697,3.694,0
0.0207,539.2492,-2.744102746,4.084,0
0.0208,288.0526,-2.741068891,5.655,0
0.0208,334.1252,-2.740262921,7.52,0
0.0209,387.1794,-2.737357699,0.529,0
0.0211,491.2414,-2.789799606,4.923,1
0.0214,229.1548,-2.780625762,5.62,1
0.0214,302.1348,-2.778629603,8.135,1
0.0214,350.0879,-2.72377564,4.725,0
0.0214,392.1204,-2.723942468,3.651,0
0.0214,481.2435,-2.723024523,0.53,0
0.0215,286.146,-2.775827987,3.481,1
0.0215,317.1237,-2.722513732,0.522,0
0.0217,401.194,2.71629402,3.928,0
0.0218,262.0379,-2.767571165,7.079,1
0.0219,246.1703,-2.765566206,1.784,1
0.0219,465.2489,-2.711792976,0.518,0
0.0221,299.135,-2.759846377,8.024,1
0.0221,212.0199,-2.705095245,7.051,0
0.0223,169.0608,-2.753576279,5.613,1
0.0223,217.1079,-2.69941275,1,0
0.0225,182.081,2.749538409,1.497,1
0.0226,262.9863,-2.692490727,5.091,0
0.0226,493.2431,-2.691545266,0.524,0
0.0227,323.0573,-2.688892054,0.537,0
0.0231,162.1128,-2.732221763,5.221,1
0.0232,204.123,-2.730245615,1.344,1
0.0233,287.0407,2.674466037,5.683,0
0.0234,123.0542,2.671364814,0.96,0
0.0239,533.1882,-2.659104678,3.463,0
0.024,353.1236,2.6582948,1.057,0
0.0245,217.108,-2.646378678,1.172,0
0.0246,317.0446,-2.644089466,2.457,0
0.0251,185.0819,-2.632330508,0.862,0
0.0251,394.1352,-2.632410401,5.7,0
0.0251,545.1681,2.632162614,0.551,0
0.0253,485.1658,-2.625667815,0.539,0
0.0256,333.0245,-2.621048746,8.134,0
0.0257,304.21154,-2.66853447,0.514,1
0.0259,319.1974,-2.663390578,4.634,1
0.0259,230.103,-2.61332425,0.515,0
0.0259,443.1553,-2.613471329,0.527,0
0.026,262.1648,-2.661091441,4.112,1
0.0263,182.0811,2.653599443,5.07,1
0.0263,309.0633,-2.604190687,6.215,0
0.0263,315.0831,-2.605056878,3.586,0
0.0266,713.3193,2.597372567,0.549,0
0.0267,165.1386,-2.644705754,0.836,1
0.0267,312.1301,-2.645556822,3.316,1
0.0271,132.0771,-2.636377524,6.113,1
0.0273,342.0848,-2.631494509,4.055,1
0.0275,308.0984,-2.577496143,6.982,0
0.0275,427.0568,-2.577304161,3.396,0
0.028,572.3994,-2.61620385,0.467,1
0.028,145.0619,-2.566739819,6.606,0
0.0282,221.0422,-2.612127523,5.654,1
0.0282,350.1261,-2.563490419,4.787,0
0.0283,170.09326,-2.608883793,6.855,1
0.0283,249.0785,-2.560583497,3.631,0
0.0284,239.0341,-2.559250454,8.007,0
0.0286,183.0514,-2.555580932,3.658,0
0.0286,343.0528,-2.555349265,8.034,0
0.0287,521.1088,-2.553224413,3.637,0
0.0288,269.136,-2.551152912,1.005,0
0.0288,367.1156,-2.551661272,5.688,0
0.0289,367.1497,-2.597423259,6.488,1
0.0289,248.0237,-2.549667697,3.389,0
0.029,259.0129,-2.547948341,8.077,0
0.0291,247.1398,2.592072157,7.906,1
0.0291,301.0518,-2.545810066,2.391,0
0.0291,389.1811,-2.544484353,0.522,0
0.0291,403.1968,2.544262328,4.623,0
0.0294,183.1023,2.538761657,0.506,0
0.0295,400.1427,-2.537285639,0.588,0
0.0296,408.206,2.582181132,4.557,1
0.0297,593.3316,2.580491866,0.527,1
0.03,279.0718,-2.527685994,6.427,0
0.0305,201.1131,-2.517716277,0.834,0
0.0305,278.0704,-2.516937588,4.755,0
0.031,319.1392,-2.508569484,0.518,0
0.0311,181.05049,2.505938152,0.995,0
0.0312,319.0689,-2.550580822,4.915,1
0.0313,199.1075,-2.548196696,0.555,1
0.0314,149.0092,-2.501408969,7.63,0
0.0315,177.0405,-2.499173949,5.7,0
0.0315,179.1075,-2.499520188,0.837,0
0.0315,291.089,-2.499265211,3.499,0
0.0318,235.0569,-2.493046814,7.02,0
0.0318,327.0895,-2.492724875,3.578,0
0.0318,383.0437,-2.492985101,4.326,0
0.032,272.9588,-2.490531684,10.091,0
0.0321,213.0984,-2.533191285,6.64,1
0.0321,281.1132,-2.487374787,0.515,0
0.0322,247.0796,-2.485422722,2.434,0
0.0323,182.0308,-2.484963872,1.029,0
0.0324,225.0628,-2.48279521,1.132,0
0.0327,600.284,-2.477537803,0.642,0
0.0329,476.1921,-2.473727801,0.548,0
0.0331,579.2641,-2.513458033,3.674,1
0.0332,366.139,-2.51197425,8.13,1
0.0333,307.133,-2.467060775,0.578,0
0.0335,577.2497,-2.506567705,3.628,1
0.0339,264.9274,-2.45651161,10.093,0
0.0341,151.123,-2.495814627,0.863,1
0.0341,158.1176,-2.496619457,4.212,1
0.0343,247.1289,-2.491375728,6.343,1
0.0344,613.3585,-2.447762878,4.442,0
0.0345,211.0967,-2.445594959,0.835,0
0.0346,247.0629,-2.444590032,4.641,0
0.0347,312.2284,2.484976768,1.053,1
0.0348,340.1259,2.441289849,4.777,0
0.035,124.0759,-2.480406899,2.019,1
0.0353,287.244,-2.474035243,7.296,1
0.0355,137.0244,2.429983952,0.97,0
0.0357,340.2477,-2.468536458,0.841,1
0.0357,373.244,-2.468302009,7.33,1
0.0358,194.9968,-2.424259622,4.711,0
0.036,392.1165,-2.421737774,0.562,0
0.0363,228.0885,-2.416946362,0.942,0
0.0363,240.0182,-2.415887979,7.939,0
0.0365,279.0528,-2.413093948,6.074,0
0.0366,361.1499,-2.411046607,4.125,0
0.0368,220.0637,-2.449366578,4.274,1
0.037,217.0929,-2.405451104,1.022,0
0.0371,349.12483,-2.402854662,5.186,0
0.0371,369.0843,-2.403283471,6.594,0
0.0374,277.0733,-2.399344064,3.48,0
0.0376,417.1877,-2.436469432,4.012,1
0.0377,161.0455,-2.393819327,3.634,0
0.038,275.0227,2.389101586,1.969,0
0.0381,291.0899,-2.387582077,3.631,0
0.0382,138.0556,2.426418955,4.837,1
0.0386,241.1189,-2.380318351,0.516,0
0.0387,466.2059,2.418743628,6.417,1
0.0388,511.2904,-2.377900861,3.737,0
0.039,125.0243,2.37420802,0.867,0
0.0391,255.1338,2.411729679,4.731,1
0.0392,287.0229,-2.371355917,1.479,0
0.0393,306.064,-2.408636496,1.508,1
0.0394,170.0923,-2.407747475,3.67,1
0.0394,354.101,-2.368533267,0.567,0
0.0395,369.0281,-2.366586563,4.932,0
0.0399,380.1156,-2.360952098,0.558,0
0.04,591.3175,2.358744108,0.775,0
0.0403,206.1033,-2.355142332,5.302,0
0.0403,287.02299,-2.354255168,1.497,0
0.0406,302.1142,-2.351183242,4.079,0
0.0407,261.0726,-2.349111992,5.684,0
0.0408,130.0499,-2.386913009,4.245,1
0.0408,139.0764,-2.34804538,0.897,0
0.0411,364.0847,-2.343173683,1.046,0
0.0412,231.1451,-2.380975314,5.95,1
0.0414,368.1164,-2.339717375,0.563,0
0.0415,184.0621,-2.376718264,3.682,1
0.0416,145.0362,-2.335631034,1.023,0
0.0423,248.113,-2.364899742,6.597,1
0.0428,203.1393,-2.3577296,5.108,1
0.0428,230.99679,2.319815842,0.761,0
0.0429,198.1133,-2.318644822,0.851,0
0.0431,434.1587,-2.352321103,4.051,1
0.0435,205.0972,-2.346922252,4.752,1
0.0437,243.9919,-2.307643114,4.942,0
0.0438,414.2997,-2.342405954,3.986,1
0.0441,539.2491,-2.301409812,4.207,0
0.0442,137.0101,2.301322806,1.032,0
0.0444,242.0125,-2.2982225,3.711,0
0.0446,240.0004,-2.295035675,7.368,0
0.0446,261.00723,-2.29578366,4.508,0
0.0447,435.2224,-2.294193895,0.525,0
0.0451,481.24378,-2.289477417,3.448,0
0.0453,96.9696,-2.286561125,7.956,0
0.0454,176.0708,-2.321033563,1.349,1
0.0454,343.0889,-2.285349041,3.595,0
0.0455,239.1147,-2.283616623,7.98,0
0.0455,249.07857,-2.283206855,3.569,0
0.0456,149.0455,-2.28220212,5.186,0
0.0461,528.3014,-2.276076453,0.529,0
0.0463,305.0691,-2.27373843,3.3,0
0.0465,270.1343,-2.271373157,0.521,0
0.0467,485.1657,-2.268039554,3.694,0
0.0468,137.071,-2.302241804,3.764,1
0.0474,243.123,-2.259631318,0.971,0
0.0475,757.3533,-2.258790027,0.543,0
0.0478,696.649,-2.290057082,0.442,1
0.0479,149.00929,-2.254029602,7.798,0
0.048,203.0825,-2.252699259,4.789,0
0.0487,445.2067,-2.243180714,0.529,0
0.0492,263.0227,-2.237641686,4.475,0
0.0492,362.028,-2.237922068,5.344,0
0.0493,278.1422,-2.235935771,0.538,0
0.0494,159.1128,-2.270136821,4.592,1
0.0495,400.1428,-2.234331025,3.49,0
0.0496,298.09673,2.267365217,0.547,1
0.0497,383.0977,-2.232188681,4.787,0
0.0498,277.07334,-2.231020986,4.519,0
0.0499,200.9711,-2.229219117,1.033,0
0.05,342.1724,-2.261677824,3.926,1
0.0504,349.0213,-2.223473845,7.922,0
0.0505,206.0819,2.255779997,0.514,1
0.0507,311.0767,2.219544085,4.586,0
0.0509,464.191,-2.217130707,3.704,0
0.0513,286.1283,-2.246882305,4.119,1
0.0514,230.99671,2.211300831,0.739,0
0.0518,276.1442,-2.240572354,5.613,1
0.0518,372.1476,-2.207392052,0.515,0
0.0518,396.1296,-2.207491972,3.893,0
0.0519,204.1421,-2.23943608,5.101,1
0.052,175.0974,-2.2047392,0.971,0
0.0521,255.1345,-2.203738621,0.514,0
0.0522,389.1472,-2.20244067,0.558,0
0.0523,195.052,-2.201996142,1.912,0
0.0526,144.0522,-2.198283178,1.038,0
0.0527,388.0434,-2.196758035,4.724,0
0.0528,247.1439,-2.228295265,3.672,1
0.0529,262.1285,-2.227415517,6.335,1
0.0529,368.1159,-2.227242338,0.567,1
0.0535,244.997,2.188028735,1.029,0
0.0536,363.1655,-2.187392822,0.542,0
0.0538,257.1498,-2.184770601,0.514,0
0.054,195.0875,-2.214499038,0.506,1
0.054,267.1341,-2.182972481,0.515,0
0.0542,197.0819,-2.180375043,0.842,0
0.0542,397.095,-2.180188951,1.037,0
0.0545,358.132,-2.177036309,3.491,0
0.0547,469.1705,-2.175562431,0.528,0
0.0549,435.2226,-2.172941112,3.698,0
0.0551,628.2092,-2.170263818,3.413,0
0.0556,111.0088,-2.165340153,7.821,0
0.0557,327.144,2.163935085,0.519,0
0.0558,153.1276,2.194730471,0.538,1
0.056,238.0774,-2.160643452,4.689,0
0.0561,260.1491,-2.191437277,3.321,1
0.0562,337.1426,-2.190430452,7.325,1
0.0562,249.0627,-2.158519417,5.154,0
0.0564,342.2634,-2.188496068,0.839,1
0.0564,369.1291,-2.188305437,4.69,1
0.0564,193.0352,2.156977297,7.691,0
0.0564,366.0821,-2.157118711,3.731,0
0.0565,555.3086,-2.187395238,0.525,1
0.0565,351.0376,-2.156060445,7.763,0
0.0565,565.2327,-2.155767056,0.562,0
0.0566,628.1269,-2.155255856,3.837,0
0.0573,431.0968,-2.178311701,4.511,1
0.0574,367.1528,-2.177297651,7.454,1
0.0574,611.3131,2.177292939,1.258,1
0.0575,166.0724,-2.177040196,3.376,1
0.0576,248.0601,-2.144302591,5.173,0
0.0578,162.0227,-2.142868139,0.513,0
0.058,433.2365,-2.171486321,1.214,1
0.0582,225.0472,-2.138806268,1.04,0
0.0585,166.07247,-2.166271847,3.417,1
0.0588,203.997,-2.132532182,3.657,0
0.059,383.1166,-2.130301215,1.001,0
0.0591,151.0615,-2.160036243,0.588,1
0.0593,459.0923,-2.127377119,4.329,0
0.0596,587.4807,-2.154018984,1.51,1
0.0598,166.0862,-2.152116759,4.968,1
0.0598,254.161,-2.152052026,4.479,1
0.0598,298.1143,-2.152775256,3.752,1
0.06,371.137,-2.12071157,5.203,0
0.06,427.0695,-2.120499628,3.454,0
0.0601,298.0024,-2.119535434,5.466,0
0.0604,211.1077,-2.146430034,7.422,1
0.0609,274.0389,-2.111469283,3.032,0
0.061,372.1824,-2.110732226,0.563,0
0.0611,222.149,2.138897071,1.068,1
0.0612,99.04515,-2.108583772,0.903,0
0.0613,338.2064,-2.137673162,2.907,1
0.0613,230.9815,2.107407623,1.035,0
0.0615,326.0987,-2.10591352,3.437,0
0.0618,733.3878,2.132282977,1.197,1
0.0621,459.1608,-2.099540514,0.57,0
0.0621,563.2511,-2.100036829,3.658,0
0.0622,547.1866,2.098884912,3.913,0
0.0627,298.201,-2.122931105,0.979,1
0.0629,295.0612,-2.091924657,3.17,0
0.063,620.1832,-2.091371854,1.624,0
0.0631,587.4806,-2.119493439,1.357,1
0.0632,477.1075,2.089340738,1.029,0
0.0634,366.1011,-2.087431762,0.567,0
0.0636,339.1871,-2.114758154,0.5,1
0.0641,387.1654,-2.08086428,3.687,0
0.0643,355.084,-2.079222559,3.477,0
0.0644,194.9603,2.077759643,1.573,0
0.0644,411.1686,2.077707206,4.114,0
0.0646,373.1862,-2.075997051,0.927,0
0.0647,379.0335,-2.075509494,7.386,0
0.0648,490.1204,-2.073975497,1.242,0
0.0649,215.1399,-2.073577952,5.402,0
0.0651,145.0504,-2.07174499,0.989,0
0.0652,193.0353,-2.070435044,3.249,0
0.0654,229.1553,-2.097802359,4.5,1
0.0654,293.0488,-2.068740592,5.594,0
0.0659,201.0078,-2.063947205,1.025,0
0.0659,457.206,-2.064582027,0.526,0
0.0662,284.0773,-2.061972276,5.465,0
0.0662,425.1445,-2.061781666,3.761,0
0.0663,241.1547,-2.088736114,4.545,1
0.0663,257.0544,-2.060655282,5.7,0
0.0668,401.9985,-2.084101746,5.291,1
0.0668,361.12,-2.056289459,2.246,0
0.0672,219.06117,-2.080615015,8.095,1
0.0675,307.0839,-2.04998979,3.473,0
0.0676,202.1185,-2.077232214,4.047,1
0.0676,340.1245,-2.049620547,5.186,0
0.0677,122.0634,-2.07576878,4.935,1
0.0677,299.1366,2.075726748,4.533,1
0.0677,211.0613,2.048675423,1.458,0
0.0677,337.1498,-2.047908526,3.7,0
0.0678,231.0378,-2.074664877,5.108,1
0.0678,368.116,-2.075228324,1.537,1
0.068,324.067,-2.045374806,0.537,0
0.0682,303.2022,2.071828793,4.502,1
0.0682,191.0201,-2.043587979,7.804,0
0.0683,249.0072,-2.042787387,4.708,0
0.0683,553.2285,-2.04293341,0.519,0
0.0684,264.1191,-2.069882901,6.316,1
0.0684,593.3324,2.069412742,0.771,1
0.0684,369.1312,-2.042177104,0.552,0
0.0685,112.0517,-2.040883682,3.613,0
0.0693,154.0587,-2.06123531,5.989,1
0.0696,147.0298,-2.032094887,6.996,0
0.0696,331.176,-2.031360518,0.516,0
0.0701,252.1343,-2.054953455,7.787,1
0.0705,225.0615,2.024293269,6.787,0
0.0709,399.1089,-2.02084406,4.124,0
0.0712,413.181,-2.018301569,0.52,0
0.0718,429.1931,-2.013151747,2.274,0
0.0719,448.2317,2.038494732,3.946,1
0.072,218.13879,-2.038224954,0.519,1
0.072,433.2074,-2.011678275,0.527,0
0.0722,429.19319,-2.00973675,2.307,0
0.0724,387.1653,-2.008340894,0.52,0
0.0726,305.0333,-2.006097907,4.102,0
0.0728,407.1007,2.004819845,3.863,0
0.073,454.2064,-2.02947303,4.027,1
0.073,270.0617,-2.003083585,5.7,0
0.0732,245.0126,-2.001746385,3.391,0
0.0736,262.1032,-2.024020673,7.903,1
0.074,313.0582,2.021076065,4.803,1
0.0741,541.2644,-1.994366494,4.221,0
0.0742,448.1367,2.019749004,5.06,1
0.0744,452.1913,-2.017882644,0.564,1
0.0747,307.0113,-1.989297564,7.777,0
0.0749,302.2328,-2.013399109,0.854,1
0.075,142.0863,-2.012847139,0.641,1
0.0751,297.0995,-1.986526542,3.753,0
0.0752,316.2116,-2.010858094,1.398,1
0.0755,493.244,-1.98284977,3.392,0
0.0757,211.0612,1.981160506,0.531,0
0.0757,389.0906,-1.981164725,0.595,0
0.0758,551.281,2.006086349,1.972,1
0.0761,317.0854,-1.978269736,3.496,0
0.0762,348.1473,-1.97724684,0.523,0
0.0763,279.089,-1.976850786,3.497,0
0.0765,170.122,-2.000530951,7.798,1
0.0772,245.0744,-1.994633412,5.671,1
0.0774,197.0677,-1.968180781,1.123,0
0.0775,245.0777,-1.967321577,3.343,0
0.0775,346.1323,-1.967000321,0.513,0
0.078,302.1962,-1.9880271,1.924,1
0.0781,274.03897,-1.962909969,3.005,0
0.0783,479.228,-1.961107099,0.527,0
0.0785,267.1097,-1.959174763,6.145,0
0.0788,262.9864,-1.95690652,7.93,0
