m.z,r.t.,p.value,t.score,mode
281.1132,0.515,0.0321,-2.487374787,negative
247.0796,2.434,0.0322,-2.485422722,negative
182.0308,1.029,0.0323,-2.484963872,negative
225.0628,1.132,0.0324,-2.48279521,negative
600.284,0.642,0.0327,-2.477537803,negative
476.1921,0.548,0.0329,-2.473727801,negative
579.2641,3.674,0.0331,-2.513458033,positive
366.139,8.13,0.0332,-2.51197425,positive
307.133,0.578,0.0333,-2.467060775,negative
577.2497,3.628,0.0335,-2.506567705,positive
264.9274,10.093,0.0339,-2.45651161,negative
151.123,0.863,0.0341,-2.495814627,positive
158.1176,4.212,0.0341,-2.496619457,positive
247.1289,6.343,0.0343,-2.491375728,positive
613.3585,4.442,0.0344,-2.447762878,negative
211.0967,0.835,0.0345,-2.445594959,negative
247.0629,4.641,0.0346,-2.444590032,negative
312.2284,1.053,0.0347,2.484976768,positive
340.1259,4.777,0.0348,2.441289849,negative
124.0759,2.019,0.035,-2.480406899,positive
287.244,7.296,0.0353,-2.474035243,positive
137.0244,0.97,0.0355,2.429983952,negative
340.2477,0.841,0.0357,-2.468536458,positive
373.244,7.33,0.0357,-2.468302009,positive
194.9968,4.711,0.0358,-2.424259622,negative
392.1165,0.562,0.036,-2.421737774,negative
228.0885,0.942,0.0363,-2.416946362,negative
240.0182,7.939,0.0363,-2.415887979,negative
279.0528,6.074,0.0365,-2.413093948,negative
361.1499,4.125,0.0366,-2.411046607,negative
220.0637,4.274,0.0368,-2.449366578,positive
217.0929,1.022,0.037,-2.405451104,negative
349.1248,5.186,0.0371,-2.402854662,negative
369.0843,6.594,0.0371,-2.403283471,negative
277.0733,3.48,0.0374,-2.399344064,negative
417.1877,4.012,0.0376,-2.436469432,positive
161.0455,3.634,0.0377,-2.393819327,negative
275.0227,1.969,0.038,2.389101586,negative
291.089,3.631,0.0381,-2.387582077,negative
138.0556,4.837,0.0382,2.426418955,positive
241.1189,0.516,0.0386,-2.380318351,negative
466.2059,6.417,0.0387,2.418743628,positive
511.2904,3.737,0.0388,-2.377900861,negative
125.0243,0.867,0.039,2.37420802,negative
255.1338,4.731,0.0391,2.411729679,positive
287.0229,1.479,0.0392,-2.371355917,negative
306.064,1.508,0.0393,-2.408636496,positive
170.0923,3.67,0.0394,-2.407747475,positive
354.101,0.567,0.0394,-2.368533267,negative
369.0281,4.932,0.0395,-2.366586563,negative
380.1156,0.558,0.0399,-2.360952098,negative
591.3175,0.775,0.04,2.358744108,negative
206.1033,5.302,0.0403,-2.355142332,negative
287.0229,1.497,0.0403,-2.354255168,negative
302.1142,4.079,0.0406,-2.351183242,negative
261.0726,5.684,0.0407,-2.349111992,negative
130.0499,4.245,0.0408,-2.386913009,positive
139.0764,0.897,0.0408,-2.34804538,negative
364.0847,1.046,0.0411,-2.343173683,negative
231.1451,5.95,0.0412,-2.380975314,positive
368.1164,0.563,0.0414,-2.339717375,negative
184.0621,3.682,0.0415,-2.376718264,positive
145.0362,1.023,0.0416,-2.335631034,negative
248.113,6.597,0.0423,-2.364899742,positive
203.1393,5.108,0.0428,-2.3577296,positive
230.9967,0.761,0.0428,2.319815842,negative
198.1133,0.851,0.0429,-2.318644822,negative
434.1587,4.051,0.0431,-2.352321103,positive
205.0972,4.752,0.0435,-2.346922252,positive
243.9919,4.942,0.0437,-2.307643114,negative
414.2997,3.986,0.0438,-2.342405954,positive
539.2491,4.207,0.0441,-2.301409812,negative
137.0101,1.032,0.0442,2.301322806,negative
242.0125,3.711,0.0444,-2.2982225,negative
240.0004,7.368,0.0446,-2.295035675,negative
261.0072,4.508,0.0446,-2.29578366,negative
435.2224,0.525,0.0447,-2.294193895,negative
481.2437,3.448,0.0451,-2.289477417,negative
96.9696,7.956,0.0453,-2.286561125,negative
176.0708,1.349,0.0454,-2.321033563,positive
343.0889,3.595,0.0454,-2.285349041,negative
239.1147,7.98,0.0455,-2.283616623,negative
249.0785,3.569,0.0455,-2.283206855,negative
149.0455,5.186,0.0456,-2.28220212,negative
528.3014,0.529,0.0461,-2.276076453,negative
305.0691,3.3,0.0463,-2.27373843,negative
270.1343,0.521,0.0465,-2.271373157,negative
485.1657,3.694,0.0467,-2.268039554,negative
137.071,3.764,0.0468,-2.302241804,positive
243.123,0.971,0.0474,-2.259631318,negative
757.3533,0.543,0.0475,-2.258790027,negative
696.649,0.442,0.0478,-2.290057082,positive
149.0092,7.798,0.0479,-2.254029602,negative
203.0825,4.789,0.048,-2.252699259,negative
445.2067,0.529,0.0487,-2.243180714,negative
263.0227,4.475,0.0492,-2.237641686,negative
362.028,5.344,0.0492,-2.237922068,negative
278.1422,0.538,0.0493,-2.235935771,negative
159.1128,4.592,0.0494,-2.270136821,positive
400.1428,3.49,0.0495,-2.234331025,negative
298.0967,0.547,0.0496,2.267365217,positive
383.0977,4.787,0.0497,-2.232188681,negative
277.0733,4.519,0.0498,-2.231020986,negative
200.9711,1.033,0.0499,-2.229219117,negative
342.1724,3.926,0.05,-2.261677824,positive
349.0213,7.922,0.0504,-2.223473845,negative
206.0819,0.514,0.0505,2.255779997,positive
311.0767,4.586,0.0507,2.219544085,negative
464.191,3.704,0.0509,-2.217130707,negative
286.1283,4.119,0.0513,-2.246882305,positive
230.9967,0.739,0.0514,2.211300831,negative
276.1442,5.613,0.0518,-2.240572354,positive
372.1476,0.515,0.0518,-2.207392052,negative
396.1296,3.893,0.0518,-2.207491972,negative
204.1421,5.101,0.0519,-2.23943608,positive
175.0974,0.971,0.052,-2.2047392,negative
255.1345,0.514,0.0521,-2.203738621,negative
389.1472,0.558,0.0522,-2.20244067,negative
195.052,1.912,0.0523,-2.201996142,negative
144.0522,1.038,0.0526,-2.198283178,negative
388.0434,4.724,0.0527,-2.196758035,negative
247.1439,3.672,0.0528,-2.228295265,positive
262.1285,6.335,0.0529,-2.227415517,positive
368.1159,0.567,0.0529,-2.227242338,positive
244.997,1.029,0.0535,2.188028735,negative
363.1655,0.542,0.0536,-2.187392822,negative
257.1498,0.514,0.0538,-2.184770601,negative
195.0875,0.506,0.054,-2.214499038,positive
267.1341,0.515,0.054,-2.182972481,negative
197.0819,0.842,0.0542,-2.180375043,negative
397.095,1.037,0.0542,-2.180188951,negative
358.132,3.491,0.0545,-2.177036309,negative
469.1705,0.528,0.0547,-2.175562431,negative
435.2226,3.698,0.0549,-2.172941112,negative
628.2092,3.413,0.0551,-2.170263818,negative
111.0088,7.821,0.0556,-2.165340153,negative
327.144,0.519,0.0557,2.163935085,negative
153.1276,0.538,0.0558,2.194730471,positive
238.0774,4.689,0.056,-2.160643452,negative
260.1491,3.321,0.0561,-2.191437277,positive
337.1426,7.325,0.0562,-2.190430452,positive
249.0627,5.154,0.0562,-2.158519417,negative
342.2634,0.839,0.0564,-2.188496068,positive
369.1291,4.69,0.0564,-2.188305437,positive
193.0352,7.691,0.0564,2.156977297,negative
366.0821,3.731,0.0564,-2.157118711,negative
555.3086,0.525,0.0565,-2.187395238,positive
351.0376,7.763,0.0565,-2.156060445,negative
565.2327,0.562,0.0565,-2.155767056,negative
628.1269,3.837,0.0566,-2.155255856,negative
431.0968,4.511,0.0573,-2.178311701,positive
367.1528,7.454,0.0574,-2.177297651,positive
611.3131,1.258,0.0574,2.177292939,positive
166.0724,3.376,0.0575,-2.177040196,positive
248.0601,5.173,0.0576,-2.144302591,negative
162.0227,0.513,0.0578,-2.142868139,negative
433.2365,1.214,0.058,-2.171486321,positive
225.0472,1.04,0.0582,-2.138806268,negative
166.0724,3.417,0.0585,-2.166271847,positive
203.997,3.657,0.0588,-2.132532182,negative
383.1166,1.001,0.059,-2.130301215,negative
151.0615,0.588,0.0591,-2.160036243,positive
459.0923,4.329,0.0593,-2.127377119,negative
587.4807,1.51,0.0596,-2.154018984,positive
166.0862,4.968,0.0598,-2.152116759,positive
254.161,4.479,0.0598,-2.152052026,positive
298.1143,3.752,0.0598,-2.152775256,positive
371.137,5.203,0.06,-2.12071157,negative
427.0695,3.454,0.06,-2.120499628,negative
298.0024,5.466,0.0601,-2.119535434,negative
211.1077,7.422,0.0604,-2.146430034,positive
274.0389,3.032,0.0609,-2.111469283,negative
372.1824,0.563,0.061,-2.110732226,negative
222.149,1.068,0.0611,2.138897071,positive
99.0451,0.903,0.0612,-2.108583772,negative
338.2064,2.907,0.0613,-2.137673162,positive
230.9815,1.035,0.0613,2.107407623,negative
326.0987,3.437,0.0615,-2.10591352,negative
733.3878,1.197,0.0618,2.132282977,positive
459.1608,0.57,0.0621,-2.099540514,negative
563.2511,3.658,0.0621,-2.100036829,negative
547.1866,3.913,0.0622,2.098884912,negative
298.201,0.979,0.0627,-2.122931105,positive
295.0612,3.17,0.0629,-2.091924657,negative
620.1832,1.624,0.063,-2.091371854,negative
587.4806,1.357,0.0631,-2.119493439,positive
477.1075,1.029,0.0632,2.089340738,negative
366.1011,0.567,0.0634,-2.087431762,negative
339.1871,0.5,0.0636,-2.114758154,positive
387.1654,3.687,0.0641,-2.08086428,negative
355.084,3.477,0.0643,-2.079222559,negative
194.9603,1.573,0.0644,2.077759643,negative
411.1686,4.114,0.0644,2.077707206,negative
373.1862,0.927,0.0646,-2.075997051,negative
379.0335,7.386,0.0647,-2.075509494,negative
490.1204,1.242,0.0648,-2.073975497,negative
215.1399,5.402,0.0649,-2.073577952,negative
145.0504,0.989,0.0651,-2.07174499,negative
193.0353,3.249,0.0652,-2.070435044,negative
229.1553,4.5,0.0654,-2.097802359,positive
293.0488,5.594,0.0654,-2.068740592,negative
201.0078,1.025,0.0659,-2.063947205,negative
457.206,0.526,0.0659,-2.064582027,negative
284.0773,5.465,0.0662,-2.061972276,negative
425.1445,3.761,0.0662,-2.061781666,negative
241.1547,4.545,0.0663,-2.088736114,positive
257.0544,5.7,0.0663,-2.060655282,negative
401.9985,5.291,0.0668,-2.084101746,positive
361.12,2.246,0.0668,-2.056289459,negative
219.0611,8.095,0.0672,-2.080615015,positive
307.0839,3.473,0.0675,-2.04998979,negative
202.1185,4.047,0.0676,-2.077232214,positive
340.1245,5.186,0.0676,-2.049620547,negative
122.0634,4.935,0.0677,-2.07576878,positive
299.1366,4.533,0.0677,2.075726748,positive
211.0613,1.458,0.0677,2.048675423,negative
337.1498,3.7,0.0677,-2.047908526,negative
231.0378,5.108,0.0678,-2.074664877,positive
368.116,1.537,0.0678,-2.075228324,positive
324.067,0.537,0.068,-2.045374806,negative
303.2022,4.502,0.0682,2.071828793,positive
191.0201,7.804,0.0682,-2.043587979,negative
249.0072,4.708,0.0683,-2.042787387,negative
553.2285,0.519,0.0683,-2.04293341,negative
264.1191,6.316,0.0684,-2.069882901,positive
593.3324,0.771,0.0684,2.069412742,positive
369.1312,0.552,0.0684,-2.042177104,negative
112.0517,3.613,0.0685,-2.040883682,negative
154.0587,5.989,0.0693,-2.06123531,positive
147.0298,6.996,0.0696,-2.032094887,negative
331.176,0.516,0.0696,-2.031360518,negative
252.1343,7.787,0.0701,-2.054953455,positive
225.0615,6.787,0.0705,2.024293269,negative
399.1089,4.124,0.0709,-2.02084406,negative
413.181,0.52,0.0712,-2.018301569,negative
429.1931,2.274,0.0718,-2.013151747,negative
448.2317,3.946,0.0719,2.038494732,positive
218.1387,0.519,0.072,-2.038224954,positive
433.2074,0.527,0.072,-2.011678275,negative
429.1931,2.307,0.0722,-2.00973675,negative
387.1653,0.52,0.0724,-2.008340894,negative
305.0333,4.102,0.0726,-2.006097907,negative
407.1007,3.863,0.0728,2.004819845,negative
454.2064,4.027,0.073,-2.02947303,positive
270.0617,5.7,0.073,-2.003083585,negative
