m/z,rt,p-value,t-score
201.0516,7.993,0.478,-0.7372097062852396
201.1131,0.834,0.0305,-2.517716276612805
201.1243,5.193,0.092,-1.8633700539642724
201.1244,5.676,0.908,0.11842120170719297
201.1356,7.005,0.00354,-3.789853167938274
202.0509,5.224,0.956,0.05662647619697622
202.0537,0.512,0.235,-1.264647162014066
202.1083,0.514,0.501,-0.6979779897244139
202.9868,1.018,0.632,0.4940714292512105
203.0017,3.658,0.475,-0.7428248636325732
203.0019,0.829,0.663,-0.4494612262202113
203.0022,1.372,0.286,-1.1276816897825523
203.0022,2.013,0.636,0.48839163494263715
203.0022,2.044,0.167,1.4888003298619972
203.002,1.005,0.9,-0.12912484019965575
203.0107,1.372,0.523,0.6621983320802644
203.0109,1.347,0.12,-1.6990450866924445
203.0111,2.099,0.854,0.1882888596972078
203.0347,2.437,0.12,-1.6979756600571094
203.0365,3.482,0.507,-0.688107957584575
203.0825,4.789,0.048,-2.252699259493078
203.1285,0.849,0.822,-0.23106959277720177
203.997,3.657,0.0588,-2.1325321822847494
204.0301,4.935,0.289,-1.1203209882732907
204.0665,1.375,0.0952,1.8428202468136694
204.0665,1.41,0.087,1.8972661647410412
204.0667,0.515,0.232,1.2730600939245356
204.0876,5.17,0.582,0.5690397399771224
204.9662,1.032,0.993,-0.008667943021925055
204.9811,4.114,0.357,0.9649051068814339
204.9812,0.851,0.983,0.02134403415327364
204.9812,1.012,0.989,0.013933416591276218
204.9812,3.501,0.997,-0.003537926403982062
204.9812,3.521,0.954,0.058597636438806264
204.9812,3.557,0.646,-0.4739531380636279
204.9815,2.004,0.427,-0.8283600768399308
204.9961,2.078,0.159,1.5220290611893825
205.0059,2.072,0.734,0.348960052469864
205.0272,0.897,0.398,-0.8823328988063966
205.0353,5.68,0.234,-1.2656656693656572
205.0524,3.564,0.236,-1.25967582796664
205.0524,3.634,0.241,-1.2466287081431715
205.0881,0.505,0.325,1.0345056747182857
205.0897,0.839,0.952,-0.06231531289303267
206.0463,2.859,0.988,-0.016009745963162878
206.082,0.895,0.00845,3.268915914732033
206.1033,5.302,0.0403,-2.355142331591784
206.9971,2.175,0.298,1.0969933620732921
207.0477,2.382,0.561,0.6016233068448715
208.0612,0.516,0.483,0.7278495006762623
208.0645,3.726,0.0891,-1.8826823658351075
208.9759,3.734,0.247,-1.2282421619024022
208.976,0.787,0.00189,4.1804448432489245
209.0666,5.694,0.924,0.09753447141192269
209.0675,0.96,0.0171,-2.8544209671106393
210.0408,3.441,0.926,-0.09521895556397562
210.0882,5.677,0.00858,-3.2593692336957756
211.028,5.713,0.866,-0.17374730140785397
211.0612,0.531,0.0757,1.981160506125912
211.0612,1.538,0.0819,1.9336341311963485
211.0613,0.897,0.368,-0.9434827956330443
211.0613,1.458,0.0677,2.048675423270538
211.0967,0.835,0.0345,-2.4455949592604336
211.987,1.036,9.03e-4,4.653379238051293
212.0019,2.386,0.269,1.1693564733773076
212.0021,2.316,0.57,0.5874648385331873
212.0022,2.356,0.381,0.9161292481148544
212.0031,3.829,0.344,-0.9941877681273757
212.0111,3.879,0.937,0.08070769815290631
212.0113,0.514,0.42,0.8419259942328373
212.011,3.758,0.986,0.01785626635481831
212.0199,7.051,0.0221,-2.7050952451396375
212.129,0.833,0.265,-1.1795019619376055
213.0223,0.802,0.914,-0.1105236801892547
213.0766,0.898,0.986,-0.017473570928435194
213.0766,4.042,0.653,0.4637928515181914
213.1132,0.801,0.434,-0.8158592664518128
213.9815,1.057,0.149,-1.5647982674680454
213.9964,1.026,1.65e-4,5.835448445895388
213.9979,3.83,0.304,-1.0831931158589312
214.0178,4.826,0.753,-0.3228987549920467
214.9867,1.03,1.37e-4,5.971713711859736
215.0018,1.171,0.00108,4.5396439320235915
215.0329,5.711,0.649,-0.46975197533374075
215.0731,0.557,0.00672,-3.404511924162834
215.0733,0.99,0.499,-0.7009669106445999
215.0923,0.897,0.0935,-1.8535550556347689
215.1035,3.532,0.181,-1.4383121081172394
215.1035,3.639,0.205,-1.35587508620307
215.1035,4.441,0.451,0.7852393056058252
215.1035,5.773,0.164,1.5016848700697465
215.1148,6.238,0.39,-0.898069769775014
215.1399,5.402,0.0649,-2.073577951553694
216.0343,4.359,0.639,-0.48362562213761306
216.0988,5.731,0.166,1.4944684456245818
216.9811,3.931,0.462,0.765581655658611
217.0161,7.826,0.208,-1.3448943943195322
217.0164,3.25,0.313,1.061957041866808
217.0174,1.047,0.314,-1.0593529578549261
217.0487,5.68,0.00177,-4.220061954706656
217.0575,5.682,0.00336,-3.821826840161536
217.0929,1.022,0.037,-2.4054511038148303
217.1079,1,0.0223,-2.699412749586363
217.108,1.172,0.0245,-2.646378678370224
217.9843,3.941,0.207,1.3506165280160005
218.0315,2.512,0.735,0.3487286900570153
218.049,4.323,0.251,-1.2190729107106957
218.067,1.023,0.112,1.740595319238255
218.0822,0.977,0.231,1.2757649542422522
218.1032,0.535,0.525,0.6580618789267141
218.9815,1.043,0.435,-0.813444363977643
218.9966,3.891,0.522,-0.6629660645253118
218.9967,4.223,0.838,0.21035616296149387
218.9968,3.319,0.156,-1.5330042788845664
218.9968,3.546,0.288,-1.121959784219205
218.997,1.135,0.426,-0.8291780820367681
219.0069,3.319,0.159,-1.5237257113729121
219.006,1.138,0.495,-0.7084586898751853
219.0507,3.497,0.68,0.42539352773804034
219.0508,0.537,0.439,-0.8055027411273536
219.0508,4.762,0.669,0.4409619945011022
219.0629,3.469,0.801,0.25943902126290075
220.0825,5.686,0.154,-1.54255374193834
220.0976,0.844,0.696,0.4022068925262981
220.976,3.219,0.476,0.7400860698184771
221.0666,5.387,0.86,0.18082105403577137
222.1131,0.844,0.0133,-3.0039642816116623
222.9743,1.003,0.337,1.0092111082185606
222.9917,3.031,0.765,-0.30764124829413636
222.9917,4.4,0.915,0.10991863620417712
223.0542,5.477,0.454,-0.778280699894182
223.0973,0.837,0.982,-0.022796101990726392
224.002,2.41,0.316,1.0549216835312665
224.0233,6.057,0.0798,-1.9497719765733135
224.0617,4.914,0.675,-0.43120135766346973
224.0618,4.943,0.386,-0.9058944262335842
225.0073,8.167,0.121,-1.694685088419476
225.0407,4.167,0.905,0.12267482198847189
225.0472,1.04,0.0582,-2.138806267515422
225.0615,6.787,0.0705,2.0242932691542634
225.0628,1.132,0.0324,-2.4827952104298703
225.0735,1.131,0.186,-1.4205656936522089
225.0762,0.841,0.731,0.35394721851406513
225.0991,8.076,0.144,-1.5854653907274259
225.113,0.808,0.177,-1.4512549908197985
226.018,1.956,0.502,-0.6962531109290987
227.0219,5.696,0.251,-1.218095048753931
227.0381,0.604,0.885,0.14870700928275415
227.0551,5.703,1.8e-4,-5.770283504674799
227.0672,5.687,0.227,-1.2863240877012305
227.1035,6.034,0.382,-0.9137796185121291
227.1147,6.923,0.84,0.20717850214644234
227.1285,0.51,0.628,-0.5002239989893393
227.1287,0.785,0.633,-0.4919762471276381
227.9969,2.433,0.395,0.889200909238011
227.9971,3.983,0.833,-0.21591368807913086
228.0312,3.932,0.769,-0.3015998209289922
228.0575,3.43,0.915,-0.10932241209600475
228.0885,0.942,0.0363,-2.41694636238793
229.0023,1.031,0.14,1.6037474284022304
229.0174,0.829,0.164,1.5024228239467232
229.0385,1.025,0.405,0.8687399463610082
229.0541,0.558,0.329,1.0262907734669517
229.0638,0.559,0.252,1.214427395485097
229.0883,0.552,0.31,-1.0694340205814579
229.1079,0.847,0.379,-0.921252215743175
229.1441,0.51,0.21,1.3395662350267836
229.9984,1.043,0.269,-1.170366145499092
230.0128,1.11,0.183,-1.4303509017102753
230.0128,3.617,0.59,0.5564822414507214
230.0131,2.653,0.46,0.7688816219849036
230.013,2.604,0.913,0.11145094519966346
230.0222,3.68,0.893,0.13760476507377709
230.0225,3.623,0.899,0.1305530887483654
230.0498,4.392,0.658,0.4565893229551245
230.103,0.515,0.0259,-2.613324250320265
230.9815,1.035,0.0613,2.1074076231938434
230.9966,2.338,0.154,1.5438807785807893
230.9966,3.831,0.484,-0.7266827318579174
230.9966,4.318,0.819,-0.234857378400044
230.9967,0.739,0.0514,2.2113008311615228
230.9967,0.761,0.0428,2.319815841647354
230.9967,1.606,0.0179,2.830057236217074
231.0295,2.581,0.603,0.5367961540732927
231.0328,0.724,0.642,-0.47939216240505855
231.0488,3.479,0.166,-1.4941878218423055
231.0676,2.297,0.235,-1.2626539369092913
231.1236,0.974,0.127,-1.6641462802007787
231.9927,3.013,0.0188,-2.800986914545202
232.0283,5.427,0.0111,-3.1060498636751794
232.0284,4.836,0.172,-1.4710988269484417
232.0985,0.835,5.22e-5,6.722077678663493
232.9759,5.687,4.24e-6,8.97504592137762
233.0116,3.162,0.957,0.054902626430250165
233.0121,0.618,0.466,0.7578704740181907
233.0122,3.76,0.894,-0.13710055794507564
233.0469,3.48,0.303,-1.086010593140654
233.0584,0.821,0.889,-0.14277616346332977
233.0835,2.303,0.413,-0.8550389376468432
233.1505,7.606,0.327,-1.0301099817023214
234.9916,3.442,0.95,0.06414897895062624
234.9916,4.916,0.088,-1.890639552600653
235.0569,7.02,0.0318,-2.4930468139934088
236.0232,7.803,0.00237,-4.038217977572529
236.0252,4.945,0.326,-1.0319399418178132
236.0772,0.506,0.0129,3.0215557167888227
236.0924,0.513,0.35,-0.9795559985732099
237.0331,4.951,0.577,-0.5760147386785985
237.0763,0.843,0.226,-1.2906441376420499
237.1128,0.821,0.53,-0.6510175848383367
237.1241,0.892,0.333,1.018054274666813
238.0774,4.689,0.056,-2.1606434518733737
238.9688,3.227,0.802,-0.2570813201361655
238.9865,7.261,0.555,-0.6104478933361697
238.9867,8.106,0.685,-0.41752167266403717
239.0016,0.993,0.828,0.22289959860734418
239.0036,5.67,0.0859,1.9050996625217782
239.0341,8.007,0.0284,-2.5592504535654066
239.0922,0.817,0.689,-0.41182452247490436
239.0922,0.965,0.934,-0.08436215274807478
239.1147,7.668,0.419,-0.8436903430335089
239.1147,7.98,0.0455,-2.283616623252843
239.9969,2.405,0.813,-0.24293942603939564
239.9969,2.425,0.895,-0.13545899912698056
240.0004,7.368,0.0446,-2.2950356747219782
240.0182,7.939,0.0363,-2.4158879794839376
240.9658,1.039,0.00958,3.194699938756311
241.088,0.525,0.939,-0.07789566332396185
241.1078,0.86,0.13,-1.6509297333779325
241.1189,0.516,0.0386,-2.3803183513219235
241.1443,0.769,0.7,0.3969662999863059
241.9764,3.249,0.185,1.4225651734484794
242.0125,3.346,0.647,-0.47260760518195105
242.0125,3.711,0.0444,-2.2982224997576184
242.0127,3.404,0.429,-0.8246125539158387
242.0489,3.714,0.247,-1.2287571432161986
242.0665,5.698,0.331,-1.0209096154994979
242.9966,1.058,0.383,-0.9132158664990828
242.9966,3.313,0.711,-0.38171711663269586
242.9966,3.467,0.0934,-1.8543468229933675
243.0178,1.027,0.954,-0.05910577067240069
243.0617,5.673,0.38,0.9181032484266559
243.0624,4.458,0.0163,-2.882632764010627
243.0712,4.454,0.0115,-3.089375066993162
243.0715,4.453,0.297,-1.1010076199705527
243.0773,2.902,0.602,0.5389445542179481
243.1041,0.908,0.618,-0.5150290210955462
243.1083,1.017,0.585,-0.563638513266257
243.1235,0.839,0.157,-1.5317879939030248
243.123,0.971,0.0474,-2.2596313178800123
243.1343,0.515,0.0151,-2.9288261454016196
243.1347,2.554,0.165,-1.4972368271000311
243.9918,3.939,0.918,0.10560642290226423
243.9919,4.942,0.0437,-2.307643113716064
243.992,3.357,0.417,0.8458404830914297
244.0031,4.944,0.24,-1.2486452519124795
244.997,1.029,0.0535,2.188028735003771
245.0123,0.574,0.108,-1.76687516698817
245.0126,3.391,0.0732,-2.0017463854100415
245.0224,3.395,0.109,-1.7614166134203546
245.0432,5.704,0.366,0.9468088282458976
245.0465,2.156,0.0189,-2.796573705339821
245.0777,3.343,0.0775,-1.9673215767754713
245.0777,5.688,0.429,-0.8243843375053386
245.0783,2.502,0.082,-1.9334847812912448
245.1392,0.923,0.222,-1.302574066386209
246.0076,3.632,0.936,-0.08243856660221176
246.0176,3.616,0.922,0.10103480738884021
246.0444,5.448,0.27,1.16798576950426
246.0745,4.944,0.241,-1.2462622400864276
246.0976,0.832,0.535,-0.6424418480187324
246.9763,1.04,0.301,-1.0897522318394655
246.9915,4.007,0.863,-0.177529719065552
246.9915,4.253,0.158,-1.5265444274514068
246.9915,5.457,0.981,0.02454066105731439
246.9916,1.186,0.664,-0.44786344486429874
246.9916,3.123,0.289,-1.1196836770430756
247.0606,2.616,0.233,1.2685623336168557
247.0623,3.484,0.186,-1.4201023513578115
247.0628,4.341,0.253,-1.212486961909005
247.0629,4.641,0.0346,-2.444590031764655
247.0796,2.434,0.0322,-2.4854227217254223
247.0817,0.843,0.504,-0.6929150613200042
247.988,3.057,0.42,-0.8406805117061656
248.0037,3.65,0.745,0.3345862164183007
248.0237,3.389,0.0289,-2.549667696563523
248.0601,5.173,0.0576,-2.1443025907538513
248.0955,0.541,0.00504,3.5762261751886566
248.0957,0.606,0.083,-1.9256119382037693
248.0959,3.144,0.153,-1.5461259095287936
248.9602,5.84,0.285,1.1306305662187284
249.0072,3.179,0.585,0.5644269067243863
249.0072,3.526,0.886,-0.14729368236433502
249.0072,4.708,0.0683,-2.042787386631677
249.0534,0.86,0.595,-0.5492796442828481
249.0577,6.126,0.914,-0.11070419579544999
249.0627,5.154,0.0562,-2.158519416742765
249.0785,3.569,0.0455,-2.2832068550680615
249.0785,3.631,0.0283,-2.560583496698323
251.0131,1.996,0.432,-0.8196150267603141
251.0134,3.423,0.379,-0.9200091255071757
251.0519,7.281,0.916,-0.10878258426507442
251.094,3.644,0.154,-1.5415396932995813
251.1286,0.792,0.242,-1.2437064699114115
252.0203,4.947,0.618,-0.5146884814518715
252.9652,3.796,0.144,1.5841921056807886
253.0559,7.542,0.228,1.2842120575400762
253.0826,3.616,0.651,0.4668016505930206
253.0827,3.556,0.481,0.7322826932348402
253.0921,0.602,0.901,0.12753480744628432
253.1078,0.791,0.0888,1.8847179576460784
253.1191,4.808,0.384,0.9095038386138035
254.9814,10.976,0.745,0.33485168753065586
254.9814,3.634,0.824,0.22799703271429655
255.1345,0.514,0.0521,-2.2037386213993124
257.0122,1.017,0.436,-0.812309071244818
257.0485,0.558,0.621,-0.5103663239726551
257.0544,5.7,0.0663,-2.060655281650952
257.1024,0.515,0.616,-0.5169017974777868
257.1391,0.808,0.175,-1.4600424315148341
257.1498,0.514,0.0538,-2.184770600604133
257.15,0.515,0.692,-0.40745886053574865
258.0074,4.608,0.787,-0.2779309901879564
258.0076,3.328,0.638,-0.4851274945217356
258.0439,4.624,0.934,0.08473229896457454
258.044,2.992,0.396,0.8873878904029494
258.044,3.081,0.667,0.4426744642480776
258.0611,5.695,0.0158,-2.9005506251992603
258.9915,0.564,0.55,0.6186705760436045
258.9917,3.481,0.683,0.42034409457264804
259.0019,3.481,0.944,0.07155701129743477
259.0127,1.039,0.941,0.07602718038073117
259.0129,8.077,0.029,-2.5479483408821335
259.0278,1.04,0.472,0.7478173175017933
259.0278,2.431,0.698,0.4000484514777956
259.0281,3.133,0.215,-1.3237761666782264
259.028,0.58,0.356,0.9675228455343404
259.0415,5.754,0.566,0.5935052796370419
259.0432,5.928,0.93,-0.09047740315621337
259.0561,2.484,0.686,0.41669969662528805
259.0568,7.075,0.00322,-3.849405563241288
259.0635,0.559,0.273,1.1598994388786392
259.1067,0.982,0.116,-1.718747466498933
259.1292,0.516,0.195,-1.3874710151250613
259.9865,3.126,0.0863,-1.9024728275007534
260.0231,7.103,0.0121,-3.05678749660497
260.0249,3.739,0.583,0.5678688069624402
260.0473,2.62,0.487,0.7223329783616681
260.125,7.968,0.768,-0.30333145220239416
261.0071,2.319,0.668,-0.44135908866474355
261.0072,0.592,0.322,1.0418032303809377
261.0072,0.741,1.83e-5,7.6049759262499546
261.0072,4.508,0.0446,-2.2957836596911694
261.0072,4.791,0.974,0.03316323022427562
261.0073,3.254,0.629,-0.49899749637528285
261.0075,3.387,0.744,-0.3355741235199118
261.0198,3.384,0.55,0.6187642329173418
261.0216,3.272,0.599,-0.5436925214830252
261.037,0.533,0.14,-1.6033387735741451
261.0726,5.684,0.0407,-2.349111991533437
261.0875,3.343,0.362,-0.9553152197047279
262.1042,7.536,0.632,0.49421640708306197
262.9863,5.091,0.0226,-2.692490727076095
262.9864,7.93,0.0788,-1.9569065199727527
263.005,0.777,0.00129,4.423115293611172
263.0063,1.022,0.402,0.874305050044265
