term,576.1384_0.705,413.1426_4.219,413.1426_4.51,345.1554_4.506,413.1436_3.2,361.1499_3.066,691.3179_4.171,373.1141_3.685,572.2105_4.512,427.197_3.64,359.1353_0.806,il_12p70,427.197_4.049,345.1933_4.201,Isoferulic acid glucuronide,il_5,gm_csf,447.092_4.187,dihydrodaidzein,O-DMA glucuronide isomer 2,glycitein sulfate isomer 2,217.0173_3.88,617.1836_4.515,glycitein sulfate isomer 1,genistein glucuronide,dihydrogenistein glucuronide isomer 1,6-OH-O-DMA glucuronide,493.1666_4.573,366.0851_4.55,O-DMA,217.0172_4.4,daidzein sulfoglucuronide isomer 1,O-DMA glucuronide isomer 1,497.0695_3.785,daidzein diglucuronide,glycitein glucuronide,genistein sulfoglucuronide,total_lyc,393.0495_3.605,daidzein sulfate isomer 1,365.0863_4.095,ethylphenol glucuronide isomer 2,1122.0249_4.032,ethylphenol glucuronide isomer 1,daidzein sulfoglucuronide isomer 2,521.1082_4.508,1122.0248_4.125,daidzein sulfate isomer 2,daidzein glucuronide isomer 2,daidzein glucuronide isomer 3,daidzein,daidzein glucuronide isomer 1,639.0783_3.758,ethylphenol sulfate isomer,dihydrodaidzein sulfate,4-ethylphenol sulfate,dihydrodaidzein glucuronide
359.1353_0.806,0.5494071146245059,0.7673630717108977,0.7526821005081874,0.7549407114624505,0.6939582156973461,0.8306041784302653,0.6612083568605307,0.79785431959345,0.6645962732919254,0.7763975155279503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
il_12p70,0.17447769621682663,0.16996047430830039,0.1473743647656691,0.16657255787690567,0.060417843026538666,0.15866741953698474,0.12930547713156407,0.1756070016939582,0.08639186900056464,0.1067193675889328,0.29870129870129863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
427.197_4.049,0.47826086956521735,0.6939582156973461,0.686053077357425,0.7007340485601354,0.6521739130434782,0.7549407114624505,0.63184641445511,0.6792772444946357,0.6600790513833991,0.9706380575945792,0.7481648785996611,0.07284020327498587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
345.1933_4.201,0.5392433653303218,0.862224731789949,0.8633540372670807,0.8712591756070016,0.8102766798418971,0.852060982495765,0.8791643139469225,0.8599661208356859,0.7876905702992659,0.8091473743647656,0.6725014116318464,0.03670242800677583,0.7413890457368718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isoferulic acid glucuronide,0.6792772444946357,0.7334839073969508,0.7244494635798983,0.7447769621682664,0.63184641445511,0.7142857142857142,0.6408808582721626,0.727837380011293,0.8260869565217391,0.7594579333709768,0.7176736307171089,0.08977978543195933,0.7470355731225296,0.6397515527950309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
il_5,0.18915866741953696,0.035573122529644265,0.06493506493506493,0.05477131564088085,0.02315076228119706,-0.012987012987012986,0.0784867306606437,0.1789949181253529,0.06606437041219648,-0.032185206098249576,0.09881422924901186,0.5245623941276115,-0.051383399209486154,-0.045736871823828344,0.08074534161490682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gm_csf,-0.06380575945793338,-0.427442123094297,-0.4421230942970073,-0.4105025409373235,-0.4477696216826651,-0.42066629023150753,-0.4364765669113495,-0.38791643139469223,-0.4138904573687182,-0.1067193675889328,-0.06606437041219648,0.29870129870129863,-0.08977978543195933,-0.36307171089779783,-0.1914172783738001,0.09881422924901186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
447.092_4.187,-0.09768492377188027,0.22190852625635232,0.21061547148503668,0.225296442687747,0.3077357425183512,0.31225296442687744,0.3766233766233766,0.30886504799548276,0.13721061547148503,0.3596837944664031,0.42857142857142855,-0.08865047995482778,0.38114059853190285,0.47939017504234893,0.21739130434782605,-0.15753811405985318,-0.09429700734048559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dihydrodaidzein,-0.20496894409937885,-0.23433088650479952,-0.23884810841332577,-0.2546583850931676,-0.14285714285714285,-0.2377188029361942,-0.19254658385093165,-0.22981366459627325,-0.14059853190287971,-0.40372670807453415,-0.20948616600790512,-0.5268210050818746,-0.4138904573687182,-0.12027103331451156,-0.12704686617730093,-0.3642010163749294,-0.0909090909090909,0.29305477131564084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O-DMA glucuronide isomer 2,-0.34613212874082433,-0.20271033314511572,-0.2004517221908526,-0.22190852625635232,-0.11575381140598531,-0.13382269904009034,-0.24449463579898362,-0.13269339356295876,-0.1473743647656691,-0.31564088085827213,-0.14285714285714285,-0.5539243365330321,-0.28740824392998304,-0.2038396386222473,-0.15753811405985318,-0.2783738001129305,-0.27385657820440423,0.3077357425183512,0.7334839073969508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
