Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
161.04555,C00159,M-H2O-H[-],5.668,2.65E-05,EC0009
161.04557,C00159,M-H2O-H[-],3.524,4.65E-05,EC0008
179.0559,C00159,M-H[-],5.977,0.000223533,EC0009
179.056,C00159,M-H[-],6.344,0.000123533,EC00010
179.0561,C00159,M-H[-],5.436,2.35E-05,EC00011
179.0562,C00159,M-H[-],5.704,7.65E-05,EC0009
195.0511,C00159,M-H+O[-],6.805,6.65E-05,EC00010
220.0825,C00159,M+ACN-H[-],5.686,0.000168533,EC0009
73.0294,C00163,M-H[-],0.881,0.000123533,EC00046
163.0403,C00166,M-H[-],0.951,0.000276467,EC00047
278.0704,C00170,M-H2O-H[-],4.755,0.001323533,EC00048
149.0455,C00181,M-H[-],5.396,2.35E-05,EC00032
149.04554,C00181,M-H[-],5.659,1.65E-05,EC00033
149.04556,C00181,M-H[-],5.186,3.65E-05,EC00032
165.0405,C00181,M-H+O[-],6.233,6.65E-05,EC00033
165.04055,C00181,M-H+O[-],5.703,0.000116467,EC00033
165.04056,C00181,M-H+O[-],6.024,0.000126467,EC00033
195.0511,C00181,M+HCOO[-],6.805,0.000655,EC00033
209.0666,C00181,M+CH3COO[-],5.694,0.000505,EC00033
341.1086,C00185,M-H[-],6.451,0.000323533,EC00028
377.0853,C00185,M+Cl[-],6.452,0.0002,EC00028
175.0245,C00191,M-H2O-H[-],0.522,0.000323533,EC00049
175.0246,C00191,M-H2O-H[-],5.38,0.000223533,EC00050
175.02469,C00191,M-H2O-H[-],5.701,0.000133533,EC00051
175.024698,C00191,M-H2O-H[-],4.153,0.000125533,EC00052
193.0352,C00191,M-H[-],7.568,0.000223533,EC00053
193.03525,C00191,M-H[-],7.691,0.000173533,EC00053
193.0353,C00191,M-H[-],3.249,0.000123533,EC00054
253.0559,C00191,M+CH3COO[-],7.542,9.50E-05,EC00053
177.0405,C00198,M-H[-],5.7,7.65E-05,EC00055
341.1086,C00208,M-H[-],6.451,0.000323533,EC00028
377.0853,C00208,M+Cl[-],6.452,0.0002,EC00028
88.0403,C00213,M-H[-],6.143,0.000123533,EC00015
128.0354,C00217,M-H2O-H[-],5.186,7.65E-05,EC0006
161.0455,C00221,M-H2O-H[-],3.634,2.35E-05,EC0008
161.04555,C00221,M-H2O-H[-],5.668,2.65E-05,EC0009
161.04557,C00221,M-H2O-H[-],3.524,4.65E-05,EC0008
179.0559,C00221,M-H[-],5.977,0.000223533,EC0009
179.056,C00221,M-H[-],6.344,0.000123533,EC00010
179.0561,C00221,M-H[-],5.436,2.35E-05,EC00011
179.0562,C00221,M-H[-],5.704,7.65E-05,EC0009
195.0511,C00221,M-H+O[-],6.805,6.65E-05,EC00010
220.0825,C00221,M+ACN-H[-],5.686,0.000168533,EC0009
244.997,C00235,M-H[-],1.029,0.001523533,EC00036
341.1086,C00243,M-H[-],6.451,0.000323533,EC00028
377.0853,C00243,M+Cl[-],6.452,0.0002,EC00028
124.0074,C00245,M-H[-],6.271,2.35E-05,EC00056
87.0451,C00246,M-H[-],2.052,2.35E-05,EC00057
179.0559,C00247,M-H[-],5.977,0.000223533,EC0009
179.056,C00247,M-H[-],6.344,0.000123533,EC00010
179.0561,C00247,M-H[-],5.436,2.35E-05,EC00011
179.0562,C00247,M-H[-],5.704,7.65E-05,EC0009
195.0511,C00247,M-H+O[-],6.805,6.65E-05,EC00010
220.0825,C00247,M+ACN-H[-],5.686,0.000168533,EC0009
341.1086,C00252,M-H[-],6.451,0.000323533,EC00028
377.0853,C00252,M+Cl[-],6.452,0.0002,EC00028
357.1184,C00255,M-H2O-H[-],4.427,0.002023533,EC00058
375.1293,C00255,M-H[-],5.379,0.001723533,EC00059
411.1101,C00255,M+Cl[-],4.192,0.0029,EC00058
177.0405,C00257,M-H2O-H[-],5.7,7.65E-05,EC00060
195.0504,C00257,M-H[-],1.472,0.000623533,EC00061
195.0511,C00257,M-H[-],6.805,7.65E-05,EC00062
195.0515,C00257,M-H[-],0.84,0.000476467,EC00063
195.0516,C00257,M-H[-],0.562,0.000576467,EC00064
195.0518,C00257,M-H[-],0.563,0.000776467,EC00064
195.052,C00257,M-H[-],1.912,0.000976467,EC00065
195.0521,C00257,M-H[-],2.398,0.001076467,EC00066
231.0295,C00257,M+Cl[-],2.581,0.0023,EC00066
236.0772,C00257,M+ACN-H[-],0.506,0.000368533,EC00064
149.0455,C00259,M-H[-],5.396,2.35E-05,EC00032
149.04554,C00259,M-H[-],5.659,1.65E-05,EC00033
149.04556,C00259,M-H[-],5.186,3.65E-05,EC00032
165.0405,C00259,M-H+O[-],6.233,6.65E-05,EC00033
165.04055,C00259,M-H+O[-],5.703,0.000116467,EC00033
165.04056,C00259,M-H+O[-],6.024,0.000126467,EC00033
195.0511,C00259,M+HCOO[-],6.805,0.000655,EC00033
209.0666,C00259,M+CH3COO[-],5.694,0.000505,EC00033
135.0299,C00262,M-H[-],6.065,0.001323533,EC00067
135.02992,C00262,M-H[-],8.49,0.001303533,EC00068
135.03,C00262,M-H[-],5.533,0.001223533,EC00069
135.0302,C00262,M-H[-],5.655,0.001023533,EC00069
135.0312,C00262,M-H[-],3.109,2.35E-05,EC00070
151.0261,C00262,M-H+O[-],3.2,3.35E-05,EC00070
153.0047,C00265,M-H[-],1.043,0.000223533,EC00071
194.0307,C00265,M+ACN-H[-],1.022,0.000768533,EC00071
161.0455,C00267,M-H2O-H[-],3.634,2.35E-05,EC0008
161.04555,C00267,M-H2O-H[-],5.668,2.65E-05,EC0009
161.04557,C00267,M-H2O-H[-],3.524,4.65E-05,EC0008
179.0559,C00267,M-H[-],5.977,0.000223533,EC0009
179.056,C00267,M-H[-],6.344,0.000123533,EC00010
179.0561,C00267,M-H[-],5.436,2.35E-05,EC00011
179.0562,C00267,M-H[-],5.704,7.65E-05,EC0009
195.0511,C00267,M-H+O[-],6.805,6.65E-05,EC00010
220.0825,C00267,M+ACN-H[-],5.686,0.000168533,EC0009
220.0825,C00268,M-H2O-H[-],5.686,0.001423533,EC00072
308.0984,C00270,M-H[-],5.187,0.000323533,EC00073
308.09849,C00270,M-H[-],6.982,0.000233533,EC00074
349.1248,C00270,M+ACN-H[-],5.438,0.000468533,EC00073
349.12488,C00270,M+ACN-H[-],5.186,0.000388533,EC00073
289.0318,C00281,M-H[-],2.546,0.001206533,EC00075
179.0559,C00293,M-H[-],5.977,0.000208533,EC0009
179.056,C00293,M-H[-],6.344,0.000108533,EC00010
179.0561,C00293,M-H[-],5.436,8.53E-06,EC00011
179.0562,C00293,M-H[-],5.704,9.15E-05,EC0009
195.0511,C00293,M-H+O[-],6.805,8.15E-05,EC00010
220.0825,C00293,M+ACN-H[-],5.686,0.000153533,EC0009
249.0627,C00294,M-H2O-H[-],5.154,0.000223533,EC00076
267.0727,C00294,M-H[-],4.074,0.000823533,EC00077
308.0984,C00294,M+ACN-H[-],5.187,0.001668533,EC00076
243.0617,C00299,M-H[-],5.673,0.000523533,EC00078
243.0624,C00299,M-H[-],4.458,0.000176467,EC00079
289.0693,C00299,M+HCOO[-],5.7,0.002155,EC00078
112.0517,C00300,M-H2O-H[-],3.613,7.65E-05,EC00080
112.05178,C00300,M-H2O-H[-],3.504,0.000156467,EC00080
149.0455,C00309,M-H[-],5.396,2.35E-05,EC00032
149.04554,C00309,M-H[-],5.659,1.65E-05,EC00033
149.04556,C00309,M-H[-],5.186,3.65E-05,EC00032
