mz_rt,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size,,,,
223.0458_7.935,223.0458,7.935,6846.15585,Cluster_423.0586_7.921,223.0458_7.935;423.0586_7.921;455.0846_7.922,3,,,,
223.0542_5.477,223.0542,5.477,501.7629,Cluster_223.0542_5.477,206.028_5.477;223.0542_5.477;225.0507_5.487;320.1076_5.48;322.104_5.488;364.0966_5.48;448.058_5.483,7,,,,
223.0973_0.837,223.0973,0.837,126992.95,Cluster_223.0973_0.837,191.1075_0.834;223.0973_0.837;235.0968_0.828;509.1582_0.822,4,,,,
224.002_2.41,224.002,2.41,3979.1504,224.002_2.41,224.002_2.41,1,,,,
224.0233_6.057,224.0233,6.057,29136.59,224.0233_6.057,224.0233_6.057,1,,,,
224.0617_4.914,224.0617,4.914,10073.997,224.0617_4.914,224.0617_4.914,1,,,,
224.0618_4.943,224.0618,4.943,36220.0745,Cluster_224.0618_4.943,224.0618_4.943;449.1303_4.941,2,,,,
225.0073_8.167,225.0073,8.167,21442.797,225.0073_8.167,225.0073_8.167,1,,,,
225.0407_4.167,225.0407,4.167,756.3582,Cluster_225.0407_4.167,225.0407_4.167;503.1361_4.17,2,,,,
225.0472_1.04,225.0472,1.04,17367.792,225.0472_1.04,225.0472_1.04,1,,,,
225.0507_5.487,225.0507,5.487,501.31405,Cluster_223.0542_5.477,206.028_5.477;223.0542_5.477;225.0507_5.487;320.1076_5.48;322.104_5.488;364.0966_5.48;448.058_5.483,7,,,,
225.0615_6.787,225.0615,6.787,41856.52,225.0615_6.787,225.0615_6.787,1,,,,
225.0628_1.132,225.0628,1.132,131007.495,225.0628_1.132,225.0628_1.132,1,,,,
225.0735_1.131,225.0735,1.131,11876.7425,225.0735_1.131,225.0735_1.131,1,,,,
225.0762_0.841,225.0762,0.841,55925.773,225.0762_0.841,225.0762_0.841,1,,,,
225.0991_8.076,225.0991,8.076,28102.2635,225.0991_8.076,225.0991_8.076,1,,,,
225.113_0.808,225.113,0.808,58767.347,225.113_0.808,225.113_0.808,1,,,,
226.0177_3.357,226.0177,3.357,14874.5455,Cluster_242.0125_3.346,226.0177_3.357;242.0125_3.346,2,,,,
226.018_1.956,226.018,1.956,1503.07255,226.018_1.956,226.018_1.956,1,,,,
227.0219_5.696,227.0219,5.696,2580.8993,227.0219_5.696,227.0219_5.696,1,,,,
227.0381_0.604,227.0381,0.604,18703.8245,227.0381_0.604,227.0381_0.604,1,,,,
227.0551_5.703,227.0551,5.703,4412.83185,227.0551_5.703,227.0551_5.703,1,,,,
227.0574_0.577,227.0574,0.577,2223.74475,Cluster_448.198_0.564,227.0574_0.577;399.0896_0.573;448.198_0.564,3,,,,
227.0672_5.687,227.0672,5.687,24044.4435,227.0672_5.687,227.0672_5.687,1,,,,
227.0771_5.322,227.0771,5.322,31434.13,Cluster_181.0718_5.323,181.0718_5.323;227.0771_5.322,2,,,,
227.1035_6.034,227.1035,6.034,12747.835,Cluster_227.1035_6.034,227.1035_6.034;245.114_6.03,2,,,,
227.1147_6.923,227.1147,6.923,41382.381,227.1147_6.923,227.1147_6.923,1,,,,
227.1285_0.51,227.1285,0.51,68345.88,227.1285_0.51,227.1285_0.51,1,,,,
227.1287_0.785,227.1287,0.785,51990.1055,227.1287_0.785,227.1287_0.785,1,,,,
227.9969_2.433,227.9969,2.433,36490.3335,227.9969_2.433,227.9969_2.433,1,,,,
227.9971_3.983,227.9971,3.983,256920.46,Cluster_227.9971_3.983,227.9971_3.983;229.0001_3.981,2,,,,
228.0285_4.934,228.0285,4.934,501.7629,Cluster_236.0252_4.945,228.0285_4.934;236.0252_4.945;238.032_4.94;395.1162_4.934,4,,,,
228.0312_3.932,228.0312,3.932,9704.143,228.0312_3.932,228.0312_3.932,1,,,,
228.0575_3.43,228.0575,3.43,1082.92725,228.0575_3.43,228.0575_3.43,1,,,,
228.0885_0.942,228.0885,0.942,5588.6605,228.0885_0.942,228.0885_0.942,1,,,,
229.0001_3.981,229.0001,3.981,29970.697,Cluster_227.9971_3.983,227.9971_3.983;229.0001_3.981,2,,,,
229.0023_1.031,229.0023,1.031,62402.6865,Cluster_229.0023_1.031,229.0023_1.031;229.0173_1.02,2,,,,
229.0173_1.02,229.0173,1.02,54731.3985,Cluster_229.0023_1.031,229.0023_1.031;229.0173_1.02,2,,,,
229.0174_0.829,229.0174,0.829,52141.09,229.0174_0.829,229.0174_0.829,1,,,,
229.0385_1.025,229.0385,1.025,35615.362,229.0385_1.025,229.0385_1.025,1,,,,
229.0541_0.558,229.0541,0.558,272186.235,Cluster_229.0541_0.558,229.0541_0.558;231.0495_0.56,2,,,,
229.0638_0.559,229.0638,0.559,17345.7395,229.0638_0.559,229.0638_0.559,1,,,,
229.0883_0.552,229.0883,0.552,19355.4365,229.0883_0.552,229.0883_0.552,1,,,,
229.1079_0.847,229.1079,0.847,18095.05,229.1079_0.847,229.1079_0.847,1,,,,
229.1441_0.51,229.1441,0.51,35617.7655,229.1441_0.51,229.1441_0.51,1,,,,
229.9984_1.043,229.9984,1.043,38757.837,229.9984_1.043,229.9984_1.043,1,,,,
230.0128_3.625,230.0128,3.625,13078.1145,Cluster_246.0076_3.632,230.0128_3.625;232.0094_3.638;246.0076_3.632;461.0324_3.631;477.0274_3.636;576.0909_3.632;590.0869_3.632;918.1696_3.625,8,,,,
230.0128_1.11,230.0128,1.11,83122.6625,230.0128_1.11,230.0128_1.11,1,,,,
230.0128_3.617,230.0128,3.617,13468.3545,230.0128_3.617,230.0128_3.617,1,,,,
230.013_2.604,230.013,2.604,21646.9335,230.013_2.604,230.013_2.604,1,,,,
230.0131_2.653,230.0131,2.653,18755.3925,230.0131_2.653,230.0131_2.653,1,,,,
230.0222_3.68,230.0222,3.68,3637.10685,230.0222_3.68,230.0222_3.68,1,,,,
230.0225_3.623,230.0225,3.623,3223.59255,Cluster_230.0225_3.623,230.0225_3.623;412.056_3.624,2,,,,
230.0498_4.392,230.0498,4.392,6222.39685,230.0498_4.392,230.0498_4.392,1,,,,
230.103_0.515,230.103,0.515,9863.206,230.103_0.515,230.103_0.515,1,,,,
230.9815_1.035,230.9815,1.035,30003.287,230.9815_1.035,230.9815_1.035,1,,,,
230.9966_2.338,230.9966,2.338,17104.2415,230.9966_2.338,230.9966_2.338,1,,,,
230.9966_3.831,230.9966,3.831,59188.783,230.9966_3.831,230.9966_3.831,1,,,,
230.9966_4.318,230.9966,4.318,11133.876,230.9966_4.318,230.9966_4.318,1,,,,
230.9967_0.739,230.9967,0.739,58433.195,230.9967_0.739,230.9967_0.739,1,,,,
230.9967_0.761,230.9967,0.761,55592.4075,230.9967_0.761,230.9967_0.761,1,,,,
230.9967_1.606,230.9967,1.606,167618.34,230.9967_1.606,230.9967_1.606,1,,,,
231.0295_2.581,231.0295,2.581,48901.367,231.0295_2.581,231.0295_2.581,1,,,,
231.0328_0.724,231.0328,0.724,26031.955,231.0328_0.724,231.0328_0.724,1,,,,
231.0488_3.479,231.0488,3.479,38153.691,231.0488_3.479,231.0488_3.479,1,,,,
231.0495_0.56,231.0495,0.56,15738.5285,Cluster_229.0541_0.558,229.0541_0.558;231.0495_0.56,2,,,,
231.0676_2.297,231.0676,2.297,26581.657,231.0676_2.297,231.0676_2.297,1,,,,
231.1236_0.974,231.1236,0.974,41961.0815,231.1236_0.974,231.1236_0.974,1,,,,
231.9927_3.013,231.9927,3.013,502.90485,231.9927_3.013,231.9927_3.013,1,,,,
232.0094_3.638,232.0094,3.638,1892.0831,Cluster_246.0076_3.632,230.0128_3.625;232.0094_3.638;246.0076_3.632;461.0324_3.631;477.0274_3.636;576.0909_3.632;590.0869_3.632;918.1696_3.625,8,,,,
232.017_3.668,232.017,3.668,1808.7657,Cluster_248.0037_3.65,232.017_3.668;248.0037_3.65;498.9881_3.658;574.0911_3.655,4,,,,
232.0283_5.427,232.0283,5.427,9917.19,232.0283_5.427,232.0283_5.427,1,,,,
232.0284_4.836,232.0284,4.836,104556.832,232.0284_4.836,232.0284_4.836,1,,,,
232.0985_0.835,232.0985,0.835,7158.0943,232.0985_0.835,232.0985_0.835,1,,,,
232.9759_5.687,232.9759,5.687,12159.95175,232.9759_5.687,232.9759_5.687,1,,,,
233.0116_3.162,233.0116,3.162,40346.725,233.0116_3.162,233.0116_3.162,1,,,,
233.0121_0.618,233.0121,0.618,9748.414,233.0121_0.618,233.0121_0.618,1,,,,
233.0122_3.76,233.0122,3.76,105100.248,Cluster_233.0122_3.76,233.0122_3.76;233.0228_3.752,2,,,,
233.0228_3.752,233.0228,3.752,10644.331,Cluster_233.0122_3.76,233.0122_3.76;233.0228_3.752,2,,,,
233.0469_3.48,233.0469,3.48,43031.88,233.0469_3.48,233.0469_3.48,1,,,,
233.0584_0.821,233.0584,0.821,27337.282,Cluster_233.0584_0.821,233.0584_0.821;235.0563_0.828;269.035_0.82;271.0315_0.816;311.0454_0.833;313.0417_0.832,6,,,,
233.0835_2.303,233.0835,2.303,40990.7865,Cluster_233.0835_2.303,233.0835_2.303;331.0997_2.316,2,,,,
233.1505_7.606,233.1505,7.606,38846.929,233.1505_7.606,233.1505_7.606,1,,,,
234.9916_3.442,234.9916,3.442,36629.985,234.9916_3.442,234.9916_3.442,1,,,,
234.9916_4.916,234.9916,4.916,3633.31335,234.9916_4.916,234.9916_4.916,1,,,,
235.0563_0.828,235.0563,0.828,11219.5155,Cluster_233.0584_0.821,233.0584_0.821;235.0563_0.828;269.035_0.82;271.0315_0.816;311.0454_0.833;313.0417_0.832,6,,,,
235.0569_7.02,235.0569,7.02,31827.96,235.0569_7.02,235.0569_7.02,1,,,,
235.0968_0.828,235.0968,0.828,5396.13385,Cluster_223.0973_0.837,191.1075_0.834;223.0973_0.837;235.0968_0.828;509.1582_0.822,4,,,,
236.0232_7.803,236.0232,7.803,23849.579,236.0232_7.803,236.0232_7.803,1,,,,
236.0252_4.945,236.0252,4.945,1283.522,Cluster_236.0252_4.945,228.0285_4.934;236.0252_4.945;238.032_4.94;395.1162_4.934,4,,,,
236.0772_0.506,236.0772,0.506,2111.06695,236.0772_0.506,236.0772_0.506,1,,,,
236.0924_0.513,236.0924,0.513,21092.735,236.0924_0.513,236.0924_0.513,1,,,,
237.0331_4.951,237.0331,4.951,1068.51325,237.0331_4.951,237.0331_4.951,1,,,,
237.0763_0.843,237.0763,0.843,23047.7,237.0763_0.843,237.0763_0.843,1,,,,
237.1128_0.821,237.1128,0.821,13253.553,237.1128_0.821,237.1128_0.821,1,,,,
237.1241_0.892,237.1241,0.892,58699.2245,237.1241_0.892,237.1241_0.892,1,,,,
238.0071_5.674,238.0071,5.674,23562.5655,Cluster_239.0036_5.67,238.0071_5.674;239.0036_5.67,2,,,,
238.032_4.94,238.032,4.94,501.92515,Cluster_236.0252_4.945,228.0285_4.934;236.0252_4.945;238.032_4.94;395.1162_4.934,4,,,,
238.0774_4.689,238.0774,4.689,8632.676,238.0774_4.689,238.0774_4.689,1,,,,
238.9688_3.227,238.9688,3.227,65615.8325,238.9688_3.227,238.9688_3.227,1,,,,
238.9865_7.261,238.9865,7.261,1026.7431,238.9865_7.261,238.9865_7.261,1,,,,
238.9867_8.106,238.9867,8.106,1877.2601,238.9867_8.106,238.9867_8.106,1,,,,
239.0016_0.993,239.0016,0.993,8032.9915,239.0016_0.993,239.0016_0.993,1,,,,
239.0036_5.67,239.0036,5.67,83595.21,Cluster_239.0036_5.67,238.0071_5.674;239.0036_5.67,2,,,,
239.0341_8.007,239.0341,8.007,51834.073,239.0341_8.007,239.0341_8.007,1,,,,
239.0922_0.817,239.0922,0.817,72531.565,239.0922_0.817,239.0922_0.817,1,,,,
239.0922_0.965,239.0922,0.965,21587.117,239.0922_0.965,239.0922_0.965,1,,,,
239.1147_7.98,239.1147,7.98,41124.9735,Cluster_239.1147_7.98,239.1147_7.98;337.0914_7.977,2,,,,
239.1147_7.668,239.1147,7.668,12711.127,239.1147_7.668,239.1147_7.668,1,,,,
239.9969_2.425,239.9969,2.425,52080.95,Cluster_239.9969_2.425,239.9969_2.425;241.0001_2.418;241.992_2.423,3,,,,
239.9969_2.405,239.9969,2.405,50243.321,239.9969_2.405,239.9969_2.405,1,,,,
240.0004_7.368,240.0004,7.368,36152.1285,240.0004_7.368,240.0004_7.368,1,,,,
240.0182_7.939,240.0182,7.939,49848.337,240.0182_7.939,240.0182_7.939,1,,,,
240.9658_1.039,240.9658,1.039,13434.0645,240.9658_1.039,240.9658_1.039,1,,,,
241.0001_2.418,241.0001,2.418,7906.976,Cluster_239.9969_2.425,239.9969_2.425;241.0001_2.418;241.992_2.423,3,,,,
241.088_0.525,241.088,0.525,3488.5607,241.088_0.525,241.088_0.525,1,,,,
241.1078_0.85,241.1078,0.85,47997.0335,Cluster_241.1078_0.86,241.1078_0.85;241.1078_0.86,2,,,,
241.1078_0.86,241.1078,0.86,48644.5415,Cluster_241.1078_0.86,241.1078_0.85;241.1078_0.86,2,,,,
241.1189_0.516,241.1189,0.516,166319.14,241.1189_0.516,241.1189_0.516,1,,,,
241.1443_0.769,241.1443,0.769,11373.9215,241.1443_0.769,241.1443_0.769,1,,,,
241.9764_3.249,241.9764,3.249,145827.875,241.9764_3.249,241.9764_3.249,1,,,,
241.992_2.423,241.992,2.423,3790.5525,Cluster_239.9969_2.425,239.9969_2.425;241.0001_2.418;241.992_2.423,3,,,,
242.0125_3.346,242.0125,3.346,69499.494,Cluster_242.0125_3.346,226.0177_3.357;242.0125_3.346,2,,,,
242.0125_3.711,242.0125,3.711,20944.197,242.0125_3.711,242.0125_3.711,1,,,,
242.0127_3.404,242.0127,3.404,85685.007,Cluster_242.0127_3.404,242.0127_3.404;242.0234_3.388,2,,,,
242.0234_3.388,242.0234,3.388,9490.256,Cluster_242.0127_3.404,242.0127_3.404;242.0234_3.388,2,,,,
242.0489_3.714,242.0489,3.714,16550.4795,242.0489_3.714,242.0489_3.714,1,,,,
242.0665_5.698,242.0665,5.698,5189.41,242.0665_5.698,242.0665_5.698,1,,,,
242.9966_1.058,242.9966,1.058,11878.576,242.9966_1.058,242.9966_1.058,1,,,,
242.9966_3.313,242.9966,3.313,42788.0155,242.9966_3.313,242.9966_3.313,1,,,,
242.9966_3.467,242.9966,3.467,40913.3975,242.9966_3.467,242.9966_3.467,1,,,,
243.0178_1.027,243.0178,1.027,27578.65,243.0178_1.027,243.0178_1.027,1,,,,
243.0617_5.673,243.0617,5.673,7295.8884,243.0617_5.673,243.0617_5.673,1,,,,
243.0624_4.458,243.0624,4.458,661815.625,Cluster_243.0624_4.458,243.0624_4.458;525.0869_4.456,2,,,,
243.0712_4.454,243.0712,4.454,38624.6605,243.0712_4.454,243.0712_4.454,1,,,,
243.0715_4.453,243.0715,4.453,38566.422,243.0715_4.453,243.0715_4.453,1,,,,
243.0773_2.902,243.0773,2.902,28406.1795,243.0773_2.902,243.0773_2.902,1,,,,
243.1041_0.908,243.1041,0.908,44235.181,243.1041_0.908,243.1041_0.908,1,,,,
243.1083_1.017,243.1083,1.017,25808.717,243.1083_1.017,243.1083_1.017,1,,,,
243.123_0.971,243.123,0.971,92001.035,243.123_0.971,243.123_0.971,1,,,,
243.1235_0.839,243.1235,0.839,199358.625,243.1235_0.839,243.1235_0.839,1,,,,
243.1343_0.515,243.1343,0.515,121934.44,243.1343_0.515,243.1343_0.515,1,,,,
243.1347_2.554,243.1347,2.554,47774.8235,243.1347_2.554,243.1347_2.554,1,,,,
243.9918_3.939,243.9918,3.939,26114.457,243.9918_3.939,243.9918_3.939,1,,,,
243.9919_4.942,243.9919,4.942,29681.1965,243.9919_4.942,243.9919_4.942,1,,,,
243.992_3.357,243.992,3.357,15817.965,243.992_3.357,243.992_3.357,1,,,,
244.0031_4.944,244.0031,4.944,3402.4788,Cluster_244.0031_4.944,244.0031_4.944;251.0124_4.943,2,,,,
244.997_1.029,244.997,1.029,33601.776,244.997_1.029,244.997_1.029,1,,,,
245.0123_0.574,245.0123,0.574,19353.0025,245.0123_0.574,245.0123_0.574,1,,,,
245.0126_3.391,245.0126,3.391,445863.17,Cluster_245.0126_3.391,245.0126_3.391;247.0083_3.391,2,,,,
245.0224_3.395,245.0224,3.395,29622.3735,245.0224_3.395,245.0224_3.395,1,,,,
245.0432_5.704,245.0432,5.704,135068.07,Cluster_245.0432_5.704,245.0432_5.704;247.0403_5.701,2,,,,
245.0465_2.156,245.0465,2.156,167252.835,245.0465_2.156,245.0465_2.156,1,,,,
245.0777_3.343,245.0777,3.343,79482.292,Cluster_245.0777_3.343,245.0777_3.343;291.0835_3.344,2,,,,
245.0777_5.688,245.0777,5.688,36134.51,245.0777_5.688,245.0777_5.688,1,,,,
245.0783_2.502,245.0783,2.502,13736.254,245.0783_2.502,245.0783_2.502,1,,,,
245.114_6.03,245.114,6.03,8580.64,Cluster_227.1035_6.034,227.1035_6.034;245.114_6.03,2,,,,
245.1392_0.923,245.1392,0.923,129032.665,245.1392_0.923,245.1392_0.923,1,,,,
246.0076_3.632,246.0076,3.632,19289.046,Cluster_246.0076_3.632,230.0128_3.625;232.0094_3.638;246.0076_3.632;461.0324_3.631;477.0274_3.636;576.0909_3.632;590.0869_3.632;918.1696_3.625,8,,,,
246.0176_3.616,246.0176,3.616,2746.68885,246.0176_3.616,246.0176_3.616,1,,,,
246.0444_5.448,246.0444,5.448,9284.519,246.0444_5.448,246.0444_5.448,1,,,,
246.0745_4.944,246.0745,4.944,24950.865,246.0745_4.944,246.0745_4.944,1,,,,
246.0976_0.832,246.0976,0.832,8010.2582,246.0976_0.832,246.0976_0.832,1,,,,
246.9763_1.04,246.9763,1.04,22446.731,246.9763_1.04,246.9763_1.04,1,,,,
246.9915_4.007,246.9915,4.007,46988.993,246.9915_4.007,246.9915_4.007,1,,,,
246.9915_4.253,246.9915,4.253,31527.5115,246.9915_4.253,246.9915_4.253,1,,,,
246.9915_5.457,246.9915,5.457,501.8374,246.9915_5.457,246.9915_5.457,1,,,,
246.9916_1.186,246.9916,1.186,20317.7005,246.9916_1.186,246.9916_1.186,1,,,,
246.9916_3.123,246.9916,3.123,73499.51,246.9916_3.123,246.9916_3.123,1,,,,
247.0083_3.391,247.0083,3.391,24575.561,Cluster_245.0126_3.391,245.0126_3.391;247.0083_3.391,2,,,,
247.0403_5.701,247.0403,5.701,46895.276,Cluster_245.0432_5.704,245.0432_5.704;247.0403_5.701,2,,,,
247.0417_2.423,247.0417,2.423,103306.315,Cluster_203.0347_2.437,201.0418_2.434;202.0383_2.431;203.0347_2.437;203.0669_2.431;247.0417_2.423;291.0484_2.435,6,,,,
247.0592_6.116,247.0592,6.116,767.22765,Cluster_249.0577_6.126,211.0823_6.131;247.0592_6.116;249.0577_6.126,3,,,,
247.0606_2.616,247.0606,2.616,19324.4535,247.0606_2.616,247.0606_2.616,1,,,,
247.0623_3.484,247.0623,3.484,43041.269,247.0623_3.484,247.0623_3.484,1,,,,
247.0628_4.341,247.0628,4.341,35344.612,247.0628_4.341,247.0628_4.341,1,,,,
247.0629_4.641,247.0629,4.641,74625.535,247.0629_4.641,247.0629_4.641,1,,,,
247.0796_2.434,247.0796,2.434,5686.06765,247.0796_2.434,247.0796_2.434,1,,,,
247.0817_0.843,247.0817,0.843,8819.52685,247.0817_0.843,247.0817_0.843,1,,,,
247.988_3.057,247.988,3.057,501.92515,247.988_3.057,247.988_3.057,1,,,,
248.0037_3.65,248.0037,3.65,2048.2872,Cluster_248.0037_3.65,232.017_3.668;248.0037_3.65;498.9881_3.658;574.0911_3.655,4,,,,
248.0237_3.389,248.0237,3.389,16352.599,248.0237_3.389,248.0237_3.389,1,,,,
248.0601_5.173,248.0601,5.173,11958.9505,248.0601_5.173,248.0601_5.173,1,,,,
248.0955_0.541,248.0955,0.541,38112.383,248.0955_0.541,248.0955_0.541,1,,,,
248.0957_0.606,248.0957,0.606,22194.511,248.0957_0.606,248.0957_0.606,1,,,,
248.0959_3.144,248.0959,3.144,20682.1545,248.0959_3.144,248.0959_3.144,1,,,,
248.9602_5.84,248.9602,5.84,222140.145,Cluster_248.9602_5.84,248.9602_5.84;316.9476_5.834;384.9349_5.837;452.9223_5.835;520.9097_5.839;588.8971_5.836;656.8844_5.84,7,,,,
249.0072_3.526,249.0072,3.526,15278.6555,Cluster_249.0072_3.526,249.0072_3.526;422.1086_3.515,2,,,,
249.0072_3.179,249.0072,3.179,21029.914,249.0072_3.179,249.0072_3.179,1,,,,
249.0072_4.708,249.0072,4.708,37891.128,249.0072_4.708,249.0072_4.708,1,,,,
249.0218_6.27,249.0218,6.27,4024.4165,Cluster_124.0074_6.271,124.0074_6.271;249.0218_6.27,2,,,,
249.0534_0.86,249.0534,0.86,3265.3373,249.0534_0.86,249.0534_0.86,1,,,,
249.0577_6.126,249.0577,6.126,1015.45185,Cluster_249.0577_6.126,211.0823_6.131;247.0592_6.116;249.0577_6.126,3,,,,
249.0627_5.154,249.0627,5.154,4022.22355,249.0627_5.154,249.0627_5.154,1,,,,
249.0785_3.569,249.0785,3.569,33113.1685,249.0785_3.569,249.0785_3.569,1,,,,
249.0785_3.631,249.0785,3.631,38469.6165,249.0785_3.631,249.0785_3.631,1,,,,
251.0124_4.943,251.0124,4.943,1260.80435,Cluster_244.0031_4.944,244.0031_4.944;251.0124_4.943,2,,,,
251.0131_1.996,251.0131,1.996,1078.15975,251.0131_1.996,251.0131_1.996,1,,,,
251.0134_3.423,251.0134,3.423,2629.9922,251.0134_3.423,251.0134_3.423,1,,,,
251.0519_7.281,251.0519,7.281,6057.15615,251.0519_7.281,251.0519_7.281,1,,,,
251.094_3.644,251.094,3.644,26461.006,251.094_3.644,251.094_3.644,1,,,,
251.1286_0.792,251.1286,0.792,19089.5135,251.1286_0.792,251.1286_0.792,1,,,,
252.0203_4.947,252.0203,4.947,1521.91355,252.0203_4.947,252.0203_4.947,1,,,,
252.0877_0.525,252.0877,0.525,2842.7939,Cluster_285.097_0.525,108.0213_0.53;213.0651_0.535;252.0877_0.525;285.097_0.525;465.086_0.535;476.0405_0.519,6,,,,
252.9652_3.796,252.9652,3.796,1373.59775,252.9652_3.796,252.9652_3.796,1,,,,
253.0522_2.375,253.0522,2.375,13378.2485,Cluster_207.0477_2.382,207.0477_2.382;253.0522_2.375,2,,,,
253.0559_7.542,253.0559,7.542,1581.3378,253.0559_7.542,253.0559_7.542,1,,,,
253.0826_3.616,253.0826,3.616,17770.9485,253.0826_3.616,253.0826_3.616,1,,,,
253.0827_3.556,253.0827,3.556,19260.6795,253.0827_3.556,253.0827_3.556,1,,,,
253.0921_0.602,253.0921,0.602,4361.8579,253.0921_0.602,253.0921_0.602,1,,,,
253.1078_0.791,253.1078,0.791,22058.7885,253.1078_0.791,253.1078_0.791,1,,,,
253.1191_4.808,253.1191,4.808,22873.992,253.1191_4.808,253.1191_4.808,1,,,,
254.9814_3.634,254.9814,3.634,69037.2125,254.9814_3.634,254.9814_3.634,1,,,,
254.9814_10.976,254.9814,10.976,9329.295,254.9814_10.976,254.9814_10.976,1,,,,
255.1345_0.514,255.1345,0.514,113367.972,255.1345_0.514,255.1345_0.514,1,,,,
256.9971_1.024,256.9971,1.024,4337.10155,Cluster_257.0122_1.017,256.9971_1.024;257.0122_1.017,2,,,,
257.0122_1.017,257.0122,1.017,8892.713,Cluster_257.0122_1.017,256.9971_1.024;257.0122_1.017,2,,,,
257.0459_2.303,257.0459,2.303,3074.29235,Cluster_455.318_2.305,257.0459_2.303;427.2868_2.306;455.318_2.305,3,,,,
257.0485_0.558,257.0485,0.558,3394.9174,Cluster_257.0485_0.558,257.0485_0.558;763.1718_0.56,2,,,,
257.0544_5.7,257.0544,5.7,109408.747,257.0544_5.7,257.0544_5.7,1,,,,
257.1024_0.515,257.1024,0.515,12226.497,257.1024_0.515,257.1024_0.515,1,,,,
257.1391_0.808,257.1391,0.808,28582.1365,257.1391_0.808,257.1391_0.808,1,,,,
257.1498_0.514,257.1498,0.514,48670.951,257.1498_0.514,257.1498_0.514,1,,,,
257.15_0.515,257.15,0.515,47592.877,257.15_0.515,257.15_0.515,1,,,,
258.0074_4.608,258.0074,4.608,8626.035,258.0074_4.608,258.0074_4.608,1,,,,
258.0076_3.328,258.0076,3.328,11665.28675,258.0076_3.328,258.0076_3.328,1,,,,
258.0439_4.624,258.0439,4.624,27036.1115,Cluster_258.0439_4.624,258.0439_4.624;258.0555_4.637,2,,,,
258.044_2.992,258.044,2.992,14501.254,258.044_2.992,258.044_2.992,1,,,,
258.044_3.081,258.044,3.081,17140.821,258.044_3.081,258.044_3.081,1,,,,
258.0555_4.637,258.0555,4.637,5632.95765,Cluster_258.0439_4.624,258.0439_4.624;258.0555_4.637,2,,,,
258.0611_5.695,258.0611,5.695,38174.0875,258.0611_5.695,258.0611_5.695,1,,,,
258.9915_0.564,258.9915,0.564,11825.672,258.9915_0.564,258.9915_0.564,1,,,,
258.9917_3.481,258.9917,3.481,284528.16,Cluster_258.9917_3.481,258.9917_3.481;260.9878_3.481,2,,,,
259.0019_3.481,259.0019,3.481,21241.075,259.0019_3.481,259.0019_3.481,1,,,,
259.0127_1.039,259.0127,1.039,23913.763,259.0127_1.039,259.0127_1.039,1,,,,
259.0129_8.077,259.0129,8.077,213250.13,259.0129_8.077,259.0129_8.077,1,,,,
259.0278_1.04,259.0278,1.04,30078.0625,259.0278_1.04,259.0278_1.04,1,,,,
259.0278_2.431,259.0278,2.431,26578.9825,259.0278_2.431,259.0278_2.431,1,,,,
259.028_0.58,259.028,0.58,59471.3105,259.028_0.58,259.028_0.58,1,,,,
259.0281_3.133,259.0281,3.133,7632.13335,259.0281_3.133,259.0281_3.133,1,,,,
259.0415_5.754,259.0415,5.754,1482.59175,259.0415_5.754,259.0415_5.754,1,,,,
259.0432_5.928,259.0432,5.928,3274.2217,259.0432_5.928,259.0432_5.928,1,,,,
259.0561_2.484,259.0561,2.484,57261.642,259.0561_2.484,259.0561_2.484,1,,,,
259.0568_7.075,259.0568,7.075,23780.0785,259.0568_7.075,259.0568_7.075,1,,,,
259.0635_0.559,259.0635,0.559,5827.7015,Cluster_259.0635_0.559,259.0635_0.559;291.0166_0.572;455.123_0.559,3,,,,
259.1067_0.982,259.1067,0.982,7281.91815,259.1067_0.982,259.1067_0.982,1,,,,
259.1292_0.516,259.1292,0.516,18129.993,259.1292_0.516,259.1292_0.516,1,,,,
259.9865_3.126,259.9865,3.126,501.9268,259.9865_3.126,259.9865_3.126,1,,,,
260.0231_7.103,260.0231,7.103,111210.265,260.0231_7.103,260.0231_7.103,1,,,,
260.0249_3.739,260.0249,3.739,9142.8155,260.0249_3.739,260.0249_3.739,1,,,,
260.0473_2.62,260.0473,2.62,71011.405,260.0473_2.62,260.0473_2.62,1,,,,
260.125_7.968,260.125,7.968,19397.9895,260.125_7.968,260.125_7.968,1,,,,
260.9878_3.481,260.9878,3.481,17137.714,Cluster_258.9917_3.481,258.9917_3.481;260.9878_3.481,2,,,,
261.0071_2.319,261.0071,2.319,24786.541,261.0071_2.319,261.0071_2.319,1,,,,
261.0072_4.508,261.0072,4.508,11589.383,Cluster_261.0072_4.508,1197.2671_4.513;1609.3441_4.515;261.0072_4.508;374.1568_4.504;471.0812_4.517;747.2344_4.511;755.2208_4.526;785.1906_4.517;787.1935_4.517,9,,,,
261.0072_0.592,261.0072,0.592,13079.302,261.0072_0.592,261.0072_0.592,1,,,,
261.0072_0.741,261.0072,0.741,31024.4905,261.0072_0.741,261.0072_0.741,1,,,,
261.0072_4.791,261.0072,4.791,15191.3915,261.0072_4.791,261.0072_4.791,1,,,,
261.0073_3.254,261.0073,3.254,71615.783,261.0073_3.254,261.0073_3.254,1,,,,
261.0075_3.387,261.0075,3.387,479704,Cluster_261.0075_3.387,261.0075_3.387;263.0036_3.385,2,,,,
