mz_rt,post,pre,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
431.0972_4.035,56210.07419953099,1952.7329102727863,28.785336644773782,1.19e-6,4.847262179572094,5.924453038607469,431.0972,4.035,1487.4128999999998,431.0972_4.035,431.0972_4.035,1
432.3465_4.852,7655.576038398587,3751.753750395429,2.040532654253148,0.015,1.028945797953098,1.8239087409443189,432.3465,4.852,3460.8855,432.3465_4.852,432.3465_4.852,1
433.1121_3.884,53514.43200185913,1401.4641360425353,38.18466033171107,3.49e-7,5.254921285296666,6.45717457304082,433.1121,3.884,1116.98505,433.1121_3.884,433.1121_3.884,1
433.1123_3.32,19484.23855835939,989.7756823251864,19.68550946067589,1.5e-7,4.29906214479248,6.823908740944319,433.1123,3.32,1062.49665,433.1123_3.32,433.1123_3.32,1
435.1282_4.891,59475.739550430546,694.1469755504032,85.68176718377404,1.09e-8,6.420916330822581,7.962573502059376,435.1282,4.891,504.51829999999995,435.1282_4.891,435.1282_4.891,1
447.0916_4.229,20502.488375340945,934.6999642179896,21.93483380786712,3.51e-8,4.455151870518532,7.454692883534176,447.0916,4.229,1057.3181,447.0916_4.229,447.0916_4.229,1
449.1046_3.633,4743.944178407766,753.7498027979175,6.29379160140176,1.15e-5,2.6539294092366266,4.939302159646388,449.1046,3.633,1152.04495,449.1046_3.633,449.1046_3.633,1
449.1059_4.17,18152.627297938903,4305.848936366342,4.215806816775533,0.00235,2.0758087590848433,2.6289321377282637,449.1059,4.17,4419.77585,449.1059_4.17,449.1059_4.17,1
461.1074_3.814,104915.41964855173,1418.8432306552195,73.9443353442945,8.22e-8,6.208367725866645,7.0851281824599495,461.1074,3.814,505.438,461.1074_3.814,461.1074_3.814,1
461.1078_3.304,38854.040234999906,1189.112205159976,32.67483090863803,2.05e-8,5.030107865019759,7.688246138944246,461.1078,3.304,505.8067,461.1078_3.304,461.1078_3.304,1
593.3321_5.017,32065.317237574873,17969.754386199318,1.7844048698963229,0.00409,0.8354429905507829,2.388276691992658,593.3321,5.017,9406.004,593.3321_5.017,593.3321_5.017,1
595.3478_5.049,41646.88607214729,10876.745688867335,3.8289840788292113,0.0022,1.93696166137849,2.657577319177794,595.3478,5.049,11684.8325,595.3478_5.049,595.3478_5.049,1
