mz_rt,post.x,pre.x,FC_post_div_pre.x,p.x,log2_FC_post_div_pre.x,neglog10p.x,mz.x,rt.x,MPA.x,Cluster_ID.x,Cluster_features.x,Cluster_size.x,post.y,pre.y,FC_post_div_pre.y,p.y,log2_FC_post_div_pre.y,neglog10p.y,mz.y,rt.y,MPA.y,Cluster_ID.y,Cluster_features.y,Cluster_size.y
234.1122_4.883,5932.891525927148,854.9270478991921,6.939646535345925,2.94e-7,2.7948621823006463,6.531652669587842,234.1122,4.883,4621.157999999999,234.1122_4.883,234.1122_4.883,1,18025.111334520898,1160.203281969182,15.536166475867367,8.15e-6,3.957558659859931,5.088842391260023,234.1122,4.883,4621.157999999999,234.1122_4.883,234.1122_4.883,1
250.1107_3.546,8966.392901120586,2521.9129262477563,3.55539352996667,1.13e-6,1.830009253883999,5.94692155651658,250.1107,3.546,6807.92885,250.1107_3.546,250.1107_3.546,1,19916.12232047867,2726.2571925462703,7.305298405055249,2.73e-5,2.868943205089093,4.5638373529592435,250.1107,3.546,6807.92885,250.1107_3.546,250.1107_3.546,1
292.1575_3.656,32364.17075712369,9124.523633545572,3.5469436057066517,3.84e-5,1.8265763924625207,4.4156687756324695,292.1575,3.656,21780.752999999997,292.1575_3.656,292.1575_3.656,1,71304.68153831884,9633.62267664641,7.401647742668382,1.68e-5,2.8878464768974808,4.774690718274138,292.1575,3.656,21780.752999999997,292.1575_3.656,292.1575_3.656,1
