p.value,m.z,t.score,r.t,pos_inx
0.0734,281.1131,1.999997767,3.801,1
0.0741,369.1292,1.994565822,3.953,1
0.0742,277.052,1.993031981,0.659,0
0.0742,402.2846,1.993324355,5.623,1
0.0762,413.144,-1.97709144,3.692,0
0.0762,495.2232,1.977490353,5.846,0
0.0764,342.173,1.975552482,5.69,1
0.0765,375.1294,-1.975112578,0.798,0
0.0769,318.1909,1.971863357,0.803,1
0.077,144.1023,-1.971236162,0.656,1
0.0783,441.1026,-1.961082124,3.212,0
0.0799,215.0021,1.948677756,3.307,0
0.0803,372.0951,-1.945704733,0.795,0
0.0807,243.1344,1.94314945,3.787,0
0.0807,398.1138,-1.942616727,3.137,1
0.0812,457.2496,1.938833984,6.911,1
0.0827,233.0124,1.92819501,2.47,0
0.0829,229.1547,1.92653554,1.206,1
0.0839,255.1349,1.919229908,3.614,0
0.0862,579.2172,-1.902842154,2.935,1
0.0865,383.0324,1.901184296,2.787,0
0.087,312.2166,-1.897115909,4.927,1
0.088,246.1531,1.890591919,5.399,0
0.0887,257.1495,1.885741842,4.039,1
0.089,459.0924,-1.88337371,4.452,0
0.0904,229.15476,1.87381859,2.116,1
0.0908,245.1495,1.871176915,3.326,1
0.0912,211.0611,-1.868747204,3.158,0
0.0917,330.0287,-1.865203193,3.095,0
0.092,464.0663,-1.863258617,2.822,0
0.0926,209.0532,-1.859337603,3.773,0
0.0929,255.13495,1.857172161,4.042,0
0.0929,393.0776,-1.857185983,3.464,0
0.0929,507.2231,-1.857623377,6.98,0
0.0952,363.0756,-1.842301958,0.658,0
0.0956,248.1679,1.83992604,5.389,1
0.096,227.0559,-1.837385006,0.8,0
0.0962,287.0195,1.836304922,0.66,0
0.0962,501.2122,-1.835862194,5.698,0
0.0963,203.139,1.83571502,0.665,1
0.0964,424.0493,1.834731401,0.721,0
0.0973,471.0822,-1.829179002,3.708,0
0.0977,194.0491,-1.826457337,4.031,0
0.0978,220.0979,1.825848312,4.733,0
0.0985,193.0353,1.821656427,5.465,0
0.0985,403.1133,-1.821456159,4.514,0
0.0987,244.1711,-1.820703619,3.868,1
0.0989,227.06,-1.819120533,0.796,0
0.1,293.1465,-1.810371645,4.573,1
0.101,394.1707,-1.80442372,0.77,1
0.102,161.988,1.797936717,0.685,0
0.102,402.2845,1.79755209,4.888,1
0.103,357.1009,1.795222396,4.96,0
0.103,322.2005,-1.79238005,4.899,1
0.104,345.15544,-1.789436214,3.382,0
0.105,645.1893,-1.782450861,2.881,0
0.105,341.1709,1.782992958,3.522,1
0.107,279.0984,1.772104093,3.799,0
0.108,251.0128,-1.763123562,3.524,0
0.108,257.1494,1.764535454,3.646,1
0.109,361.1502,-1.756788866,3.49,0
0.11,439.1608,-1.751237961,3.725,0
0.111,199.0068,1.747508339,4.328,0
0.111,253.9903,1.748763864,0.661,0
0.111,457.097,-1.748205987,2.652,0
0.112,213.1132,1.741647659,5.201,0
0.113,151.04,1.736241208,4.082,0
0.113,230.0156,-1.737914877,0.793,0
0.113,553.1926,1.73551529,5.396,0
0.113,462.1965,1.738762123,5.965,1
0.114,437.18,1.732571901,7.078,0
0.115,182.0458,1.724005225,0.803,0
0.116,273.0073,-1.720773867,0.807,0
0.118,448.2321,-1.70908534,4.67,1
0.119,275.0569,-1.706778615,0.663,0
0.119,145.0648,-1.707041555,5.215,1
0.12,215.0163,-1.70177571,0.719,1
0.121,327.0685,-1.696776255,0.734,1
0.122,218.0821,-1.689867929,5.22,0
0.123,246.0433,-1.682713492,0.669,0
0.123,407.0405,-1.682678771,4.991,0
0.127,427.0844,-1.662317849,2.991,0
0.129,371.0978,-1.655304353,3.481,0
0.13,144.1283,-1.651774753,0.662,1
0.132,293.0331,-1.64098537,2.576,0
0.132,511.2181,1.638843326,5.843,0
0.135,343.1396,-1.627315945,5.368,0
0.136,585.0184,1.619609206,3.643,0
0.137,144.0655,-1.617285982,0.707,1
0.137,281.1128,1.615037353,0.765,1
0.138,436.1596,1.611955983,4.464,1
0.139,168.0302,1.607750053,2.597,0
0.139,514.2642,1.607460473,5.844,1
0.14,336.0493,-1.601095314,0.662,0
0.141,331.0274,1.596496466,0.668,0
0.142,76.0757,-1.593179073,0.642,1
0.143,319.1396,1.589178602,5.493,0
0.143,350.088,1.590390142,3.952,0
0.144,161.9866,1.584625529,2.133,0
0.145,411.1654,-1.581587309,4.559,0
0.145,318.2093,1.581173652,5.034,1
0.146,417.1173,1.577428747,4.046,0
0.147,368.0998,1.571306566,0.802,0
0.147,235.0574,-1.572223107,3.619,1
0.148,211.0971,-1.566351919,3.846,0
0.148,281.113,1.565681919,3.046,1
0.148,389.1625,1.568860255,5.768,1
0.149,343.1003,-1.564547785,0.795,1
0.15,526.2647,-1.557496716,6.979,1
0.151,137.0248,-1.55463139,0.733,0
0.153,247.0798,-1.547076705,4.12,0
0.153,514.1698,-1.545553422,4.543,0
0.154,306.1703,-1.542258514,4.74,1
0.156,246.9913,1.533449535,0.705,0
0.159,392.15496,-1.521432914,3.682,1
0.16,383.133,-1.518922057,0.792,1
0.162,475.2467,1.511393113,4.955,1
0.163,913.2118,-1.505029106,3.895,0
0.163,288.2295,1.506909027,5.182,1
0.164,853.2516,-1.503547897,4.121,0
0.164,366.1134,1.502135666,3.129,1
0.165,263.0272,-1.499876145,2.81,0
0.165,275.0224,-1.499251724,3.427,0
0.165,303.0532,-1.499540557,0.705,0
0.165,371.0976,-1.499976844,0.801,0
0.165,377.0526,-1.497257723,0.697,0
0.165,423.0571,-1.499045442,0.703,0
0.165,555.0787,-1.499895085,2.996,0
0.169,302.0532,1.483825029,0.694,0
0.169,572.2333,-1.482329277,5.399,1
0.17,217.1081,1.479185011,3.912,0
0.17,359.13539,-1.478669603,3.002,0
0.17,485.0499,1.478948248,4.198,0
0.17,271.1653,1.480368692,4.288,1
0.173,741.1857,-1.468971182,3.018,0
0.173,156.0769,1.466904769,0.621,1
0.173,316.248,1.46839419,6.107,1
0.174,377.0353,-1.464103849,0.713,0
0.176,336.1214,1.457169103,3.081,0
0.176,459.1504,1.456993269,4.33,0
0.177,270.183,-1.451550566,4.814,1
0.18,299.1247,1.442748254,0.784,0
0.18,443.1557,1.442549197,5.98,0
0.18,457.0963,-1.441183017,2.367,0
0.181,229.0704,-1.43762408,2.103,1
0.182,273.0074,-1.434428573,3.349,0
0.183,801.2549,1.429380874,4.519,0
0.183,132.0768,1.42917099,0.656,1
0.183,346.2221,-1.432376987,2.636,1
0.184,259.1651,1.427829382,4.324,1
0.185,170.0631,1.424377393,0.751,1
0.186,338.1178,-1.420751439,2.307,0
0.186,364.0972,-1.420751439,3.027,0
0.186,375.0931,-1.420751439,2.077,0
0.186,973.198,-1.420751439,3.133,0
0.187,282.1196,-1.414854203,1.153,1
0.188,356.031,1.411912168,0.667,0
0.188,403.1019,1.413682109,5.042,0
0.19,283.1657,1.407347828,5.239,0
0.191,429.1762,1.4038747,5.798,0
0.191,543.2074,-1.403385224,5.421,0
0.191,258.1834,-1.40123848,4.934,1
0.194,514.136,1.392108707,3.993,0
0.196,316.1938,1.384056091,5.631,1
0.197,345.1552,1.380615727,6.009,0
0.198,224.0563,1.377206073,0.81,0
0.198,390.1393,-1.378031419,3.49,1
0.2,343.0666,1.373380655,0.756,0
0.2,356.0987,-1.372138825,0.796,0
0.2,186.1124,-1.370884818,4.054,1
0.2,301.1391,1.371261725,0.795,1
0.201,303.072,-1.36767789,2.684,0
0.201,364.196,-1.368629472,3.31,1
0.204,487.0759,-1.359166749,2.632,0
0.205,409.0428,-1.356431653,0.71,0
0.206,361.1501,1.352830377,4.225,0
0.206,385.1498,1.352381386,5.181,0
0.207,239.1144,1.348957907,0.622,0
0.207,246.9917,1.349041924,2.802,0
0.208,244.1542,1.34517675,0.804,1
0.209,229.017,-1.342021746,4.354,0
0.21,636.1806,1.338853648,3.455,0
0.21,246.0972,-1.339386791,2.12,1
0.21,381.1534,-1.340514877,4.397,1
0.211,343.0669,1.336399282,2.881,0
0.212,133.0504,-1.331752715,0.696,0
0.212,428.0976,-1.334173315,3.601,0
0.214,359.1344,-1.327002629,4.351,0
0.215,481.2073,1.323092006,5.68,0
0.215,229.1549,1.324571585,0.669,1
0.215,457.2213,-1.323557786,5.699,1
0.216,295.0815,1.321746669,4.242,0
0.216,314.2327,1.319990085,5.619,1
0.217,269.1505,1.317006385,4.575,0
0.217,449.0698,1.316345256,2.589,0
0.217,504.2071,1.316773642,4.427,1
0.218,216.9808,-1.313963057,0.715,0
0.218,281.1142,1.314617425,4.039,0
0.218,489.2123,-1.315453232,4.076,0
0.22,144.03,1.307079556,0.697,0
0.221,136.0482,-1.305825297,0.633,1
0.221,174.1237,-1.304976966,2.04,1
0.224,278.0698,1.296537579,0.683,0
0.224,369.129,1.295431935,3.414,1
0.225,289.0702,-1.292367484,0.663,0
0.225,457.0689,-1.294395763,0.726,0
0.226,269.1506,1.290944647,4.275,0
0.226,368.0971,1.289544865,3.297,0
0.226,174.0873,1.289590608,0.814,1
0.227,289.0528,-1.286149089,0.664,0
0.227,396.1297,1.287108662,3.506,0
0.227,448.1966,-1.285871037,4.911,0
0.227,492.1884,-1.286250222,4.319,0
0.228,344.2066,1.285735815,4.021,1
0.229,299.0779,1.282251801,3.509,0
0.229,461.0863,-1.280837666,3.571,0
0.23,193.0968,1.279685977,0.764,1
0.23,436.225,-1.277975255,0.726,1
0.231,185.0819,1.275911874,4.129,0
0.231,328.0474,1.274545129,0.665,0
0.231,170.0448,1.27530563,2.599,1
0.233,258.0424,1.268251528,0.699,0
0.233,347.1678,-1.268604797,4.233,0
0.233,389.0919,1.270328941,4.531,0
0.234,439.056,1.26741391,0.753,0
0.234,287.1598,1.26702503,0.805,1
0.235,437.0526,1.262867082,5.832,0
0.238,259.057,1.256249733,0.712,0
0.238,331.0121,-1.256164302,3.56,0
0.24,177.0546,-1.24978773,3.653,1
0.24,318.1438,1.250301754,2.762,1
0.24,324.1249,1.248792579,2.964,1
0.241,293.0676,-1.247178766,0.65,0
0.241,517.0977,-1.247365891,4.399,0
0.241,137.0597,-1.245212432,3.062,1
