mass,rt,6101_U4,6110_U2,6104_U2,6109_U4,6111_U1,6110_U3,6105_U1,6111_U4,6113_U2,6105_U2,6109_U1,6113_U4,6102_U1,6102_U2,6105_U4,6105_U3,6111_U2,6103_U4,6102_U3,6102_U4,6104_U4,6101_U1,6103_U3,6108_U2,6103_U2,6101_U2,6112_U2,6113_U1,6108_U4,6104_U1,6113_U3,6101_U3,6106_U3,6106_U2,6108_U1,6111_U3,6112_U4,6109_U3,6110_U1,6110_U4,6112_U3,6108_U3,6103_U1,6106_U1,6109_U2,6106_U4,6112_U1,PooledQC6,PooledQC11,PooledQC9,6104_U3,PooledQC10,PooledQC12,PrerunPooledQC5tryagain-addednew3,PooledQC8,PooledQC7
226.9516,0.553,16.33793857,17.2811112796747,17.0988726972972,15.5231332438774,16.3478617439656,16.8145183052899,17.1011094451016,16.6536385459217,16.8848240799272,16.4947631597224,16.1143566948674,17.2047630104993,16.9809879827687,16.4125774479688,16.9371292943023,16.8619877766753,16.5980095438836,17.1990111499261,17.2696730810488,16.4114799371167,16.7464114645725,16.7217092395076,17.0660951322761,17.1747918674078,17.0052325877633,16.4100384883946,17.042355667549,17.0393966886011,15.7438048944405,17.0206886676323,16.8140079973805,16.7841947184241,16.3445681931308,16.9781970819671,16.4206094200379,16.8816996133052,17.1717962913306,14.8457406928204,16.3365995716734,16.413685462651,16.4305861579757,16.7761398396718,17.0254126641479,15.5294963821322,15.3772870771774,15.6859607663256,16.7664204752182,16.8201937289146,16.8434307463887,16.6766720307826,17.178564972959,16.8802821740108,16.6809978602194,16.7619254810231,16.826334344732,16.6878698578519
159.1492,0.608,15.31814734,14.1709630069457,14.9876775488451,15.9735928055284,17.0959102684645,16.1859737753529,16.2022025404667,16.9482337422343,16.5402699698547,16.6445991107378,15.5191035334479,15.6808059811075,17.1471801345021,16.7349406700265,15.5329404626859,16.3750382817653,16.9949459430673,14.9628412731873,16.6303055338468,16.3868974499759,16.1932868368117,16.4240849152669,15.557888640815,17.1031378993715,15.0537287344765,15.6211060951061,15.264570041166,17.1477191840091,16.6920497502234,16.078498545719,16.6658224776826,15.7837863806297,14.9060927277975,15.5834291060718,17.0484747047313,17.6207472269986,14.6222881297512,16.8520162394863,16.5337982690624,16.1492158395664,16.3437167202669,16.4632068097961,16.1960417914274,16.5739446287774,16.4175619481899,16.073243540086,14.6945695571778,14.3784599734372,14.512989797524,14.5071268897162,15.6542043729232,14.6658382083306,14.462939529476,14.6188161503704,14.4097495421499,14.562952323695
175.1442,0.616,13.72873419,14.4297987265889,13.8706359028943,15.6829197675953,15.5490069801018,13.8115166190491,15.4478275557352,15.6309554334283,15.2062365888307,15.7634625141605,15.6637274755456,13.9397567451608,14.1835644299922,14.298545806873,15.1834139393504,15.3816256761276,15.6397721471483,14.2657296669718,13.9455823848037,14.0230161807221,13.8704870283729,13.9960587667172,14.2448769350999,15.1785486471247,13.9298739023046,14.0184952870671,16.4816465371653,14.4817533290368,15.176291494044,14.0545211865055,13.9057230796263,13.9095343691362,14.8731060157839,15.0581524402929,15.5210837951148,15.5290400737897,16.2001698336242,16.3668330138516,14.1382230440176,14.2317711397349,15.8211376081988,15.2417025583336,12.4417122438718,14.5247309972722,13.3864851476158,12.6368159144098,15.9185425623231,14.7580428237359,14.922293325573,14.7301845694756,14.4923442765081,14.9982384463215,14.7205434312798,14.9046127402137,14.7810192385372,14.8347550284932
189.1684,0.616,14.21938734,14.0954476054906,14.3531173591543,14.6025302996945,14.9877837869021,14.8064833254671,14.835233762042,15.0630138048241,15.1076307941605,14.7165262084221,14.737233620727,14.2726468116339,14.6881885484794,14.5563107897164,14.5819845115495,14.8479199637904,14.8616098097779,14.398864959091,14.7390687516413,14.6221950055247,14.6500702147721,14.865292449017,14.8000801437451,17.6849556154345,16.4006587858167,14.2577092160428,14.3813311979492,14.7227469172937,14.4165056619999,15.052586616949,14.6291305084318,14.4400450654621,14.7405835375211,14.5406112432591,14.5904779197378,14.998012957947,14.4531491659228,15.099713093246,14.6219093807383,14.7842751966197,14.729626089213,14.4550540669593,12.9600741233789,15.1064581160808,13.3760114181634,13.3566400172024,14.3500465966763,14.6331743486543,14.7421956687387,14.7176345613032,15.0111906670046,14.9401478828397,14.5558013811225,14.7714653521058,14.6368198740088,14.6585463157051
189.16,0.615,17.76305542,17.7103171914253,18.1050621660359,18.4238580269991,19.1856252283945,18.8439456730737,18.8381999816156,19.2199846649298,19.4526719702318,18.8647491655262,18.6254515215757,18.4248800487567,18.6472673689544,18.3489886564882,18.6185911413193,18.9149925430664,18.6330022855069,18.4511676432407,18.8544029848628,18.6673789340741,18.5573982443675,18.9481464799046,18.962438213798,18.2889706027473,18.2119395804468,18.1781642650205,18.3170764863471,18.5991273507,18.0510546735033,19.1434162177927,18.3850941449196,18.3071878589066,18.6596753230195,18.5457162261814,18.5004789470773,19.2548664184542,18.4003464212678,19.0665449407254,18.412287264635,18.3794339689452,18.9168486179432,18.1631458326653,16.4831543957068,19.4137847346647,16.7818561137369,17.0296046506518,18.3144896663587,18.4480140854381,18.6892897043056,18.6992590249847,19.1215649986485,17.9866263644043,18.7626232834966,18.6720625744902,18.5333089464763,18.6349565043177
156.0769,0.621,15.30663919,14.1845649540098,16.9432687192017,16.7730338554663,16.6935435703365,15.5188060791803,16.8676948453989,16.8379922142045,16.0363979155417,16.9471819061701,15.5266630974974,15.6929245567399,15.9228732908055,16.0081110372293,15.9424673154426,16.6731846887458,16.4231951315796,14.9786854797884,16.5261249448319,15.6075463969192,17.2099201488179,15.697266951185,15.4261468355387,15.5288619632247,13.9883865568272,15.5663481785072,15.5168818506231,16.8875546572942,15.039481806278,17.1054400078064,16.0064276286401,15.8055986605023,16.5118493715262,15.7246133447555,15.541897430262,17.0778142572812,15.1580770546385,16.5457244598223,15.5822081104862,15.1681310597564,15.4279682455424,15.05461667026,13.4665614194862,16.7897200520404,13.850773311157,13.8460328000768,15.4520219194472,16.1648124914353,16.0545460977953,16.1363890356334,17.357460019316,15.9714392575274,16.0449091702963,15.9458174806435,16.0011774465541,16.0643396599459
170.0926,0.62,17.24864077,16.0559839100139,17.2198301112798,17.4966990453247,17.4370812247257,18.2656461905872,18.4222821703607,17.3301355403626,18.6385446621785,18.4931748074511,18.1036767245739,18.4751457510579,17.8030950762887,17.7738120036212,17.5652667794014,19.265682302911,17.0607884462858,17.7407162420624,18.2867649647653,17.358976838476,18.2730613232971,18.9195222787949,18.9692282158374,18.9420320436797,17.9858256048222,18.2258608707519,16.877212047833,18.2333945169238,18.6599168510452,17.8637752384875,19.1775902609218,18.1094900403366,18.1605215006835,17.0109490107336,19.2047161556855,18.7782802466113,16.7469520388376,17.7540527184019,19.3779707716559,17.9605914187649,17.9543377951544,18.729204250556,15.9562049268638,18.8096276301667,14.5518839561943,14.8125599668369,16.5453458330522,18.1936282694813,18.1423263158471,18.1652609170862,17.4874182936579,18.0941888291633,18.1152950999758,18.0479865913559,18.0713007841806,18.1981378736168
136.0482,0.633,16.63888909,17.4680705270219,17.158200160636,14.0380674012796,15.8151443754273,17.1863745045855,16.449783417841,16.4904971446752,16.2600034372687,16.2489325444182,16.148717678251,16.7910958048383,16.65666817887,16.6086530849381,16.8293990515026,16.3319529317539,16.9849170703431,16.4261453678687,17.0128075790611,16.7679620810278,16.4971857561549,15.8082703092279,16.4712791188115,16.9038897723595,17.1208393265049,16.1859506954118,16.7157917353331,15.8335771668389,16.2117606796131,16.6064522855091,16.3111423524036,16.4702557759717,16.5499071666265,16.4443163534025,16.2572753018622,16.3547297284929,16.4411994529544,13.4787795594524,16.28033660375,16.5937506766125,15.8437238045057,16.3413585075154,18.0597009014447,15.9508898659681,16.6019470067759,16.9568281859905,16.2724550646411,16.5393206056428,16.4157745899517,16.4404767205269,17.2176314315642,16.5226833924902,16.5743885014902,16.426256202424,16.5145423776427,16.6318219885439
137.071,0.636,15.2543946,15.4564726542598,14.6687280961295,14.7932330688211,13.9631188767835,14.75672285993,15.4252695139696,14.2916516697961,15.2373079730182,15.1220056581012,14.6172255195338,15.569902018953,15.8572021544109,15.5103315996153,15.7607523038748,14.9571554226907,14.1268973424802,13.8982720857395,15.7689529105352,15.2351770591954,15.0754542492952,14.9381411504051,13.7889970077215,14.5256165007355,14.7885881988684,15.5345479109254,14.994687351173,14.5557016713387,15.4241159528695,14.4126875478609,15.5046351653185,15.4051822427954,15.5598142750615,14.0967730079547,15.1642334323819,15.1185808123494,15.8119574996803,14.2473699354181,15.4505427650299,15.5495233991482,15.4275210916767,14.97613279246,14.4923395743452,15.3440246886006,15.4403040376577,14.4713441501656,15.8155161479503,15.3255622111248,15.1777143215086,15.0430614537207,14.2161235356767,15.1653494911669,15.1904022465314,15.0403554529414,15.0836056349804,15.2531532460052
162.1126,0.642,16.5533968,14.4458015161643,16.1331716327803,16.3049164421418,16.2950567372962,14.7497661694272,17.8123491222893,15.3919625417823,15.4810545382769,17.4386883837137,17.331663946072,17.0764580287193,16.7491671862045,15.4052005572129,17.2957114504294,17.4921647501532,14.6988727153787,15.633185060577,17.831681026149,16.4259747018441,16.9235080666289,16.2083530958945,15.6592320003025,16.9754451869305,14.8143954242637,14.3290254850245,14.230636939319,17.4941030668038,15.6757833797621,15.4660590517764,16.1034515997085,17.8152452505202,15.5017743643421,16.0629550534919,15.9668994306358,16.4993149975176,14.6575185293817,15.9691265808245,16.8181334228044,17.1079798565504,14.8079224223475,17.0011777320906,14.1563708092402,18.9884312407444,17.1766783414992,14.5508507218947,14.9909060987765,16.7148446895686,16.7191093352935,16.6569304254048,16.5067070364036,16.6158315116105,16.7287373267147,16.6537717896747,16.7949701193237,16.7490996913971
