mz_rt,Yellow,Red,FC_postRed_div_postYellow,p,log2_FC_postRed_div_postYellow,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
1122.0248_4.125,826.7188140909091,22374.650581818183,27.06440231001902,1.34e-8,4.758324622829338,7.872895201635193,1122.0248,4.125,1288.08935,1122.0248_4.125,1122.0248_4.125,1
1122.0249_4.032,749.3802568181818,21166.980490909093,28.245980993391353,6.21e-9,4.819973701764379,8.20690839982342,1122.0249,4.032,1297.9948,1122.0249_4.032,1122.0249_4.032,1
201.0227_4.086,3754.1979363636365,350758.40763636364,93.43098408287781,4.02e-9,6.545829158419426,8.39577394691553,201.0227,4.086,6006.5586,Cluster_201.0227_4.086,201.0227_4.086;201.0227_4.09,2
201.0228_4.555,8847.466218181818,1531222.0781818181,173.06899403979742,1.63e-9,7.435203473394649,8.787812395596042,201.0228,4.555,10748.2335,Cluster_201.0228_4.555,1122.0244_4.55;201.0228_4.555;203.0172_4.555;425.0363_4.553,4
217.0172_4.4,14765.916000000001,65331.618,4.424487989773205,8.68e-4,2.145510513420753,3.061480274823508,217.0172,4.4,22519.8505,217.0172_4.4,217.0172_4.4,1
217.0173_3.88,14788.71909090909,29268.181727272728,1.9790883542621647,0.0449,0.9848360213851637,1.3477536589966768,217.0173,3.88,15514.769,217.0173_3.88,217.0173_3.88,1
241.1189_3.536,43905.99845454546,77350.12127272728,1.7617210402994365,0.04,0.8169854988109947,1.3979400086720375,241.1189,3.536,57377.268,241.1189_3.536,241.1189_3.536,1
253.0503_5.048,501.2626590909091,30829.367854545453,61.50342000431002,9e-7,5.942594731129043,6.045757490560675,253.0503,5.048,793.0253,253.0503_5.048,253.0503_5.048,1
255.0674_5.078,1233.2466863636364,11890.288245454545,9.641451606502482,0.00339,3.269250373409841,2.469800301796918,255.0674,5.078,1161.1671999999999,255.0674_5.078,255.0674_5.078,1
257.0816_6.056,595.8507136363636,11708.986918181818,19.650873365115395,3.36e-5,4.29652152805932,4.473660722610156,257.0816,6.056,502.932,257.0816_6.056,257.0816_6.056,1
297.0975_4.072,2222.5173727272727,118358.52990909091,53.25426534859973,1.17e-6,5.734825176110021,5.931814138253839,297.0975,4.072,2460.65135,297.0975_4.072,297.0975_4.072,1
297.0975_4.498,1965.4484363636363,255732.28781818182,130.11396436902893,7.15e-8,7.023631996141079,7.14569395819892,297.0975,4.498,3050.3737499999997,Cluster_297.0975_4.498,297.0975_4.498;297.1062_4.504;365.0866_4.514,3
333.0047_4.33,2299.0215545454544,80856.93927272728,35.17015276036145,1.84e-6,5.1362796961609964,5.735182176990463,333.0047,4.33,3444.45045,333.0047_4.33,333.0047_4.33,1
333.0066_3.893,1512.6915272727274,30310.47480909091,20.03744601104396,1.45e-6,4.324626728070476,5.838631997765025,333.0066,3.893,1989.0055499999999,Cluster_333.0066_3.893,333.0066_3.893;335.0215_3.886,2
335.0244_4.36,1545.9642454545456,52490.95472727273,33.95353733542479,5.35e-7,5.085489979532072,6.2716462179787715,335.0244,4.36,1899.21515,335.0244_4.36,335.0244_4.36,1
363.021_3.933,2036.2793272727272,13203.907545454545,6.484330203921032,0.00273,2.6969575596138786,2.563837352959244,363.021,3.933,2279.7805,363.021_3.933,363.021_3.933,1
363.0234_4.453,5790.948254545455,33400.38500909091,5.767688389008509,0.0113,2.5279932221765034,1.9469215565165803,363.0234,4.453,6724.134050000001,363.0234_4.453,363.0234_4.453,1
