Feature_ID,mz_rt,post,pre,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
521.1082_4.508,521.1082_4.508,12522.355854545454,1221.1466604545456,10.254587970526224,1.05e-4,3.358197620364755,3.9788107009300617,521.1082,4.508,1431.007,521.1082_4.508,521.1082_4.508,1
572.2105_4.512,572.2105_4.512,733.3780427272727,2926.888559090909,0.25056575538190623,0.03,-1.9967388387135683,1.5228787452803376,572.2105,4.512,1274.16965,572.2105_4.512,572.2105_4.512,1
576.1384_0.705,576.1384_0.705,1078.6143981818182,2177.9426545454544,0.4952446272773557,0.00169,-1.0137867709434432,2.7721132953863266,576.1384,0.705,1559.056,576.1384_0.705,576.1384_0.705,1
579.2066_4.211,579.2066_4.211,770.90834,1256.2731663636364,0.6136470639036602,0.0238,-0.704518959737872,1.623423042943488,579.2066,4.211,1253.7190500000002,Cluster_579.2066_4.211,1041.2898_4.199;579.2066_4.211;807.2393_4.206;813.255_4.198,4
591.3184_5.021,591.3184_5.021,5116.236765454545,3161.5080168181817,1.6182899863729112,0.0192,0.6944701519063983,1.7166987712964503,591.3184,5.021,1921.04905,591.3184_5.021,591.3184_5.021,1
593.3333_5.048,593.3333_5.048,6010.663545454546,1747.3527377272728,3.4398684453789383,0.00673,1.7823533914306875,2.171984935776023,593.3333,5.048,1846.02215,593.3333_5.048,593.3333_5.048,1
6-OH-O-DMA glucuronide,449.1074_4.301,8703.808854545454,2005.6191636363635,4.339711652318222,1.94e-4,2.117599187464566,3.712198270069774,449.1074,4.301,2072.42175,449.1074_4.301,449.1074_4.301,1
617.1836_4.515,617.1836_4.515,9483.970065454545,850.1787681818182,11.155265716334984,0.00101,3.479652973603714,2.9956786262173574,617.1836,4.515,1244.03465,617.1836_4.515,617.1836_4.515,1
639.0783_3.758,639.0783_3.758,6371.299072727273,859.1027109090909,7.416225082080407,2.19e-5,2.890685030354147,4.6595558851598815,639.0783,3.758,1334.0855,639.0783_3.758,639.0783_3.758,1
691.3179_4.171,691.3179_4.171,1080.5619563636365,11459.116730454545,0.09429714189854266,0.0211,-3.4066421456112237,1.6757175447023074,691.3179,4.171,1857.931,691.3179_4.171,691.3179_4.171,1
Isoferulic acid glucuronide,369.0829_3.476,5780.058627272727,14548.332381818182,0.3973004242394387,0.0129,-1.3316977609433351,1.889410289700751,369.0829,3.476,9878.373,369.0829_3.476,369.0829_3.476,1
O-DMA,257.0816_6.056,11708.986918181818,621.7162863636364,18.83332828011736,6.85e-5,4.235216074601079,4.164309428507575,257.0816,6.056,502.932,257.0816_6.056,257.0816_6.056,1
O-DMA glucuronide isomer 1,433.113_4.886,161260.54281818183,2399.593929090909,67.20326337851492,7.6e-7,6.070459386606976,6.119186407719209,433.113,4.886,1617.15355,Cluster_433.113_4.886,433.113_4.886;553.0631_4.891,2
O-DMA glucuronide isomer 2,433.1136_4.519,61103.24563636364,15819.245190909092,3.862589200619893,7.51e-4,1.9495682502483418,3.1243600629958315,433.1136,4.519,4980.5738,433.1136_4.519,433.1136_4.519,1
daidzein,253.0503_5.048,30829.367854545453,1390.7552927272727,22.16735612351259,4.28e-5,4.470364806682468,4.368556230986828,253.0503,5.048,793.0253,253.0503_5.048,253.0503_5.048,1
daidzein diglucuronide,605.1126_3.023,6297.185236363636,929.9455818181818,6.771563153245702,1.88e-5,2.7594889051628937,4.72584215073632,605.1126,3.023,1339.9288999999999,605.1126_3.023,605.1126_3.023,1
daidzein glucuronide isomer 1,429.0815_4.032,43509.88145454546,2322.39732,18.734899958696758,9.46e-7,4.227656368819272,6.024108863598207,429.0815,4.032,1794.5068999999999,429.0815_4.032,429.0815_4.032,1
daidzein glucuronide isomer 2,429.082_3.756,60152.38881818182,2607.140201818182,23.072172634303445,5.58e-7,4.5280819593829005,6.253365801062421,429.082,3.756,1690.28695,429.082_3.756,429.082_3.756,1
daidzein glucuronide isomer 3,429.083_3.201,24024.318418181818,1798.5693318181818,13.35746028422242,1.13e-6,3.739573822484843,5.94692155651658,429.083,3.201,1855.23405,Cluster_429.083_3.201,429.083_3.201;429.0831_3.189,2
daidzein sulfate isomer 1,333.0047_4.33,80856.93927272728,3275.8730636363634,24.682561778804857,8.12e-6,4.625420233044704,5.090443970758825,333.0047,4.33,3444.45045,333.0047_4.33,333.0047_4.33,1
daidzein sulfate isomer 2,333.0066_3.893,30310.47480909091,1846.3364363636363,16.416550208361514,2.56e-5,4.037079084354596,4.591760034688151,333.0066,3.893,1989.0055499999999,Cluster_333.0066_3.893,333.0066_3.893;335.0215_3.886,2
daidzein sulfoglucuronide isomer 1,509.0384_0.699,12390.130245454546,1463.62582,8.465367361074941,7.15e-6,3.081572676331337,5.145693958198919,509.0384,0.699,1660.45725,509.0384_0.699,509.0384_0.699,1
daidzein sulfoglucuronide isomer 2,509.0409_3.291,19770.69381818182,1970.1409363636365,10.035167257969542,9.11e-8,3.326992757450601,7.040481623027001,509.0409,3.291,3089.1084,Cluster_509.0409_3.291,459.0926_3.306;509.0409_3.291,2
dihydrodaidzein,255.0674_5.078,11890.288245454545,985.6614895454545,12.063257387622848,0.00431,3.592547619242384,2.3655227298392685,255.0674,5.078,1161.1671999999999,255.0674_5.078,255.0674_5.078,1
dihydrodaidzein glucuronide,431.0979_3.907,47552.15663636364,2072.291601818182,22.946653161477105,9.66e-7,4.520211842450377,6.015022873584507,431.0979,3.907,1846.0807,431.0979_3.907,431.0979_3.907,1
dihydrodaidzein sulfate,335.0244_4.36,52490.95472727273,2229.694190909091,23.541773101122498,2.48e-6,4.557151079149089,5.605548319173784,335.0244,4.36,1899.21515,335.0244_4.36,335.0244_4.36,1
dihydrogenistein glucuronide isomer 1,447.0928_3.777,8585.048945454546,1912.7230909090908,4.488390915683561,1.59e-4,2.1661983327109295,3.7986028756795487,447.0928,3.777,2274.9899,447.0928_3.777,447.0928_3.777,1
ethylphenol glucuronide isomer 1,297.0975_4.072,118358.52990909091,2711.3741090909093,43.65260017503637,1.95e-7,5.447995685692959,6.709965388637482,297.0975,4.072,2460.65135,297.0975_4.072,297.0975_4.072,1
ethylphenol glucuronide isomer 2,297.0975_4.498,255732.28781818182,2173.6373727272726,117.65177164639627,3.03e-8,6.878379235166734,7.518557371497695,297.0975,4.498,3050.3737499999997,Cluster_297.0975_4.498,297.0975_4.498;297.1062_4.504;365.0866_4.514,3
ethylphenol sulfate isomer,201.0228_4.555,1531222.0781818181,9223.499145454545,166.01314252155848,2.66e-8,7.375153647612842,7.575118363368933,201.0228,4.555,10748.2335,Cluster_201.0228_4.555,1122.0244_4.55;201.0228_4.555;203.0172_4.555;425.0363_4.553,4
genistein glucuronide,445.0782_4.484,28329.407363636365,3033.9507272727274,9.337464550422075,2.34e-5,3.223030860736964,4.6307841425898575,445.0782,4.484,4053.7058,445.0782_4.484,445.0782_4.484,1
genistein sulfoglucuronide,525.0334_3.606,13955.898863636363,1362.50862,10.242796749158448,1.02e-6,3.3565377853465432,5.991399828238082,525.0334,3.606,1621.1766499999999,525.0334_3.606,525.0334_3.606,1
glycitein glucuronide,459.093_3.801,27824.000636363635,1619.0868090909091,17.184996184353054,1.91e-8,4.103077626270803,7.718966632752273,459.093,3.801,1825.0816,459.093_3.801,459.093_3.801,1
glycitein sulfate isomer 1,363.021_3.933,13203.907545454545,1749.4485590909092,7.547468301849286,0.00106,2.9159927926649196,2.9746941347352296,363.021,3.933,2279.7805,363.021_3.933,363.021_3.933,1
glycitein sulfate isomer 2,363.0234_4.453,33400.38500909091,5606.315663636364,5.957635462043673,0.00756,2.5747398501414067,2.1214782044987937,363.0234,4.453,6724.134050000001,363.0234_4.453,363.0234_4.453,1
naringenin-4-glucuronide,447.0919_4.504,16818.336854545454,10829.257363636363,1.55304618680685,0.0177,0.6351007353828858,1.7520267336381934,447.0919,4.504,7327.2997,447.0919_4.504,447.0919_4.504,1
naringenin-7-glucuronide,447.0921_4.067,12062.162790909091,7370.3609636363635,1.6365769397755388,0.016,0.7106814288558573,1.7958800173440752,447.0921,4.067,6185.180200000001,447.0921_4.067,447.0921_4.067,1
