mz_rt,row ID,6110_U2_C18POS_34,6101_U4_C18POS_14,6109_U1_C18POS_58,6105_U3_C18POS_39,6105_U1_C18POS_43,6109_U4_C18POS_22,6113_U4_C18POS_62,6101_U1_C18POS_59,6103_U4_C18POS_53,6105_U2_C18POS_40,6111_U4_C18POS_42,6110_U3_C18POS_45,6104_U3_C18POS_32,6102_U1_C18POS_26_1,6104_U2_C18POS_19,6110_U4_C18POS_start-10,6112_U2_C18POS_37,6102_U2_C18POS_16,6102_U3_C18POS_48,6113_U2_C18POS_31,6101_U2_C18POS_30,6109_U3_C18POS_52,6102_U4_C18POS_50,6111_U2_C18POS_35,6101_U3_C18POS_29_1,6112_U4_C18POS_63,6111_U3_C18POS_54,6105_U4_C18POS_47,6113_U1_C18POS_24,6108_U1_C18POS_44,6110_U1_C18POS_11,6112_U3_C18POS_56,6108_U4_C18POS_18,6103_U3_C18POS_61,6108_U2_C18POS_27_1,6106_U4_C18POS_36,6103_U2_C18POS_60,6113_U3_C18POS_15,6106_U2_C18POS_46,6104_U1_C18POS_55,6104_U4_C18POS_12,6108_U3_C18POS_28_1,6103_U1_C18POS_21,6112_U1_C18POS_38,6106_U3_C18POS_20,6111_U1_C18POS_51,6106_U1_C18POS_23,6109_U2_C18POS_13,PooledQC8_C18POS_33,PooledQC11_C18POS_57,PooledQC7_C18POS_25,PooledQC9_C18POS_41,PooledQC12_C18POS_64,PooledQC10_C18POS_49,PooledQC6_C18POS_17,PrerunPooledQC5tryagain-addednew3_C18POS_14_1
147.1128_0.54,12,2433.233,7500.161,9808.681,16983.906,10590.299,7582.502,22400.164,9275.137,3154.5312,10396.66,29564.635,4374.3486,16698.283,2502.3606,15478.766,5887.398,9233.722,2966.8071,3755.8218,48404.98,8520.801,4814.2495,3394.52,14833.34,9006.571,6981.5156,80380.67,13017.422,19481.693,4994.8335,5775.9146,8249.328,6266.511,8145.8193,9873.721,3235.435,4764.2124,24418.521,3940.893,22419.053,30139.242,9043.255,2843.5723,6125.8027,6903.0957,27490.592,9969.604,7410.876,9910.762,11295.954,12257.219,10869.492,11148.728,13673.44,11805.319,9851.761
430.9137_0.551,17,26781.727,15520.431,11861.903,22389.035,26157.885,7874.6675,28323.541,20251.406,32562.023,19660.342,23727.115,23431.24,30553.117,23394.268,25861.72,17172.557,28512.012,19580.111,32191.129,24464.213,18235.96,5702.3257,15778.071,19171.002,22070.38,28890.049,23730.795,24202.94,31675.273,17814.373,20249.969,19504.291,9773.327,25688.979,26965.271,13460.992,23104.256,27371.904,29160.498,24547.105,24325.104,18360.46,29447.416,20471.46,19600.504,20252.322,11175.123,8272.905,20042.342,22576.428,17501.25,21425.781,22191.527,29280.412,21183.137,21286.055
226.9618_0.553,19,13287.297,7344.8706,7909.1064,11098.885,13523.7705,5211.353,13595.95,9095.159,12957.082,10480.515,10406.742,9373.036,13461.07,11373.793,12523.291,9647.133,12612.051,8777.286,12048.58,10952.682,8707.058,3317.8167,9838.709,10230.083,8888.57,13036.294,12560.418,9373.966,13506.373,9829.704,7993.9097,8416.155,7404.569,13399.252,12896.823,5882.184,11627.057,11037.285,12851.992,10606.151,9480.827,8965.248,11295.985,11393.717,7685.4873,9131.77,6161.4946,4704.9077,10137.062,11258.444,9898.015,10263.852,11559.401,12596.829,9820.148,10986.052
446.8876_0.553,20,16039.018,16001.824,13152.845,13107.775,12392.445,14698.375,14450.677,12446.332,14686.218,12287.512,12050.705,11918.844,12531.292,13790.629,13993.002,16714.87,12603.903,12535.992,10359.865,9303.376,14702.084,9581.831,10788.047,15504.441,14336.599,16498.893,13650.42,16029.556,10921.392,7179.844,16704.941,17721.398,12016.422,11708.185,9760.529,17317.404,15070.0205,12216.596,19248.645,13309.043,14425.111,13894.895,12415.603,15987.667,15722.139,15377.023,13397.598,12941.959,14782.336,16345.661,13956.94,11451.467,13890.802,16439.354,14114.973,14338.358
362.9263_0.552,21,23020.219,14826.044,11845.889,21021.861,21322.734,5885.5625,22855.11,11609.962,24841.041,14103.888,18361.475,18734.164,25674.271,21957.73,21321.484,13498.051,23649.277,14624.931,21919.268,19386.342,18450.25,3631.8357,12323.673,18190.93,19023.932,22638.832,19194.117,21660.215,23853.6,16817.203,18805.166,16464.713,7884.633,22229.498,23196.043,9252.599,21068.941,21221.535,24987.271,20578.287,21012.145,16196.003,26431.129,18886.338,14195.3955,16162.926,10910.387,6487.553,20573.504,20747.139,16148.342,16393.432,19307.986,19743.303,16573.502,21077.521
90.9834_0.554,22,6531.1895,6645.2837,6414.572,6674.9614,7771.4067,4314.051,9100.319,6849.252,7315.6743,5965.8203,8989.987,7953.4995,8491.969,5824.717,8730.181,6110.541,8736.571,6959.2573,9199.302,7794.018,5281.222,2995.285,5898.184,6045.5786,7198.2803,8566.511,9470.115,8170.3105,8894.398,6824.6343,5909.6396,6462.06,3666.8103,6767.124,9055.726,4341.972,7739.1865,8259.486,8233.592,8215.529,7201.1045,7398.149,6920.413,5121.9385,5230.197,5209.2935,3820.1604,3359.6821,6996.797,7351.361,6868.2466,8053.8965,7457.6553,6847.874,7214.322,6731.0293
158.964_0.552,23,64651.547,37805.51,32587.783,50345.418,52364.016,26156.035,54563.453,48395.383,61637.51,43552.035,48890.906,46998.746,62116.418,52257.055,55609.64,42732.28,53128.957,45633.99,67221.625,49216.137,42815.53,17465.404,39357.7,47169.09,45723.324,57124.375,50485.63,54973.918,52418.945,39000.215,43591.953,41190.25,23090.504,55135.96,62349.508,28391.707,49400.04,51361.23,51675.33,56566.258,52057.4,46467.605,53156.914,46768.133,44192.953,44573.31,26383.543,23235.805,48567.97,48615.867,44524.543,47558.918,47987.145,49428.38,48647.867,50202.56
378.9003_0.553,24,16936.803,12861.714,13681.534,9241.209,11406.412,14004.478,12210.242,8735.184,13006.924,9515.444,13709.39,11464.373,8336.051,12760.071,13418.545,16299.542,13525.36,11549.905,8572.358,9095.633,12717.516,9544.801,9956.953,12385.976,12367.33,11291.494,10593.245,13563.497,11000.001,8613.849,12902.041,11425.828,12221.597,12026.626,11408.7295,18298.396,12861.024,11216.797,17081.527,10710.448,12538.718,11149.745,10446.27,12899,11133.794,13984.231,10321.906,11148.657,17240.281,14359.891,11497.254,13925.813,11243.402,14915.007,12203.9375,13335.444
226.9516_0.553,25,159688.03,82834.18,71325.1,119496.164,141117.86,47134.42,152010.11,108696.85,151227.14,92647.234,103462.3,115715.87,148690.36,129556.31,140460.9,87255.984,135379.4,87254.2,158717.75,121278.8,87252.82,29571.488,87557.96,99459.875,113077.48,148593.53,121373.62,126016.305,134874.95,88048.13,82726.55,88792.13,54899.086,138054.66,148205.27,52854.555,132331.77,115232.82,129639.65,133671.44,109916.21,112433.48,133522,111820.69,83277.68,83789.77,47348.37,42557.29,116489.13,118240.37,105719.375,105114.6,105737.87,121176.71,115757.52,111062.14
498.901_0.551,29,16091.583,9997.015,6064.355,16957.326,18023.266,4011.9265,16595.908,10133.306,16491.252,11053.106,12357.832,12422.1875,14525.504,12766.743,15284.881,9749.345,15091.36,9238.905,17881.799,13472.371,11234.957,2360.5522,11000.662,13601.465,11943.2705,15594.138,11307.188,12723.194,15542.327,9287.112,10510.429,11586.095,5899.947,14435.173,12985.809,6836.6353,16394.242,13078.068,14341.601,14224.458,14981.624,12641.531,17536.309,11144.878,11690.148,9479.965,7924.4746,4419.248,14429.716,13252.209,10956.882,10794.239,13189.532,13344.463,11512.816,15377.813
566.8884_0.551,30,16653.998,8476.81,8242.0625,15018.35,15828.344,5171.017,14808.85,9001.36,16306.192,11242.101,14240.015,12638.05,16580.668,14620.505,16657.547,11772.479,16248.063,9361.393,17814.02,12611.984,9783.875,2748.158,9073.486,11765.076,12326.126,17354.574,13316.79,15757.086,17334.402,8795.281,8955.937,10199.025,5425.475,15183.687,16257.713,6329.811,15383.359,16242.02,14429.724,13688.426,16612.875,10874.2705,15307.674,12993.668,13253.748,10021.568,6367.207,3624.1616,10807.939,11749.519,15810.933,11647.843,11370.835,12769.074,12502.946,13636.148
90.9765_0.554,31,115036.35,78275.08,72064.72,95034.26,103211.016,49108.547,112739.6,93901.28,95759.98,82231.35,97776.13,94280.484,96639.85,98855.02,106139.36,65156.426,95541.4,94186.2,104850.414,96537.73,81324.41,37168.727,80258.09,84286.71,83082.2,105086,103272.42,95756.4,109602.266,88495.31,79910.02,81401.64,49650.246,93877.914,107321.47,59618.684,95375.16,95149.38,103086.51,97009.6,85857.81,93867.43,94659.31,79245.58,64417.54,74904.49,47546.465,47149.723,95901.31,90950.68,92689.04,93916.875,88365.125,93577.15,88349.09,99089.52
242.9255_0.555,32,71937.39,62714.133,72125.91,45595.316,49103.918,66586.23,47263.59,46893.06,59333.93,44394.938,54412.98,48161.926,50051.848,60051.145,50527.16,80829.234,55319.242,52162.78,36392.43,45501.945,55800.48,47034.44,58015.88,61000.57,57996.875,51438.035,52665.543,68600.62,51202.703,42179.586,52228.03,63436.85,59490.69,49490.273,48417.03,81471.555,68218.79,50324.15,81219.59,61996.695,57073.79,58518.957,52880.113,54617.945,54734.02,64419.11,47505.098,51920.867,56954.375,56050.074,52544.09,52523.83,53423.023,60656.66,62941.387,63483.184
394.8741_0.555,33,5296.2656,6734.047,8668.197,2572.5703,2367.278,13701.2705,2323.7266,3901.84,3299.171,3018.5059,3595.3787,3509.926,2681.3726,3076.48,2694.2954,11787.068,3391.159,2832.6448,1617.0043,2613.1467,6200.9673,7733.0215,4092.8445,5282.9473,4176.7812,3180.4426,3796.1077,4784.754,3520.0234,4029.5837,5515.059,5434.927,7077.591,2987.9585,2434.7805,19601.324,4321.0386,3174.7883,9377.131,4601.1216,4724.126,3458.0986,2571.7605,4089.0864,6247.1724,4304.1963,5218.786,12223.258,3644.0225,5025.7456,4107.0483,6299.092,3584.4143,6125.9546,4532.885,5816.1455
634.876_0.551,34,14020.725,7328.839,6214.8965,11149.609,14956.872,2953.331,12669.903,10533.498,14146.36,7471.874,12527.063,13523.076,12795.167,9351.598,12051.596,7622.0166,12567.881,6736.0415,14304.378,11730.092,8759.698,1875.5557,6548.104,9631.357,8651.715,13234.928,9595.276,12529.842,13881.639,8314.205,9441.627,9459.443,4417.924,13122.134,13044.58,4494.0146,11798.761,10370.364,12309.224,9644.646,10317.126,9774.998,13056.396,9937.196,9359.524,7692.2305,5065.2334,2526.105,8259.416,9804.494,11951.721,8265.435,9938.839,10392.178,12067.125,11264.226
702.8633_0.551,35,17800.662,9195.282,6789.305,16725.738,17217.66,3135.0305,18989.273,9385.073,13606.96,9462.569,14554.461,13106.793,17924.326,12463.624,13986.829,9993.254,16840.402,9166.665,16269.569,11118.751,11528.103,1266.8168,6584.042,13579.101,12305.502,14807.297,10839.374,14106.883,15570.712,7353.354,9687.08,9256.861,5006.445,12462.042,14883.729,4876.635,14419.162,13076.134,15550.233,14473.438,13597.237,9026.502,19770.648,11879.672,9049.475,8701.767,4529.8433000000005,2511.955,11169.439,9754.52,12379.215,9981.22,10853.915,14510.22,12935.981,13648.643
854.8116_0.551,36,7578.9287,6202.889,5581.9697,5721.092,5444.856,4756.764,5393.1714,4773.093,7281.0825,5438.878,5564.3613,6101.8066,4830.0127,4331.2393,6029.589,5473.463,5772.925,5382.1665,3498.9536,4551.381,6601.125,2017.5588,3302.1875,6967.617,5705.5913,5785.386,5644.2744,6616.855,4385.526,4197.193,4553.458,5417.9,5120.5015,4985.489,4243.0005,6035.698,6601.7935,5013.653,10167.85,5525.6924,6822.681,5509.8115,7774.5317,7310.197,5590.3413,7166.8613,3443.0183,3345.1602,7140.1416,6196.611,6823.4326,8184.719,7616.6147,6525.2217,6169.136,6905.0366
912.7814_0.554,37,9162.415,3780.4324,3984.43,10157.3125,8431,1963.1868,8788.52,3469.0005,10067.196,5252.7236,8707.308,5529.3423,9016.821,6984.819,9285.121,5428.6714,12043.745,4690.69,9551.616,8127.2026,5405.1787,NA,5153.22,5502.334,6670.497,7891.6826,6222.4077,6331.744,8078.6797,3037.1182,4726.907,6223.306,2790.6265,8211.862,6309.058,2024.0024,8070.634,7991.1387,7506.5605,7918.5366,6284.847,7027.025,12214.346,6208.534,4096.0054,4866.6807,2449.6692,1389.2666,10766.031,6810.4795,5758.7275,8789.011,6937.327,6210.9214,6378.563,8214.199
174.9381_0.557,38,20760.85,19292.424,17834.807,13128.08,13038.11,16719.496,13052.944,15805.377,15829.691,13114.4375,16057.949,16341.378,11911.691,16790.791,15483.806,19315.863,16022.909,13124.258,10200.886,13268.551,15451.181,16374.773,15106.841,14423.886,17137.857,14310.499,14026.962,15960.0205,11757.158,10173.507,16025.808,14773.899,15762.905,14027.1455,10490.858,24150.42,15557.503,13420.117,24599.496,18295.117,16471.99,13698.113,13961.564,18170.902,15182.073,18798.379,14137.137,17082.52,19567.768,13364.122,13529.645,15235.813,17483.879,16814.424,15884.224,16234.624
582.8622_0.552,39,9215.562,8738.429,7576.7295,6910.5635,5678.164,9145.263,7254.713,5349.8315,9051.407,5721.619,9405.625,6251.59,4595.173,5031.7397,7541.8364,8851.001,7434.557,5970.201,5054.4404,5749.2466,8066.011,5822.308,5265.4346,6868.8955,7831.584,6504.5713,7353.033,9166.087,6331.809,7460.7817,6714.209,6773.27,6027.0513,7791.9756,5578.247,16361.575,8362.766,5485.768,11786.65,7937.9365,7875.677,7346.029,6685.0806,8727.838,8822.931,8046.896,7195.678,5224.726,6500.176,8278.0205,8570.254,6785.914,8903.418,8273.575,8713.878,7232.1367
650.8498_0.552,40,8169.103,6213.0234,6028.4146,5550.045,5805.581,6606.9087,5873.852,4527.1523,5707.4126,5176.6685,7383.4395,6201.495,5659.201,6441.0205,6349.6123,7547.298,5198.017,4816.4355,3668.9163,5172.3477,5766.34,3136.349,4238.3403,6362.0625,6827.374,5029.654,4518.1133,7420.3623,6766.5015,4173.5464,7423.8633,6427.1294,5195.493,5935.7173,5837.6807,8094.8755,8080.213,5706.358,9328.6875,6462.6304,5797.168,7523.601,6448.7964,7636.861,8713.615,7704.0225,5284.75,5649.1997,5698.928,6664.086,4928.4478,5607.3735,5685.728,7068.09,9143.919,7021.4946
718.8371_0.552,41,9027.783,6930.359,6789.7046,5243.207,7381.2495,5443.0054,5975.9946,6192.797,6868.199,5123.7446,7181.487,6205.4546,6764.2637,6200.7407,7412.057,8343.952,6995.314,4661.174,4645.3564,5130.8574,6300.17,3855.9968,4638.1714,7914.406,6373.085,6796.138,6600.0913,8348.59,7741.067,4012.7568,8111.787,6473.0557,6672.893,6868.8916,5182.3013,8936.742,8000.96,7516.1514,10931.311,6467.0117,8141.05,6811.3115,6721.096,8367.056,9663.03,7252.825,5439.036,4848.4043,7111.033,7328.6416,6534.591,5989.618,8052.642,9175.426,7736.1953,7332.3335
272.9445_0.579,42,1261.6398,4031.8025,2642.6255,3641.6655,3662.9575,1682.0842,4188.965,12278.183,5280.532,2966.007,6008.1704,4452.048,3847.0774,9121.239,2654.7207,3554.565,5317.8975,9212.107,11286.814,3134.9146,5597.6816,6287.391,8960.46,7279.804,5035.6035,2317.1475,3847.651,NA,4723.5293,9083.1,4285.8477,1879.8514,2555.3894,4065.816,8834.085,5856.1187,2397.349,4989.456,7843.397,3043.571,4632.016,4626.4834,3384.0051,2666,4017.7908,3229.842,NA,3512.092,3666.7288,2763.882,3222.2222,3236.9185,2889.4875,3155.789,3677.7869,3921.8945
572.8449_0.557,43,16711.062,7300.4106,5749.5376,16279.878,17743.031,3024.2056,15632.521,7247.6396,19764.092,12088.995,13608.191,11740.371,17926.227,10730.964,13501.831,7792.4517,17298.879,9306.357,17599.916,14330.116,7773.444,NA,6748.663,11587.613,12041.32,14771.808,12198.369,12383.4375,17644.852,9385.083,8908.834,11840.5,4197.3164,14436.066,14860.825,4110.8296,14464.19,11920.062,15443.037,14758.534,15597.726,11858.099,18286.91,11604.647,12989.258,9072.823,4887.751,2906.0613,12691.401,12409.007,12879.55,12555.885,14798.2,13295.396,12337.585,14356.415
640.8323_0.557,44,14466.056,5642.7466,5781.6533,12762.097,14618.229,2205.393,17565.809,7640.016,18180.43,9627.725,11678.952,11123.64,17086.242,10084.799,16087.025,6259.394,16290.869,7840.8525,12741.625,14707.649,6396.6177,NA,6760.041,8611.143,11924.743,15656.8,13193.878,12987.88,15338.715,7420.028,6905.1055,12286.886,3556.1772,16001.184,11006.191,3552.979,13095.7295,10930.582,14201.068,15437.519,10644.8,12793.065,12958.667,12200.244,8473.829,7510.1455,5150.22,1880.3809,12851.145,12026.487,13657.994,10888.217,11787.484,12558.117,9814.873,14377.815
504.8576_0.558,45,16811.982,9061.97,6459.664,14514.188,16126.582,3053.9006,18700.145,8741.779,16688.479,11055.127,13682.715,13281.193,19367.367,14459.796,14927.126,7610.0635,17695.494,11018.473,15588.578,13562.24,11782.803,1882.4447,9881.836,11560.78,12197.475,17426.26,13128.999,14489.315,18572.842,8394.956,8812.14,13152.7705,4620.138,17333.832,13444.433,4757.0386,14868.735,13946.184,14425.008,15116.083,12817.547,12640.468,19584.664,13866.556,11042.279,10962.578,6906.6997,1956.4081,15529.602,12767.206,14647.386,13358.62,12700.007,17002.678,11453.216,13497.544
724.7936_0.557,46,12695.527,6325.324,5518.978,8431.223,8195.779,6502.029,8537.238,5711.5527,7434.88,6051.1206,8504.007,6439.932,7504.632,6223.7925,6867.857,9028.358,7611.879,5567.093,6177.5176,7404.887,8236.026,2309.9138,5892.1294,7653.452,7422.8467,7992.859,6340.064,9837.365,8285.244,4664.1606,6059.5,8356.496,5145.1367,7869.3066,5223.248,6025.7583,10667.544,6047.253,11282.248,8704.782,8824.82,6914.346,7949.9316,8884.824,8091.381,8555.049,6627.9175,3538.8828,6936.0005,9780.932,8879.163,8178.2715,8521.028,8223.386,7849.057,11904.3
844.794_0.555,47,11175.817,3734.185,5997.133,11199.28,10399.616,2036.445,11051.063,4758.1636,10564.281,8431.41,8727.352,7392.837,10348.601,9296.285,11318.316,5078.605,10864.624,6314.978,12692.419,11172.284,6808.4834,NA,5204.215,5389.976,6300.9707,10409.266,6456.307,9652.03,9232.141,3511.8254,3947.8044,6297.8516,3481.883,11513.661,8754.475,1664.3162,12215.193,7968.8613,8519.155,9230.522,8728.972,6891.706,13649.059,6622.944,5177.0312,6109.744,3248.4119,1922.7788,8028.671,6792.5405,7407.704,8767.95,7509.6543,8474.885,7468.506,9106.564
436.8701_0.56,48,21859.102,8133.09,8026.405,17323.54,18593.377,4745.1953,20911.066,10862.48,19257.324,13029.611,14897.449,13432.69,20373.834,13004.675,18046.709,11557.43,16690.225,11021.237,19633.287,16797.531,10575.257,1911.796,12360.061,11649.046,12817.781,18098.873,17444.541,16434.95,19564.473,10153.79,8376.758,11044.928,5985.2153,15960,20090.818,4781.6284,18469.043,15510.414,14575.255,19118.447,15215.695,15040.901,20185.459,14343.102,11784.182,11666.787,5737.556,3745.1333,17096.385,14645.402,13085.384,16158.878,13817.903,14253.045,14323.954,15769.64
708.8197_0.556,49,14033.44,6102.7217,4853.2207,11203.474,12652.808,2176.3027,15433.856,5535.377,14614.911,8531.423,10392.413,10813.517,14055.564,8693.967,12423.066,6641.668,18190.045,6190.1772,15336.346,10880.179,6250.037,NA,4904.6587,9243.619,9876.127,13033.922,7490.87,13432.758,11412.618,5812.798,6345.183,8636.806,3267.6262,12196.165,10877.605,2940.2456,13770.646,8183.72,11344.852,13250.059,12713.7705,7679.695,14777.219,8030.2153,6143.8076,8748.335,3153,1936.8817,9761.086,9533.877,10446.45,9714.243,9176.103,9933.247,7007.82,12590.324
792.781_0.556,50,8839.011,6723.73,6528.1655,8216.587,7571.1685,3904.9666,5816.187,3686.1787,8772.725,6706.0127,9114.765,5915.193,5591.3604,5636.0645,6260.23,7328.683,8127.449,4623.8223,3977.003,6709.4116,7281.5107,2433.0078,5339.0107,6300.846,6157.049,6461.799,6024.0474,10023.219,6152.7856,4720.82,6699.8467,5936.332,4951.2344,9183.044,4316.2134,3917.935,8473.413,4913.122,10744.587,6282.04,7503.4106,6844.389,8198.686,7647.51,7650.7754,8116.4463,4309.7407,2998.5574,6954.596,7281.42,8582.154,6791.38,7159.978,9212.032,7543.1206,8564.474
928.7554_0.555,51,8739.276,5377.101,4113.651,6830.0635,7197.64,3629.3613,6384.899,3470.337,5905.6,5128.5205,6929.89,5262.2295,5652.138,6439.309,7270.656,6475.7017,7122.2935,4335.8843,4519.1704,4824.8374,5216.064,1730.483,4154.614,4853.2197,4962.4893,6817.148,4172.448,5538.0884,5179.2427,4132.2607,4269.179,6006.705,3518.9038,4682.051,3548.3828,4295.265,5352.979,5767.1997,7393.3364,6598.03,7164.3086,5780.9946,6352.145,6431.5034,5504.0347,5807.309,4183.0923,2262.684,5208.1323,5688.702,6860.6826,5630.7036,5969.7305,6583.691,5746.028,7885.55
588.8188_0.559,52,14862.752,7670.987,7339.638,8363.405,7689.5503,5236.572,8397.397,6146.6206,12005.062,9713.97,8459.276,9768.716,7224.0195,6307.5654,11734.696,9742.103,8863.126,8561.749,6830.5957,7516.872,10227.531,2357.831,8168.5215,5547.6504,10805.391,11296.719,8962.935,12374.983,8924.825,5353.739,7276.4175,9862.562,5538.6875,8467.939,7601.0415,7483.0664,9931.574,9466.846,15486.924,12517.48,10479.1,10561.5205,9951.214,8981.502,9668.466,10588.012,7648.6543,6248.2812,7641.5825,11179.886,9401.679,8732.18,8632.295,9276.159,8423.914,11735.17
124.9226_0.576,53,9374.753,14518.355,13816.326,5145.582,5434.6753,20432.146,5671.8755,6595.089,7467.551,6978.253,9140.004,7686.368,4726.8223,6600.6294,7426.4287,12801.677,7096.4644,6712.778,3209.4897,4164.8867,9480.267,18742.416,8619.932,7461.021,7392.078,5963.7617,4328.4814,10282.344,3256.7256,5146.0107,8378.189,9312.135,12460.458,5085.137,2981.1763,27111.525,8178.483,4443.264,11722.122,8805.022,7849.294,8632.032,5039.008,10621.796,11762.813,10753.554,8908.412,25157.51,6435.35,7864.173,7743.185,7331.1157,8017.0283,8432.599,6439.7407,7248.402
656.8062_0.558,54,11654.071,9111.702,8680.254,9465.424,9005.881,5778.9697,7816.855,6323.8076,7999.3496,6970.0596,7218.1685,9298.831,7005.973,5887.034,11611.133,9394.235,8555.589,7533.3906,5810.9062,5577.0596,9642.229,2333.7708,5985.711,7126.9487,9966.2295,8962.922,8371.84,12170.633,8071.94,5356.824,8889.188,9094.321,6228.0005,7628.8735,4148.1133,5734.719,10649.401,7420.291,13366.661,7963,9029.16,8755.852,9429.175,8100.021,10959.236,8487.641,7679.33,4214.157,10387.572,8758.6875,11944.029,9569.828,8646.104,10650.375,10388.942,9383.101
106.9505_0.559,55,30995.076,22115.043,25741.22,16816.975,17371.363,27204.03,18707.145,20838.494,22032.975,15991.904,22085.637,18616.352,19947.023,20648.936,21066.86,26471.992,20626.111,22131.885,16522.895,22188.752,21647.104,22302.883,21954.178,23797.363,22135.158,17226.74,19652.1,26492.467,15105.109,16307.397,22792.69,21009.756,22178.08,17947.346,21103.412,33552.363,24700.445,17231.383,35699.957,24138.66,22658.16,23417.203,21917.781,24700.053,23471.826,26701.266,21318.785,28240.184,22347.56,21363.143,19612.807,24021.516,21458.861,28037.193,21695.225,24685.8
782.7625_0.559,56,9581.528,3336.2896,2882.5032,8342.433,11224.675,NA,12180.922,3732.4216,9052.68,5715.1216,6503.1045,7057.3003,12871.643,5980.882,10139.699,2870.858,9839.656,4980.0103,8962.858,8844.09,4024.7603,NA,4797.7695,4858.0435,6428.2,11748.768,6293.4893,7654.4077,11903.87,3228.1719,4545.0522,5510.1216,2272.2258,9926.078,7017.039,2262.0383,9815.679,8375.733,6428.7637,8556.028,6438.383,8392.426,10546.565,4792.4297,5041.49,4228.793,2839.0017,NA,6871.7983,7834.544,5502.9424,8195.107,7018.4395,6585.3994,6694.5605,8197.522
646.7884_0.561,57,12624.316,5447.85,3991.0725,10455.063,14662.212,2138.7397,13223.306,5567,13136.759,9138.123,8983.17,8083.9077,15894.897,6152.0415,11940.866,4056.865,12382.41,7004.7656,14515.013,10214.709,9178.719,NA,8484,5525.029,8387.466,13915.047,8431.5,8914.061,12881.704,4709.978,5321.052,7140.346,4041.358,12570.246,9665.575,2044.0079,13560.105,9233.895,7260.536,11712.083,8995.302,9600.211,13858.691,6664.105,5511.3066,6778.117,3801.9023,NA,8732.452,8822.907,9452.503,8011.5103,8615.858,9706.842,8625.79,9843.299
258.8993_0.559,58,35190.344,32215.049,33742.03,18517.68,12748.679,45052.367,9851.311,17662.863,16799.906,18545.37,20175.664,17020.393,11372.674,17857.287,16175.238,33851.62,14035.015,15142.191,7579.69,12299.727,22451.252,42920.75,16921.02,19373.62,19333.174,13565.321,16715.518,21377.77,9833.438,12264.935,21971.816,19728.172,31873.504,13788.775,9031.334,77443.88,21877.066,9377.501,38755.61,16454.738,19146.037,19627.217,17138.379,20536.295,22111.531,30291.879,28382.508,47746.1,18306.502,18635.895,19259.45,20864.873,18595.627,20411.79,18294.758,20542.258
798.7367_0.561,59,11756.011,5555.4946,5703.4424,7858.0273,7144.9717,2503.628,8827.382,3945.686,9988.411,6057.653,6512.9834,7692.028,7640.194,3862.49,9900.515,6321.385,8630.013,5019.3975,4458.655,5620.9937,6072.4307,NA,6382.944,4156.048,6211.7993,8824,5339.955,9336.216,8711.728,4130.2583,3892.104,6761.0547,4310.684,7701.651,4818.8574,3335.1418,9261.271,6301.4053,7681.4907,8320.633,8398.17,7316.7236,9270.348,6723.105,6557.875,6907.381,3686.881,2523.1106,9386.302,9304.926,8541.479,7836.75,8495.4,7747.094,8543.065,7504.9624
300.8953_0.564,60,31224.113,17890.002,13837.449,26756.934,29138.834,7205.6104,38164.734,20454.162,31293.709,21223.555,25539.785,22202.324,35106.46,23236.422,32360.363,18750.951,34723.824,25232.02,35217.957,29144.365,21420.121,4218.9385,22029.633,18606.795,25722.914,32001.146,25736.91,28671.268,33532.387,16342.525,14465.226,22168.264,10884.887,33281.047,30176.148,6740.309,33207.656,28196.111,24518.805,29310.576,25657.697,23780.46,33033.246,23699.604,19721.84,17392.22,12499.627,6422.0684,27000.104,26797.494,21937.621,26131.803,25621.412,24114.088,23549.98,28806.176
368.8827_0.561,61,23733.826,11611.753,10277.476,20482.469,20903.104,4414.1777,24186.137,13401.939,22707.006,15473.2705,14946.844,18191.186,23756.484,20042,23775.945,12763.428,22296.365,16013.515,20847.602,17958.557,13944.078,2932.3813,18266.727,10716.6045,14712.247,24599.043,19447.402,19754.799,22964.191,12414.182,11973.933,17057.613,6919.271,23869.996,19324.605,4162.105,18947.7,20575.54,16284.755,21026.656,19720.668,14571.048,22441.361,17088.393,14258.224,11798.533,7848.36,6585.2085,18757.96,19146.371,16042.819,16366.963,18991.8,18717.312,20585.01,19020.795
850.7501_0.558,62,8648.417,4304.0054,2531.0652,7051.496,9028.5625,NA,9870.244,4593.551,8860.931,3804.3594,6369.8115,5763.8584,10487.042,3167.111,8421.96,2377.129,9123.4,3389.5845,9355.417,7243.867,3767.9778,755.54047,4640.6567,3953.8147,5627.7437,10657.498,7289.325,5655.5713,9437.047,2780.024,2827.7324,4893.876,1436.9088,8037.0713,6973.701,1449.8448,8700.892,6336.2783,6692.701,5711.3506,5717.6533,5668.51,8466.181,6874.6245,4070.224,3999.4592,2074.0225,2177.984,6803.8486,4663.305,6187.029,6586.8784,6758.245,6193.3154,6102.3765,7450.4463
