mz_rt,row ID,6110_U2_C18POS_34,6101_U4_C18POS_14,6109_U1_C18POS_58,6105_U3_C18POS_39,6105_U1_C18POS_43,6109_U4_C18POS_22,6113_U4_C18POS_62,6101_U1_C18POS_59,6103_U4_C18POS_53,6105_U2_C18POS_40,6111_U4_C18POS_42,6110_U3_C18POS_45,6104_U3_C18POS_32,6102_U1_C18POS_26_1,6104_U2_C18POS_19,6110_U4_C18POS_start-10,6112_U2_C18POS_37,6102_U2_C18POS_16,6102_U3_C18POS_48,6113_U2_C18POS_31,6101_U2_C18POS_30,6109_U3_C18POS_52,6102_U4_C18POS_50,6111_U2_C18POS_35,6101_U3_C18POS_29_1,6112_U4_C18POS_63,6111_U3_C18POS_54,6105_U4_C18POS_47,6113_U1_C18POS_24,6108_U1_C18POS_44,6110_U1_C18POS_11,6112_U3_C18POS_56,6108_U4_C18POS_18,6103_U3_C18POS_61,6108_U2_C18POS_27_1,6106_U4_C18POS_36,6103_U2_C18POS_60,6113_U3_C18POS_15,6106_U2_C18POS_46,6104_U1_C18POS_55,6104_U4_C18POS_12,6108_U3_C18POS_28_1,6103_U1_C18POS_21,6112_U1_C18POS_38,6106_U3_C18POS_20,6111_U1_C18POS_51,6106_U1_C18POS_23,6109_U2_C18POS_13,PooledQC8_C18POS_33,PooledQC11_C18POS_57,PooledQC7_C18POS_25,PooledQC9_C18POS_41,PooledQC12_C18POS_64,PooledQC10_C18POS_49,PooledQC6_C18POS_17,PrerunPooledQC5tryagain-addednew3_C18POS_14_1
247.1013_2.043,1583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10169.669,NA,NA,6429.8003,NA,NA,NA,NA,NA,9415.917,NA,6596.3267,NA,1910.4832,1746.28,1769.7985,2905.2134,1707.3981,1976.497,1838.4991,2798.4062
128.0706_2.045,1584,4847.533,3938.0623,6125.9507,4787.8145,6432.479,6407.828,5028.139,5059.697,3770.2385,5005.315,5200.0293,3083.2341,3572.5596,5975.5376,4707.3003,3101.4941,4932.3525,6499.7017,5071.9663,4674.012,4968.43,8616.333,6609.8975,4980.686,3499.724,4928.388,4820.048,4446.438,5819.675,4853.022,5436.662,9462.792,4251.015,4932.9565,5737.5635,6242.8726,4301.0073,5995.776,4310.431,4821,3403.3662,5157.78,4380.2095,7725.357,6083.225,4747.175,8705.748,7392.673,5420.998,5061.885,6409.2676,6119.7847,5721.4067,6580.165,6244.482,5545.829
86.06_2.046,1585,22556.908,17857.65,25294.01,24173.854,20167.004,23996.854,21397.104,19573.584,20342.514,25312.705,21970.742,16847.053,17139.57,24216.152,18003.639,15195.679,25186.547,29259.21,24404.709,20818.602,20839.209,40180.35,25491.258,21985.207,15872.686,21126.627,24337.926,22740.467,34529.957,24881.47,22572.47,33325.305,21179.424,18584.574,28772.7,30921.656,21560.346,24131.201,21435.94,29083.188,19010.744,28584.01,25394.377,29201.877,28264.648,20989.652,46527.07,33464.906,24159.105,20207.81,28415.482,20505.95,28624.107,29764.496,27146.275,23302.834
146.0812_2.047,1586,18883.117,17484.604,22914.822,19761.64,20181.53,20975.709,20500.217,20792.04,16783.293,25188.604,20543.014,14984.699,16458.494,22053.57,16677.574,14184.855,21686.002,25423.18,19408.635,16738.58,17892.572,33322.316,24976.76,18132.906,13274.811,19689.021,22910.88,23316.178,26166.5,19899.016,18597.41,29756.979,19037.475,15401.48,20860.887,28661.443,19269.84,24733.564,20643.533,19819.902,15553.304,20228.053,18687.861,21251.275,22994.451,17707.246,34538.57,26346.322,18916.986,20195.943,20292.762,19227.709,22616.441,23671.9,22325.977,22861.871
218.1386_2.048,1587,4487.137,11918.271,25242.559,39095.6,53333.066,19629.137,19881.951,14212.145,7144.9326,32397.635,7838.3022,3304.6396,30099.178,20351.629,22781.707,21162.16,2702.0005,8414.285,33618.242,11117.231,3601.258,17136.805,19657.512,5063.344,36823.43,2083.0208,16329.356,48527.145,26313.408,10117.553,19016.76,3496.167,7200.908,7762.7446,18976.455,2676.164,3469.534,11525.625,8240.559,20962.258,32650.229,18143.248,2771.8054,5200.9844,6527.8936,13474.156,85683.18,33457.63,18481.371,17482.377,20475.352,17598.95,22195.744,23898.611,17794.879,17129.303
146.0812_2.047,1588,18883.117,17484.604,22914.822,19761.64,20181.53,20975.709,20500.217,20792.04,16783.293,25188.604,20543.014,14984.699,16458.494,22053.57,16677.574,14184.855,21686.002,25423.18,19408.635,16738.58,17892.572,33322.316,24976.76,18132.906,13274.811,19689.021,22910.88,23316.178,26166.5,19899.016,18597.41,29756.979,19037.475,15644.907,20860.887,28661.443,19269.84,24733.564,20643.533,19819.902,15553.304,20228.053,18687.861,21251.275,22994.451,17707.246,34538.57,26346.322,18916.986,20195.943,20292.762,19227.709,22616.441,23671.9,22325.977,22861.871
140.0817_2.049,1589,1839.443,4104.594,1381.8048,2143.11,4131.473,2140.2053,13130.2705,1773.987,5862.9233,2031.786,NA,1895.0822,1658.3352,1318.6161,6080.6133,1230.753,NA,1332.4564,1403.5225,2423.8374,1489.4833,NA,3021.462,1902.2983,2923.779,NA,2457.2246,8772.6045,NA,NA,3599,2888.1233,NA,15179.16,5902.661,NA,6298.525,7372.827,1718.6863,4966.006,8391.88,1241.0664,5016.3477,NA,3163.4272,1306.8389,11251.655,NA,3095.0833,2579.7527,3818.5098,3556.129,3574.076,4562.26,3066.8987,3875.3425
195.0764_2.089,1590,5639.5747,8754.721,13041.863,12733.748,10517.09,11811.1045,11515.517,9756.098,5753.255,12893.112,8739.815,7010.9595,6870.2197,11034.733,4767.0107,6103.518,10380.004,10155.425,10806.94,15385.971,10317.005,16413.816,11896.231,11111.387,10558.88,11011.644,12366.417,12384.272,13793.081,1394.4944,8918.351,13197.754,5697.759,11525.073,2465.651,7588.1646,9916.816,13862.497,6052.6016,7766.1035,7452.7285,1359.1029,8948.41,11379.6,8624.407,9021.403,10509.405,13641.696,9217.555,9228.562,9621.244,10381.085,13305.522,12249.732,9566.317,9918.264
151.0614_2.053,1591,795.0452,1254.993,2266.7354,2102.1606,1453.6997,1572.471,2813.298,1374.5316,3419.0923,1200.2166,1550.0752,NA,1308.75,1862.3334,1386.8829,2261.3245,1531.9886,2703.5938,1412.663,2406.9812,1683.4917,2182.264,1220.2407,NA,1550.3967,1481.2341,1696.4895,2755.3179,2028.0342,29143.207,1880.6382,1211.6304,3936.544,4283.751,6637.039,1617.8094,3530.88,2581.8372,1879.1022,1844.2004,1589.881,5618.7207,3506.2783,1421.9835,2034.6788,1586.8693,2746.7087,1489.4172,2030.3113,2472.0261,3054.1282,3752.3572,2695.1702,2392.1934,2382.473,2821.4617
218.1488_2.048,1592,NA,1831.544,3239.486,4308.9346,5452.7524,2050.0234,2191.1948,1408.3091,NA,3622.126,NA,NA,3336.176,2309.9673,2656.862,2224.84,NA,1305.3682,3467.5112,1890.124,NA,2201.694,2009.0393,NA,3356.9004,NA,1691.8792,4554.1553,2714.0835,1304.5804,1639.0363,NA,NA,NA,2165.857,NA,NA,1343.3859,NA,2274.7551,3898.422,2456.2007,NA,NA,NA,1336.0057,7630.0107,3750.1426,2132.0422,2077.0322,2258.7056,2201.4893,3569.483,2428.969,2107.914,2174.1724
276.1442_2.06,1593,29928.201,31640.87,60116.715,40006.637,36201.266,47870.113,22367.328,42615.44,31823.832,46549.11,33767.504,36088.797,42367.043,33505.34,47751.633,28923.717,11092.249,34712.676,28405.65,24918.293,37876.055,61075.793,30685.168,35991.87,36870.977,14155.858,36203.53,37279.227,35409.266,48924.13,44379.492,14712.386,47939.6,43607.22,44700.15,41070.445,37188.305,30046.152,29997.172,79056.47,57707.152,52341.715,55894.594,19031.168,38971.74,29493.797,59116.664,52947.957,46125.664,39218.01,47016.44,44216.008,49330.82,51609.043,43421.86,48624.773
145.0496_2.063,1594,10985.62,7359.2637,8862.917,12015.008,14950.963,15801.036,16067.403,9013.968,17789.139,22363.604,17433.557,21188.494,6300.7905,11673.109,30174.777,7615.863,16716.018,19562.682,14802.921,20179.822,11843.08,6487.8667,14798.73,16490.979,10520.065,7902.9346,21598.469,11237.467,17376.32,5521.431,11444.996,12112.816,5863.912,14746.381,4899.408,7627.383,32337.723,18661.707,15347.61,5386.7666,6617.979,26679.947,16172.308,17672.209,8508.755,15369.032,13347.828,15896.727,16702.615,11510.837,14556.178,13532.196,14685.105,13394.709,15423.954,14682.066
