m.z,r.t,p.value,t.score
272.2044,4.93,0.279,-1.1452983330382924
272.2049,4.967,0.274,-1.1571690125827452
272.2382,4.968,0.338,-1.005720802227045
273.2384,4.97,0.345,-0.9913000644960791
274.1181,0.778,0.572,0.5839670341897129
274.1778,4.235,0.441,-0.8030982659738991
274.1833,5.809,0.0548,2.173819529759716
274.2013,4.449,0.483,0.7291868476185838
274.2138,4.28,0.937,-0.08154850819109634
276.1366,0.762,0.962,-0.04941653090728291
276.1375,2.825,0.949,0.06621050547489102
276.1442,0.669,0.555,0.6106941241687734
276.1442,2.061,0.89,0.14194525410124634
276.1991,6.202,0.538,0.6375365017884284
277.1173,0.79,0.503,0.695457475874525
277.1432,7.079,0.00873,3.249539983107228
278.1335,0.718,0.91,-0.11556510969390235
279.1317,4.044,0.804,0.25444944908300976
279.1332,3.64,0.375,-0.9286548500655655
280.1543,3.604,0.657,0.4577557743307652
281.1128,0.728,0.287,1.1257275756720526
281.1128,0.765,0.137,1.6150373525418653
281.1131,3.801,0.0734,1.9999977674891147
281.113,2.62,0.729,0.3558039231086072
281.113,3.046,0.148,1.5656819190848705
282.1196,1.153,0.187,-1.4148542030505302
283.1287,4.036,0.372,0.9349641041772669
284.092,3.463,0.444,0.797159403291426
284.1855,4.179,0.731,0.35297046938691307
285.1441,0.774,0.542,0.6305711045444157
285.1804,5.23,0.33,1.0234701188658197
286.1284,2.172,0.36,0.9596871073433872
286.1445,2.886,0.963,0.047740273320938505
286.1792,4.126,0.422,0.8369873806310136
286.2019,4.654,0.59,0.5566366727489601
286.2113,4.609,0.374,-0.9296454909395861
287.1002,2.762,0.446,-0.7931249127988862
287.1003,2.867,0.53,-0.6501402841147228
287.1004,3.467,0.631,-0.4957488641419789
287.1598,0.805,0.234,1.267025029900742
287.1967,0.655,0.0729,-2.0043019616196025
288.1616,4.254,0.333,1.018089868311291
288.1937,3.464,0.618,0.514176482145859
288.1983,5.173,0.792,0.27045299793079813
288.2168,4.83,0.504,0.6927657523828017
288.2295,5.182,0.163,1.5069090267471603
289.1393,3.497,0.509,0.6842675801941972
290.1419,5.181,0.405,-0.8695619074765341
290.1595,0.783,0.789,0.2751580451571577
290.1597,2.525,0.803,0.2557981721389826
290.1739,3.326,0.84,-0.2076990286818874
292.1575,3.656,0.0603,-2.116895631323705
293.1465,4.573,0.1,-1.8103716454363121
295.048,2.58,0.442,-0.8013080389225815
295.1284,0.813,0.504,0.6928049200575933
295.1287,3.186,0.667,0.4433189895382786
296.1492,2.896,0.554,0.6121515243936501
296.1628,4.092,0.813,0.24298436883788604
297.1443,3.938,0.69,-0.41057404542517295
300.199,6.283,0.684,0.41885345045422595
300.2168,5.214,0.937,-0.08143522686561479
300.217,5.005,0.99,-0.013319166594589125
301.1221,3.855,0.701,-0.3946003181089296
301.1391,0.795,0.2,1.3712617254248487
302.1232,3.89,0.826,0.22613665702190355
302.1418,0.788,0.549,0.6208126691497885
302.1423,3.205,0.881,-0.1540570224051772
302.1728,6.009,0.545,-0.6259200092129492
302.1959,0.798,0.0153,2.921904058441991
302.196,3.701,0.247,1.2303000399224766
302.2329,5.39,0.75,0.32822069941168447
302.2435,5.373,0.592,0.5535689058004742
302.2687,5.39,0.288,1.1231651007337293
303.0741,3.467,0.37,-0.93847836875509
303.0862,4.684,0.0399,-2.360902102093303
303.1704,6.179,0.772,-0.2974638591606678
304.129,3.192,1,1.1553486708160868e-5
304.129,3.69,0.922,0.10044198122414066
304.15,0.797,0.552,0.6155104050436835
304.1925,4.641,0.689,-0.412143364659854
304.2117,4.122,0.484,0.7264382524357345
305.0863,2.684,0.327,-1.0296192480280129
305.0865,0.744,0.441,-0.8026409263081784
305.1857,4.623,0.809,0.24782738270218596
306.1703,4.74,0.154,-1.5422585138980347
307.1221,2.208,0.561,0.6016243380417964
307.2,5.592,0.597,-0.5463312459414913
308.168,5.004,0.995,-0.00688095171258666
308.1854,4.932,0.525,-0.6579753669781044
308.1987,4.967,0.675,-0.4325187651479547
308.2029,4.983,0.937,0.08133205647660409
309.1689,5.025,0.958,0.054528290366862554
310.1653,3.385,0.857,-0.18533774026373345
310.2375,5.158,0.981,0.024699442296136808
311.1488,4.505,0.0672,-2.0527754212834366
311.1563,5.057,0.858,0.1829949547142433
312.1299,0.786,0.907,0.12035703037911243
312.1301,2.601,0.671,-0.4381542752220021
312.2162,5.201,0.677,0.4297007460754694
312.2166,4.927,0.087,-1.8971159091713825
312.2168,5.505,0.75,0.32697165192209454
313.0848,2.276,0.713,-0.3781718741840979
313.0853,3.183,0.524,-0.659926586582179
314.2327,5.619,0.216,1.319990084585327
316.1385,4.504,4.61e-7,11.42889909205742
316.1938,5.631,0.196,1.384056091256402
316.248,5.914,0.567,0.5926551265934208
316.248,6.107,0.173,1.4683941902770703
317.0855,0.773,0.469,0.7527722776356414
318.1438,2.762,0.24,1.250301754286617
318.1909,0.803,0.0769,1.9718633566788146
318.191,3.368,0.277,1.149965473978367
318.2093,5.034,0.145,1.5811736518576776
319.1649,4.258,0.926,0.0957243037816748
319.165,3.812,0.572,0.5836802550322848
322.1811,5.096,0.968,0.04158136009707839
322.2005,4.899,0.103,-1.7923800497965336
324.1249,2.964,0.24,1.2487925785267575
324.1258,3.118,0.453,0.780383945569353
325.1697,5.177,0.981,0.024113444091704475
325.1883,3.576,0.919,-0.10471548623901923
326.0869,2.134,0.913,0.1115790638011167
326.1962,5.293,0.869,-0.16884485047882175
327.0685,0.734,0.121,-1.696776254953644
328.1026,3.567,0.875,0.1617256924608299
328.1873,2.778,0.651,-0.46682378361433924
328.2118,4.717,0.763,-0.3094880505971712
328.2482,6.065,0.254,1.2090636644603723
328.248,6.21,0.917,-0.10697137823411806
329.2074,3.337,0.475,-0.742985439670155
330.1909,3.491,0.34,1.0025436874866507
330.2272,4.126,0.85,-0.1938697585701896
330.2275,4.829,0.0065,3.424396085841824
331.2276,4.919,0.793,0.27016062052901074
331.2294,4.533,0.674,-0.43362633167961023
336.2167,5.325,0.421,0.8391352479658051
337.1754,3.847,0.972,0.0359912320058649
338.0825,3.449,0.829,0.2217164269642315
338.0863,0.805,0.543,-0.629795165615794
338.0865,3.299,0.519,-0.6691793107482503
338.1399,3.076,0.628,-0.49934351500505564
338.1737,6.007,0.97,0.03823956377132222
338.1777,5.232,0.633,0.4924583672331517
338.2323,5.729,0.253,1.2141254882476737
338.2324,5.637,0.404,0.8716394452772378
340.1025,3.555,0.804,-0.25525859747142887
340.1026,3.009,0.656,-0.4590995926401963
340.1336,2.71,0.995,0.006059674922515036
340.2479,6.162,0.485,0.7254651426074318
341.1709,3.522,0.105,1.7829929583166515
341.183,2.936,0.687,-0.41472007643502845
341.1877,3.826,0.679,-0.42626719673949487
342.1686,3.782,0.919,-0.10479094129461743
342.173,5.69,0.0764,1.9755524822450932
342.2635,6.518,0.462,0.764449520364861
343.1003,0.795,0.149,-1.564547785383685
343.1674,2.639,0.741,-0.33950844742847547
343.2227,4.522,0.671,-0.4369382540114955
344.2066,4.021,0.228,1.2857358149540852
344.2431,4.284,0.273,1.1590721645451425
344.2542,4.012,0.995,0.0070318645188054245
346.2221,2.636,0.183,-1.4323769867706724
349.0869,0.775,0.25,-1.221196317653619
350.0854,0.775,0.738,-0.3442223030035439
350.2065,3.938,0.683,-0.42087510695209557
350.2322,5.809,0.468,-0.7545985665368712
354.1544,3.176,0.333,-1.018193389834598
355.2625,6.784,0.698,-0.4000111607225425
356.1907,4.001,0.78,-0.2863414695469999
356.2429,4.821,0.731,0.35343104464142727
356.2429,5.382,0.393,0.8928083865452366
356.2429,5.634,0.592,0.5535902807974334
357.1179,3.698,0.00835,-3.275816673720166
357.2786,5.926,0.594,0.5509369179081292
357.2787,6.664,0.954,0.05906246511762174
358.1496,4.728,0.464,-0.7611023668434743
358.2585,4.768,0.353,0.9742252074965189
358.2585,5.127,0.579,0.573797191494118
358.2589,5.812,0.709,0.3838283421533666
363.1428,4.369,0.356,-0.9677398206855202
364.0426,0.774,0.844,-0.20223259654405115
364.1964,4.526,0.0679,-2.0465159378559212
364.196,3.31,0.201,-1.368629471815066
366.1108,0.7,0.958,-0.054234865359317895
366.1127,3.577,0.884,-0.14971916959406195
366.1134,3.129,0.164,1.5021356663412386
366.2039,4.917,0.623,-0.5074555398960201
367.1497,0.741,0.707,-0.38709605584709184
367.1498,2.362,0.64,0.4820747047505109
369.1289,3.506,0.0477,2.255945535210888
369.1292,3.953,0.0741,1.9945658218203768
369.129,3.414,0.224,1.2954319349078913
372.1861,3.381,0.443,-0.7982901815198987
373.1128,2.656,0.62,-0.5122524731631848
375.2614,3.928,0.417,-0.845715662821893
377.1448,3.492,0.893,0.13809325027069666
378.1418,3.378,0.615,-0.5192295946563488
378.1755,4.358,0.418,-0.8455674217810801
378.1767,3.465,0.702,0.39337696587383875
380.1102,4.279,0.8,-0.26015775758471693
381.1534,4.397,0.21,-1.340514877082767
383.0941,2.983,0.307,-1.0757257757670184
383.0946,0.768,0.273,-1.1602323412502815
383.133,0.792,0.16,-1.5189220569597315
384.1146,2.579,0.336,1.011736588158594
384.1171,0.716,0.539,0.6357383351570266
384.1228,2.31,0.807,0.2514232335036192
385.1464,0.793,0.0402,-2.3562375687228245
385.3097,5.886,0.593,0.5527489192692252
389.1625,5.768,0.148,1.568860255498284
390.1393,3.49,0.198,-1.3780314185979174
390.2632,6.892,0.611,-0.5250462581947997
392.1549,3.207,0.0611,-2.1092664643248704
392.1549,3.682,0.159,-1.5214329142864527
394.0744,0.764,0.699,-0.3974059666093815
394.1701,3.105,0.0487,-2.243519044363269
394.1707,0.77,0.101,-1.804423719664256
395.1334,4.462,0.462,-0.7650870038223986
398.1138,3.137,0.0807,-1.942616726745789
398.1421,3.384,0.465,0.7589108361688084
398.1452,4.007,0.297,1.0991449428004443
398.1823,5.89,0.389,-0.9003351867152639
400.1973,6.231,0.51,-0.6830675199858526
400.2173,3.807,0.987,-0.016506895589058525
400.269,4.886,0.937,0.08095085778584078
402.2845,4.888,0.102,1.7975520895760757
402.2846,5.623,0.0742,1.9933243548754818
405.1518,6.25,0.285,-1.1307615606454018
406.1258,5.43,0.774,-0.2955067780947756
410.0483,0.757,0.709,-0.3838199230580182
410.1446,4.093,0.951,-0.06257015537491235
410.1459,4.445,0.277,-1.1485828810042469
412.2838,6.085,0.481,0.7324174605832274
412.284,6.004,0.796,0.26603761140144905
413.0425,3.484,0.409,-0.8626128458057006
413.1052,2.633,0.326,-1.032169568761057
413.1411,0.782,0.248,1.2274170268211297
413.1413,2.988,0.824,0.22829203650461305
414.2998,5.934,0.704,0.39074890957749053
414.2998,5.974,0.649,0.46966959623238214
414.3361,5.556,0.751,0.3267089052724554
415.0333,3.007,0.653,-0.46323268949783397
416.1472,3.465,0.646,0.4728703106233226
416.1915,4.419,0.775,-0.29415157220246324
416.2124,3.558,0.504,-0.693125525074023
416.3152,4.924,0.975,0.032210216752631686
416.3153,6.637,0.731,0.3535140473875415
416.3517,5.027,0.982,0.023464601727516597
418.1658,4.047,0.984,0.02079150358836671
420.1268,2.836,0.975,0.03182094021614086
420.1859,3.752,0.624,0.5053986564159206
420.1863,3.296,0.59,-0.5571993264216948
422.2054,3.013,0.753,-0.32372346575307703
424.1599,5.447,0.532,-0.6468656111202903
425.2145,9.778,0.595,-0.5487025540700958
429.1143,5.43,0.611,-0.5246396220253976
429.2112,4.041,0.0253,-2.6261683014027195
430.1728,4.485,0.431,-0.8202316321602503
430.2032,5.342,0.836,0.21305690689228604
430.2946,5.306,0.478,0.7362926621233372
431.0964,3.273,1.67e-7,12.73189930234465
431.0966,3.757,6.61e-8,14.036215298464942
431.0972,4.035,1.75e-8,16.113895188099637
432.1859,3.705,0.834,-0.2149195610260717
432.2483,2.831,0.855,0.18812870253896824
432.3103,6.468,0.923,-0.0995889470332703
432.3465,4.852,0.943,-0.07312147321045173
433.1121,3.884,6.34e-7,11.045530269235416
433.1123,3.32,2.07e-7,12.445589137021823
433.2362,4.04,0.243,1.2405246069462688
434.1403,3.73,0.979,-0.02683889657309484
434.1523,3.477,0.803,-0.256071835604932
434.1581,3.919,0.653,0.46333760567331006
435.1282,4.891,6.59e-9,17.82712828892375
436.1558,2.94,0.871,0.16642600848301276
436.1558,3.898,0.343,0.995933156661971
436.1596,4.464,0.138,1.6119559826316319
436.1964,4.096,0.511,0.6819215455198316
436.1971,4.541,0.755,0.3211259196882367
436.225,0.726,0.23,-1.2779752549890417
438.1601,0.745,0.723,-0.3639728035454956
438.1606,2.865,0.553,-0.6138763548563676
441.1613,0.696,0.844,-0.2020593851304382
444.1861,4.37,0.388,0.9025923888850083
444.2226,4.583,0.658,0.4559111670395922
444.3097,5.039,0.893,0.13749651460590237
446.2388,3.483,0.8,-0.2597633900829023
447.0916,4.229,3.89e-7,11.638891390276122
447.113,3.587,0.72,0.36940328755204443
448.1364,3.004,0.873,-0.16449893182622571
448.1967,3.611,0.749,-0.3284145695711063
448.1978,4.334,0.307,-1.0761628670975767
448.2321,4.67,0.118,-1.7090853400493924
448.3052,5.404,0.754,0.3219852077704564
448.3055,6.562,0.79,-0.27341499845901307
449.1046,3.633,0.00314,3.864035828514034
449.1059,4.17,0.00988,3.1765404915654063
449.1076,4.454,0.0726,2.006572985187458
450.1364,0.798,0.761,0.31229607245466845
450.2125,4.913,0.623,-0.5079381136880989
450.2132,5.757,0.425,0.8308671550070846
450.213,5.045,0.99,-0.012632269837741497
452.1914,4.626,0.787,-0.2770496892138253
452.1914,4.683,0.71,-0.3830882967046369
452.2062,5.052,0.399,0.8817622378245906
455.7883,4.34,0.342,-0.9967372060374131
457.2213,5.699,0.215,-1.3235577864670198
457.2496,6.911,0.0812,1.9388339835731756
458.1454,0.678,0.893,-0.13788212891146523
458.202,4.658,0.281,1.140441057122513
461.1074,3.814,3.49e-9,19.029357881982488
461.1078,3.304,3.83e-9,18.84692464751668
462.1965,5.965,0.113,1.738762123278275
464.1911,4.995,0.944,-0.07167891528890225
464.2272,0.798,0.398,-0.8827280531981603
464.2281,3.182,0.593,-0.5515825211297305
465.0856,4.069,0.802,0.25760738399546856
466.2058,4.763,0.933,-0.08622269214775705
468.2225,4.941,0.653,0.4627441362459665
469.2077,2.929,0.626,0.5032743787632586
470.2865,6.552,0.743,0.3375005419300119
474.1718,0.703,0.521,-0.6649342201819893
475.2467,4.955,0.162,1.5113931130138434
478.2067,3.637,0.462,-0.7650075780360401
480.2037,3.652,0.72,0.3687656682760738
480.2234,4.382,0.462,-0.7640258159832167
482.1231,3.477,0.425,-0.8311131636934304
484.2903,6.142,0.948,-0.06694824008551463
486.2329,5.447,0.398,0.8821611635235707
487.2086,3.066,0.711,-0.38156892168384926
489.2311,4.429,0.753,0.3231764840671308
491.2279,4.076,0.489,-0.7176040991927423
498.0952,3.472,0.61,-0.5260973627423708
500.2812,6.002,0.506,-0.6890292114531263
500.2849,5.194,0.602,-0.5379146125020687
501.2038,4.801,0.948,0.06668180278922532
502.2964,5.697,0.528,-0.6544323437378038
503.1571,3.796,0.942,-0.07398481657280462
504.1824,0.676,0.461,-0.7674570104561277
504.2071,4.427,0.217,1.316773642122204
504.2224,3.279,0.969,0.039999258976694624
504.2644,3.847,0.549,-0.6203644855679162
505.236,2.917,0.989,-0.014441265866222313
505.2371,0.816,0.8,0.2607318869834238
508.28,2.988,0.927,0.0942928452760012
512.2857,6.504,0.264,1.1836913062290593
514.2642,5.844,0.139,1.60746047330232
523.0001,5.152,0.483,-0.7292842766294367
526.2647,6.979,0.15,-1.557496716002053
530.2018,4.016,0.945,-0.07038394678277556
530.3214,4.045,0.368,-0.9425334314280444
532.1906,0.792,0.925,0.09601841824887308
532.3526,10.707,0.62,-0.5111578816422978
543.3195,5.303,0.956,0.05662752108728042
544.3373,4.266,0.796,0.26572240663920194
551.2103,2.591,0.916,-0.10814357812401003
552.3496,5.214,0.314,-1.0592136669675907
553.2943,6.108,0.66,0.453579309290549
555.3098,6.452,0.623,0.5073823970584347
559.2603,7.463,0.512,0.6792618145589149
560.3058,5.064,0.955,0.05785632651133169
562.2489,5.434,0.283,-1.1357711346132906
565.2029,0.801,0.409,-0.8609940334321899
567.1757,2.786,0.828,0.22271355418649927
572.2333,5.399,0.169,-1.4823292769446594
574.2227,0.788,0.845,-0.20004602043070877
575.2542,6.292,0.97,-0.03847934024660541
575.384,5.148,0.807,0.2503053309306855
576.1819,0.788,0.981,-0.025017354252528917
579.2172,2.935,0.0862,-1.9028421540142066
579.3413,3.735,0.824,0.22855406529372488
583.1477,2.876,0.703,0.39287459757470844
586.2128,3.002,0.822,-0.2313073213536364
588.3229,4.257,0.333,-1.0171303679593076
591.3167,5.042,0.717,-0.37356433761010677
592.3019,3.483,0.98,-0.026283403608367756
593.3321,5.017,0.725,0.36174809610190817
595.3478,5.049,0.738,0.34329954467022217
603.4563,5.393,0.992,-0.010625089971570365
605.3265,2.998,0.319,-1.048591510697979
606.1346,2.583,0.583,-0.5678461292056691
606.2801,3.463,0.886,0.14662285403205844
61.0395,0.663,0.964,0.04586343313430004
618.2905,3.277,0.809,0.24879067407669903
651.105,3.812,0.337,-1.0089105452314306
677.186,3.444,0.502,0.695979924221148
685.2837,4.555,0.709,0.3837759932029478
693.1579,3.427,0.781,-0.28615379207632974
705.3808,3.85,0.807,0.2504107179424218
715.3756,3.922,0.473,0.7456185578156307
717.3914,3.919,0.852,0.19200458727171296
719.3713,3.228,0.812,0.24424913674409215
719.3715,3.54,0.811,0.24548688035476435
719.3726,3.874,0.43,-0.8226774295113648
723.3228,3.019,0.331,-1.0216607665682
728.3715,3.305,0.839,-0.2079823490897198
731.4168,3.418,0.362,-0.9557200905291101
