mz_rt,post,pre,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
234.1122_4.883,16651.910342609935,1603.9113368123712,10.382064120641544,1.06e-5,3.3760213979826705,4.97469413473523,234.1122,4.883,4621.157999999999,234.1122_4.883,234.1122_4.883,1
250.1107_3.546,18113.21260553312,3020.947445518758,5.995871471515359,7.26e-5,2.583969457769626,4.139063379299906,250.1107,3.546,6807.92885,250.1107_3.546,250.1107_3.546,1
292.1575_3.656,61838.05326156309,10073.652208781274,6.138593231128073,1.98e-4,2.6179080739977287,3.703334809738469,292.1575,3.656,21780.752999999997,292.1575_3.656,292.1575_3.656,1
449.1076_4.454,5959.958631713407,1659.8780565251104,3.5906002903552725,6.32e-4,1.8442250595137875,3.199282921717615,449.1076,4.454,3750.29395,449.1076_4.454,449.1076_4.454,1
