mz_rt,row ID,6111_U2_C18POS_35,6111_U4_C18POS_42,6110_U3_C18POS_45,6110_U2_C18POS_34,6104_U2_C18POS_19,6101_U3_C18POS_29,6105_U4_C18POS_47,6109_U4_C18POS_22,6101_U1_C18POS_59,6105_U1_C18POS_43,6101_U3_C18POS_29_1,6105_U3_C18POS_39,6104_U3_C18POS_32,6102_U3_C18POS_48,6104_U1_C18POS_55,6103_U2_C18POS_60,6109_U1_C18POS_58,6105_U2_C18POS_40,6111_U3_C18POS_54,6104_U4_C18POS_12,6112_U2_C18POS_37,6101_U2_C18POS_30,6102_U1_C18POS_26_1,6106_U2_C18POS_46,6108_U1_C18POS_44,6102_U4_C18POS_50,6103_U4_C18POS_53,6109_U3_C18POS_52,6108_U2_C18POS_27,6111_U1_C18POS_51,6102_U2_C18POS_16,6112_U3_C18POS_56,6108_U4_C18POS_18,6110_U4_C18POS_start-10,6112_U4_C18POS_63,6103_U1_C18POS_21,6106_U1_C18POS_23,6101_U4_C18POS_14,6113_U1_C18POS_24,6103_U3_C18POS_61,6110_U1_C18POS_11,6112_U1_C18POS_38,6108_U3_C18POS_28_1,6106_U3_C18POS_20,6108_U2_C18POS_27_1,6108_U3_C18POS_28,6109_U2_C18POS_13,6102_U1_C18POS_26,6113_U4_C18POS_62,6113_U2_C18POS_31,6113_U3_C18POS_15,PooledQC6_C18POS_17,PooledQC9_C18POS_41,PooledQC11_C18POS_57,PooledQC10_C18POS_49,PooledQC8_C18POS_33,PrerunPooledQC5tryagain-addednew3_C18POS_14_1,PooledQC12_C18POS_64,PooledQC7_C18POS_25_1,...66
530.1762_0.796,1298,11896.069,8521.048,4551.8564,1294.9652,4639.7793,10222.495,4940.5444,12038.614,7712.3164,5461.8267,9134.986,10357.682,8969.37,7634.7407,9504.19,9359.816,11808.859,6299.37,13381.018,13474.321,5969.538,9455.628,5015.6274,1648.6469,3738.4543,11496.775,6935.2856,11333.587,2790.16,8338.302,11756.686,6557.7285,2646.2673,4322.135,4304.8345,7536.112,2854.964,6983.713,13379.952,9586.849,6208.7607,5640.335,3080.0852,1241.9446,2819.614,2808.3735,11280.804,5518.1836,5244.7715,12767.187,11569.204,6064.5195,5036.992,5108.019,4548.4126,6778.0435,6427.091,6298.744,5429.099,NA
273.1551_0.79,1299,2204.0093,2365.2852,NA,NA,794.0475,795.87885000000006,3590.4448,1990.5972,NA,4838.581,1130.6614,3515.3674,962.0456,NA,1201.761,2232.8127,4053.2412,3683.4202,2225.964,1002.77783,3021.7227,861.2674,1673.2076,NA,2233.4631,1217.1885,988.12177,1336.3032,1886.8534,1741.6512,1529.7618,2314.0388,1724.1458,NA,7256.7417,1711.2032,NA,1004.1299,1538.5013,1204.7576,1988.6804,4658.6807,1797.9697,649.5417,1752.461,2214.7156,2091.9937,2394.5623,NA,753.7212,1434.7113,1153.0536,1414.4027,1306.1385,918.28015,1309.3376,1317.3683,1317.7222,1493.8387,NA
305.1785_0.765,1300,3174.1304,1969.28,1909.418,2338.69,2773.685,2458.3188,2329.7266,2597.8203,2339.5327,2495.222,2367.219,2330.6895,1320.8374,2009.1338,2413.2012,3122.8545,2279.125,2843.3494,2739.6238,2763.482,2669.19,2891.6333,1863.3735,2191.6165,3455.1301,1926.6027,2505.6704,2522.4504,3373.568,2885.2297,2270.487,4260.611,3254.073,1668.5128,3141.8472,2787.918,3383.1738,2245.4856,2982.2083,2606.6506,3542.8115,3050.6003,3548.7473,2225.3127,3260.214,4885.3755,2125.2998,2874.8345,2258.5938,2540.945,1719.2019,2350.1716,2409.0217,2774.7803,3288.3992,2795.6147,2522.4417,2735.0864,3036.9756,NA
175.1469_0.796,1301,2012.4089,2684.1255,1966.9167,3791.4868,1711.0071,1182.2771,2652.103,2169.8757,1467.9615,1463.0986,1611.7233,2445.3396,1318.7704,1232.7319,1410.0594,665.9267,3000.5933,1621.0558,1305.6078,1006.90735,2062.207,1947.1368,1130.2611,1024.4331,3229.5786,1237.0552,1077.1735,4191.9766,1729.0364,753.6039,1281.5778,4271.3354,2455.154,2704.0671,2470.1921,1167.9945,1189.0178,2371.1504,1125.6147,NA,1906.2566,4066.2773,1699.0764,NA,1772.0793,1934.2623,8401.378,723,1398.6599,773.2756,949.4971,1722.0356,1916.4602,1663.3182,1627.7203,2035.8776,1803.6694,993.4934,2453.7961,NA
149.0679_0.781,1302,NA,NA,779.01135,NA,NA,NA,1933.3486,NA,NA,783.225,NA,NA,NA,NA,770.47235,NA,839.70056,NA,NA,767.05707,NA,NA,NA,28028.71,NA,571.5682,661.2654,560.8784,NA,NA,NA,961.304,NA,NA,NA,NA,28865.227,559.7778,NA,NA,NA,1004.9752,NA,32544.697,NA,621.4817,889.93427,NA,NA,NA,NA,10275.3,10540.915,9583.179,10063.33,11418.635,9905.778,9261.256,8128.6094,NA
316.1752_0.796,1304,16263.984,11659.263,13544.388,12098.453,10371.176,17990.521,12543.668,27084.396,19753.385,18854.08,14897.435,15493.046,6792.2915,11662.843,16501.363,23104.627,29417.68,22731.164,11851.746,22554.508,23526.404,18417.662,13703.516,7266.1323,19343,17521.115,24548.133,25056.525,14672.935,12035.155,16633.635,25669.094,14073.416,13611.755,18050.598,28142.516,15816.476,12069.63,28835.71,25717.53,25742.387,30682.15,19943.389,12168.235,15732.962,21072.104,22059.16,16950.219,14295.636,13743.875,13663.01,18664.76,18403.219,19458.02,18921.256,19112.412,20079.25,15450.452,16693.48,NA
318.2032_0.802,1305,5341.9395,3902.9028,2934.3887,1532.8092,2577.3313,3198.7192,3815.006,4873.513,3009.525,3409.3335,3966.627,3238.6982,4171.3887,2854.2275,3026.3157,3459.147,6569.371,6171.127,4508.752,5816.8286,6037.4336,4103.3506,3964.2583,2276.7993,4445.8755,3508.0537,4121.434,4648.4287,9650.15,3558.794,4556.824,5180.0166,8133.9956,3555.8838,3436.3633,3631.4297,3904.3474,1563.1699,4577.2266,3585.077,5333.5625,4606.0576,6876.891,2526.9888,9608.742,8495,5384.2646,3237.2595,3494.7903,3608.4907,2763.2507,4167.2812,3656.4338,5157.4985,4257.5977,4061.5657,3973.61,3859.167,3819.5408,NA
185.0896_0.774,1306,2145.5718,2449.416,1436.3817,NA,976.26666,903.3579,2636.9941,1466.6077,1309.5392,1084.9146,812.1114,1098.0437,1234.588,768.1307,1190.0676,2237.034,NA,1992.8928,3386.3608,860.9031,2315.413,NA,1431.6534,31997.932,766.21185,1272.2592,1144.058,NA,1118.7559,1755.5864,644.0497,NA,852.5574,NA,1234.6068,1792.0913,34313.72,680.1665,1053.4401,2996.0884,874.8852,5248.4326,1719.5294,38062.6,1886.0647,1084.1624,1424.0184,2115.6125,3029.6777,969.70776,1297.1495,14109.777,12114.663,13293.544,12438.819,14004.33,13284.271,11088.54,12578.962,NA
376.1234_0.783,1310,3400.975,3745.5505,3599.1887,3057.5283,4350.432,2055.105,2011.9756,4964.524,2491.0276,4126.18,1925.8322,2881.7275,2222.887,2217.6938,2285.898,3051.9626,3326.3657,5914.575,3764.0483,4704.613,4814.709,3166.2568,2571.1282,1935.6993,4952.9453,2563.323,3858.84,6426.1367,2489.564,3815.133,2871.4534,8066.7827,4133.8994,5193.2275,5485.5713,2662.7996,2531.2053,1913.3804,8918.323,5860.456,8031.3613,5056.489,3996.585,2065,2664.1143,3352.5276,4944.722,3072.6072,4349.307,3428.2441,13961.864,3102.2642,2919.6807,2703.0007,2855.1218,2993.2607,2906.6553,2857.4631,3669.2754,NA
256.1174_0.792,1311,2113.7573,2054.1846,2524.5623,4103.7812,3507.4536,3314.4468,2811.2517,9914.118,1917.9972,2294.3667,3154.3318,3015.5063,3087.3418,3085.1074,1841.9658,5929.593,4558.671,3253.514,2173.7659,4307.889,2336.9377,3929.1414,4669.9985,5501.259,2718.2883,6659.04,5008.574,2842.0232,1993.8064,4875.88,5752.92,2316.3108,1688.7794,4120.1436,1911.6902,4990.137,5893.5693,3072.7678,4294.5947,7103.1665,5666.7637,2961.3896,2451.3672,4653.73,2477.7412,2408.9016,5556.6353,5647.0728,4248.5674,3422.8826,2807.9932,3306.7935,3594.2239,2939.404,4046.686,3520.3196,3030.8792,4110.6753,3583.9043,NA
