mz_rt,row ID,6111_U2_C18POS_35,6111_U4_C18POS_42,6110_U3_C18POS_45,6110_U2_C18POS_34,6104_U2_C18POS_19,6101_U3_C18POS_29,6105_U4_C18POS_47,6109_U4_C18POS_22,6101_U1_C18POS_59,6105_U1_C18POS_43,6101_U3_C18POS_29_1,6105_U3_C18POS_39,6104_U3_C18POS_32,6102_U3_C18POS_48,6104_U1_C18POS_55,6103_U2_C18POS_60,6109_U1_C18POS_58,6105_U2_C18POS_40,6111_U3_C18POS_54,6104_U4_C18POS_12,6112_U2_C18POS_37,6101_U2_C18POS_30,6102_U1_C18POS_26_1,6106_U2_C18POS_46,6108_U1_C18POS_44,6102_U4_C18POS_50,6103_U4_C18POS_53,6109_U3_C18POS_52,6108_U2_C18POS_27,6111_U1_C18POS_51,6102_U2_C18POS_16,6112_U3_C18POS_56,6108_U4_C18POS_18,6110_U4_C18POS_start-10,6112_U4_C18POS_63,6103_U1_C18POS_21,6106_U1_C18POS_23,6101_U4_C18POS_14,6113_U1_C18POS_24,6103_U3_C18POS_61,6110_U1_C18POS_11,6112_U1_C18POS_38,6108_U3_C18POS_28_1,6106_U3_C18POS_20,6108_U2_C18POS_27_1,6108_U3_C18POS_28,6109_U2_C18POS_13,6102_U1_C18POS_26,6113_U4_C18POS_62,6113_U2_C18POS_31,6113_U3_C18POS_15,PooledQC6_C18POS_17,PooledQC9_C18POS_41,PooledQC11_C18POS_57,PooledQC10_C18POS_49,PooledQC8_C18POS_33,PrerunPooledQC5tryagain-addednew3_C18POS_14_1,PooledQC12_C18POS_64,PooledQC7_C18POS_25_1,...66
153.0328_0.516,12,6345.9277,1532.832,4453.458,NA,996.83813,3954.43,NA,1439.6036,7383.3726,3233.2354,1763.3789,1820.4054,2484.1436,7854.5723,4792.7847,NA,4562.046,NA,13022.616,8696.275,2704.1194,972.0476,5294.2725,1576.7252,1096.0531,7146.3555,2105.382,4858.396,5425.823,1721.4407,6595.712,1168.8922,1504.4465,3579.9841,3481.2017,NA,1286.7394,6505.1147,1696.3124,3316.315,7202.6665,NA,1742.769,2065.22,5379.007,2499.5422,1937.4824,1109.9908,1903.3917,4716.092,5827.056,3224.6738,1969.3829,3556.1375,4451.876,4834.9795,3138.9263,3565.5088,3889.0278,NA
163.1077_0.537,18,2976.1694,4282.0767,2950.9636,1987.6271,2064.1677,2788.0635,2641.4524,3781.496,3466.8281,4126.1904,3144.8855,2681.3333,2942.0115,2342.4832,3347.5256,2124.5808,3565.7354,2646.642,11671.713,8129.2397,2434.112,2545.5356,2844.3237,2291.374,4793.3994,3935.6897,2533.3484,3927.5154000000002,3693.3777,3467.8372,2544.2222,4051.785,4871.924,2396.7842,2117.068,3650.8933,3849.3997,1867.6948,4447.172,5587.594,2864.1038,2299.7554,4441.073,4078.4917,3365.0505,4930.6855,3083.935,2499.324,3876.4219,3821.244,7537.716,3186.6516,3522.49,4716.709,2497.4387,2631.415,2936.7332,3596.3691,3756.836,NA
325.1604_0.539,19,7192.7505,6330.2563,7027.0957,3625.54,2783.1252,4284.035,3799.2458,4574.1494,7325.014,5526.6235,4399.166,5857.231,3795.8254,4997.0195,4281.3867,4093.8467,6291.1147,5530.6963,16312.684,10924.095,4037.0295,5579.7754,6339.855,3510.713,8067.001,4748.5312,3804.6128,7821.061,7110.6875,6642.3076,8457.175,6777.8447,8848.059,4858.8286,5640.2393,6253.7876,8199.506,3585.764,9603.327,7587.4727,9833.93,6369.438,9241.329,6866.574,5422.5684,10208.8545,8660.823,6019.597,4150.3364,7220.563,10400.577,6661.9155,6605.496,4957.5386,5507.095,4673.771,6188.9556,3449.9668,5451.5786,NA
147.1128_0.54,20,14833.34,29564.635,4374.3486,2433.233,15478.766,12374.981,13017.422,7582.502,9275.137,10590.299,9006.571,16983.906,16698.283,3755.8218,22419.053,4764.2124,9808.681,10396.66,80380.67,30139.242,9233.722,8520.801,2502.3606,3940.893,4994.8335,3394.52,3154.5312,4814.2495,8956.865,27490.592,2966.8071,8249.328,6266.511,5887.398,6981.5156,2843.5723,9969.604,7500.161,19481.693,8145.8193,5775.9146,6125.8027,9043.255,6903.0957,9873.721,9963.6455,7410.876,2954.3428,22400.164,48404.98,24418.521,11805.319,10869.492,11295.954,13673.44,9910.762,9851.761,11148.728,12681.593,NA
430.9137_0.551,27,19171.002,23727.115,23431.24,26781.727,25861.72,24989.592,24202.94,7874.6675,20251.406,26157.885,22070.38,22389.035,30553.117,32191.129,24547.105,23104.256,11861.903,19660.342,23730.795,24325.104,28512.012,18235.96,23394.268,29160.498,17814.373,15778.071,32562.023,5702.3257,26289.715,20252.322,19580.111,19504.291,9773.327,17172.557,28890.049,29447.416,11175.123,15520.431,31675.273,25688.979,20249.969,20471.46,18360.46,19600.504,26965.271,18946.291,8272.905,31351.873,28323.541,24464.213,27371.904,21183.137,21425.781,22576.428,29280.412,20042.342,21286.055,22191.527,25812.252,NA
446.8876_0.553,29,15504.441,12050.705,11918.844,16039.018,13993.002,15456.972,16029.556,14698.375,12446.332,12392.445,14336.599,13107.775,12531.292,10359.865,13309.043,15070.0205,13152.845,12287.512,13650.42,14425.111,12603.903,14702.084,13790.629,19248.645,7179.844,10788.047,14686.218,9581.831,9271.411,15377.023,12535.992,17721.398,12016.422,16714.87,16498.893,12415.603,13397.598,16001.824,10921.392,11708.185,16704.941,15987.667,13894.895,15722.139,9760.529,15474.015,12941.959,15225.191,14450.677,9303.376,12216.596,14114.973,11451.467,16345.661,16439.354,14782.336,14338.358,13890.802,21308.764,NA
226.9618_0.553,30,10230.083,10406.742,9373.036,13287.297,12523.291,12170.477,9373.966,5211.353,9095.159,13523.7705,8888.57,11098.885,13461.07,12048.58,10606.151,11627.057,7909.1064,10480.515,12560.418,9480.827,12612.051,8707.058,11373.793,12851.992,9829.704,9838.709,12957.082,3317.8167,13571.837,9131.77,8777.286,8416.155,7404.569,9647.133,13036.294,11295.985,6161.4946,7344.8706,13506.373,13399.252,7993.9097,11393.717,8965.248,7685.4873,12896.823,10166.666,4704.9077,12075.434,13595.95,10952.682,11037.285,9820.148,10263.852,11258.444,12596.829,10137.062,10986.052,11559.401,13303.135,NA
362.9263_0.552,31,18190.93,18361.475,18734.164,23020.219,21321.484,21716.447,21660.215,5885.5625,11609.962,21322.734,19023.932,21021.861,25674.271,21919.268,20578.287,21068.941,11845.889,14103.888,19194.117,21012.145,23649.277,18450.25,21957.73,24987.271,16817.203,12323.673,24841.041,3631.8357,23052.504,16162.926,14624.931,16464.713,7884.633,13498.051,22638.832,26431.129,10910.387,14826.044,23853.6,22229.498,18805.166,18886.338,16196.003,14195.3955,23196.043,16068.949,6487.553,24159.656,22855.11,19386.342,21221.535,16573.502,16393.432,20747.139,19743.303,20573.504,21077.521,19307.986,27105.889,NA
90.9834_0.554,32,6045.5786,8989.987,7953.4995,6531.1895,8730.181,7035.1113,8170.3105,4314.051,6849.252,7771.4067,7198.2803,6674.9614,8491.969,9199.302,8215.529,7739.1865,6414.572,5965.8203,9470.115,7201.1045,8736.571,5281.222,5824.717,8233.592,6824.6343,5898.184,7315.6743,2995.285,7468.778,5209.2935,6959.2573,6462.06,3666.8103,6110.541,8566.511,6920.413,3820.1604,6645.2837,8894.398,6767.124,5909.6396,5121.9385,7398.149,5230.197,9055.726,6072.893,3359.6821,7541.001,9100.319,7794.018,8259.486,7214.322,8053.8965,7351.361,6847.874,6996.797,6731.0293,7457.6553,8148.9453,NA
158.964_0.552,33,47169.09,48890.906,46998.746,64651.547,55609.64,52163.066,54973.918,26156.035,48395.383,52364.016,45723.324,50345.418,62116.418,67221.625,56566.258,49400.04,32587.783,43552.035,50485.63,52057.4,53128.957,42815.53,52257.055,51675.33,39000.215,39357.7,61637.51,17465.404,58070.54,44573.31,45633.99,41190.25,23090.504,42732.28,57124.375,53156.914,26383.543,37805.51,52418.945,55135.96,43591.953,46768.133,46467.605,44192.953,62349.508,44310.715,23235.805,52533.855,54563.453,49216.137,51361.23,48647.867,47558.918,48615.867,49428.38,48567.97,50202.56,47987.145,58969.703,NA
378.9002_0.552,34,12385.976,13709.39,11464.373,16936.803,13418.545,16044.805,13563.497,14004.478,8735.184,11406.412,12367.33,9241.209,8336.051,8572.358,10710.448,12861.024,13681.534,9515.444,10593.245,12538.718,13525.36,12717.516,12760.071,17081.527,8613.849,9956.953,13006.924,9544.801,7737.853,13984.231,11549.905,11425.828,12221.597,16299.542,11291.494,10446.27,10321.906,12861.714,11000.001,12026.626,12902.041,12899,11149.745,11133.794,11408.7295,11604.647,11148.657,12785.407,12210.242,9095.633,11216.797,12203.9375,13925.813,14359.891,14915.007,17240.281,13335.444,11243.402,18199.941,NA
226.9516_0.553,35,99459.875,103462.3,115715.87,159688.03,140460.9,126695.59,126016.305,47134.42,108696.85,141117.86,113077.48,119496.164,148690.36,158717.75,133671.44,132331.77,71325.1,92647.234,121373.62,109916.21,135379.4,87252.82,129556.31,129639.65,88048.13,87557.96,151227.14,29571.488,129617.664,83789.77,87254.2,88792.13,54899.086,87255.984,148593.53,133522,47348.37,82834.18,134874.95,138054.66,82726.55,111820.69,112433.48,83277.68,148205.27,107567.484,42557.29,130535.23,152010.11,121278.8,115232.82,115757.52,105114.6,118240.37,121176.71,116489.13,111062.14,105737.87,145349.95,NA
498.901_0.551,37,13601.465,12357.832,12422.1875,16091.583,15284.881,12057.448,12723.194,4011.9265,10133.306,18023.266,11943.2705,16957.326,14525.504,17881.799,14224.458,16394.242,6064.355,11053.106,11307.188,14981.624,15091.36,11234.957,12766.743,14341.601,9287.112,11000.662,16491.252,2360.5522,14040.198,9479.965,9238.905,11586.095,5899.947,9749.345,15594.138,17536.309,7924.4746,9997.015,15542.327,14435.173,10510.429,11144.878,12641.531,11690.148,12985.809,11675.126,4419.248,17759.557,16595.908,13472.371,13078.068,11512.816,10794.239,13252.209,13344.463,14429.716,15377.813,13189.532,17504.09,NA
566.8884_0.551,38,11765.076,14240.015,12638.05,16653.998,16657.547,13193.13,15757.086,5171.017,9001.36,15828.344,12326.126,15018.35,16580.668,17814.02,13688.426,15383.359,8242.0625,11242.101,13316.79,16612.875,16248.063,9783.875,14620.505,14429.724,8795.281,9073.486,16306.192,2748.158,16035.746,10021.568,9361.393,10199.025,5425.475,11772.479,17354.574,15307.674,6367.207,8476.81,17334.402,15183.687,8955.937,12993.668,10874.2705,13253.748,16257.713,12023.572,3624.1616,19244.164,14808.85,12611.984,16242.02,12502.946,11647.843,11749.519,12769.074,10807.939,13636.148,11370.835,18341.387,NA
90.9765_0.554,39,84286.71,97776.13,94280.484,115036.35,106139.36,96403.266,95756.4,49108.547,93901.28,103211.016,83082.2,95034.26,96639.85,104850.414,97009.6,95375.16,72064.72,82231.35,103272.42,85857.81,95541.4,81324.41,98855.02,103086.51,88495.31,80258.09,95759.98,37168.727,103794.945,74904.49,94186.2,81401.64,49650.246,65156.426,105086,94659.31,47546.465,78275.08,109602.266,93877.914,79910.02,79245.58,93867.43,64417.54,107321.47,90865.27,47149.723,96332.87,112739.6,96537.73,95149.38,88349.09,93916.875,90950.68,93577.15,95901.31,99089.52,88365.125,97767.63,NA
242.9254_0.555,40,61000.57,54412.98,48161.926,71937.39,50527.16,63124.65,68600.62,66586.23,46893.06,49103.918,57996.875,45595.316,50051.848,36392.43,61996.695,68218.79,72125.91,44394.938,52665.543,57073.79,55319.242,55800.48,60051.145,81219.59,42179.586,58015.88,59333.93,47034.44,38526.01,64419.11,52162.78,63436.85,59490.69,80829.234,51438.035,52880.113,47505.098,62714.133,51202.703,49490.273,52228.03,54617.945,58518.957,54734.02,48417.03,61157.914,51920.867,63160.027,47263.59,45501.945,50324.15,62941.387,52523.83,56050.074,60656.66,56954.375,63483.184,53423.023,80688.945,NA
394.874_0.555,41,5282.9473,3595.3787,3509.926,5296.2656,2694.2954,3426.5945,4784.754,13701.2705,3901.84,2367.278,4176.7812,2572.5703,2681.3726,1617.0043,4601.1216,4321.0386,8668.197,3018.5059,3796.1077,4724.126,3391.159,6200.9673,3076.48,9377.131,4029.5837,4092.8445,3299.171,7733.0215,1735.7902,4304.1963,2832.6448,5434.927,7077.591,11787.068,3180.4426,2571.7605,5218.786,6734.047,3520.0234,2987.9585,5515.059,4089.0864,3458.0986,6247.1724,2434.7805,4810.2163,12223.258,4439.992,2323.7266,2613.1467,3174.7883,4532.885,6299.092,5025.7456,6125.9546,3644.0225,5816.1455,3584.4143,5741.695,NA
634.876_0.551,42,9631.357,12527.063,13523.076,14020.725,12051.596,9423.12,12529.842,2953.331,10533.498,14956.872,8651.715,11149.609,12795.167,14304.378,9644.646,11798.761,6214.8965,7471.874,9595.276,10317.126,12567.881,8759.698,9351.598,12309.224,8314.205,6548.104,14146.36,1875.5557,12921.837,7692.2305,6736.0415,9459.443,4417.924,7622.0166,13234.928,13056.396,5065.2334,7328.839,13881.639,13122.134,9441.627,9937.196,9774.998,9359.524,13044.58,8474.052,2526.105,16049.687,12669.903,11730.092,10370.364,12067.125,8265.435,9804.494,10392.178,8259.416,11264.226,9938.839,15605.875,NA
702.8632_0.551,43,13579.101,14554.461,13106.793,17800.662,13986.829,13072.553,14106.883,3135.0305,9385.073,17217.66,12305.502,16725.738,17924.326,16269.569,14473.438,14419.162,6789.305,9462.569,10839.374,13597.237,16840.402,11528.103,12463.624,15550.233,7353.354,6584.042,13606.96,1266.8168,14881.374,8701.767,9166.665,9256.861,5006.445,9993.254,14807.297,19770.648,4529.8433000000005,9195.282,15570.712,12462.042,9687.08,11879.672,9026.502,9049.475,14883.729,11675.889,2511.955,15517.201,18989.273,11118.751,13076.134,12935.981,9981.22,9754.52,14510.22,11169.439,13648.643,10853.915,16801.975,NA
854.8115_0.551,44,6967.617,5564.3613,6101.8066,7578.9287,6029.589,5841.1406,6616.855,4756.764,4773.093,5444.856,5705.5913,5721.092,4830.0127,3498.9536,5525.6924,6601.7935,5581.9697,5438.878,5644.2744,6822.681,5772.925,6601.125,4331.2393,10167.85,4197.193,3302.1875,7281.0825,2017.5588,4224.2065,7166.8613,5382.1665,5417.9,5120.5015,5473.463,5785.386,7774.5317,3443.0183,6202.889,4385.526,4985.489,4553.458,7310.197,5509.8115,5590.3413,4243.0005,4784.0625,3345.1602,8169.0674,5393.1714,4551.381,5013.653,6169.136,8184.719,6196.611,6525.2217,7140.1416,6905.0366,7616.6147,9131.308,NA
912.7814_0.554,45,5502.334,8707.308,5529.3423,9162.415,9285.121,9539.306,6331.744,1963.1868,3469.0005,8431,6670.497,10157.3125,9016.821,9551.616,7918.5366,8070.634,3984.43,5252.7236,6222.4077,6284.847,12043.745,5405.1787,6984.819,7506.5605,3037.1182,5153.22,10067.196,NA,8163.813,4866.6807,4690.69,6223.306,2790.6265,5428.6714,7891.6826,12214.346,2449.6692,3780.4324,8078.6797,8211.862,4726.907,6208.534,7027.025,4096.0054,6309.058,8069.993,1389.2666,7492.9556,8788.52,8127.2026,7991.1387,6378.563,8789.011,6810.4795,6210.9214,10766.031,8214.199,6937.327,7557.66,NA
174.9381_0.556,46,14423.886,16057.949,16341.378,20760.85,15483.806,16289.3955,15960.0205,16719.496,15805.377,13038.11,17137.857,13128.08,11911.691,10200.886,18295.117,15557.503,17834.807,13114.4375,14026.962,16471.99,16022.909,15451.181,16790.791,24599.496,10173.507,15106.841,15829.691,16374.773,12398,18798.379,13124.258,14773.899,15762.905,19315.863,14310.499,13961.564,14137.137,19292.424,11757.158,14027.1455,16025.808,18170.902,13698.113,15182.073,10490.858,17659.69,17082.52,15724.453,13052.944,13268.551,13420.117,15884.224,15235.813,13364.122,16814.424,19567.768,16234.624,17483.879,18524.592,NA
272.9445_0.578,47,7279.804,6008.1704,4452.048,1261.6398,2654.7207,5914.157,NA,1682.0842,12278.183,3662.9575,5035.6035,3641.6655,3847.0774,11286.814,3043.571,2397.349,2642.6255,2966.007,3847.651,4632.016,5317.8975,5597.6816,9121.239,7843.397,9083.1,8960.46,5280.532,6287.391,8104.9404,3229.842,9212.107,1879.8514,2555.3894,3554.565,2317.1475,3384.0051,NA,4031.8025,4723.5293,4065.816,4285.8477,2666,4626.4834,4017.7908,8834.085,4564.1606,3512.092,10608.292,4188.965,3134.9146,4989.456,3677.7869,3236.9185,2763.882,3155.789,3666.7288,3921.8945,2889.4875,4275.472,NA
572.8449_0.557,48,11587.613,13608.191,11740.371,16711.062,13501.831,12372.759,12383.4375,3024.2056,7247.6396,17743.031,12041.32,16279.878,17926.227,17599.916,14758.534,14464.19,5749.5376,12088.995,12198.369,15597.726,17298.879,7773.444,10730.964,15443.037,9385.083,6748.663,19764.092,NA,13748.157,9072.823,9306.357,11840.5,4197.3164,7792.4517,14771.808,18286.91,4887.751,7300.4106,17644.852,14436.066,8908.834,11604.647,11858.099,12989.258,14860.825,10099.568,2906.0613,12207.792,15632.521,14330.116,11920.062,12337.585,12555.885,12409.007,13295.396,12691.401,14356.415,14798.2,13084.574,NA
640.8322_0.556,49,8611.143,11678.952,11123.64,14466.056,16087.025,11387.372,12987.88,2205.393,7640.016,14618.229,11924.743,12762.097,17086.242,12741.625,15437.519,13095.7295,5781.6533,9627.725,13193.878,10644.8,16290.869,6396.6177,10084.799,14201.068,7420.028,6760.041,18180.43,NA,14251.094,7510.1455,7840.8525,12286.886,3556.1772,6259.394,15656.8,12958.667,5150.22,5642.7466,15338.715,16001.184,6905.1055,12200.244,12793.065,8473.829,11006.191,12120.912,1880.3809,15114.314,17565.809,14707.649,10930.582,9814.873,10888.217,12026.487,12558.117,12851.145,14377.815,11787.484,14711.052,NA
504.8576_0.558,50,11560.78,13682.715,13281.193,16811.982,14927.126,13766.775,14489.315,3053.9006,8741.779,16126.582,12197.475,14514.188,19367.367,15588.578,15116.083,14868.735,6459.664,11055.127,13128.999,12817.547,17695.494,11782.803,14459.796,14425.008,8394.956,9881.836,16688.479,1882.4447,15548.85,10962.578,11018.473,13152.7705,4620.138,7610.0635,17426.26,19584.664,6906.6997,9061.97,18572.842,17333.832,8812.14,13866.556,12640.468,11042.279,13444.433,13120.785,1956.4081,12947.019,18700.145,13562.24,13946.184,11453.216,13358.62,12767.206,17002.678,15529.602,13497.544,12700.007,15688.511,NA
724.7935_0.557,51,7653.452,8504.007,6439.932,12695.527,6867.857,7808.8813,9837.365,6502.029,5711.5527,8195.779,7422.8467,8431.223,7504.632,6177.5176,8704.782,10667.544,5518.978,6051.1206,6340.064,8824.82,7611.879,8236.026,6223.7925,11282.248,4664.1606,5892.1294,7434.88,2309.9138,4387.9155,8555.049,5567.093,8356.496,5145.1367,9028.358,7992.859,7949.9316,6627.9175,6325.324,8285.244,7869.3066,6059.5,8884.824,6914.346,8091.381,5223.248,7128.316,3538.8828,7614.257,8537.238,7404.887,6047.253,7849.057,8178.2715,9780.932,8223.386,6936.0005,11904.3,8521.028,13506.148,NA
106.9505_0.559,52,23797.363,22085.637,18616.352,30995.076,21066.86,24071.998,26492.467,27204.03,20838.494,17371.363,22135.158,16816.975,19947.023,16522.895,24138.66,24700.445,25741.22,15991.904,19652.1,22658.16,20626.111,21647.104,20648.936,35699.957,16307.397,21954.178,22032.975,22302.883,15953.696,26701.266,22131.885,21009.756,22178.08,26471.992,17226.74,21917.781,21318.785,22115.043,15105.109,17947.346,22792.69,24700.053,23417.203,23471.826,21103.412,23280.424,28240.184,23542.924,18707.145,22188.752,17231.383,21695.225,24021.516,21363.143,28037.193,22347.56,24685.8,21458.861,28608.906,NA
844.7939_0.555,53,5389.976,8727.352,7392.837,11175.817,11318.316,8360.624,9652.03,2036.445,4758.1636,10399.616,6300.9707,11199.28,10348.601,12692.419,9230.522,12215.193,5997.133,8431.41,6456.307,8728.972,10864.624,6808.4834,9296.285,8519.155,3511.8254,5204.215,10564.281,NA,8141.354,6109.744,6314.978,6297.8516,3481.883,5078.605,10409.266,13649.059,3248.4119,3734.185,9232.141,11513.661,3947.8044,6622.944,6891.706,5177.0312,8754.475,8926.13,1922.7788,6684.552,11051.063,11172.284,7968.8613,7468.506,8767.95,6792.5405,8474.885,8028.671,9106.564,7509.6543,7599.5166,NA
588.8188_0.559,54,5547.6504,8459.276,9768.716,14862.752,11734.696,11543.349,12374.983,5236.572,6146.6206,7689.5503,10805.391,8363.405,7224.0195,6830.5957,12517.48,9931.574,7339.638,9713.97,8962.935,10479.1,8863.126,10227.531,8487.314,15486.924,5353.739,8168.5215,12005.062,2357.831,5805.485,10588.012,8561.749,9862.562,5538.6875,9742.103,11296.719,9951.214,7648.6543,7670.987,8924.825,8467.939,7276.4175,8981.502,10561.5205,9668.466,7601.0415,11866.24,6248.2812,8403.135,8397.397,7516.872,9466.846,8423.914,8732.18,11179.886,9276.159,7641.5825,11735.17,8632.295,14055.295,NA
258.8993_0.559,55,19373.62,20175.664,17020.393,35190.344,16175.238,19431.105,21377.77,45052.367,17662.863,12748.679,19333.174,18517.68,11372.674,7579.69,16454.738,21877.066,33742.03,18545.37,16715.518,19146.037,14035.015,22451.252,17857.287,38755.61,12264.935,16921.02,16799.906,42920.75,8597.117,30291.879,15142.191,19728.172,31873.504,33851.62,13565.321,17138.379,28382.508,32215.049,9833.438,13788.775,21971.816,20536.295,19627.217,22111.531,9031.334,20587.96,47746.1,18893.52,9851.311,12299.727,9377.501,18294.758,20864.873,18635.895,20411.79,18306.502,20542.258,18595.627,25551.352,NA
436.8701_0.56,56,11649.046,14897.449,13432.69,21859.102,18046.709,15428.018,16434.95,4745.1953,10862.48,18593.377,12817.781,17323.54,20373.834,19633.287,19118.447,18469.043,8026.405,13029.611,17444.541,15215.695,16690.225,10575.257,13004.675,14575.255,10153.79,12360.061,19257.324,1911.796,17178.746,11666.787,11021.237,11044.928,5985.2153,11557.43,18098.873,20185.459,5737.556,8133.09,19564.473,15960,8376.758,14343.102,15040.901,11784.182,20090.818,13730.394,3745.1333,13809.095,20911.066,16797.531,15510.414,14323.954,16158.878,14645.402,14253.045,17096.385,15769.64,13817.903,18696,NA
708.8197_0.556,57,9243.619,10392.413,10813.517,14033.44,12423.066,8470.025,13432.758,2176.3027,5535.377,12652.808,9876.127,11203.474,14055.564,15336.346,13250.059,13770.646,4853.2207,8531.423,7490.87,12713.7705,18190.045,6250.037,8693.967,11344.852,5812.798,4904.6587,14614.911,NA,13732.084,8748.335,6190.1772,8636.806,3267.6262,6641.668,13033.922,14777.219,3153,6102.7217,11412.618,12196.165,6345.183,8030.2153,7679.695,6143.8076,10877.605,12425.431,1936.8817,10648.983,15433.856,10880.179,8183.72,7007.82,9714.243,9533.877,9933.247,9761.086,12590.324,9176.103,11673.201,NA
792.781_0.556,58,6300.846,9114.765,5915.193,8839.011,6260.23,6919.8276,10023.219,3904.9666,3686.1787,7571.1685,6157.049,8216.587,5591.3604,3977.003,6282.04,8473.413,6528.1655,6706.0127,6024.0474,7503.4106,8127.449,7281.5107,5636.0645,10744.587,4720.82,5339.0107,8772.725,2433.0078,4169.0093,8116.4463,4623.8223,5936.332,4951.2344,7328.683,6461.799,8198.686,4309.7407,6723.73,6152.7856,9183.044,6699.8467,7647.51,6844.389,7650.7754,4316.2134,6052.0767,2998.5574,7610.622,5816.187,6709.4116,4913.122,7543.1206,6791.38,7281.42,9212.032,6954.596,8564.474,7159.978,11330.813,NA
928.7554_0.555,59,4853.2197,6929.89,5262.2295,8739.276,7270.656,5464.415,5538.0884,3629.3613,3470.337,7197.64,4962.4893,6830.0635,5652.138,4519.1704,6598.03,5352.979,4113.651,5128.5205,4172.448,7164.3086,7122.2935,5216.064,6439.309,7393.3364,4132.2607,4154.614,5905.6,1730.483,4703.4653,5807.309,4335.8843,6006.705,3518.9038,6475.7017,6817.148,6352.145,4183.0923,5377.101,5179.2427,4682.051,4269.179,6431.5034,5780.9946,5504.0347,3548.3828,6178.1025,2262.684,6212.12,6384.899,4824.8374,5767.1997,5746.028,5630.7036,5688.702,6583.691,5208.1323,7885.55,5969.7305,8161.791,NA
124.9225_0.576,60,7461.021,9140.004,7686.368,9374.753,7426.4287,6056.8955,10282.344,20432.146,6595.089,5434.6753,7392.078,5145.582,4726.8223,3209.4897,8805.022,8178.483,13816.326,6978.253,4328.4814,7849.294,7096.4644,9480.267,6600.6294,11722.122,5146.0107,8619.932,7467.551,18742.416,3964.762,10753.554,6712.778,9312.135,12460.458,12801.677,5963.7617,5039.008,8908.412,14518.355,3256.7256,5085.137,8378.189,10621.796,8632.032,11762.813,2981.1763,6466.1367,25157.51,6081.553,5671.8755,4164.8867,4443.264,6439.7407,7331.1157,7864.173,8432.599,6435.35,7248.402,8017.0283,9203.979,NA
656.8062_0.558,61,7126.9487,7218.1685,9298.831,11654.071,11611.133,9555.642,12170.633,5778.9697,6323.8076,9005.881,9966.2295,9465.424,7005.973,5810.9062,7963,10649.401,8680.254,6970.0596,8371.84,9029.16,8555.589,9642.229,5887.034,13366.661,5356.824,5985.711,7999.3496,2333.7708,5659.8823,8487.641,7533.3906,9094.321,6228.0005,9394.235,8962.922,9429.175,7679.33,9111.702,8071.94,7628.8735,8889.188,8100.021,8755.852,10959.236,4148.1133,8952.14,4214.157,8255.034,7816.855,5577.0596,7420.291,10388.942,9569.828,8758.6875,10650.375,10387.572,9383.101,8646.104,12331.377,NA
782.7625_0.559,62,4858.0435,6503.1045,7057.3003,9581.528,10139.699,6575.445,7654.4077,NA,3732.4216,11224.675,6428.2,8342.433,12871.643,8962.858,8556.028,9815.679,2882.5032,5715.1216,6293.4893,6438.383,9839.656,4024.7603,5980.882,6428.7637,3228.1719,4797.7695,9052.68,NA,7557.95,4228.793,4980.0103,5510.1216,2272.2258,2870.858,11748.768,10546.565,2839.0017,3336.2896,11903.87,9926.078,4545.0522,4792.4297,8392.426,5041.49,7017.039,6770.5806,NA,5537.865,12180.922,8844.09,8375.733,6694.5605,8195.107,7834.544,6585.3994,6871.7983,8197.522,7018.4395,7876.044,NA
798.7368_0.561,63,4156.048,6512.9834,7692.028,11756.011,9900.515,7779.2593,9336.216,2503.628,3945.686,7144.9717,6211.7993,7858.0273,7640.194,4458.655,8320.633,9261.271,5703.4424,6057.653,5339.955,8398.17,8630.013,6072.4307,3862.49,7681.4907,4130.2583,6382.944,9988.411,NA,4167.0283,6907.381,5019.3975,6761.0547,4310.684,6321.385,8824,9270.348,3686.881,5555.4946,8711.728,7701.651,3892.104,6723.105,7316.7236,6557.875,4818.8574,8128.1553,2523.1106,6008.4746,8827.382,5620.9937,6301.4053,8543.065,7836.75,9304.926,7747.094,9386.302,7504.9624,8495.4,11720.651,NA
646.7883_0.561,64,5525.029,8983.17,8083.9077,12624.316,11940.866,8632.099,8914.061,2138.7397,5567,14662.212,8387.466,10455.063,15894.897,14515.013,11712.083,13560.105,3991.0725,9138.123,8431.5,8995.302,12382.41,9178.719,6152.0415,7260.536,4709.978,8484,13136.759,NA,12640.1875,6778.117,7004.7656,7140.346,4041.358,4056.865,13915.047,13858.691,3801.9023,5447.85,12881.704,12570.246,5321.052,6664.105,9600.211,5511.3066,9665.575,7715.452,NA,8594.284,13223.306,10214.709,9233.895,8625.79,8011.5103,8822.907,9706.842,8732.452,9843.299,8615.858,10173.429,NA
300.8953_0.563,65,18606.795,25539.785,22202.324,31224.113,32360.363,24548.14,28671.268,7205.6104,20454.162,29138.834,25722.914,26756.934,35106.46,35217.957,29310.576,33207.656,13837.449,21223.555,25736.91,25657.697,34723.824,21420.121,23236.422,24518.805,16342.525,22029.633,31293.709,4218.9385,29558,17392.22,25232.02,22168.264,10884.887,18750.951,32001.146,33033.246,12499.627,17890.002,33532.387,33281.047,14465.226,23699.604,23780.46,19721.84,30176.148,23645.156,6422.0684,22314.357,38164.734,29144.365,28196.111,23549.98,26131.803,26797.494,24114.088,27000.104,28806.176,25621.412,26018.908,NA
