mass,rt,6104_U2,6110_U2,6108_U2,6111_U4,6101_U3,6104_U1,6103_U4,6110_U3,6111_U2,6111_U1,6105_U3,6109_U2,6108_U1,6109_U4,6101_U4,6101_U2,6110_U4,6105_U1,6105_U4,6102_U1,6102_U2,6104_U3,6104_U4,6113_U3,6113_U2,6109_U3,6102_U4,6102_U3,6108_U4,6106_U2,6111_U3,6110_U1,6108_U3,6106_U3,6105_U2,6112_U2,6103_U1,6113_U1,6103_U3,6101_U1,6112_U1,6109_U1,6112_U3,6106_U4,6103_U2,6106_U1,6112_U4,PooledQC5,6113_U4,PooledQC7,PooledQC6,PooledQC9,PooledQC10,PooledQC8,PooledQC11,PooledQC12
553.3887,0.421,11.56440056,12.2412196073169,11.1868886514881,13.3139238167415,11.9749015503478,12.7375308815414,12.9786471962525,10.8575900195254,13.1751887529147,12.2344099453884,11.5813656677406,12.2104269754134,11.4533305657008,13.696643132041,14.994522815123,12.9565527600149,13.357979323264,11.8676164361401,11.8892788643641,11.4431183540429,14.3514296489342,13.3702673179685,12.3098037693282,10.2981270338724,11.2129277811197,12.3148796290864,11.282573689863,11.7623304580816,11.4619936603757,11.4103188455819,10.8701142815643,11.4802939328992,10.5108670230039,11.4004750530083,11.2873649964542,16.6150195901771,12.9800847459492,11.3908311148558,10.8960802858611,12.0149393404951,13.3531489821535,12.5025276688064,13.7129916265406,14.2813760669979,15.4525534071379,11.4935704596908,14.3276434732765,13.4066641337649,12.3334219009396,13.4200831491597,13.3342700356359,13.138029965965,13.1902512833701,13.3984036049193,13.6256795714046,13.3325032564225
666.637,0.431,14.30851417,8.97564745496539,9.02369248010561,10.1269630802542,10.2123605216796,10.2475489942257,11.4021403637533,8.85908423208285,10.0377515642878,10.4546608142188,10.0675693734314,10.1744209359784,9.91780063658585,9.00257289419174,10.8103966799756,10.0036766412561,10.0427648476312,10.1733740612774,10.2481012079267,10.98364031599,8.92592021406698,10.0231311434389,9.88588869383006,10.5117798407391,10.0253861287959,10.0753820824077,9.87040895198624,10.1469154742054,8.96232852316637,10.023725081489,9.82837676959991,8.83423179805923,10.0803011043856,11.039268404453,10.4199170099516,8.94933301322295,10.4225057535581,10.3502256711281,8.62548114278142,12.0804996060443,10.4792702026238,10.5507883710885,12.6870483726291,10.2366801974271,10.6443974106186,11.4301142280766,9.59495240031742,11.0129492249114,9.7553727263322,10.5061084405937,10.5102844718304,11.0421445483459,10.5365623886652,10.775884330363,10.6973852908635,10.8348266511632
489.2284,0.496,10.71713574,11.0157411616032,8.99294742332835,10.2341173445442,8.97897222272943,10.6202502256363,8.93209639291361,10.4856071116189,10.2477295663,11.0313289951538,10.8610581974153,10.1106415160955,10.6662342966875,8.98006493779621,10.3837317089423,11.0379733283499,8.95317747801291,8.96723681240153,11.1716308959463,8.98376351557039,8.96050385044419,10.8520834970134,10.8582002208311,11.2997580291177,8.98440532245269,10.1918326047173,10.7133861334317,10.4443172680047,10.585216556501,8.97269649715661,8.95318174592847,10.4697390143108,10.077985199916,10.4604724562779,11.3956803725702,12.8723335872837,9.99279516691971,8.98242865065084,10.395622027853,8.91279695177852,12.1482941393357,9.9233516611321,14.5921752653437,8.99645498295482,11.1860695674261,8.97435177628016,8.8885396080689,16.3878222634285,10.0121885373938,16.2572428103316,16.1823819462785,16.2457455007072,16.1033807869636,16.2469530008238,16.5038658337698,16.2225451198934
696.649,0.442,12.25144128,9.1218682506651,10.8010351152172,10.370514942458,10.1156315456461,13.5651511493887,8.89704132283308,10.2792511380612,10.4019127218136,10.5088324830774,10.1426969657609,8.8460097236306,9.05843891953763,10.0506105144884,10.4299043102984,9.10243904055332,9.8411212744283,9.07004150782445,9.02028888978043,11.6930639567976,9.94613269100102,9.11156555666317,8.8198071604903,8.89053561968189,10.9757685963411,11.5866403926873,8.95833507700629,10.2163213732991,8.95656103202837,9.04301220679741,10.5863246847263,8.79362746600788,10.3413252942452,10.2582317899869,11.1496134482307,10.2791080503193,10.2374181846135,10.1335372914574,10.2002138586849,15.1152739398717,11.5200623801139,10.1540016424944,14.757138266085,10.1699656123596,11.9731383877352,13.7592232635305,11.8306030303043,10.8707321068789,8.68535855945854,10.843479984194,9.93554993242822,10.4039312263968,10.4297619185279,10.2410662166758,10.501064385161,10.6275081924776
297.1938,0.496,8.969321473,10.5506387579477,10.7628538822657,11.3241890778314,11.3329111270068,10.7441554254094,11.7193244497368,10.8417384135291,11.6792577118369,11.0497072881478,10.8556129474363,10.8718914248168,11.2341517681311,10.3742652514687,11.4007388915582,10.6441909693659,11.0073773803199,10.6389980831272,11.1733143509358,10.8433601387479,11.2826499195141,11.8284318073066,11.7732599484327,11.3126747166062,10.8233273925686,11.0315114540079,10.4531137325597,10.6124050257482,11.534263410529,14.4065821145215,11.1035504617355,11.4059284304051,11.2130125773483,16.1732717069962,10.8496006007836,10.6395965852217,11.4076142613199,11.7237212045326,10.966823502746,11.2475259509345,10.6240527466552,11.0218291026322,10.898563199598,15.6965314332741,11.6770712200493,15.1604247990699,11.282166412675,15.2406227986153,11.7794474100594,15.499965711718,15.2886731138441,15.3453349045042,15.1707487182918,15.408283524525,15.3506998543684,15.3483725984477
356.2792,0.463,13.78528408,14.5548388372935,11.6103481062229,11.998784135314,12.4783901846409,13.2618340863479,15.1084640554605,11.7335409251006,12.2620050984482,12.9171329259553,12.6743545623282,14.3374977245709,11.783974797286,13.7433311187127,14.7487917928113,12.0255058067753,12.6549300719439,13.7481539216712,14.576522108228,12.0795465745472,11.6252731652681,13.4826947549145,13.7632538606341,12.129127263678,12.2842656659474,13.409399312583,14.642418633675,12.1805441045168,12.0894667341312,11.0290090477695,12.1026652462832,12.809091374576,12.1975927419171,11.1917948271633,12.4061870758096,13.4742944545595,16.3978490628392,13.4978726400436,13.647540747872,11.9982476987615,14.0343069086053,14.8393536633407,12.0834005113715,11.6749883952687,15.7195903762623,11.5449312701239,13.9987539775193,13.7751464298507,13.8822143402463,13.7553119712329,13.8910574716077,13.946273220478,13.7662643846278,13.8295700374357,13.8794242726508,13.7617887823553
349.1768,0.501,11.42085421,11.2849295200001,8.89820081993921,10.6398633869566,11.105372409807,10.6434729440599,13.7070051156476,10.8469109595501,12.0659806011668,10.3595160069743,11.3407349531671,12.4311211480046,11.3034853554636,10.2260216526435,10.9476431828566,11.7172364239517,11.2721369490109,10.5304318255937,10.5598645481278,10.5909407919024,10.8121475886326,11.1077397676344,10.3285415998997,10.4855512285106,11.4162797811235,11.2942731348733,11.0376221510197,10.4521620892874,10.6178722643275,10.283464473383,11.0475615388258,11.8766823203138,12.0858585175528,10.78757807181,9.90401218116948,10.9553804965029,14.7377994592356,10.0054163260785,12.7270197591449,10.4737964491224,10.3728541733397,10.9632989833904,10.9615064436394,10.7459089417819,14.1814227363922,12.760804475061,10.4416520780475,10.9230788286155,10.447400404037,11.5222920849058,12.0924792750252,11.3436919740114,11.6802587302354,11.4469499129489,11.506209824119,11.2936152471168
376.3184,0.456,10.87496452,12.0046104153488,14.7454473722971,11.3670393568535,11.270064368405,15.79733116182,11.9481168732771,11.2223312889682,10.5564068417847,11.5233095020043,13.1875059086191,14.1296129635264,12.1594720958512,13.5739212158896,11.5549774704624,12.3261919042025,8.79495091263855,15.0738871881275,10.8855084648768,11.5601683662792,12.1277661304433,14.0763546187195,13.5643846278274,13.8704164298576,14.0617382540671,12.3351038915908,11.0910546272521,10.8573902715823,11.8893469425719,11.3517125675551,12.3725425468707,11.1053723578671,10.666282991862,10.4626140762555,12.9277506438639,15.0652767982124,14.5246534336309,9.07608533986077,11.4256645540408,11.5042401336822,12.4314781130366,10.7270971032606,12.7098367754432,9.29497244127763,11.4889292438131,12.2441964749374,10.9741333906837,11.9196055830455,12.6370093594726,11.874915171192,12.0328681765001,11.938253723388,11.9069312961604,11.8556297020578,11.8626132058065,12.0218604015605
572.3994,0.467,12.79450116,11.4259784356861,11.5532909054073,11.7011216658979,13.0618853668999,12.2719356334093,12.5504189267457,12.6064377528455,12.0002583869969,13.0664556549999,13.582511188702,11.9747511551717,11.8973587766636,11.6129015253342,11.567586572742,11.3534633620681,13.6006181637282,13.2932251037899,13.1204641184154,11.9815942837602,11.0313756549412,13.3716274251849,15.5407049505017,12.61923194068,12.0562087551277,11.8532628348323,11.339362029488,12.3907495279408,11.80431175835,11.8536296466169,12.0102884694072,14.2763341045381,12.5516744293421,12.2777749596239,13.8103303076912,11.9699103465642,12.5003930863287,12.9110041388527,12.4237212530509,11.9920351707231,12.1401249838772,11.9822803842629,11.8108230377799,10.8690295236431,13.0537237475107,11.3920455848747,12.4852942216011,12.5765180281041,12.4325891527235,12.5379043557852,12.4037124166481,12.6093552626654,12.3420254695436,12.3812647442379,12.4990788839088,12.561419491275
188.0705,0.471,15.38991906,15.4560270358056,11.0229840434817,11.3602571635447,12.3998532841974,11.9475537218741,14.3686502324448,11.4917434001377,11.1800210522875,11.5630790264672,11.9769327876663,15.2082396323439,10.9597688643024,13.9836604439593,15.4190559911958,13.1519791672057,11.2608511735798,11.8269151987059,14.576203271673,12.4772465423749,13.0259399487514,13.2299215111509,11.9593758209875,10.7571230753653,11.61089963451,13.0969602891406,13.4696769711216,11.6824491056192,13.3785860410678,11.4370032819862,11.9394146940732,12.2788182056278,12.0719960304548,11.8374049161516,10.9493941926641,12.9133995814722,13.7168573342131,10.9681384389547,12.7024915873061,11.6118633190505,14.0943783303797,14.1996933817085,13.503439991877,11.2105094681531,15.8097488009251,11.2535112424556,13.7270530436256,13.1672912496097,12.9344852673232,13.460802333473,13.1058655621188,13.073523312943,13.4094233836095,13.2196773339306,13.3154487569746,13.0596905488234
